*WEATHER DATA - Station:Ventas Huelma - BADJAM DATA - BADJer: IPSL - Method: R2D2 - Source model: MPIREMO09
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Ventas Huelma 37.16 -3.83 740 16.01 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 121.35 14.95 2.98 0 2.21 NA NA 38.99
1980002 1980 01 02 121.95 14.77 1.66 0 1.66 NA NA 28.14
1980003 1980 01 03 87.32 11.37 4.5 0 3.22 NA NA 55.62
1980004 1980 01 04 57.51 17.06 8.34 2.89 2.85 NA NA 67.76
1980005 1980 01 05 139.42 14.3 2.84 0 3.22 NA NA 50.54
1980006 1980 01 06 138.81 19.59 3.37 0 1.39 NA NA 23.76
1980007 1980 01 07 123.46 13.5 5.53 0 1.57 NA NA 67.56
1980008 1980 01 08 135.2 16.19 3.06 0 1.46 NA NA 33.32
1980009 1980 01 09 140.92 16.19 1.44 0 2.01 NA NA 17.09
1980010 1980 01 10 135.2 17.91 2.84 0 2.13 NA NA 25.95
1980011 1980 01 11 152.96 20.11 4.69 0 1.19 NA NA 38.89
1980012 1980 01 12 39.45 12.77 7.62 8.43 3.45 NA NA 75.43
1980013 1980 01 13 122.55 15.72 0.52 0 1.27 NA NA 25.16
1980014 1980 01 14 113.82 14.89 2.98 0 3.09 NA NA 54.62
1980015 1980 01 15 90.33 11.69 5.53 0.56 2.01 NA NA 61.29
1980016 1980 01 16 113.82 15.72 4.3 0 1.46 NA NA 38.1
1980017 1980 01 17 101.17 18.61 6.8 0 2.29 NA NA 50.74
1980018 1980 01 18 110.21 14.26 2.43 0.83 2.01 NA NA 37.5
1980019 1980 01 19 110.21 11.65 3.46 0 4.62 NA NA 43.77
1980020 1980 01 20 123.46 14.04 1.86 0 0.89 NA NA 39.09
1980021 1980 01 21 70.76 9.14 -1.24 0 2.85 NA NA 37.4
1980022 1980 01 22 131.28 11.17 -2.19 0 2.51 NA NA 21.67
1980023 1980 01 23 99.97 13.74 4.47 0.17 2.85 NA NA 55.32
1980024 1980 01 24 75.58 11.8 4.8 2.54 3.96 NA NA 62.39
1980025 1980 01 25 123.75 10.86 -1.18 0.64 0.7 NA NA 59.3
1980026 1980 01 26 136.1 8.03 -3.81 0 3.96 NA NA 33.92
1980027 1980 01 27 31.01 12.52 2.84 11.4 3.75 NA NA 90.36
1980028 1980 01 28 127.67 7.59 -4.41 0 3.09 NA NA 31.63
1980029 1980 01 29 123.76 9.91 -1.9 0 2.62 NA NA 25.85
1980030 1980 01 30 138.81 4.41 -4.82 0 3.36 NA NA 16.2
1980031 1980 01 31 63.53 13.15 0.36 2.54 2.73 NA NA 59.8
1980032 1980 02 01 85.58 16.08 6.23 0 4.73 NA NA 70.76
1980033 1980 02 02 20.3 8.97 2.23 16.04 2.62 NA NA 69.62
1980034 1980 02 03 188.27 13.21 0.15 0 0.86 NA NA 40.69
1980035 1980 02 04 89.56 11.64 1.97 0 2.71 NA NA 43.07
1980036 1980 02 05 132.94 15.83 7.57 6.22 3.11 NA NA 68
1980037 1980 02 06 171.57 19.94 8.88 0 2.3 NA NA 53.73
1980038 1980 02 07 187.87 20.88 7.66 0 2.78 NA NA 18.7
1980039 1980 02 08 112.64 13.91 6.66 2.98 1.12 NA NA 72.1
1980040 1980 02 09 179.11 21.28 8.76 0 0.78 NA NA 34.69
1980041 1980 02 10 179.53 15.65 2.47 0 2.88 NA NA 17.28
1980042 1980 02 11 76.82 10.91 6.82 3.85 1.86 NA NA 73.05
1980043 1980 02 12 175.93 17.12 6.42 0 0.94 NA NA 47.45
1980044 1980 02 13 116.62 11.84 4.16 0.18 3.11 NA NA 66.2
1980045 1980 02 14 121.79 20.6 6.27 0 2.25 NA NA 33.46
1980046 1980 02 15 113.84 19.94 8.76 0.46 1.35 NA NA 32.79
1980047 1980 02 16 158.41 15.65 5.94 0 3.58 NA NA 30.51
1980048 1980 02 17 75.23 8.54 0.87 1.73 2.17 NA NA 64.48
1980049 1980 02 18 190.26 13.74 -0.11 0 2.42 NA NA 18.04
1980050 1980 02 19 109.06 10.91 5.62 5.67 2.88 NA NA 68.67
1980051 1980 02 20 41.79 8.97 2.16 9.65 1.64 NA NA 71.81
1980052 1980 02 21 140.5 15.65 5.02 0 3.58 NA NA 46.68
1980053 1980 02 22 132.94 17.39 5.41 0 0.61 NA NA 36.69
1980054 1980 02 23 75.23 14.14 5.02 10.68 0.78 NA NA 50.02
1980055 1980 02 24 119.01 19.69 9.09 0.11 1.64 NA NA 34.41
1980056 1980 02 25 183.09 20.78 6.73 0 1.53 NA NA 36.6
1980057 1980 02 26 179.11 20.78 5.41 0 1.45 NA NA 9.28
1980058 1980 02 27 171.56 20.78 10.22 0 2.88 NA NA 39.55
1980059 1980 02 28 179.51 20.17 6.59 0 2.52 NA NA 30.6
1980060 1980 02 29 192.64 18.66 4.04 0 1.02 NA NA 28.41
1980061 1980 03 01 204.19 22.63 9.95 0 0.74 NA NA 28.82
1980062 1980 03 02 84.88 15.29 4.62 9.88 0.61 NA NA 42.34
1980063 1980 03 03 228.71 20.8 5.94 0 1.71 NA NA 21.38
1980064 1980 03 04 84.88 17.59 9.29 4.57 3.12 NA NA 50.58
1980065 1980 03 05 270.21 21.65 5.15 0 1.46 NA NA 17.89
1980066 1980 03 06 224.47 19.55 7.03 0 2.93 NA NA 35.09
1980067 1980 03 07 231.07 17.17 2.13 0 1.46 NA NA 24.97
1980068 1980 03 08 280.58 19.71 4.15 0 2.55 NA NA 24.07
1980069 1980 03 09 159.39 20.08 7.03 0 4.16 NA NA 36.43
1980070 1980 03 10 151.37 19.55 8.72 0.51 4.06 NA NA 33.21
1980071 1980 03 11 224.94 21.04 6.85 0 0.58 NA NA 32.85
1980072 1980 03 12 193.81 18.63 6.92 0 0.84 NA NA 37.5
1980073 1980 03 13 262.66 17.72 5.63 0 4.41 NA NA 22.73
1980074 1980 03 14 203.25 18.39 5.28 0 1.12 NA NA 31.5
1980075 1980 03 15 201.83 17.72 4.44 0 2.8 NA NA 26.04
1980076 1980 03 16 166.46 20.69 7.92 0 3.72 NA NA 40.37
1980077 1980 03 17 238.14 20.91 6.46 0 1.31 NA NA 21.2
1980078 1980 03 18 221.64 22.1 9.6 0.01 1.9 NA NA 36.25
1980079 1980 03 19 166.93 13.99 3.08 3.05 3.32 NA NA 35.98
1980080 1980 03 20 207.02 23.34 7.6 0 1.31 NA NA 19.59
1980081 1980 03 21 112.71 17.78 5.81 0.93 2.47 NA NA 40.82
1980082 1980 03 22 160.8 18.15 5.49 0 4.2 NA NA 32.31
1980083 1980 03 23 245.22 20.69 7.7 0 1.12 NA NA 32.31
1980084 1980 03 24 275.87 21.44 7.03 0 2.8 NA NA 32.22
1980085 1980 03 25 266.43 25.04 8.86 0 1.71 NA NA 14.85
1980086 1980 03 26 262.66 17.51 2.53 0 2.7 NA NA 20.94
1980087 1980 03 27 183.45 22.76 5.49 0 2.09 NA NA 18.7
1980088 1980 03 28 238.14 20.8 8.42 0 1.4 NA NA 22.28
1980089 1980 03 29 224.46 17.99 3.31 0 1.81 NA NA 33.21
1980090 1980 03 30 248.51 21.44 7.92 0 0.74 NA NA 29.18
1980091 1980 03 31 182.5 16.51 8.42 0.29 2.29 NA NA 48.16
1980092 1980 04 01 252.48 27.94 12.1 0 1.39 NA NA 17.93
1980093 1980 04 02 212.84 28.14 13.45 0 0.85 NA NA 22.87
1980094 1980 04 03 130.85 20.75 7.4 5.58 0.55 NA NA 32.11
