*WEATHER DATA - Station:Ankara - BADJAM DATA - BADJer: IPSL - Method: R2D2 - Source model: NOAAGFDL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Ankara 39.92 32.85 1039 10.64 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 49.1 -0.27 -4.79 6.33 3.18 NA NA 79.05
1980002 1980 01 02 71.29 -5.33 -15.68 0.84 3.42 NA NA 60.28
1980003 1980 01 03 109.4 -6.87 -15.68 0 2.4 NA NA 55.77
1980004 1980 01 04 45.96 4.29 -4.06 0.54 2.65 NA NA 53.27
1980005 1980 01 05 33.63 2.29 -5.55 5.39 1.55 NA NA 58.33
1980006 1980 01 06 34.53 10.11 2.84 15.76 6.09 NA NA 64.24
1980007 1980 01 07 96.4 2.94 -9.4 0 1.55 NA NA 47.85
1980008 1980 01 08 54.7 6.59 -0.52 1.58 2.1 NA NA 66.31
1980009 1980 01 09 79.36 10.11 0.34 0.35 2.59 NA NA 51.81
1980010 1980 01 10 79.81 10.11 0 0 0.87 NA NA 34.14
1980011 1980 01 11 69.05 7.79 -0.21 0 1.38 NA NA 57.42
1980012 1980 01 12 75.1 0.28 -11.03 14.63 3.42 NA NA 34.26
1980013 1980 01 13 49.99 10.4 1.28 3.01 4.73 NA NA 49.31
1980014 1980 01 14 142.13 -0.82 -14.6 0 2.22 NA NA 29.63
1980015 1980 01 15 69.05 -4.26 -15.5 0.84 3.02 NA NA 64.18
1980016 1980 01 16 45.96 5.13 -3.12 1.02 2.33 NA NA 45.84
1980017 1980 01 17 109.4 2.29 -8.43 0 2.22 NA NA 47.18
1980018 1980 01 18 30.94 0.15 -7.46 4.73 3.18 NA NA 79.29
1980019 1980 01 19 77.35 2.08 -3.58 1.02 3.71 NA NA 59.55
1980020 1980 01 20 89.67 0.15 -6.91 0 3.71 NA NA 29.57
1980021 1980 01 21 90.35 8.52 1.04 0.98 2.52 NA NA 52.17
1980022 1980 01 22 101.33 -2.69 -16.44 0 1.05 NA NA 66.01
1980023 1980 01 23 30.94 -1.89 -5.66 7.67 4.23 NA NA 54.49
1980024 1980 01 24 80.93 -0.56 -7.46 0 1.55 NA NA 81.91
1980025 1980 01 25 105.59 2 -2.12 0 3.18 NA NA 57.42
1980026 1980 01 26 59.18 4.29 -3.26 0 3.18 NA NA 68.45
