*WEATHER DATA - Station:Wageningen - BADJAM DATA - BADJer: NCAR - Method: KDDM - Source model: IPSL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Wageningen 51.97 5.63 14 10.14 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 18.25 6.66 2.1 9.9 5.76 NA NA 80.72
1980002 1980 01 02 25.53 3.52 -3.28 10.5 3.54 NA NA 75.71
1980003 1980 01 03 33.91 -0.78 -4.1 0 4.43 NA NA 36.44
1980004 1980 01 04 17.23 2.63 -4.19 2.47 3.74 NA NA 71.1
1980005 1980 01 05 11.51 1.87 0.03 0.65 2.55 NA NA 92.44
1980006 1980 01 06 36.45 0.62 -2.38 0 2.49 NA NA 84.85
1980007 1980 01 07 42.35 1.22 -6.69 1.85 2.21 NA NA 72.52
1980008 1980 01 08 40.12 0 -7.58 0 4.22 NA NA 69.3
1980009 1980 01 09 27.37 2.59 -2.46 0 4.49 NA NA 74.21
1980010 1980 01 10 15.6 6.71 3.04 0.7 4.03 NA NA 78.14
1980011 1980 01 11 32.33 5.44 1.6 0 2.88 NA NA 77.93
1980012 1980 01 12 37.38 6.44 1.22 2.69 2.84 NA NA 78.39
1980013 1980 01 13 12.71 9.97 6.24 1.84 3.5 NA NA 88.09
1980014 1980 01 14 16.22 7.38 4.55 0.23 3.35 NA NA 91.4
1980015 1980 01 15 11.68 8.74 2.49 3.37 3.75 NA NA 82.49
1980016 1980 01 16 12.99 9.23 5.71 5.26 4.63 NA NA 92.97
1980017 1980 01 17 28.78 8.69 3.49 1.59 5.08 NA NA 69.72
1980018 1980 01 18 42.08 7.26 3.87 0 6.85 NA NA 59.26
1980019 1980 01 19 29.56 6.7 3.48 0.67 1.98 NA NA 83.39
1980020 1980 01 20 53.49 4.71 0.46 1.03 3.58 NA NA 72.65
1980021 1980 01 21 35.99 7.49 1.43 0.23 5.75 NA NA 64.47
1980022 1980 01 22 49.44 5.71 0.32 0 2.38 NA NA 70.17
1980023 1980 01 23 19.99 8.5 -0.69 2.95 2.1 NA NA 66.09
1980024 1980 01 24 45.41 9.12 3 0 3.71 NA NA 77.21
1980025 1980 01 25 15.69 9.73 7.83 2.26 5.65 NA NA 90.62
1980026 1980 01 26 31.28 8.25 1.05 0.84 6.73 NA NA 43.06
1980027 1980 01 27 38.31 4.71 0.47 0 6.36 NA NA 51.39
1980028 1980 01 28 21.76 8.73 0.63 9.03 5.49 NA NA 61.15
1980029 1980 01 29 16.92 4.58 2.15 2.93 6.56 NA NA 81.8
1980030 1980 01 30 40.09 5.09 -1.56 0 3.75 NA NA 41.53
1980031 1980 01 31 50.26 4.24 -1.9 0 2.36 NA NA 64.9
1980032 1980 02 01 27.88 9.04 3.98 2.77 4.47 NA NA 83.77
1980033 1980 02 02 58.88 7.18 -1.58 0 0.52 NA NA 70.49
1980034 1980 02 03 63.71 4.21 -2.56 0 0.66 NA NA 65.94
1980035 1980 02 04 77.82 4.25 -1.85 0 1.73 NA NA 53.87
1980036 1980 02 05 41.14 5.35 -1.36 0 2.21 NA NA 71.76
1980037 1980 02 06 38.66 9.29 4.46 0 1.99 NA NA 83.36
1980038 1980 02 07 33 9.46 5.6 0 1.67 NA NA 85.18
1980039 1980 02 08 50.75 10.02 1.72 0 1.03 NA NA 71.47
1980040 1980 02 09 75.19 8.62 -0.58 0 0.54 NA NA 51.17
1980041 1980 02 10 61.49 7.66 -0.82 0 0.04 NA NA 51.37
1980042 1980 02 11 89.73 6.84 -1.64 0 1 NA NA 50.44
1980043 1980 02 12 63.03 7.44 -0.49 0 3.74 NA NA 63.89
1980044 1980 02 13 21.5 10.3 6.76 22.47 8.4 NA NA 86.45
1980045 1980 02 14 66.89 8.43 1.76 1.07 8.06 NA NA 42.49
1980046 1980 02 15 22.43 3.45 0.94 1.12 7.37 NA NA 64.03
1980047 1980 02 16 73.24 3.18 -0.24 0.94 6.32 NA NA 56.93
1980048 1980 02 17 61.39 5.83 -1.26 0.33 3.9 NA NA 54.81
1980049 1980 02 18 40.95 8.99 4.69 5.72 7.22 NA NA 74.76
1980050 1980 02 19 65.12 6 0.9 0.73 7.71 NA NA 49.97
1980051 1980 02 20 34.46 4.22 0.07 0.54 5.84 NA NA 63.78
1980052 1980 02 21 91.51 3.41 -2.18 0 3.74 NA NA 50.19
1980053 1980 02 22 100.61 3.98 -2.79 0 1.14 NA NA 50.84
1980054 1980 02 23 88.16 4.2 -2.37 0 2.1 NA NA 37.36
1980055 1980 02 24 98.18 2.49 -2.25 0 4.49 NA NA 36.49
1980056 1980 02 25 66.7 3.12 -0.61 0 4.62 NA NA 54.79
1980057 1980 02 26 92.67 3.5 -1.23 0 3.54 NA NA 36.85
1980058 1980 02 27 96.73 3.04 -1.17 0.28 2.72 NA NA 62.31
1980059 1980 02 28 79.58 2.93 -1.73 0 1.38 NA NA 75.8
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 73 5.73 -0.28 0.53 2.59 NA NA 66.58
1980062 1980 03 02 62.65 6.97 0.92 4.42 2.87 NA NA 67.99
1980063 1980 03 03 31.28 9.05 3.82 4.33 1.03 NA NA 83.34
1980064 1980 03 04 65.21 12.15 5.01 0 3.44 NA NA 74.12
1980065 1980 03 05 94.22 15.49 8.48 0 4.34 NA NA 53.56
1980066 1980 03 06 79.81 15.92 9.76 0 5.57 NA NA 54.22
1980067 1980 03 07 48.11 14.26 6.04 4.13 6.22 NA NA 62.08
1980068 1980 03 08 72.97 9.89 3.64 1.23 3.75 NA NA 69.04
1980069 1980 03 09 79.79 9.7 2.92 0.54 4.09 NA NA 64.5
1980070 1980 03 10 37.25 11.21 3.66 2.1 2.76 NA NA 75.27
1980071 1980 03 11 119.61 13.51 6.64 1.45 4.7 NA NA 58.25
1980072 1980 03 12 33.91 13.06 8.97 1.34 2.79 NA NA 89.85
1980073 1980 03 13 151.74 19.63 6.56 0 2.22 NA NA 44.45
1980074 1980 03 14 68.75 13.75 5.49 6.66 3.57 NA NA 70.62
1980075 1980 03 15 154.44 13.48 3.71 0.84 4.22 NA NA 44.45
1980076 1980 03 16 45.44 16.81 9.01 5.99 4.64 NA NA 67.26
1980077 1980 03 17 155.87 13.88 5.84 0 1.97 NA NA 50.17
1980078 1980 03 18 83.89 11.87 1.62 0 0.57 NA NA 58.46
1980079 1980 03 19 170.28 14.32 1.17 0 2.32 NA NA 34.25
1980080 1980 03 20 71.24 16.43 8.66 0 3.42 NA NA 45.37
1980081 1980 03 21 66.28 16.6 10.31 0.29 2.72 NA NA 65.16
1980082 1980 03 22 102.25 15.61 8.74 4.55 2.45 NA NA 63.34
1980083 1980 03 23 73.73 10.76 6.4 4.13 4.39 NA NA 70.37
1980084 1980 03 24 56.38 10.76 3.67 3.8 2.86 NA NA 63.2
