*WEATHER DATA - Station:Orleans  - BADJAM DATA - BADJer: NCAR - Method: KDDM - Source model: IPSL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Orleans  47.83 1.91 116 10.99 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 30.44 8.31 3.26 9.78 6.73 NA NA 80.71
1980002 1980 01 02 36.06 4.22 -2.68 0.34 4.07 NA NA 55.26
1980003 1980 01 03 54.21 1.84 -3.31 0 2.53 NA NA 69.06
1980004 1980 01 04 22.86 5.76 0.79 3.27 4.93 NA NA 79.98
1980005 1980 01 05 29.94 2.49 -1.74 0.7 3.05 NA NA 86.28
1980006 1980 01 06 32.5 3.82 -2.84 1.42 3.51 NA NA 67.25
1980007 1980 01 07 24.72 2.41 -3.49 0.49 3.75 NA NA 78.38
1980008 1980 01 08 48.81 1.71 -4.48 0 2.36 NA NA 59.64
1980009 1980 01 09 62.29 6.61 -1.26 0 3.94 NA NA 51.91
1980010 1980 01 10 40.12 8.31 4.75 1.29 4.92 NA NA 66.17
1980011 1980 01 11 28.24 5.4 2.25 0 4.22 NA NA 71.01
1980012 1980 01 12 28.48 7.1 0.86 2.43 3.75 NA NA 78.86
1980013 1980 01 13 16.67 8.24 5.07 2.1 3.1 NA NA 90.6
1980014 1980 01 14 29.2 8.2 3.89 0 2.88 NA NA 84.87
1980015 1980 01 15 26.57 8.91 3.71 0 3.02 NA NA 85.65
1980016 1980 01 16 15.61 8.82 6.32 3.64 4.01 NA NA 90.8
1980017 1980 01 17 20.41 9.33 2.83 2.28 5.04 NA NA 79.52
1980018 1980 01 18 41.52 6.89 2.78 0.33 5.37 NA NA 71.9
1980019 1980 01 19 29.46 6.87 1.65 1.68 3.6 NA NA 79.36
1980020 1980 01 20 42.05 4.13 -1.56 0.38 2.7 NA NA 75.38
1980021 1980 01 21 17.61 9.7 4.05 6.69 4.53 NA NA 87.33
1980022 1980 01 22 18.55 10.43 8.79 4 2.98 NA NA 95.2
1980023 1980 01 23 24.08 11.59 9.15 1.02 3.21 NA NA 91.7
1980024 1980 01 24 38.14 11.62 7.61 0 1.81 NA NA 79.1
1980025 1980 01 25 22.7 12.27 7.73 0.32 3.1 NA NA 85.73
1980026 1980 01 26 42.66 11.92 3.54 2.28 4.56 NA NA 59.15
1980027 1980 01 27 42.39 7.47 2.25 2.55 3.26 NA NA 64.28
1980028 1980 01 28 25.87 9.66 5.18 0.79 5.31 NA NA 84.25
1980029 1980 01 29 42.22 6.18 2.2 0 4.38 NA NA 69.89
1980030 1980 01 30 51.67 4.34 -1.61 0 3.08 NA NA 56.06
1980031 1980 01 31 80.56 3.58 -3.01 0 0.81 NA NA 56.32
1980032 1980 02 01 39.26 5.72 -0.86 0 2.35 NA NA 75.42
1980033 1980 02 02 24.74 9.29 1.14 0 1.28 NA NA 88.68
1980034 1980 02 03 83.34 8.03 -1.86 0 0.58 NA NA 57.51
1980035 1980 02 04 100.01 6.28 -3.28 0 0.36 NA NA 57.43
1980036 1980 02 05 94.32 5.97 -2.86 0 0 NA NA 55.79
1980037 1980 02 06 82.4 7.1 -2.6 0 0 NA NA 52.31
1980038 1980 02 07 69.68 8.75 -1.31 0 0.62 NA NA 57.28
1980039 1980 02 08 85.97 8.91 -0.14 0 1.33 NA NA 58.52
1980040 1980 02 09 89.5 9.06 -0.43 0 1.51 NA NA 53.72
1980041 1980 02 10 114.47 7.98 -0.9 0 1.33 NA NA 50.6
1980042 1980 02 11 114.5 9.04 -2.02 0 1.25 NA NA 46.33
1980043 1980 02 12 52.79 9.66 -0.29 0 2.45 NA NA 59.41
1980044 1980 02 13 33.38 10.7 5.52 6.35 6.54 NA NA 79.29
1980045 1980 02 14 32.44 10.86 4.16 3.35 6.03 NA NA 77.02
1980046 1980 02 15 74.05 6.37 1.2 0 5.13 NA NA 43.91
1980047 1980 02 16 99.67 4.51 -1.59 0 3.2 NA NA 41.77
1980048 1980 02 17 44.01 6.37 -1.84 0.23 2.19 NA NA 68.22
1980049 1980 02 18 120.85 10.65 4.09 0 3.99 NA NA 57.32
1980050 1980 02 19 78.33 7.8 0.85 1.92 4.94 NA NA 66.95
1980051 1980 02 20 85.31 5.52 -0.1 1.39 3.11 NA NA 66.72
