*WEATHER DATA - Station:Policoro - BADJAM DATA - BADJer: NCAR - Method: KDDM - Source model: MPIRCA4
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Policoro 40.2 16.66 3 16.73 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 33.14 12.91 6.91 0 2.29 NA NA 73.24
1980002 1980 01 02 87.47 12.77 5.29 0 2.21 NA NA 58.14
1980003 1980 01 03 81.1 12.4 6.46 1.14 4.2 NA NA 55.33
1980004 1980 01 04 87.99 10.81 5.6 0 3.38 NA NA 46.49
1980005 1980 01 05 90.09 10.31 5.74 0 3.79 NA NA 47.05
1980006 1980 01 06 94.24 9.5 5.73 0 4.64 NA NA 38.27
1980007 1980 01 07 95.99 10.61 4.77 2.54 3.88 NA NA 47.44
1980008 1980 01 08 28.95 11.41 6.87 8.2 4.06 NA NA 78.14
1980009 1980 01 09 25.32 10.8 5.36 5.94 0.6 NA NA 83.37
1980010 1980 01 10 87.01 12.08 5.76 0 4.19 NA NA 59.9
1980011 1980 01 11 71.46 9.43 4.87 0 4.25 NA NA 55.43
1980012 1980 01 12 95.69 9.28 3.71 0 1.89 NA NA 48.87
1980013 1980 01 13 100.16 9.91 4.23 0 3.46 NA NA 39.24
1980014 1980 01 14 90.45 6.82 3.68 0 4.5 NA NA 48.07
1980015 1980 01 15 94.58 6.3 3.23 0 3.07 NA NA 44.51
1980016 1980 01 16 15.7 6.05 3.1 20.25 5.64 NA NA 70.3
1980017 1980 01 17 60.5 5.65 3.47 0 8.42 NA NA 51.43
1980018 1980 01 18 98.27 5.89 2.85 0 2.57 NA NA 56.19
1980019 1980 01 19 99.47 5.41 2.34 0 2.17 NA NA 56.45
1980020 1980 01 20 105.94 5.67 1.65 0 1.4 NA NA 49.08
1980021 1980 01 21 105.39 6.66 1.46 0 1.46 NA NA 44.73
1980022 1980 01 22 96.01 7.06 1.59 7.43 1.26 NA NA 56.86
1980023 1980 01 23 37.25 5.77 3.7 13.12 5.84 NA NA 78.43
1980024 1980 01 24 96.37 6.25 2.68 0 3.53 NA NA 52.37
1980025 1980 01 25 107.49 7.32 2.56 0 2.34 NA NA 48.91
1980026 1980 01 26 110.28 8.69 1.49 1.61 1.31 NA NA 45.59
1980027 1980 01 27 33.42 12.1 5.47 5.25 4.72 NA NA 81.85
1980028 1980 01 28 34.11 12.45 9.58 4.2 7.79 NA NA 88.7
1980029 1980 01 29 34.7 12.27 8.23 1.77 9.03 NA NA 83.62
1980030 1980 01 30 43.15 10.61 6.64 4.03 7.91 NA NA 78.05
1980031 1980 01 31 57.09 9.48 5.05 0.8 4.6 NA NA 62.03
1980032 1980 02 01 98.98 7.96 4.54 0 3.19 NA NA 46.18
