*WEATHER DATA - Station:Krasnodar - BADJAM DATA - BADJer: NCAR - Method: KDDM - Source model: NOAAGFDL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Krasnodar 45.02 38.95 45 11.99 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 54.11 -0.37 -8.02 0 0.65 NA NA 49.54
1980002 1980 01 02 51.82 2.05 -2.63 0 1.93 NA NA 53.67
1980003 1980 01 03 62.4 5.7 -2.56 0 2.69 NA NA 55.39
1980004 1980 01 04 59.41 7.28 1.13 1.41 2.91 NA NA 57.34
1980005 1980 01 05 46.41 4.92 0.04 0 3.36 NA NA 60.55
1980006 1980 01 06 37.33 8.15 4.89 0 5.2 NA NA 58.07
1980007 1980 01 07 53.81 9.49 5.39 0 4.97 NA NA 46.86
1980008 1980 01 08 54.77 10.7 6.52 0 5.64 NA NA 45.28
1980009 1980 01 09 48.07 6.96 3.5 0 2.82 NA NA 72.03
1980010 1980 01 10 37.55 8.21 -0.71 0 2.54 NA NA 58.84
1980011 1980 01 11 68.7 8.95 -0.39 0 3.2 NA NA 52.76
1980012 1980 01 12 56.18 10.67 4.74 0 4.25 NA NA 50.55
1980013 1980 01 13 65.1 10.77 5.11 0 4.6 NA NA 43.95
1980014 1980 01 14 69.09 11.43 5.26 0 5.21 NA NA 37.96
1980015 1980 01 15 45.08 8.37 3.61 0 3.77 NA NA 61.92
1980016 1980 01 16 24.4 7.45 0.2 2.14 4.15 NA NA 60.76
1980017 1980 01 17 48.08 5.5 -0.62 0 1.47 NA NA 56.09
1980018 1980 01 18 63.34 4.96 -0.84 0 1.3 NA NA 62.55
1980019 1980 01 19 39.95 9.61 0.59 0 2.04 NA NA 57.84
1980020 1980 01 20 13.68 7.67 6.08 15.39 4.25 NA NA 87.21
1980021 1980 01 21 65.53 10.73 6.23 0 4.64 NA NA 52.39
1980022 1980 01 22 25.15 7.08 3.74 3.63 2.57 NA NA 80.98
1980023 1980 01 23 35.87 4.59 0.72 0.67 1.83 NA NA 80.24
1980024 1980 01 24 38.55 5.55 -0.29 2.39 3.89 NA NA 64.37
1980025 1980 01 25 24.98 5.78 -0.21 8.82 1.35 NA NA 80.62
1980026 1980 01 26 39.43 6.77 2.47 2.5 1.52 NA NA 74.06
1980027 1980 01 27 46.93 5.41 1.66 0 2.44 NA NA 67.03
1980028 1980 01 28 39.33 8.43 3.15 0.8 7.55 NA NA 54.78
1980029 1980 01 29 30.97 8.82 -0.24 8.46 6.08 NA NA 53.38
1980030 1980 01 30 67.69 3.6 -1.62 0 2.57 NA NA 47.51
1980031 1980 01 31 82.84 7.02 -1.53 0 3.56 NA NA 36.73
1980032 1980 02 01 77.72 13.66 1.21 0 4.67 NA NA 38.28
1980033 1980 02 02 50.63 4.58 -2.54 0 3.85 NA NA 54.13
1980034 1980 02 03 86.34 3.14 -2.59 0 2.43 NA NA 52.72
1980035 1980 02 04 70.6 4.9 -1.84 0 3.09 NA NA 48.36
1980036 1980 02 05 66.34 5.74 -2.13 0.38 5.33 NA NA 48.19
1980037 1980 02 06 79.88 1.76 -2.35 0 1.88 NA NA 59.18
1980038 1980 02 07 41.68 2.69 -1.51 1.7 5.3 NA NA 60.74
1980039 1980 02 08 87.03 2.49 -2.67 0.66 1.36 NA NA 63.76
1980040 1980 02 09 71.81 3.41 -2 0 2.16 NA NA 53.94
1980041 1980 02 10 112.96 3.96 -2.56 0 1.66 NA NA 45.14
1980042 1980 02 11 78.65 2.32 -1.94 0 2.69 NA NA 55.83
1980043 1980 02 12 73.46 1.73 -2.02 0 3.52 NA NA 52.25
1980044 1980 02 13 103.6 0.68 -2.08 8.14 3.12 NA NA 55.92
1980045 1980 02 14 70.09 -2.58 -5.72 0 3.65 NA NA 46.31
1980046 1980 02 15 107.04 -4.57 -6.87 0 1.77 NA NA 34.77
1980047 1980 02 16 129.69 -4.29 -7.5 0 1.62 NA NA 26.4
1980048 1980 02 17 119.2 -3.77 -7.1 0 2.07 NA NA 32.76
1980049 1980 02 18 118.02 -4.93 -8.29 0 2.86 NA NA 35.59
1980050 1980 02 19 127.77 -5.01 -11.31 0 1.79 NA NA 32.89
1980051 1980 02 20 123.52 -2.96 -12.43 0 1.61 NA NA 33.13
1980052 1980 02 21 114.57 2.61 -5.64 0 2.48 NA NA 47.77
1980053 1980 02 22 103.53 4.64 -2.44 0 2.34 NA NA 56.16
1980054 1980 02 23 117.24 6.87 -2.56 0 2.2 NA NA 38.25
1980055 1980 02 24 118.74 1.37 -3.34 0 5.9 NA NA 54.91
1980056 1980 02 25 122.03 3.66 -1.44 0 6.74 NA NA 44.65
1980057 1980 02 26 124.14 4.06 -1.33 0 6.7 NA NA 38.91
1980058 1980 02 27 126.11 5.74 -1.08 1.77 6.02 NA NA 40.77
1980059 1980 02 28 99.77 10.26 0.64 5.71 5.08 NA NA 48.81
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 72.1 6.71 -0.34 1.97 3.27 NA NA 57.94
1980062 1980 03 02 49.72 4.14 -0.65 1.42 0.98 NA NA 75.65
1980063 1980 03 03 67.08 5.3 -1.23 0 0.59 NA NA 62.74
1980064 1980 03 04 125.16 4.49 -2.64 0 1.69 NA NA 53.4
1980065 1980 03 05 156.57 0.32 -6.41 0 3.34 NA NA 35.51
1980066 1980 03 06 158.92 -1.17 -7.45 0 5.22 NA NA 22.83
1980067 1980 03 07 33.66 -0.16 -5.48 11.83 4.83 NA NA 68.2
1980068 1980 03 08 55.77 2.56 -0.11 2.19 3.38 NA NA 76.01
1980069 1980 03 09 69.91 3.23 -0.68 0 1.83 NA NA 63.84
1980070 1980 03 10 111.64 2.71 -2.36 0 1.99 NA NA 49.63
1980071 1980 03 11 100.49 5.32 -2.29 2.59 2.59 NA NA 47.11
1980072 1980 03 12 57.82 6.09 -1.05 1.28 1.63 NA NA 60.46
1980073 1980 03 13 164.67 8.62 -1.83 0 0.88 NA NA 44.05
1980074 1980 03 14 81.43 6.3 -0.46 2.29 3.53 NA NA 55.33
1980075 1980 03 15 96.74 2.47 -0.88 0 2.6 NA NA 51.72
1980076 1980 03 16 75.22 0.38 -2.23 0.93 2.96 NA NA 60.71
1980077 1980 03 17 153.93 -0.47 -3.55 0 1.83 NA NA 38.99
1980078 1980 03 18 124.99 3.99 -2.89 0.39 2.68 NA NA 45.76
1980079 1980 03 19 160.23 11.93 1.73 0 4.73 NA NA 40.93
1980080 1980 03 20 164.2 15.54 4.35 0 6.09 NA NA 42.31
1980081 1980 03 21 37.57 9.92 2.78 13.19 4.5 NA NA 73.63
1980082 1980 03 22 109.51 3.28 -2.45 0 3.08 NA NA 49.32
1980083 1980 03 23 182.47 4.51 -3.43 0 1.02 NA NA 30.41
1980084 1980 03 24 119.83 6.88 -1.42 0 1.08 NA NA 36.43
1980085 1980 03 25 133.63 11.46 3.25 0 2.35 NA NA 48.06
1980086 1980 03 26 191.35 15.57 3.36 2.63 4.33 NA NA 34.03
1980087 1980 03 27 86.87 9.69 6 13.73 5.1 NA NA 65.56
1980088 1980 03 28 179.34 13.1 4.53 0 3.21 NA NA 44.52
1980089 1980 03 29 210.71 19.45 5.62 0 3.18 NA NA 30.3
1980090 1980 03 30 72.06 12.69 8.67 1.15 3.98 NA NA 62.86
1980091 1980 03 31 83.07 11.78 3.6 0.41 2.39 NA NA 61.23
1980092 1980 04 01 168.14 14.8 2.5 0 1.13 NA NA 44.35
1980093 1980 04 02 144.64 16.53 6.12 2.99 3.19 NA NA 43.74
1980094 1980 04 03 203.6 12.51 5.15 0 1.39 NA NA 40.86
1980095 1980 04 04 215.53 18.73 5.89 2.9 4.54 NA NA 35.49
1980096 1980 04 05 172.63 18.14 8.11 0 3.93 NA NA 50.77
1980097 1980 04 06 203.15 20.64 6.6 0.52 1.53 NA NA 40.77
1980098 1980 04 07 191.74 22.53 12.08 0 3.95 NA NA 35.4
1980099 1980 04 08 201.98 22.9 10.53 0 2.49 NA NA 37.05
1980100 1980 04 09 200.49 23.52 8.88 0 0.95 NA NA 39.67
1980101 1980 04 10 211.4 23.17 7.22 0 0.41 NA NA 35.91
1980102 1980 04 11 218.53 24.03 9.97 0 1.63 NA NA 35.22
1980103 1980 04 12 204.03 17.39 7.89 0.17 2.54 NA NA 45.7
1980104 1980 04 13 224.11 18.16 6.55 0 1.4 NA NA 36.14
1980105 1980 04 14 242.05 23.41 10.15 0 3.4 NA NA 26.25
1980106 1980 04 15 94.72 17.5 7.85 4.85 2.29 NA NA 61.69
1980107 1980 04 16 113.35 16.49 6.65 6.59 0.75 NA NA 68.34
1980108 1980 04 17 94.45 18.6 12.32 6.35 0.12 NA NA 68.72
1980109 1980 04 18 77.07 17.39 12.56 9.31 1.38 NA NA 72.16
1980110 1980 04 19 31.26 12.99 11.47 3.26 1.9 NA NA 86.23
1980111 1980 04 20 132.12 18.6 8.98 5.55 0.21 NA NA 61.09
1980112 1980 04 21 172.33 19.42 9.52 0 1.66 NA NA 45.46
1980113 1980 04 22 212.48 22.75 12.52 0 3.23 NA NA 37.69
1980114 1980 04 23 236.86 25.28 12.58 0 1.92 NA NA 30.75
1980115 1980 04 24 268.55 24.87 12.81 0 2.85 NA NA 33.52
1980116 1980 04 25 77.65 16.95 11.61 8.45 1.25 NA NA 71.13
1980117 1980 04 26 260.78 18.16 8.68 0 1.82 NA NA 47.05
1980118 1980 04 27 169.76 16.52 7.23 0 1.69 NA NA 41.91
1980119 1980 04 28 256.9 21.89 9.98 0.41 2.93 NA NA 29.65
1980120 1980 04 29 208.28 21.49 13.93 4.9 3.56 NA NA 53.12
1980121 1980 04 30 134.89 18.18 13.47 11 3.28 NA NA 65.14
1980122 1980 05 01 267.44 22.21 13.84 0 1.04 NA NA 50.38
1980123 1980 05 02 280.16 26.07 13.06 0 2.78 NA NA 36.63
1980124 1980 05 03 247.06 24.34 13.33 1.2 4.22 NA NA 41.81
1980125 1980 05 04 65.23 17.89 16.07 5.77 5.16 NA NA 76.79
1980126 1980 05 05 83.9 15.43 9.41 2.15 2.39 NA NA 74.5
1980127 1980 05 06 274.28 21.56 7.51 0 0.83 NA NA 44.07
1980128 1980 05 07 155.32 23.07 15.44 2.01 2.75 NA NA 55.74
1980129 1980 05 08 287.19 22.96 14.41 0 4.24 NA NA 44.97
1980130 1980 05 09 181.47 23.64 15.81 0 4.1 NA NA 46.92
1980131 1980 05 10 181.02 24.14 15.23 4.29 2.48 NA NA 49.49
1980132 1980 05 11 272.79 24 11.79 0 1.28 NA NA 46.25
1980133 1980 05 12 310.65 24.98 9.76 0 1.66 NA NA 36.05
1980134 1980 05 13 232.56 20.25 14.27 0 4.01 NA NA 49.39
1980135 1980 05 14 162.08 19.14 12.37 0 2.54 NA NA 47.17
1980136 1980 05 15 301 20.29 10.57 0 1.95 NA NA 35.86
1980137 1980 05 16 301.4 21.62 9.08 0 1.33 NA NA 34.54
1980138 1980 05 17 300.53 23.06 8.61 0 0.71 NA NA 31.06
1980139 1980 05 18 325.66 24.87 12.81 0 2.14 NA NA 28.55
1980140 1980 05 19 297.28 24.86 12.55 0 1.15 NA NA 31.95
1980141 1980 05 20 305.69 27.16 10.83 0 1.97 NA NA 28.23
1980142 1980 05 21 138.93 26.98 15.21 0.92 2.86 NA NA 32.09
1980143 1980 05 22 267.08 24.74 14.53 1.1 1.53 NA NA 44.07
1980144 1980 05 23 158.31 20.57 14.57 12.17 1.39 NA NA 68.14
1980145 1980 05 24 197.01 23.37 16.41 2.41 1.74 NA NA 58.93
1980146 1980 05 25 194.54 23.69 17.04 5.86 2.61 NA NA 58.12
1980147 1980 05 26 241.64 20.91 11.69 1.03 2.03 NA NA 47.16
1980148 1980 05 27 304.38 21.11 10.76 0 1.71 NA NA 33.82
1980149 1980 05 28 269.57 21.32 12 0 2.21 NA NA 36.35
1980150 1980 05 29 94.87 18.98 13.44 8.67 0.81 NA NA 71.18
1980151 1980 05 30 82.29 16.4 12.18 8.37 0.83 NA NA 78.3
1980152 1980 05 31 196.22 18.69 10.55 0 1.27 NA NA 49.57
1980153 1980 06 01 284.07 21.01 9.8 1.27 2.43 NA NA 39.15
1980154 1980 06 02 130.53 20.18 16.32 1.15 3.56 NA NA 51.13
1980155 1980 06 03 290.94 25.33 16.73 0 3.66 NA NA 50.06
1980156 1980 06 04 284.74 26.57 17.94 0 3.58 NA NA 44.44
1980157 1980 06 05 307.45 27.09 17.57 0 2.61 NA NA 43.27
1980158 1980 06 06 323.45 28.62 17.96 0 3.19 NA NA 28.73
1980159 1980 06 07 186.05 25.97 18 1.9 2.72 NA NA 42.15
1980160 1980 06 08 190.3 25.67 17.83 0 2.13 NA NA 43.46
1980161 1980 06 09 145.67 23 18.69 0 2.51 NA NA 64.23
1980162 1980 06 10 291.63 23.85 17.49 0 2.69 NA NA 42.47
1980163 1980 06 11 126.05 20.33 16.6 0 1.75 NA NA 49.98
1980164 1980 06 12 283.33 20.57 12.8 0 1.53 NA NA 38.12
1980165 1980 06 13 312.29 21.86 12 0 1.64 NA NA 37.2
1980166 1980 06 14 330.24 22.43 11.95 0 1.45 NA NA 31.06
