*WEATHER DATA - Station:Rothamsted - BADJAM DATA - BADJer: PIK - Method: ISIMIP3 - Source model: ICHEC
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Rothamsted 51.82 -0.37 300.92 9.83 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 18.53 9.81 1.62 7.68 5.95 NA NA 64.67
1980002 1980 01 02 35.3 6.84 2.21 0 6.82 NA NA 62.18
1980003 1980 01 03 31.17 7.96 0.85 0 4.61 NA NA 69.27
1980004 1980 01 04 11.44 8.7 4.74 10.62 5.63 NA NA 86.51
1980005 1980 01 05 14.34 8.22 5.94 11.04 5.1 NA NA 85.23
1980006 1980 01 06 24.82 12.98 7.52 2.29 5.81 NA NA 70.49
1980007 1980 01 07 46.35 10.64 5.18 0 3.73 NA NA 75.37
1980008 1980 01 08 45.02 10.08 4.75 0 3.06 NA NA 77.82
1980009 1980 01 09 34.62 9.44 2.55 0 2.71 NA NA 81.88
1980010 1980 01 10 30.54 8.7 1.82 0 2.19 NA NA 82.87
1980011 1980 01 11 22.96 10.07 5.05 4.69 3.57 NA NA 83.09
1980012 1980 01 12 38.46 9.8 6.53 0 4.66 NA NA 80.95
1980013 1980 01 13 22.05 9.33 1.54 2.73 5.14 NA NA 75.67
1980014 1980 01 14 39.82 5.14 -0.44 0 3.73 NA NA 60.59
1980015 1980 01 15 39.4 3.32 -1.48 0 2.35 NA NA 81.81
1980016 1980 01 16 24.64 9.36 0.93 0.38 4.76 NA NA 80.15
1980017 1980 01 17 18.71 10.95 8.68 0 5.52 NA NA 86.11
1980018 1980 01 18 24.13 11.43 8.33 2.57 7.39 NA NA 83.23
1980019 1980 01 19 50.71 10.66 6.32 8.07 4.06 NA NA 76.16
1980020 1980 01 20 11.53 9.65 4.85 23.87 4.81 NA NA 88.48
1980021 1980 01 21 48.92 5.28 2.56 2.06 3.47 NA NA 81.98
1980022 1980 01 22 40.04 4.2 0.02 0 5.2 NA NA 61.37
1980023 1980 01 23 59.22 3.25 -0.83 0 2.77 NA NA 76.09
1980024 1980 01 24 24.57 7.24 -1.36 3.05 3.65 NA NA 70.4
1980025 1980 01 25 34.85 5.53 1.95 1.64 6.23 NA NA 62.45
1980026 1980 01 26 50.38 4.18 0.21 0 4.78 NA NA 74.26
1980027 1980 01 27 37.62 7.59 0.58 0.82 6.21 NA NA 64.22
1980028 1980 01 28 35.1 6.38 2.2 0 6.54 NA NA 55.67
