*WEATHER DATA - Station:Jokioinen - BADJAM DATA - BADJer: PIK - Method: ISIMIP3 - Source model: ICHEC
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Jokioinen 60.8 23.48 99.43 3.51 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 4.95 -6.01 -17 0 0.51 NA NA 70.47
1980002 1980 01 02 5.91 -8.79 -18.92 0.49 1.37 NA NA 24.28
1980003 1980 01 03 5.95 1.63 -6.79 5.7 1.84 NA NA 76.41
1980004 1980 01 04 8.4 2.03 -8.2 0 1.83 NA NA 74.09
1980005 1980 01 05 4.96 2.61 -10.36 5.03 1.5 NA NA 69.88
1980006 1980 01 06 5.33 2.67 -12.72 0.84 2.24 NA NA 61.9
1980007 1980 01 07 12.01 -8.48 -24.25 0.74 0.97 NA NA 13.22
1980008 1980 01 08 9.19 -1.18 -9.1 0 2.03 NA NA 52
1980009 1980 01 09 12.58 -9.15 -13.22 0 1.39 NA NA 81.6
1980010 1980 01 10 6.04 0.47 -14.54 1.3 1.29 NA NA 53.72
1980011 1980 01 11 6.5 1.97 -5.15 1.82 2.18 NA NA 70.13
1980012 1980 01 12 6.81 1.62 -7.41 9.07 2.49 NA NA 78.19
1980013 1980 01 13 6.88 -5.46 -9.5 1.04 1.58 NA NA 66.51
1980014 1980 01 14 6.91 -3.18 -7.26 1.52 1.97 NA NA 67.84
1980015 1980 01 15 16.86 -5.22 -11.99 0.31 2.11 NA NA 70.03
1980016 1980 01 16 19.69 -0.82 -16.68 1.6 1.39 NA NA 15.92
1980017 1980 01 17 15.33 2.54 -8.28 1.36 2.13 NA NA 76.42
1980018 1980 01 18 11.09 1.97 -9.53 2.1 2.1 NA NA 52.43
1980019 1980 01 19 9.04 2.43 -5.81 1.8 2.28 NA NA 70.99
1980020 1980 01 20 19.84 0.88 -3.17 0.13 2.08 NA NA 66.51
1980021 1980 01 21 10 1.11 0.68 0.86 1.06 NA NA 91.16
1980022 1980 01 22 14.2 0.59 -3.66 1.38 0.89 NA NA 84.59
1980023 1980 01 23 24.96 0.51 -2.83 3.18 1.74 NA NA 78.86
1980024 1980 01 24 11.05 -0.64 -2.48 4.9 0.83 NA NA 82.05
1980025 1980 01 25 17.79 -3.92 -11.99 0.84 0.74 NA NA 60.53
1980026 1980 01 26 10.81 1.38 -3.82 6.46 1.83 NA NA 81.96
1980027 1980 01 27 26 0.6 -10.96 1.14 0.62 NA NA 74.34
1980028 1980 01 28 18.25 -1.81 -5.93 1.18 1.26 NA NA 82.9
1980029 1980 01 29 26.62 -5.4 -21.99 0 2.02 NA NA 13.51
1980030 1980 01 30 28.02 -23.98 -28.2 0 1.16 NA NA 75.85
1980031 1980 01 31 28.83 -18.2 -27.29 0 1.16 NA NA 60.02
1980032 1980 02 01 30.94 -10.2 -12.42 0 1.61 NA NA 80.97
1980033 1980 02 02 40.89 -11.52 -19.96 0 1.27 NA NA 80.75
1980034 1980 02 03 28.96 -18.56 -21.01 0 1.08 NA NA 68.8
1980035 1980 02 04 32.33 -16.67 -21.21 0.39 0.58 NA NA 81.22
1980036 1980 02 05 27.02 -10.43 -20.93 0 0.42 NA NA 48.58
1980037 1980 02 06 41.25 -7.61 -12.94 0 1.83 NA NA 77.47
1980038 1980 02 07 31.69 -6.14 -14.82 1.7 1.3 NA NA 75.73
1980039 1980 02 08 35.67 -10.17 -14.3 0 1.3 NA NA 83.85
1980040 1980 02 09 35.61 -2.63 -16.07 0 1.44 NA NA 43.8
1980041 1980 02 10 46.5 -7.58 -14.96 0 1.62 NA NA 69.06
1980042 1980 02 11 43.96 -9.88 -12.19 0.35 1.72 NA NA 77.94
1980043 1980 02 12 44.72 -4.12 -14.63 1.06 1.85 NA NA 68.42
1980044 1980 02 13 53.52 -12.95 -16.31 0 0.76 NA NA 83.95
1980045 1980 02 14 55.66 -4.63 -16.44 1.79 2.1 NA NA 65.78
1980046 1980 02 15 29.59 -2.71 -9.81 2.76 1.32 NA NA 75.56
1980047 1980 02 16 54.22 -0.86 -14.23 5.19 1.81 NA NA 54.39
1980048 1980 02 17 44.61 -1.06 -9.05 1.36 2.5 NA NA 59.23
1980049 1980 02 18 59.97 -2.15 -10.29 2.09 1.51 NA NA 51.91
1980050 1980 02 19 46.26 1.59 -4.18 3.08 1.67 NA NA 81.27
