*WEATHER DATA - Station:Tel-Hadya-Aleppo  - BADJAM DATA - BADJer: PIK - Method: ISIMIP3 - Source model: ICHEC
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Tel-Hadya-Aleppo  36.01 36.56 29.27 18.04 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 117.17 14.88 2.65 0 0.43 NA NA 50.11
1980002 1980 01 02 72.96 14.22 2.34 0.84 0.34 NA NA 51.17
1980003 1980 01 03 115.8 14.5 2.36 0 1.38 NA NA 39.07
1980004 1980 01 04 130.78 11.66 3.53 0 2.42 NA NA 31.06
1980005 1980 01 05 138.47 11.6 2.87 0 2 NA NA 30.59
1980006 1980 01 06 136.73 12.55 2.81 0 2.22 NA NA 24.85
1980007 1980 01 07 136.27 10.56 2.69 0 1.59 NA NA 27.1
1980008 1980 01 08 121.44 12.07 1.31 0 0.65 NA NA 43
1980009 1980 01 09 106.96 12.53 2.09 0 0.84 NA NA 43.33
1980010 1980 01 10 104.14 13.41 1.83 0.58 0.74 NA NA 45.65
1980011 1980 01 11 92.56 13.35 1.21 0 0.16 NA NA 45.31
1980012 1980 01 12 123.74 12.49 2.03 0 1.4 NA NA 42.67
1980013 1980 01 13 66.36 13.37 2.81 2.65 1.49 NA NA 60.85
1980014 1980 01 14 121.07 12.3 3.58 0 1 NA NA 52.73
1980015 1980 01 15 62.52 14.57 3.41 13.6 3.19 NA NA 64.55
1980016 1980 01 16 67.24 12.21 4.1 4.35 3.23 NA NA 40.34
1980017 1980 01 17 144.45 6.89 3.69 0 3.57 NA NA 26.37
1980018 1980 01 18 94.52 10.85 3.69 0.41 1.99 NA NA 43.06
1980019 1980 01 19 95.35 11.07 2.29 0 0.88 NA NA 42.89
1980020 1980 01 20 95.17 12.52 1.59 0 0.52 NA NA 42.86
1980021 1980 01 21 89.71 13.53 1.84 0 1 NA NA 42.73
1980022 1980 01 22 91.66 13.14 2.9 0 2.18 NA NA 41.52
1980023 1980 01 23 114.45 12.98 2.83 0 2.41 NA NA 34.12
1980024 1980 01 24 91.71 12.98 2.95 0 2.92 NA NA 25.78
1980025 1980 01 25 154.83 14.08 2.25 0.73 1.71 NA NA 32.74
1980026 1980 01 26 94.48 13.62 1.84 0 0.56 NA NA 46.09
1980027 1980 01 27 63.07 14.22 3.59 2.33 1.71 NA NA 56.59
1980028 1980 01 28 68.35 14.59 5.39 0 0.75 NA NA 64
1980029 1980 01 29 117.32 16.25 3.73 0 1.43 NA NA 34.14
1980030 1980 01 30 95.7 17.32 4.04 0 1.27 NA NA 33.23
1980031 1980 01 31 98.63 16.33 3.52 0.9 1.26 NA NA 47.98
1980032 1980 02 01 47.6 13.22 6.47 12.7 2.7 NA NA 68.94
1980033 1980 02 02 166.82 11.07 1.75 0 0.61 NA NA 35.19
1980034 1980 02 03 150.04 13.18 1.78 2.31 1.54 NA NA 40.77
1980035 1980 02 04 143.79 12.37 3.22 2.09 2.72 NA NA 44.72
1980036 1980 02 05 59.8 8.37 1.71 13.73 0.99 NA NA 65.02
1980037 1980 02 06 132.51 12.79 0.03 0 0.84 NA NA 41.3
1980038 1980 02 07 111.43 14.64 2.14 0 0.91 NA NA 48.04
1980039 1980 02 08 122.02 14.15 1.77 0.18 0.42 NA NA 48.37
1980040 1980 02 09 150.01 14.8 2.41 0 1.08 NA NA 40.92
1980041 1980 02 10 142.18 15.65 2.18 0 0.95 NA NA 38.28
1980042 1980 02 11 139.96 16.29 3.02 0 0.74 NA NA 42.73
1980043 1980 02 12 142.86 17.91 3.61 0 0.82 NA NA 37.06
1980044 1980 02 13 162.82 17.22 4.91 0 1.6 NA NA 33.77
1980045 1980 02 14 157.3 17.88 4.72 0 2.25 NA NA 27.08
1980046 1980 02 15 198.7 18.79 5.39 0 2.04 NA NA 24.27
1980047 1980 02 16 185.3 17.89 3.93 0 1.54 NA NA 26.2
1980048 1980 02 17 182.72 18.24 4.42 0 2.04 NA NA 22.65
1980049 1980 02 18 201.34 17.85 3.58 2.31 1.47 NA NA 32.95
1980050 1980 02 19 59.37 11.48 7.24 5.36 1.66 NA NA 76.07
1980051 1980 02 20 73.57 14.58 7.57 4.57 1.82 NA NA 47.51
1980052 1980 02 21 105.08 15.61 7.61 4.36 1.26 NA NA 62.75
1980053 1980 02 22 151.85 17.82 5.43 0 1.21 NA NA 46.64
1980054 1980 02 23 105.85 14.94 9.21 3.82 1.71 NA NA 69.16
