*WEATHER DATA - Station:Wageningen - BADJAM DATA - BADJer: PIK - Method: ISIMIP3 - Source model: IPSL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Wageningen 51.97 5.63 621.49 10.13 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 18.62 6.98 1.91 8.61 6.08 NA NA 80.07
1980002 1980 01 02 26.13 3.66 -2.57 9.09 3.63 NA NA 75.96
1980003 1980 01 03 34.81 -0.96 -4.01 0 4.47 NA NA 39.39
1980004 1980 01 04 17.7 2.54 -3.66 2.43 3.85 NA NA 70.61
1980005 1980 01 05 11.97 2.05 -0.18 0.47 2.4 NA NA 91.27
1980006 1980 01 06 36.32 0.46 -2.21 0 2.43 NA NA 83.25
1980007 1980 01 07 44.98 1.14 -5.51 1.52 2.17 NA NA 73.18
1980008 1980 01 08 41.11 0.03 -6.56 0 4.36 NA NA 69.63
1980009 1980 01 09 27.57 2.7 -2.24 0 4.56 NA NA 75.18
1980010 1980 01 10 14.84 7.06 2.81 0.58 4.16 NA NA 78.64
1980011 1980 01 11 31.96 5.53 1.35 0 2.91 NA NA 78.85
1980012 1980 01 12 35.87 6.57 1.05 2.52 2.82 NA NA 78.76
1980013 1980 01 13 12.89 10.65 6.67 1.28 3.49 NA NA 87.06
1980014 1980 01 14 16.03 7.7 4.45 0 3.34 NA NA 90.17
1980015 1980 01 15 12.21 9.21 2.48 2.88 3.76 NA NA 81.73
1980016 1980 01 16 12.6 9.76 6.03 4.77 4.63 NA NA 89.67
1980017 1980 01 17 29.93 8.8 3.1 0.99 4.91 NA NA 71.21
1980018 1980 01 18 40.19 7.07 3.3 0 6.57 NA NA 62.33
1980019 1980 01 19 30.6 6.45 2.88 0.39 1.76 NA NA 82.58
1980020 1980 01 20 55.8 4.58 -0.02 0.71 3.49 NA NA 75.65
1980021 1980 01 21 36.92 7.57 1.44 0 5.71 NA NA 68.17
1980022 1980 01 22 47.45 5.29 -0.34 0 2.13 NA NA 73.08
1980023 1980 01 23 19.3 7.92 -0.91 2.6 1.89 NA NA 68.78
1980024 1980 01 24 43.82 9.21 3.03 0 3.46 NA NA 78.78
1980025 1980 01 25 15.21 9.8 7.37 1.35 5.34 NA NA 89.98
1980026 1980 01 26 33.4 7.55 0.59 0.47 6.54 NA NA 45.99
1980027 1980 01 27 40.09 4.09 -0.59 0 6.17 NA NA 52.51
1980028 1980 01 28 21.55 8.05 -0.09 7.49 5.03 NA NA 63.3
1980029 1980 01 29 17.04 3.72 0.93 2.4 6.4 NA NA 81.58
1980030 1980 01 30 42.15 4.31 -2.31 0 3.28 NA NA 43.44
1980031 1980 01 31 49.35 2.93 -3.06 0 2.08 NA NA 68.67
1980032 1980 02 01 28.77 9.44 3.8 2.4 4.77 NA NA 81.09
1980033 1980 02 02 56.55 7.7 -1.61 0 0.67 NA NA 67.45
1980034 1980 02 03 61.87 4.57 -2.62 0 0.83 NA NA 64.18
1980035 1980 02 04 86.21 4.42 -1.89 0 1.9 NA NA 54.6
1980036 1980 02 05 42.05 5.6 -1.47 0 2.4 NA NA 68.65
1980037 1980 02 06 40.64 9.4 4.01 0 2.19 NA NA 80.57
1980038 1980 02 07 34.65 9.55 5.39 0 1.81 NA NA 82.88
1980039 1980 02 08 50.99 11.02 1.7 0 1.1 NA NA 71.12
1980040 1980 02 09 72.34 9.45 -0.6 0 0.6 NA NA 54.08
1980041 1980 02 10 58.69 7.72 -1.17 0 0.23 NA NA 54.43
1980042 1980 02 11 95.01 7.19 -1.61 0 1.19 NA NA 52.69
1980043 1980 02 12 60.85 7.62 -0.41 0 3.78 NA NA 64.53
1980044 1980 02 13 21.79 10.25 6.81 15.39 8.13 NA NA 85.74
1980045 1980 02 14 65.31 8.57 1.83 1.36 8.02 NA NA 43.33
1980046 1980 02 15 24.4 2.62 1.2 1.38 7.57 NA NA 64.56
1980047 1980 02 16 71.51 2.42 0.02 1.25 6.57 NA NA 57.81
1980048 1980 02 17 62.71 6.21 -1.23 0.3 3.86 NA NA 54.98
1980049 1980 02 18 42.53 9.16 5.34 5.62 7.47 NA NA 75.66
1980050 1980 02 19 65.75 6.45 1.22 0.93 7.78 NA NA 50.28
1980051 1980 02 20 38.5 3.93 0.42 0.54 6.16 NA NA 64.32
1980052 1980 02 21 91.41 3.19 -2.19 0 3.82 NA NA 49.74
1980053 1980 02 22 109.45 3.97 -3.13 0 1.28 NA NA 50.33
1980054 1980 02 23 87.14 4.36 -2.61 0 2.21 NA NA 36.31
1980055 1980 02 24 100.54 1.88 -2.33 0 4.73 NA NA 37.97
1980056 1980 02 25 69.99 2.58 -0.21 0 4.96 NA NA 54.71
1980057 1980 02 26 90.43 3.36 -1.07 0 3.68 NA NA 36.83
1980058 1980 02 27 96.96 2.86 -1.04 0 2.84 NA NA 62.51
1980059 1980 02 28 79.53 2.99 -1.78 0 1.62 NA NA 77.96
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 68.32 6.41 0.89 0.73 2.57 NA NA 67.53
1980062 1980 03 02 61.31 8.35 2.53 4.63 2.74 NA NA 69.05
1980063 1980 03 03 34.5 10.1 4.66 4.3 1.11 NA NA 85.81
1980064 1980 03 04 63.36 10.3 5.53 0 3.25 NA NA 74.85
1980065 1980 03 05 92.21 16.09 9.27 0 4.22 NA NA 53.25
1980066 1980 03 06 78.35 16.85 10.52 0 5.47 NA NA 54.02
1980067 1980 03 07 48.31 11.58 6.41 4.25 6.24 NA NA 62.97
1980068 1980 03 08 69.97 12.56 4.3 1.44 3.64 NA NA 69.39
1980069 1980 03 09 78.26 9.4 3.65 0.55 4.05 NA NA 65.12
1980070 1980 03 10 39.91 10.31 4.05 1.99 2.62 NA NA 74.46
1980071 1980 03 11 117.13 14.22 6.94 1.42 4.63 NA NA 57.75
1980072 1980 03 12 36.97 16.18 9.66 1.34 2.7 NA NA 82.76
1980073 1980 03 13 155.49 8.76 5.98 0 2.21 NA NA 42.94
1980074 1980 03 14 67.65 19.84 5.39 6.28 3.43 NA NA 69.38
1980075 1980 03 15 153.98 11.82 3.46 0.69 4.24 NA NA 43.54
1980076 1980 03 16 46.46 19.68 9.33 5.72 4.65 NA NA 67.31
1980077 1980 03 17 155.07 12.31 5.39 0 2 NA NA 49.99
