*WEATHER DATA - Station:Rothamsted - BADJAM DATA - BADJer: PIK - Method: ISIMIP3 - Source model: IPSL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Rothamsted 51.82 -0.37 300.92 9.88 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 16.55 7.6 0.24 2.31 5 NA NA 77.51
1980002 1980 01 02 36.5 1.13 -2.27 2.94 3.31 NA NA 63.41
1980003 1980 01 03 38.07 -0.44 -4.74 0 3.21 NA NA 69.5
1980004 1980 01 04 20.73 2.59 -2.21 3.89 2.41 NA NA 88.24
1980005 1980 01 05 28.34 2.4 -4.76 0 2.51 NA NA 84.73
1980006 1980 01 06 45.77 0.62 -6.7 0 2.93 NA NA 82.51
1980007 1980 01 07 38.67 -0.62 -3.94 0 4.33 NA NA 84.72
1980008 1980 01 08 38.34 2.1 -5.67 0 2.35 NA NA 71.04
1980009 1980 01 09 13.58 7.17 1.02 11.33 6.97 NA NA 85.4
1980010 1980 01 10 31.24 8.1 4.55 0.12 6.03 NA NA 83.91
1980011 1980 01 11 40.41 6.9 0.6 0 2.56 NA NA 83.97
1980012 1980 01 12 12.56 10.83 0.18 7.85 3.36 NA NA 63.53
1980013 1980 01 13 26.91 10.42 6.14 2.45 3.5 NA NA 86.15
1980014 1980 01 14 25.99 8.62 4.9 0 3.71 NA NA 84.57
1980015 1980 01 15 15.38 10.55 6.45 2.85 4.38 NA NA 87.77
1980016 1980 01 16 19.83 10.19 5.39 0 3.66 NA NA 85.22
1980017 1980 01 17 19.62 7.58 4.09 9.13 6.17 NA NA 78.87
1980018 1980 01 18 32.8 8.14 1.7 0 5.27 NA NA 60.35
1980019 1980 01 19 43.61 5.29 -0.94 0 1.07 NA NA 84.69
1980020 1980 01 20 29.82 8.3 0.42 1.84 4.02 NA NA 68.89
1980021 1980 01 21 17.95 8.46 5.4 1.36 4 NA NA 87.37
1980022 1980 01 22 16.86 9.79 3.7 4.6 0.84 NA NA 86.07
1980023 1980 01 23 16.87 11.7 8.18 0.6 3.59 NA NA 85.57
1980024 1980 01 24 37.72 9.93 4.57 0 3.28 NA NA 80.24
1980025 1980 01 25 16.78 10.81 5.92 0 4.74 NA NA 86.7
1980026 1980 01 26 37.7 6.45 1.34 0 6.58 NA NA 43.65
1980027 1980 01 27 46.82 8.35 0.98 3.41 4.15 NA NA 56.95
1980028 1980 01 28 32.13 9.46 3.62 0 6.01 NA NA 78.32
1980029 1980 01 29 41.27 6.53 3.5 0 5.87 NA NA 72.46
1980030 1980 01 30 48.87 6.24 0.99 0 1.33 NA NA 77.8
1980031 1980 01 31 30.66 8.92 1.15 0 2.8 NA NA 80.99
1980032 1980 02 01 24.56 11 2.63 1.12 4.35 NA NA 83.64
1980033 1980 02 02 58.84 8.27 0.07 0 1.04 NA NA 61.59
1980034 1980 02 03 55.4 6.6 -0.4 0 2.28 NA NA 67.99
1980035 1980 02 04 43.51 11.32 3.5 0 3.17 NA NA 72.38
1980036 1980 02 05 33.6 10.62 6.43 0.15 3.07 NA NA 83.79
1980037 1980 02 06 42.11 11.94 7.01 0 2.36 NA NA 80.61
1980038 1980 02 07 47.42 11.57 2.75 0 1.01 NA NA 68.37
1980039 1980 02 08 37.17 11.04 3.11 0 0.53 NA NA 68.08
1980040 1980 02 09 41.04 10.07 2.99 0 0.67 NA NA 74.43
1980041 1980 02 10 51.2 9.62 1.23 0 1.16 NA NA 61.57
1980042 1980 02 11 59.92 9.27 0.38 0 1.88 NA NA 53.77
1980043 1980 02 12 47.89 10.95 1.18 2.62 4.99 NA NA 65.11
1980044 1980 02 13 26.29 12.03 8.62 1.24 8.22 NA NA 80.18
1980045 1980 02 14 50.98 9.71 1.5 0 7.86 NA NA 37.52
1980046 1980 02 15 72.01 5.26 0.89 0 6.27 NA NA 39.26
1980047 1980 02 16 89.42 3.65 -0.18 0 3.66 NA NA 33.73
1980048 1980 02 17 50.48 10.71 0.11 0.65 3.61 NA NA 62.87
1980049 1980 02 18 37.69 10.48 2.4 2.33 7.22 NA NA 73.04
1980050 1980 02 19 64.29 6.66 1.39 0 7.44 NA NA 46.54
1980051 1980 02 20 71.47 4.8 0.18 0 4.05 NA NA 51.47
1980052 1980 02 21 78.36 5.07 -0.59 12.62 3.38 NA NA 71.48
1980053 1980 02 22 70.05 3.97 -0.43 0 5.37 NA NA 53.57
1980054 1980 02 23 87.11 3.44 -0.12 0 5.06 NA NA 55.04
1980055 1980 02 24 86.04 2.52 -1.16 0 4.32 NA NA 52.83
1980056 1980 02 25 92.72 2.65 -1.81 0 2.82 NA NA 42.06
1980057 1980 02 26 89.59 3.3 -1.87 0 2.39 NA NA 59.81
1980058 1980 02 27 71.37 4.54 -0.83 0 1.97 NA NA 75.64
1980059 1980 02 28 60.27 6.48 -0.84 1.4 1.53 NA NA 82.9
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 60.29 8.77 3.28 0.6 2.12 NA NA 80.82
1980062 1980 03 02 99.88 4.19 1.13 0 0.99 NA NA 64.89
1980063 1980 03 03 56.4 7.5 0.78 0 0.91 NA NA 75.99
1980064 1980 03 04 45.65 13.79 6.45 0.96 4.86 NA NA 80.29
1980065 1980 03 05 49.38 12.65 7.47 2.08 5.08 NA NA 69.5
1980066 1980 03 06 33.25 13.87 9.08 14.15 6.28 NA NA 80.5
1980067 1980 03 07 55.69 6.67 4.66 3.41 3.84 NA NA 79.62
1980068 1980 03 08 101.67 10.46 3.64 0 3.24 NA NA 53.75
1980069 1980 03 09 94.43 11.1 3.33 0 3.74 NA NA 53.5
1980070 1980 03 10 69.28 12.92 4.88 2.59 3.2 NA NA 62.03
1980071 1980 03 11 104.54 12.12 3.68 3.69 4.54 NA NA 57.37
1980072 1980 03 12 78.82 20.49 9.27 2.69 3.41 NA NA 80.46
1980073 1980 03 13 131.43 13.64 9.1 0 3.77 NA NA 61.21
1980074 1980 03 14 90.62 12.55 4.96 0 5.03 NA NA 56.12
1980075 1980 03 15 53.93 10.96 3.58 3.93 4.78 NA NA 61.01
1980076 1980 03 16 52.91 13.92 5.08 6.45 2.42 NA NA 69.63
1980077 1980 03 17 117.81 11.85 4.54 0 4.45 NA NA 39.1
1980078 1980 03 18 118.61 8.86 1.96 0 3.07 NA NA 45.12
1980079 1980 03 19 56.59 12.68 2.58 1.57 4.3 NA NA 66.3
1980080 1980 03 20 65.68 20.89 10.64 1.36 5.46 NA NA 80.51
1980081 1980 03 21 91.34 9.47 6.64 0 4.91 NA NA 59.17
1980082 1980 03 22 71.98 10.71 5.59 0.72 4.4 NA NA 64.95
1980083 1980 03 23 104.41 9.24 3.95 0 3.42 NA NA 45.07
1980084 1980 03 24 70.75 8.73 2.01 0.72 2.12 NA NA 66.92
1980085 1980 03 25 100.75 8.25 0.49 0 1.14 NA NA 50.47
1980086 1980 03 26 166.8 13.2 1.31 0 0.82 NA NA 38.78
1980087 1980 03 27 61.97 15.81 2.86 0 2.07 NA NA 48.55
1980088 1980 03 28 195.78 10.17 0.74 0 3.39 NA NA 38.83
1980089 1980 03 29 129.23 13.34 2.44 0 4.08 NA NA 60.39
1980090 1980 03 30 92.8 14.83 4.43 0.69 3.71 NA NA 72.3
1980091 1980 03 31 138.48 14.4 6.9 0 2.93 NA NA 62.16
1980092 1980 04 01 127.03 11.78 4.27 1.2 3.42 NA NA 55.76
1980093 1980 04 02 131.81 10.81 1.75 1.4 1.1 NA NA 50.47
1980094 1980 04 03 117.3 12.76 1.65 4.93 2.88 NA NA 55.61
1980095 1980 04 04 174.24 10.09 0 0 3.48 NA NA 38.18
1980096 1980 04 05 146.66 8.93 0.85 0.18 2.64 NA NA 45.72
1980097 1980 04 06 96.06 11.47 2.03 5.87 3.47 NA NA 59.75
1980098 1980 04 07 57.03 17.81 6.68 10.9 3.58 NA NA 81.13
1980099 1980 04 08 182.89 8.94 5.48 3.73 2.06 NA NA 50.52
1980100 1980 04 09 169.82 10.62 2.31 0 1.08 NA NA 42.58
1980101 1980 04 10 162.11 13.57 1.33 0 1.15 NA NA 43.27
1980102 1980 04 11 168.44 14.56 1.29 0 1.5 NA NA 44.95
1980103 1980 04 12 216.03 16.94 4.35 0 3.3 NA NA 44.68
1980104 1980 04 13 92.55 17.44 6.06 3 3.91 NA NA 77.7
1980105 1980 04 14 82.25 12.79 8.4 17.83 3.55 NA NA 81.66
1980106 1980 04 15 101.82 10.59 8.3 0 2.09 NA NA 68.75
1980107 1980 04 16 132.68 14.7 7.2 0 1.39 NA NA 53.27
1980108 1980 04 17 144.59 16.38 7.58 0 2.35 NA NA 63.92
1980109 1980 04 18 109.46 17.98 9.67 4.11 2.85 NA NA 62.59
1980110 1980 04 19 127.26 17.41 8.1 0 2.27 NA NA 57.15
1980111 1980 04 20 180.11 10.22 3.47 0 1.01 NA NA 43.23
1980112 1980 04 21 151.64 15.28 3 1.04 0.52 NA NA 48.94
1980113 1980 04 22 234.38 16.28 3.98 0.85 4.9 NA NA 47.38
1980114 1980 04 23 169.11 13.31 3.98 0 4.22 NA NA 33.39
1980115 1980 04 24 158.37 9.32 1.71 0 2.61 NA NA 43.18
1980116 1980 04 25 132.22 11.57 2.83 1.36 2.84 NA NA 60.47
1980117 1980 04 26 166.71 8.5 1.29 1.57 2.35 NA NA 49.38
1980118 1980 04 27 104.09 15.67 5.56 4.04 3.37 NA NA 81.48
1980119 1980 04 28 164.06 6.9 3.33 0 2.27 NA NA 51.4
1980120 1980 04 29 105.28 14.32 5.13 1.44 2.5 NA NA 65.55
1980121 1980 04 30 155.8 17.69 8.25 0 2.24 NA NA 56.05
1980122 1980 05 01 132.33 14.77 8.08 0 1.27 NA NA 48.38
1980123 1980 05 02 267.21 18.82 7.26 0 2.04 NA NA 37.14
1980124 1980 05 03 278.44 24.12 9.06 0 1.95 NA NA 36.61
1980125 1980 05 04 259.52 24.3 9.78 0 2.5 NA NA 39.88
1980126 1980 05 05 240.63 19.68 6.57 0 3.46 NA NA 39.44
1980127 1980 05 06 197.32 18.2 6 0 3.07 NA NA 42.43
1980128 1980 05 07 253.8 12.05 3.29 0 1.73 NA NA 35.46
1980129 1980 05 08 164.34 14.31 3.01 0.89 1.45 NA NA 45.97
1980130 1980 05 09 235.77 17.47 5.53 0 0.87 NA NA 41.6
1980131 1980 05 10 171.95 22.16 10.04 2.81 2.44 NA NA 67.35
1980132 1980 05 11 47.76 15.16 10.36 9.2 2.67 NA NA 81.91
1980133 1980 05 12 137.9 10.76 8.29 17.4 2.49 NA NA 85.07
1980134 1980 05 13 175.3 8.6 4.26 0 4.28 NA NA 54.61
1980135 1980 05 14 227.66 8.6 1.72 0 4.01 NA NA 35.53
1980136 1980 05 15 249.1 11.93 1.94 0 2.97 NA NA 34.84
1980137 1980 05 16 211.93 15.69 3.58 1.96 1.72 NA NA 42.84
1980138 1980 05 17 148.07 14.99 3.39 1.96 1.51 NA NA 57.49
1980139 1980 05 18 184.09 14.9 4.7 2.74 2.88 NA NA 61.71
1980140 1980 05 19 225.69 17.16 7.96 0 2.88 NA NA 43.39
