*WEATHER DATA - Station:Alexandria - BADJAM DATA - BADJer: PIK - Method: ISIMIP3 - Source model: IPSL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Alexandria 43.98 25.35 16.22 10.92 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 79.24 0.34 -5.59 0 2.25 NA NA 55.09
1980002 1980 01 02 69.12 8.71 -2.38 0 3.94 NA NA 48.47
1980003 1980 01 03 59.35 10.42 3.56 0 3.42 NA NA 49.24
1980004 1980 01 04 51.63 7.92 -3.46 0 3.85 NA NA 59.21
1980005 1980 01 05 87.91 4.64 -5.78 0 1.76 NA NA 60.16
1980006 1980 01 06 53.2 10.41 0.89 11.23 3.16 NA NA 67.21
1980007 1980 01 07 56.9 5.55 -0.78 0.21 3.43 NA NA 73.6
1980008 1980 01 08 83.56 3.66 -4.49 0 2.47 NA NA 73.76
1980009 1980 01 09 74.09 -0.84 -5.51 0 3.06 NA NA 65.21
1980010 1980 01 10 71.8 -2.36 -6.98 0 2.34 NA NA 67.09
1980011 1980 01 11 94.93 -1.07 -7.61 0 0.94 NA NA 64.26
1980012 1980 01 12 65.61 3.05 -4.43 0.32 2.78 NA NA 73.38
1980013 1980 01 13 70.48 0.33 -5.56 0 2.72 NA NA 67.78
1980014 1980 01 14 73.14 -2.08 -6.79 0 1.02 NA NA 76.68
1980015 1980 01 15 93.82 0.49 -6.81 0.73 0.52 NA NA 75.56
1980016 1980 01 16 55.92 1.9 -5.01 3.46 1.65 NA NA 77.07
1980017 1980 01 17 94.33 1.5 -5.8 0 1.43 NA NA 75.53
1980018 1980 01 18 66.13 6.49 -4.24 0 2.05 NA NA 64.75
1980019 1980 01 19 73.82 5.75 -2.54 0 2.27 NA NA 73.63
1980020 1980 01 20 82.6 10.92 -2.64 0 3.44 NA NA 47.71
1980021 1980 01 21 70.23 5.32 -0.31 0 4.35 NA NA 54.93
1980022 1980 01 22 64.51 4.88 -1.6 0.39 3.9 NA NA 64.66
1980023 1980 01 23 84.84 2.23 -4.88 0 2.44 NA NA 64.31
1980024 1980 01 24 74.93 0.48 -5.9 0 1.91 NA NA 59.04
1980025 1980 01 25 74.5 -0.3 -6.68 0 2.97 NA NA 68.83
1980026 1980 01 26 76.6 5.42 -3.15 0 3.29 NA NA 67.11
1980027 1980 01 27 44.83 2.34 -4.79 1.69 3.09 NA NA 76.43
1980028 1980 01 28 90.27 -1.88 -6.49 0 2.75 NA NA 48.45
1980029 1980 01 29 70.25 -3.01 -7.7 0 1.72 NA NA 73.85
1980030 1980 01 30 115.39 -0.54 -6.71 0 0.73 NA NA 69.79
1980031 1980 01 31 118.06 -1.65 -7.28 0 0.84 NA NA 65.75
