*WEATHER DATA - Station:Schleswig - BADJAM DATA - BADJer: PIK - Method: ISIMIP3 - Source model: MPICCLM
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Schleswig 54.53 9.55 17.85 8.77 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 31.84 0.98 -0.99 4.39 5.13 NA NA 78.72
1980002 1980 01 02 13.21 3.28 0.02 3.52 4.43 NA NA 81.45
1980003 1980 01 03 30.1 3.35 0.83 0 3.93 NA NA 78.73
1980004 1980 01 04 16.83 6.7 -0.2 4.69 3.67 NA NA 79.23
1980005 1980 01 05 16.53 10.33 7.57 0 5.54 NA NA 87.29
1980006 1980 01 06 24.18 9.8 7.34 5.3 5.55 NA NA 88.59
1980007 1980 01 07 10.84 9.66 7.23 12.28 2.04 NA NA 89.46
1980008 1980 01 08 11.11 11.21 8.24 14.44 3.28 NA NA 87.02
1980009 1980 01 09 18.03 9.7 5.3 0.51 5.54 NA NA 87.72
1980010 1980 01 10 30.27 5.46 2.04 0 3.13 NA NA 83.48
1980011 1980 01 11 15.23 5.67 1.76 4.46 3.51 NA NA 81.95
1980012 1980 01 12 22.21 6.77 0.95 1.2 5.57 NA NA 82.91
1980013 1980 01 13 36.15 1.9 -0.59 0 2.31 NA NA 75.38
1980014 1980 01 14 34.09 0.14 -2.84 0 3.47 NA NA 70.87
1980015 1980 01 15 29.96 0.62 -2.85 0 1.53 NA NA 71.2
1980016 1980 01 16 14.02 0.97 -1.77 5.97 1.84 NA NA 76.05
1980017 1980 01 17 17.57 1.13 -1.42 17.28 2.65 NA NA 78.93
1980018 1980 01 18 29.39 -0.88 -4.2 0.37 1.63 NA NA 70.5
1980019 1980 01 19 30.95 -3.06 -6.8 0.35 2.54 NA NA 68.12
1980020 1980 01 20 49.21 -4.88 -9.68 3.28 2.92 NA NA 58
1980021 1980 01 21 27.73 -3.11 -6.08 4.78 6.45 NA NA 67.99
1980022 1980 01 22 28.08 1.51 -5.08 3.56 3.54 NA NA 74.44
1980023 1980 01 23 31.94 0.72 -5.46 5.24 5.73 NA NA 73.27
1980024 1980 01 24 41.31 -0.7 -5.97 2.84 5.55 NA NA 69
1980025 1980 01 25 33.72 0.28 -3.99 12.87 3.38 NA NA 74.56
1980026 1980 01 26 30.84 -0.44 -4.72 4.88 1.98 NA NA 73.27
1980027 1980 01 27 33.56 -1.8 -5.3 4.18 7.26 NA NA 69.67
1980028 1980 01 28 32.51 -1.54 -6.41 13.4 8.53 NA NA 69.16
1980029 1980 01 29 52.75 -5.42 -9.08 1.49 4.81 NA NA 63.91
1980030 1980 01 30 55.19 -2.74 -6.99 1.26 4.25 NA NA 65.63
1980031 1980 01 31 28.71 1.57 -2.35 9.72 6 NA NA 80.16
1980032 1980 02 01 37.85 1.49 -1.86 0 2.41 NA NA 63.96
1980033 1980 02 02 28.13 1.52 -0.68 2.63 4.24 NA NA 66.39
1980034 1980 02 03 26.96 2.13 -0.34 0.68 0.76 NA NA 69.9
1980035 1980 02 04 37.03 0.97 -1.85 0 1.86 NA NA 63
1980036 1980 02 05 39.43 0.56 -2.41 0.39 2.61 NA NA 62.64
1980037 1980 02 06 57.1 1.22 -2.43 1.27 3.78 NA NA 62.74
1980038 1980 02 07 40.06 1.9 0.7 3.11 4.15 NA NA 72.1
1980039 1980 02 08 74.73 1.79 0.19 1.69 3.36 NA NA 68.6
1980040 1980 02 09 39.72 3.73 0.44 2.36 4.58 NA NA 69.91
1980041 1980 02 10 75.62 3.39 -0.17 1.1 4.29 NA NA 67.2
1980042 1980 02 11 33.88 5.04 0.25 2.01 5.25 NA NA 73.29
1980043 1980 02 12 32.09 5.26 3.02 7.84 3.79 NA NA 80.68
1980044 1980 02 13 29.35 5.64 1.81 1.16 4.29 NA NA 76.27
