*WEATHER DATA - Station:Alexandria - BADJAM DATA - BADJer: PIK - Method: ISIMIP3 - Source model: MPICCLM
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Alexandria 43.98 25.35 16.22 11.29 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 63.83 8.66 -0.47 0 1 NA NA 72.23
1980002 1980 01 02 80.97 6.77 -3.12 0 2.09 NA NA 74.37
1980003 1980 01 03 48.94 3.48 -2.07 0 2.38 NA NA 70.26
1980004 1980 01 04 32.68 2.87 -5.59 2.09 2.65 NA NA 65.39
1980005 1980 01 05 86.09 -0.31 -6.24 0 1.83 NA NA 53.87
1980006 1980 01 06 79.49 -0.36 -6.99 0 1.92 NA NA 51.6
1980007 1980 01 07 89.25 -1.61 -9.12 0 2.83 NA NA 52.26
1980008 1980 01 08 43 0.8 -5.66 0 1.71 NA NA 64.37
1980009 1980 01 09 53.15 -3.3 -7.54 0 4.29 NA NA 43.69
1980010 1980 01 10 44.06 -2.06 -7.64 2.48 4.44 NA NA 53.86
1980011 1980 01 11 40.83 -3.65 -6.3 8.03 5.63 NA NA 55.01
1980012 1980 01 12 22.48 -4.33 -6.57 4.67 4.17 NA NA 55.36
1980013 1980 01 13 54.93 -1.68 -6.97 0.6 1.62 NA NA 60.94
1980014 1980 01 14 98.24 -3.74 -8.35 0 2.84 NA NA 52.43
1980015 1980 01 15 101.22 -5.74 -9.35 0 3.24 NA NA 48.27
1980016 1980 01 16 57.98 -0.07 -10.94 0 2.08 NA NA 52.49
1980017 1980 01 17 68.88 -2.36 -7.79 1.49 2.23 NA NA 57.01
1980018 1980 01 18 70.29 -3.3 -12.69 1.55 3.83 NA NA 42.87
1980019 1980 01 19 61.24 -5.31 -12.82 8.14 3.53 NA NA 43.29
1980020 1980 01 20 105.77 -8.4 -16.71 0 4 NA NA 33.43
1980021 1980 01 21 108.89 -10.03 -18.01 0 2.65 NA NA 26.22
1980022 1980 01 22 77.09 -4.75 -15.55 0 3.78 NA NA 43.8
1980023 1980 01 23 112.65 -6.57 -12.89 0 0.98 NA NA 41.86
1980024 1980 01 24 70.44 -2.12 -13.23 1.16 3.86 NA NA 43.37
1980025 1980 01 25 51.14 -1.41 -5.3 16.17 5.66 NA NA 62.44
1980026 1980 01 26 69.77 -2.16 -8.21 0.46 3.18 NA NA 60
1980027 1980 01 27 115.34 -4.17 -12.06 0 1.94 NA NA 48.17
1980028 1980 01 28 104.02 -3.1 -13.69 1.22 4.02 NA NA 42.38
1980029 1980 01 29 45.39 -0.94 -6.82 7.78 4.23 NA NA 67.18
1980030 1980 01 30 52.82 -2.16 -2.39 6.62 4.04 NA NA 70.35
1980031 1980 01 31 64.43 -1.35 -2.4 0 3.47 NA NA 69.89
1980032 1980 02 01 116.42 0.24 -4.77 0 0.74 NA NA 55.55
1980033 1980 02 02 122.79 -0.24 -5.24 0 0.56 NA NA 44.76
1980034 1980 02 03 123.77 0.58 -4.83 0 0.26 NA NA 42.83
1980035 1980 02 04 128.14 -0.04 -5.8 0 0.7 NA NA 44.75
1980036 1980 02 05 59.61 1.6 -4.95 3.32 1.42 NA NA 54.27
1980037 1980 02 06 58.76 2.25 -0.22 1.41 0.93 NA NA 63.66
1980038 1980 02 07 88.48 7.35 -0.69 0 0.84 NA NA 66.35
1980039 1980 02 08 61.86 8.04 1.65 0 1.24 NA NA 71.45
1980040 1980 02 09 37.56 5.12 1.6 0.29 3.64 NA NA 71.83
1980041 1980 02 10 54.09 3.7 -3.16 0 4.49 NA NA 61.21
1980042 1980 02 11 107.37 7.85 -3.85 0 4.44 NA NA 51.68
1980043 1980 02 12 69.17 8.06 -1.07 0 1.6 NA NA 64
1980044 1980 02 13 80.85 8.65 -1.32 1.65 1.42 NA NA 68.68
1980045 1980 02 14 134.26 7.8 -3.5 0 3.74 NA NA 50.74
1980046 1980 02 15 121.05 8.38 -4.28 0 3.46 NA NA 48.07
1980047 1980 02 16 69.64 4.83 -2.96 1.08 2.61 NA NA 56.25
1980048 1980 02 17 33.05 8.49 -0.16 5.47 4.48 NA NA 67.04
1980049 1980 02 18 86.07 8.47 -1.45 0 4.62 NA NA 59.51
1980050 1980 02 19 91.79 8.27 -1.96 0 2.84 NA NA 62.2
1980051 1980 02 20 51.51 8.48 0.95 0 2.03 NA NA 73.68
1980052 1980 02 21 40.65 6.19 -2.59 2.28 3.98 NA NA 66.68
1980053 1980 02 22 87.99 6.39 -3.04 0 4.37 NA NA 51.3
1980054 1980 02 23 156.29 7.19 -3.77 0 3.34 NA NA 48.04
1980055 1980 02 24 159.23 8.12 -5.08 0 1.66 NA NA 47.17
1980056 1980 02 25 172.06 4.18 -4.71 0 3.38 NA NA 39.39
1980057 1980 02 26 178.09 4.47 -6.04 0 0.57 NA NA 31.55
1980058 1980 02 27 168.35 6 -6.7 0 0.72 NA NA 39.16
1980059 1980 02 28 178.54 7.18 -3.95 0 1.4 NA NA 45.2
1980060 1980 02 29 175.15 9.88 -3.95 0 2.03 NA NA 50.93
1980061 1980 03 01 164.29 12.36 -1.71 0 0.48 NA NA 36.88
1980062 1980 03 02 162.52 13.82 -0.31 0 0.78 NA NA 40.15
1980063 1980 03 03 106.66 15.83 2.12 0 2.04 NA NA 45.47
1980064 1980 03 04 90.37 16.09 3.56 1.52 3.61 NA NA 53.52
1980065 1980 03 05 110.96 12.42 3.72 0 1.96 NA NA 45.89
1980066 1980 03 06 133.08 14.39 1.17 0 1.03 NA NA 41.48
1980067 1980 03 07 160.95 16.74 2.16 0 3.54 NA NA 45.33
1980068 1980 03 08 42.91 8.13 4.65 12.5 5.5 NA NA 56.91
1980069 1980 03 09 56.15 6.54 -1.49 2.84 5.52 NA NA 44.84
1980070 1980 03 10 146.38 2.22 -4.21 0 4.87 NA NA 31.88
1980071 1980 03 11 132.41 1.98 -5.46 0 3.73 NA NA 28.41
1980072 1980 03 12 180.31 4.63 -6.98 0 2.71 NA NA 25.98
1980073 1980 03 13 212.31 5.6 -5.97 0 2.28 NA NA 28.69
1980074 1980 03 14 131.85 2.84 -5.64 0 2.94 NA NA 30.65
1980075 1980 03 15 178.03 6.03 -6.67 0 1.59 NA NA 31.41
1980076 1980 03 16 49.05 5.88 0.3 0 1.57 NA NA 45.74
1980077 1980 03 17 71.38 8.38 1.63 0 0.87 NA NA 44.1
1980078 1980 03 18 176.46 13.29 2.04 0 1.82 NA NA 43.53
1980079 1980 03 19 52.61 10.77 3.24 4.26 2.26 NA NA 56.74
1980080 1980 03 20 219.22 13.2 0.61 0 3.48 NA NA 44.52
1980081 1980 03 21 234.55 15.29 -0.79 0 1.58 NA NA 41.95
1980082 1980 03 22 197.39 18.34 1.2 0.78 1.88 NA NA 40.88
1980083 1980 03 23 105.16 10.36 -2.56 0 5.33 NA NA 40.07
1980084 1980 03 24 237.27 13.83 -3.4 0 2.94 NA NA 31.5
1980085 1980 03 25 226.78 17.82 1.11 0 1.79 NA NA 39.45
1980086 1980 03 26 208.05 21.04 4.93 0 1.44 NA NA 48.01
1980087 1980 03 27 128.24 19.63 5.21 0 1.7 NA NA 52.71
1980088 1980 03 28 156.99 19.2 6.41 1.2 1.55 NA NA 60.71
1980089 1980 03 29 248.44 17.84 4.06 0 1.57 NA NA 43.74
1980090 1980 03 30 209.1 17.62 4.94 0 2.53 NA NA 43.7
1980091 1980 03 31 230.76 17.71 3.22 0 1.98 NA NA 49.74
1980092 1980 04 01 171.33 20.75 7.44 0 4.54 NA NA 40.35
1980093 1980 04 02 204.08 21.38 7.75 0 0.52 NA NA 53.87
1980094 1980 04 03 215.41 19.4 7.39 0 2.73 NA NA 43.99
1980095 1980 04 04 188.92 18.69 5.89 0 2.1 NA NA 40.13
1980096 1980 04 05 174.9 16.29 5.84 0 1.59 NA NA 32.98
1980097 1980 04 06 246.93 16.82 2.62 0 1.5 NA NA 31.84
