*WEATHER DATA - Station:Orleans  - BADJAM DATA - BADJer: PIK - Method: ISIMIP3 - Source model: MPIREMO09
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Orleans  47.83 1.91 123.08 10.91 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 16.21 7.84 -0.88 8.6 5.12 NA NA 73.54
1980002 1980 01 02 32.08 7.91 -0.08 5.1 3.31 NA NA 77.55
1980003 1980 01 03 21.59 10.5 -1.05 9.69 2.47 NA NA 73.58
1980004 1980 01 04 30.13 10.72 7.65 0.19 3.61 NA NA 88.4
1980005 1980 01 05 40.18 10.94 5.16 0 1.87 NA NA 86.09
1980006 1980 01 06 56.93 10.95 3.09 0 1.4 NA NA 82.85
1980007 1980 01 07 37.84 11.43 5.36 0 2.9 NA NA 83.16
1980008 1980 01 08 40.28 11.2 5.26 0 4.13 NA NA 82.4
1980009 1980 01 09 18.55 11.41 6.66 0.17 5.16 NA NA 87.49
1980010 1980 01 10 42.29 11.22 5.77 0 2.52 NA NA 83.25
1980011 1980 01 11 30.31 9.24 4.68 3.09 3.11 NA NA 83.47
1980012 1980 01 12 30.89 10.72 6.68 0.23 3.77 NA NA 86.44
1980013 1980 01 13 18.8 8.61 5.7 0.53 2.53 NA NA 82.78
1980014 1980 01 14 27.73 8.75 1.51 0 2.37 NA NA 82.81
1980015 1980 01 15 46.42 3.3 -1.44 0 2 NA NA 57.34
1980016 1980 01 16 40.24 7.83 -0.55 0 3.21 NA NA 73.57
1980017 1980 01 17 34.01 8.34 3.5 0.32 4.39 NA NA 79.91
1980018 1980 01 18 32.83 6.9 -0.4 0.13 5.22 NA NA 70.9
1980019 1980 01 19 24.47 2.93 -0.88 0.77 0.79 NA NA 69.19
1980020 1980 01 20 55.35 2.77 -3.4 0 1.59 NA NA 60.04
1980021 1980 01 21 53.89 -1.63 -4.5 0 1.18 NA NA 52.93
1980022 1980 01 22 42.78 -1.84 -3.39 0 0.87 NA NA 55.73
1980023 1980 01 23 29.47 -2.1 -2.82 3.99 2.18 NA NA 60.49
