*WEATHER DATA - Station:Rothamsted - BADJAM DATA - BADJer: PIK - Method: ISIMIP3 - Source model: NOAAGFDL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Rothamsted 51.82 -0.37 300.92 9.54 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 23.41 5.83 1.55 0 3.33 NA NA 79.45
1980002 1980 01 02 40.43 3.48 0.43 0 2.4 NA NA 65.55
1980003 1980 01 03 26.03 1.58 -0.59 0 6.06 NA NA 49.12
1980004 1980 01 04 21.42 3.53 -1.47 0.35 4.02 NA NA 61.65
1980005 1980 01 05 36.24 1.7 -2.32 0 4.22 NA NA 60.73
1980006 1980 01 06 33.83 3.43 -3.78 5.88 4.22 NA NA 65.53
1980007 1980 01 07 14.53 3.26 1.65 8.06 2.15 NA NA 80.06
1980008 1980 01 08 47.43 2.87 -3.94 0.17 3.27 NA NA 65.24
1980009 1980 01 09 35.05 0.14 -4.33 0 2.65 NA NA 56.54
1980010 1980 01 10 34.34 -0.12 -4.31 0 3.32 NA NA 59.73
1980011 1980 01 11 32.46 0.91 -5.47 0 2.75 NA NA 59.52
1980012 1980 01 12 43.81 4.36 -1.59 1.06 4.32 NA NA 74.89
1980013 1980 01 13 52.95 2.27 0.03 1.14 6.56 NA NA 60.28
1980014 1980 01 14 32.29 4.15 -0.69 0 2.89 NA NA 77.25
1980015 1980 01 15 41.93 4.74 -0.03 0 4.15 NA NA 80.42
1980016 1980 01 16 18.53 4.14 1.5 2.94 3.98 NA NA 81.04
1980017 1980 01 17 18.08 6.46 1.41 2.34 3.27 NA NA 82.86
1980018 1980 01 18 36.69 7.83 2.36 0.65 4.37 NA NA 83.92
1980019 1980 01 19 36.8 10.96 4.11 0 4.58 NA NA 87.86
1980020 1980 01 20 26.4 7.72 1.69 0 2.83 NA NA 84.61
1980021 1980 01 21 18.61 13.4 6.59 8.08 4.33 NA NA 89.59
1980022 1980 01 22 43.35 12.96 2.67 1.35 6.55 NA NA 82.93
1980023 1980 01 23 18.83 12.07 2.91 3.08 5.66 NA NA 87.28
1980024 1980 01 24 42.84 11.83 7.5 0 5.32 NA NA 87.25
1980025 1980 01 25 20.71 14.49 8.62 0.71 4.85 NA NA 88.21
1980026 1980 01 26 20.34 13.34 6.52 4.15 6.32 NA NA 88.98
1980027 1980 01 27 43.69 7.41 0.53 0 6.27 NA NA 53.13
1980028 1980 01 28 25.36 6.17 0.38 1.8 5.35 NA NA 70.13
1980029 1980 01 29 38.08 7.09 1.39 0.68 1.75 NA NA 81.44
1980030 1980 01 30 33.66 9.72 5.69 0 3.91 NA NA 86.47
1980031 1980 01 31 32.8 9.99 6.37 0 3.15 NA NA 84.75
1980032 1980 02 01 29.91 8.52 3.01 0 3.66 NA NA 74.45
