*WEATHER DATA - Station:Martonvásár - BADJAM DATA - BADJer: PIK - Method: ISIMIP3 - Source model: multi
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Martonvásár 47.35 18.81 185.9 11.4 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 62.99 11.35 5.45 0 4.57 NA NA 52.93
1980002 1980 01 02 65.34 11.09 4.03 0 3.88 NA NA 59.37
1980003 1980 01 03 31.74 7.17 0.18 0 2.78 NA NA 87.77
1980004 1980 01 04 35.82 0.72 -6.18 0 0.88 NA NA 70.19
1980005 1980 01 05 49.42 10.74 0.95 0 3.77 NA NA 78.42
1980006 1980 01 06 61.72 6.68 -1.69 0 2.08 NA NA 72.27
1980007 1980 01 07 67.84 7.81 0.44 0 3.17 NA NA 59.77
1980008 1980 01 08 61.3 7.62 -0.85 0 3.3 NA NA 61.51
1980009 1980 01 09 62.96 5.62 -1.46 0 1.93 NA NA 72.2
1980010 1980 01 10 40.45 2.19 -3.02 0 1.14 NA NA 75.73
1980011 1980 01 11 42.47 3 -4.25 0 0.99 NA NA 69.47
1980012 1980 01 12 37.63 2.97 -3.88 0 3.28 NA NA 79.67
1980013 1980 01 13 49.4 5.6 -1 0 3.81 NA NA 70.71
1980014 1980 01 14 62.5 5.28 -2.69 0 4.37 NA NA 47.8
1980015 1980 01 15 63.86 0.18 -1.63 0 7.29 NA NA 48.54
1980016 1980 01 16 44.57 -1.18 -5.94 4.73 4.9 NA NA 68.12
1980017 1980 01 17 59.66 4.46 -2.41 0 4.11 NA NA 52.62
1980018 1980 01 18 59.15 6.06 -3.26 0 3.37 NA NA 53.69
1980019 1980 01 19 52.87 10.6 -0.65 0 2.8 NA NA 54.92
1980020 1980 01 20 77.99 9.33 -4.06 0 1.49 NA NA 58.5
1980021 1980 01 21 60.32 9.6 1.94 0 4.29 NA NA 60.26
1980022 1980 01 22 52.28 10.23 4.4 3.05 6.23 NA NA 62.53
1980023 1980 01 23 72.27 3.3 -6.72 0 3.63 NA NA 47.43
1980024 1980 01 24 36.95 -0.27 -4.03 0.53 1.95 NA NA 68.04
1980025 1980 01 25 75.23 -4.29 -13.15 9.2 2.94 NA NA 45.89
1980026 1980 01 26 28.47 3.86 -1.8 2.31 2.81 NA NA 70.64
1980027 1980 01 27 91.11 2.23 -4.52 0 2.4 NA NA 68.15
1980028 1980 01 28 78.2 3.7 -5.27 0 4.05 NA NA 32.24
1980029 1980 01 29 92.64 6.29 -1.59 0 3.33 NA NA 45.97
1980030 1980 01 30 93.57 4.8 -1.88 0 2.72 NA NA 47.64
1980031 1980 01 31 69.91 1.51 -5.11 0 3.2 NA NA 52.6
1980032 1980 02 01 56.2 4.86 -0.77 5.18 2.86 NA NA 71.99
1980033 1980 02 02 69.75 5.52 -0.04 0.7 2.33 NA NA 68.49
1980034 1980 02 03 97.32 2.14 -4.48 1.49 4.9 NA NA 57.24
1980035 1980 02 04 96.78 8.61 -2.56 0 3.99 NA NA 54.7
1980036 1980 02 05 82.15 13.7 6.2 0 5.47 NA NA 50.3
1980037 1980 02 06 88.25 12.25 7.87 0 5.74 NA NA 71.48
1980038 1980 02 07 74.03 9.06 2.87 5.08 3.68 NA NA 75.69
1980039 1980 02 08 101 6.02 -1.33 3.52 1.24 NA NA 60.66
1980040 1980 02 09 77.84 6.78 -5.93 1.9 3.08 NA NA 59.02
1980041 1980 02 10 90.16 17.2 9.04 0 6.93 NA NA 55.17
1980042 1980 02 11 107.84 16.54 7.77 0 3.85 NA NA 54.13
1980043 1980 02 12 85.8 13.44 5.16 0 2.72 NA NA 58
1980044 1980 02 13 75.47 8.35 3.48 9.39 1.92 NA NA 71.07
1980045 1980 02 14 114.98 8.89 -0.71 1.21 1.86 NA NA 65.46
1980046 1980 02 15 110.77 8.14 -2.39 0 2.7 NA NA 54.18
1980047 1980 02 16 127.58 16.34 5.41 0 3.51 NA NA 47.98
1980048 1980 02 17 112.37 14.75 3.59 0 4.12 NA NA 49.88
1980049 1980 02 18 102.09 12.46 3.36 0 2.95 NA NA 58.82
1980050 1980 02 19 119.27 12.37 -0.78 0 2.45 NA NA 51.85
1980051 1980 02 20 129.49 11.3 -1.66 0 1.9 NA NA 40.63
1980052 1980 02 21 133.48 10.25 -2.91 0 2.26 NA NA 52.6
1980053 1980 02 22 139.9 11.45 -1.95 0 1.7 NA NA 54.46
1980054 1980 02 23 101.28 9.85 -3.55 0 2.84 NA NA 57.36
1980055 1980 02 24 55.39 8.32 3.1 0.11 2.54 NA NA 71.23
1980056 1980 02 25 96.43 9.08 -1.54 0 5.4 NA NA 52.67
1980057 1980 02 26 149.59 3.31 -4 0 3.8 NA NA 39.12
1980058 1980 02 27 137.26 9.53 -4.06 0 2.92 NA NA 61.15
1980059 1980 02 28 134.17 14.95 2.56 0 4.23 NA NA 50.41
1980060 1980 02 29 163.84 23.55 10.42 0 4.18 NA NA 49.48
1980061 1980 03 01 116.56 22.5 9.01 0 3.47 NA NA 56.23
1980062 1980 03 02 83.16 16.48 4.48 0.54 4.65 NA NA 49.7
1980063 1980 03 03 144.22 7.48 0.34 0 3.35 NA NA 55.67
1980064 1980 03 04 132.24 19.16 3.2 0 3.96 NA NA 38.47
1980065 1980 03 05 173.32 18.46 6.85 0 4.83 NA NA 70.41
