*WEATHER DATA - Station:Sidi El Aydi - BADJAM DATA - BADJer: PIK - Method: ISIMIP3 - Source model: multi
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Sidi El Aydi 33.07 -7 238.07 17.09 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 138.31 16.97 4.1 0 1 NA NA 41.87
1980002 1980 01 02 136.79 14.51 4.11 0 1.86 NA NA 29.59
1980003 1980 01 03 146.49 15.93 2.24 0 2.42 NA NA 17.91
1980004 1980 01 04 130.16 17.1 4.05 0 2.31 NA NA 20.44
1980005 1980 01 05 151.92 18.19 3.35 0 2.64 NA NA 13.38
1980006 1980 01 06 144.73 18.59 5.83 0 3.02 NA NA 12.39
1980007 1980 01 07 143.47 18.24 4.7 0 2.66 NA NA 16.46
1980008 1980 01 08 136.53 18.66 6.03 0 2.02 NA NA 30.27
1980009 1980 01 09 157.61 20.49 5.82 0 3.34 NA NA 18.36
1980010 1980 01 10 125.09 19.32 6.11 0 3.31 NA NA 25.55
1980011 1980 01 11 146.65 21.04 6.1 0 0.92 NA NA 9.94
1980012 1980 01 12 148.66 21.34 4.77 0 1.97 NA NA 15.85
1980013 1980 01 13 146.25 19.98 4.18 0 2.04 NA NA 16.22
1980014 1980 01 14 160.68 18.92 3.69 0 1.44 NA NA 17.94
1980015 1980 01 15 152.76 18.34 3.16 0 0.76 NA NA 29.33
1980016 1980 01 16 147.65 18.98 3.35 0 1.02 NA NA 21.3
1980017 1980 01 17 137.72 18.35 4.27 0 1.8 NA NA 14.14
1980018 1980 01 18 149.4 17.97 3.81 0 1.73 NA NA 20.3
1980019 1980 01 19 162.88 16.61 2.3 0 1.87 NA NA 20.34
1980020 1980 01 20 154.19 17.31 4.09 0 1.27 NA NA 20.17
1980021 1980 01 21 167.08 16.15 2.19 0 2.37 NA NA 17.17
1980022 1980 01 22 153.58 13.31 3.24 28.73 0.86 NA NA 64.09
1980023 1980 01 23 171.54 15.2 2.06 0 2.08 NA NA 16.75
1980024 1980 01 24 99.14 15.42 0.99 0 2.22 NA NA 31.85
1980025 1980 01 25 145.56 16.17 2.23 0 1.19 NA NA 31.81
1980026 1980 01 26 147.87 13.8 3.58 0 0.84 NA NA 45.84
1980027 1980 01 27 144.2 17.27 7.4 0 0.64 NA NA 33.39
1980028 1980 01 28 176.79 21.39 6.45 0 0.92 NA NA 29.99
1980029 1980 01 29 179.97 19.37 5.01 0 1.65 NA NA 38.13
1980030 1980 01 30 168.09 21.02 5.85 0 2.23 NA NA 30.65
1980031 1980 01 31 152.59 18.59 5.43 0 1.47 NA NA 46.86
1980032 1980 02 01 149.06 20.86 4.63 0 1.14 NA NA 35.48
1980033 1980 02 02 162.19 20.05 6.15 0 1.88 NA NA 33.02
1980034 1980 02 03 166.03 21.82 5.18 0 1.05 NA NA 18.89
1980035 1980 02 04 119.38 21.65 8.1 0 1.91 NA NA 27.48
1980036 1980 02 05 168.5 21.72 6.69 0 2.28 NA NA 15.21
1980037 1980 02 06 192.27 22.11 5.99 0 2 NA NA 14.26
1980038 1980 02 07 132.43 19.6 5.69 0 5.09 NA NA 29.77
1980039 1980 02 08 171.98 22.05 9.49 0 3.19 NA NA 32.55
1980040 1980 02 09 204.08 21.64 6.4 0.11 2.84 NA NA 15.99
1980041 1980 02 10 138.11 18.95 8.6 1.11 2.91 NA NA 25.5
1980042 1980 02 11 109.24 15.66 7.08 0 2.05 NA NA 40.01
1980043 1980 02 12 87.78 15.83 4.79 0 1.23 NA NA 31.94
1980044 1980 02 13 184.39 15.41 3.52 2.18 0.97 NA NA 31.73
1980045 1980 02 14 188.82 20.38 2.89 0 2.55 NA NA 11.57
1980046 1980 02 15 204.78 22.74 5.68 0 1.07 NA NA 18.14
1980047 1980 02 16 207.51 21.97 5.3 0 1.32 NA NA 9.56
1980048 1980 02 17 208.31 23.98 5.53 0 1.25 NA NA 13.42
1980049 1980 02 18 192.74 25.9 8.74 0 1.45 NA NA 6.36
1980050 1980 02 19 186.31 23.88 8.99 0 0.86 NA NA 10.32
1980051 1980 02 20 222.17 24.64 7.99 0 2.76 NA NA 19.44
1980052 1980 02 21 193.37 21.3 8.87 5.93 2.06 NA NA 34.33
1980053 1980 02 22 133.2 20.78 10.67 2.72 0.76 NA NA 51.63
1980054 1980 02 23 147.32 16.56 8.81 6.21 1.84 NA NA 55.88
1980055 1980 02 24 217.96 21.34 8.71 0 1.64 NA NA 35.12
1980056 1980 02 25 224.1 24.87 8.79 0 0.5 NA NA 12.02
1980057 1980 02 26 222.75 29.23 14.2 0 2.28 NA NA 16.72
1980058 1980 02 27 223.62 24.51 10.73 0 2.61 NA NA 6.11
1980059 1980 02 28 226.35 26.05 11.8 0 2.46 NA NA 5.7
1980060 1980 02 29 240.49 27.91 9.28 0 1.91 NA NA 7.53
1980061 1980 03 01 143.34 23.94 8.77 0 0.66 NA NA 40.44
1980062 1980 03 02 217.45 23.57 8.25 0 2.03 NA NA 15.67
1980063 1980 03 03 240.26 28.35 11.66 0 0.17 NA NA 10.38
1980064 1980 03 04 242.59 29.65 13.43 0 2.11 NA NA 11.53
1980065 1980 03 05 228.91 27.76 11.78 0 2.6 NA NA 10.54
1980066 1980 03 06 93.38 16.02 8.44 13.74 1.8 NA NA 61.75
1980067 1980 03 07 224.6 13.08 9.4 1.39 2.14 NA NA 70.2
1980068 1980 03 08 165.56 15.61 8.56 0 1.6 NA NA 39.18
1980069 1980 03 09 235.09 19.32 7.48 0 2.02 NA NA 25.08
1980070 1980 03 10 170.59 20.54 6.73 0 1.82 NA NA 17.11
1980071 1980 03 11 129.87 15.46 5.08 4.9 2.22 NA NA 38.03
1980072 1980 03 12 179.71 18.56 9.95 0 2.8 NA NA 33.48
1980073 1980 03 13 237.95 18.77 10.42 0 2.78 NA NA 25.43
1980074 1980 03 14 146.74 15.69 8.21 23.53 3.03 NA NA 39.1
1980075 1980 03 15 144.51 19.65 8.78 0 6.17 NA NA 41.55
1980076 1980 03 16 241.25 20.89 10.6 1.32 3.9 NA NA 36.34
1980077 1980 03 17 162.21 16.21 9.74 0 5.05 NA NA 58.58
1980078 1980 03 18 249.42 20.4 6.82 0 0.96 NA NA 45.65
1980079 1980 03 19 254.93 22.64 6.83 0 2.4 NA NA 26.94
1980080 1980 03 20 256.04 26.15 9.85 0 1.14 NA NA 13.57
1980081 1980 03 21 272.9 24.61 9.23 0 1.69 NA NA 13.63
1980082 1980 03 22 286.99 24.8 8.51 0 1.82 NA NA 13.21
1980083 1980 03 23 266.21 25.52 8.6 0 1.8 NA NA 20.72
1980084 1980 03 24 277.5 27 9.45 0 1.22 NA NA 14.55
1980085 1980 03 25 300.29 31.03 12.37 0 0.96 NA NA 18.19
1980086 1980 03 26 272.23 27.12 10.02 0 1.52 NA NA 14.11
