*WEATHER DATA - Station:Ankara - BADJAM DATA - BADJer: PIK - Method: ISIMIP3 - Source model: multi
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Ankara 39.92 32.85 23.56 11.17 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 78.45 7.05 -0.92 0 2.02 NA NA 65.14
1980002 1980 01 02 92.91 8.07 -0.41 0 0.67 NA NA 51.56
1980003 1980 01 03 90.45 6.45 -1.1 0 0.66 NA NA 59.19
1980004 1980 01 04 107.5 9.29 -0.25 0 0.82 NA NA 51.61
1980005 1980 01 05 95.83 4.81 -3.94 0 2.55 NA NA 42.15
1980006 1980 01 06 91.16 5.31 -1.23 0 1.91 NA NA 42.44
1980007 1980 01 07 107.08 6.61 -3.25 0 1.47 NA NA 44.92
1980008 1980 01 08 54.98 5.24 0.27 4.07 2.87 NA NA 70.2
1980009 1980 01 09 77.69 7.09 -2.58 1.12 1.38 NA NA 51.2
1980010 1980 01 10 68.53 4.61 -3.1 0 1.18 NA NA 36.67
1980011 1980 01 11 84.79 2.58 -5.15 0.83 0.54 NA NA 47.75
1980012 1980 01 12 110.35 6.51 -3.49 0 0.9 NA NA 44.29
1980013 1980 01 13 102.82 2.27 -0.09 2.35 2.42 NA NA 49.19
1980014 1980 01 14 84.45 5.17 -0.92 1.14 3.51 NA NA 59.84
1980015 1980 01 15 61.13 1.49 -6.85 4.03 3.28 NA NA 62.26
1980016 1980 01 16 93.45 -5.14 -11.47 0.87 4.35 NA NA 58.09
1980017 1980 01 17 86.11 -2.27 -9.37 0.84 4.67 NA NA 56.53
1980018 1980 01 18 64.72 4.05 -1.52 4.07 3.67 NA NA 63.47
1980019 1980 01 19 76.58 1.84 -5.23 3.75 2.83 NA NA 77.74
1980020 1980 01 20 124.89 5.19 -4.91 0 1.08 NA NA 76.28
1980021 1980 01 21 106.14 5.8 -4.44 0 1.36 NA NA 59.53
1980022 1980 01 22 72.79 3.39 -6.27 0 2.25 NA NA 75.31
1980023 1980 01 23 99.74 7.1 -3.1 0 1.97 NA NA 60.15
1980024 1980 01 24 102.77 5.13 -1.33 0 2.94 NA NA 67.14
1980025 1980 01 25 79.26 1.52 -7.96 1.72 2.56 NA NA 74.02
1980026 1980 01 26 107.92 4.24 -5.89 0 1.81 NA NA 46.53
1980027 1980 01 27 126.2 7.24 -3.11 0 3.05 NA NA 46.47
1980028 1980 01 28 65.07 5.93 1.53 9.59 4.9 NA NA 74.46
1980029 1980 01 29 116.68 6.96 -0.91 0 3.31 NA NA 49.66
1980030 1980 01 30 106.37 6.67 -1.65 4.03 2.59 NA NA 60.46
1980031 1980 01 31 122.8 6.87 -2.05 0.77 3.02 NA NA 48.21
1980032 1980 02 01 100.53 2.73 -3.43 0 3.46 NA NA 35.18
1980033 1980 02 02 134.4 4.93 -3.62 0 3.98 NA NA 21.99
1980034 1980 02 03 49.94 2.98 -2.9 14.18 4.03 NA NA 43.99
1980035 1980 02 04 71.91 4.68 -2.73 0.48 4.94 NA NA 57.58
1980036 1980 02 05 38.38 8.05 0.32 0.7 4.89 NA NA 69.78
1980037 1980 02 06 81.34 11.89 0.78 0 4.36 NA NA 48.01
1980038 1980 02 07 98.12 10.51 0.66 0 3.72 NA NA 42.48
1980039 1980 02 08 87.87 10.29 -0.05 0 3.31 NA NA 44.28
1980040 1980 02 09 100.76 12.3 0.42 0 3.21 NA NA 45.49
1980041 1980 02 10 74.56 12.95 0.78 0 1.94 NA NA 43.01
1980042 1980 02 11 141.56 14.78 2.42 0 1.05 NA NA 43.58
1980043 1980 02 12 144.85 14.77 0.9 0 0.46 NA NA 36.39
1980044 1980 02 13 151.76 13.93 1.28 0 0.76 NA NA 37.44
1980045 1980 02 14 141.82 13.07 1.41 0 2.07 NA NA 36.4
1980046 1980 02 15 132.74 12.57 0.11 0 1.51 NA NA 39.39
1980047 1980 02 16 104.87 8.29 0.17 0 1.46 NA NA 47.68
1980048 1980 02 17 109.48 11.54 1.7 0 0.95 NA NA 37.52
1980049 1980 02 18 119.47 10.31 0.71 0.67 2.87 NA NA 37.61
1980050 1980 02 19 157.17 3.22 -5.18 0 3.51 NA NA 28.28
1980051 1980 02 20 151.54 8.76 -1.52 0 3.93 NA NA 27.55
1980052 1980 02 21 140.6 11.85 0.97 0 2.6 NA NA 37.38
1980053 1980 02 22 137.69 14.41 3.38 0 1.66 NA NA 48.92
1980054 1980 02 23 191.08 13.54 0.38 0 1.69 NA NA 35.46
1980055 1980 02 24 173.9 12.71 0.61 0 4.38 NA NA 34.86
1980056 1980 02 25 110.99 13.69 4.44 7.59 5.88 NA NA 62.31
1980057 1980 02 26 153.02 13.24 1.16 0 3.7 NA NA 36.73
1980058 1980 02 27 79.98 8.52 0.69 0.92 3.92 NA NA 47.58
1980059 1980 02 28 176.15 7.71 -1.55 0 3.31 NA NA 29.15
1980060 1980 02 29 157.69 10.79 -0.56 0 2.81 NA NA 33.17
1980061 1980 03 01 154.75 11.02 -3.34 0 1.53 NA NA 27.39
1980062 1980 03 02 142.9 14.43 -1.37 0 1.27 NA NA 28.12
1980063 1980 03 03 181.8 16.95 -1.31 0 1.85 NA NA 30.74
1980064 1980 03 04 182.13 16.01 -0.72 0 1.63 NA NA 33.67
1980065 1980 03 05 163.43 15.35 0.86 0 2.92 NA NA 43.36
1980066 1980 03 06 90.24 11.58 -0.19 0.85 3.44 NA NA 59.9
1980067 1980 03 07 104.03 16.27 3.58 0 3.04 NA NA 52.12
1980068 1980 03 08 204.38 18.32 2.49 0 2.78 NA NA 29.14
1980069 1980 03 09 189.89 15.64 -0.79 0 2.53 NA NA 34.73
1980070 1980 03 10 191.53 15.8 0.16 0 2.06 NA NA 28.85
1980071 1980 03 11 192.44 13.76 -3.01 0 2.18 NA NA 29.11
1980072 1980 03 12 204.76 14.97 -1.81 0 1.54 NA NA 31.39
1980073 1980 03 13 115.99 14.75 -1.06 0 2.78 NA NA 37.78
1980074 1980 03 14 142.37 16.06 -1.42 0 2.14 NA NA 37.73
1980075 1980 03 15 93.34 9.43 -0.29 0 2.37 NA NA 63.08
1980076 1980 03 16 152.17 13.41 0.82 0 2.07 NA NA 41.24
1980077 1980 03 17 217.79 13.58 -2.87 0 1.54 NA NA 23.13
1980078 1980 03 18 228.06 19.69 0.86 0 1.69 NA NA 23.55
1980079 1980 03 19 231.78 22.49 3.09 0 2.06 NA NA 17.18
1980080 1980 03 20 242.05 22.45 3.87 0 1.17 NA NA 27.94
1980081 1980 03 21 250.6 19.06 2.2 0 2.01 NA NA 28.05
1980082 1980 03 22 188.39 16.35 1.86 0 2 NA NA 41.09
1980083 1980 03 23 139.99 13.5 2.97 0.4 3 NA NA 41.79
1980084 1980 03 24 92.23 12.11 3.64 1.65 3.65 NA NA 58.55
1980085 1980 03 25 177.43 17.11 4.55 0 2.86 NA NA 36.22
1980086 1980 03 26 181.11 16.13 1.58 0 1.39 NA NA 32.23
1980087 1980 03 27 253.81 16.58 -0.34 0 1.7 NA NA 26.19
1980088 1980 03 28 195.27 15.93 -0.02 0 2.48 NA NA 33.8
1980089 1980 03 29 270.4 13.39 -2.56 0 1.93 NA NA 21.99
1980090 1980 03 30 281.36 18.03 -1.55 0 1.15 NA NA 18.65
1980091 1980 03 31 261.42 17.81 -2.16 0 0.66 NA NA 17.25
1980092 1980 04 01 251.51 17.4 0.25 0 1.44 NA NA 22.49
1980093 1980 04 02 155.69 15.97 0.09 3.3 3.08 NA NA 38.91
1980094 1980 04 03 183.37 21.52 9.22 0 4.14 NA NA 37.05
1980095 1980 04 04 214.03 22 8.51 0 3.55 NA NA 30.82
1980096 1980 04 05 108.59 14.4 0.95 17.36 3.33 NA NA 75.79
1980097 1980 04 06 120.01 17.61 4.3 1.04 2.55 NA NA 45.11
1980098 1980 04 07 152.49 15.15 2.72 0.47 2.51 NA NA 40.13
1980099 1980 04 08 225.53 16.63 3.35 0 1.52 NA NA 31.52
1980100 1980 04 09 201.29 17.02 0.27 0 0.53 NA NA 24.19
1980101 1980 04 10 200.09 18.7 3.71 0 2.41 NA NA 34.84
1980102 1980 04 11 264.52 18.62 1.57 0 0.99 NA NA 27.08
1980103 1980 04 12 192.95 17.62 5.02 3.35 1.86 NA NA 38.39
1980104 1980 04 13 204.5 14.79 2.82 0 1.95 NA NA 51.89
1980105 1980 04 14 248.87 18.29 3.01 0 0.42 NA NA 31.37
1980106 1980 04 15 254.89 20.64 2.33 0 1.52 NA NA 25.98
1980107 1980 04 16 126.53 18.63 3.41 1.56 3.64 NA NA 27.92
1980108 1980 04 17 195.89 17.85 4.86 0 2.37 NA NA 35.79
1980109 1980 04 18 124.77 14.77 4.66 4.66 1.1 NA NA 58.09
1980110 1980 04 19 211.08 18.5 0.99 0 1.74 NA NA 25.72
1980111 1980 04 20 291.66 20.54 3.77 1.33 2.17 NA NA 22.92
1980112 1980 04 21 177.73 21.97 8.32 6.41 3.51 NA NA 35
1980113 1980 04 22 226.43 20.1 6.45 0 3.41 NA NA 29.54
1980114 1980 04 23 235.97 19.02 5.25 0 2.13 NA NA 26.75
1980115 1980 04 24 223.97 17.55 6.06 3.34 1.96 NA NA 43.82
1980116 1980 04 25 231.22 17.06 1.89 0 1.64 NA NA 33.98
1980117 1980 04 26 329.78 20.89 4.23 0 1.46 NA NA 29.04
1980118 1980 04 27 140.87 21.91 4.19 0 2.01 NA NA 28.03
1980119 1980 04 28 265.41 16.19 1.13 0 2.02 NA NA 30
1980120 1980 04 29 221.63 15.52 -2.96 0 2.24 NA NA 31.02
1980121 1980 04 30 148.73 18.67 8.03 8.63 3.68 NA NA 29.93
1980122 1980 05 01 147.35 15.48 5.01 2.42 2.33 NA NA 44.24
1980123 1980 05 02 235.75 21.78 6.79 0 2.63 NA NA 31.95
1980124 1980 05 03 274.88 24.67 6.44 0 2.12 NA NA 26.98
1980125 1980 05 04 329.18 21.07 2.3 0 1.21 NA NA 24.54
1980126 1980 05 05 346.35 32.45 13.59 0 1.82 NA NA 23.96
1980127 1980 05 06 285.59 25.03 8.02 0 1.99 NA NA 19
1980128 1980 05 07 323.13 25.11 7.85 0 3.36 NA NA 20.35
1980129 1980 05 08 309.02 31.34 13.61 0 2.55 NA NA 21.12
1980130 1980 05 09 266.89 29.36 13.09 0 1.8 NA NA 22
1980131 1980 05 10 229.19 26.98 10.38 0 1.62 NA NA 30.7
1980132 1980 05 11 264.92 28.5 11.32 0.47 1.19 NA NA 25.68
1980133 1980 05 12 249.54 29.2 12.76 1.11 0.93 NA NA 27.48
1980134 1980 05 13 312.64 32.41 14.52 0 1.48 NA NA 26.16
1980135 1980 05 14 116.92 24.3 11.68 8.36 1.69 NA NA 34.17
1980136 1980 05 15 250.8 23.46 10.13 3.06 1.71 NA NA 26.91
1980137 1980 05 16 181.99 20.06 5.84 1.59 1.72 NA NA 40.68
1980138 1980 05 17 222.31 22.76 10.99 1.02 1.37 NA NA 53.44
1980139 1980 05 18 263.17 20.4 8.7 3 2.12 NA NA 59.35
1980140 1980 05 19 248.94 21.14 8.71 0 2.41 NA NA 37.72
1980141 1980 05 20 309.59 21.5 5.2 0 3.36 NA NA 26.43
1980142 1980 05 21 303.7 20.93 5.77 0 2.86 NA NA 26.91
1980143 1980 05 22 318.35 20.24 3.95 0 2.6 NA NA 36.77
1980144 1980 05 23 345.07 21.35 5.52 0 2.68 NA NA 26.57
1980145 1980 05 24 197.71 20.24 5.74 0.79 3.33 NA NA 31.26
1980146 1980 05 25 244.15 25.13 9.97 1.62 2.77 NA NA 21.28
1980147 1980 05 26 337.08 27.85 12.43 0 1.11 NA NA 26.78
1980148 1980 05 27 209.51 25.16 9.84 2.12 1.1 NA NA 26.41
1980149 1980 05 28 136.52 20.02 10.02 0 1.72 NA NA 26.85
1980150 1980 05 29 321.39 24.34 9.84 0 1.01 NA NA 28.19
1980151 1980 05 30 355.15 23.36 4.55 0 1.52 NA NA 19.23
1980152 1980 05 31 337.38 22.72 4.51 0 2.09 NA NA 21.15
1980153 1980 06 01 304.79 27.73 10.52 0 0.29 NA NA 22.78
1980154 1980 06 02 220.32 29.3 13.59 0 0.96 NA NA 24.31
1980155 1980 06 03 255.46 31.19 14.83 0.81 0.78 NA NA 26.85
1980156 1980 06 04 317.93 30.06 12.58 0 0.8 NA NA 16.81
1980157 1980 06 05 303.71 31.13 13.6 0 1.55 NA NA 21.56
1980158 1980 06 06 311.26 32.24 15.06 0 1.2 NA NA 22.88
1980159 1980 06 07 217.31 23.55 11.63 11.31 2.19 NA NA 32.23
1980160 1980 06 08 211.95 22.83 9.55 2.14 3.61 NA NA 31.65
1980161 1980 06 09 263.2 25.64 9.76 0 1.73 NA NA 24.18
1980162 1980 06 10 376.29 27.56 7.96 0 0.94 NA NA 18.94
1980163 1980 06 11 293.63 26.18 10.05 0 2.38 NA NA 21.91
1980164 1980 06 12 367.79 24.1 9.18 0 2.29 NA NA 19.85
1980165 1980 06 13 347.87 24.95 7.91 0 1.44 NA NA 19.15
1980166 1980 06 14 337.19 26.78 10.12 0 2.4 NA NA 16.91
1980167 1980 06 15 345.15 27.04 10.69 0 2.7 NA NA 18.89
1980168 1980 06 16 326.5 27.56 11.66 0 2.78 NA NA 28.59
1980169 1980 06 17 297.37 24.84 10.66 0 2.68 NA NA 30.08
1980170 1980 06 18 381.37 26.62 10.3 0 2.48 NA NA 16.72
1980171 1980 06 19 345.7 27.13 11.43 0 1.87 NA NA 16.38
1980172 1980 06 20 362.55 29.33 11.18 0 1.58 NA NA 15.71
1980173 1980 06 21 286.26 30.38 12.3 0 1.57 NA NA 16.7
1980174 1980 06 22 222.33 27.21 15.04 0 2.74 NA NA 23.23
1980175 1980 06 23 365.79 26.49 9.84 0 2.36 NA NA 12.17
1980176 1980 06 24 365.1 28.86 12.98 0 1.75 NA NA 9.96
1980177 1980 06 25 301.43 30.38 10.91 0 1.55 NA NA 18.36
1980178 1980 06 26 354.8 29.63 13 0 2.28 NA NA 17.56
1980179 1980 06 27 356.95 30.55 13.53 0 2.04 NA NA 10.61
1980180 1980 06 28 346.52 31.82 13.25 0 1.19 NA NA 15.68
1980181 1980 06 29 334.61 33.28 14.84 0 1.04 NA NA 15.97
1980182 1980 06 30 326.77 33.95 15.74 0 1.03 NA NA 15.97
1980183 1980 07 01 337.22 34.9 17.01 0 1.7 NA NA 14.45
1980184 1980 07 02 337.46 31.97 14.14 0 3.7 NA NA 18.51
1980185 1980 07 03 357.13 30.93 13.41 0 2.29 NA NA 14.53
1980186 1980 07 04 351.24 30.31 13.72 0 2.6 NA NA 17.64
1980187 1980 07 05 311.82 32.88 16.05 0 2.3 NA NA 16.39
1980188 1980 07 06 316.25 35.22 17.42 0 1.3 NA NA 17.62
1980189 1980 07 07 336.74 36.32 18.5 0 1.3 NA NA 13.36
1980190 1980 07 08 349.17 32.9 16.45 0 2.12 NA NA 15.24
1980191 1980 07 09 326.1 32.46 16.16 0.59 1.36 NA NA 18.37
1980192 1980 07 10 307.25 31.41 17.28 0 1.52 NA NA 25.49
1980193 1980 07 11 303.81 31.91 17.03 0 1.71 NA NA 22.36
1980194 1980 07 12 316.64 31.39 17.81 0 0.82 NA NA 29.49
1980195 1980 07 13 304.87 31.23 19.61 0 1.83 NA NA 37.05
1980196 1980 07 14 328.47 28.1 13.87 0 2.24 NA NA 13.27
1980197 1980 07 15 341.81 29.28 13.05 0 2.22 NA NA 13.73
1980198 1980 07 16 327.61 30.43 13.26 0 1.97 NA NA 18.21
1980199 1980 07 17 322.38 28.2 11.36 0 1.97 NA NA 16.36
1980200 1980 07 18 304.6 27.6 11.5 0 2.52 NA NA 18.73
1980201 1980 07 19 324.66 28.94 14.65 0 0.74 NA NA 20.14
1980202 1980 07 20 265.3 26.61 15.31 0.46 2.3 NA NA 23
1980203 1980 07 21 311.89 29.48 13.76 0 1.91 NA NA 17.27
1980204 1980 07 22 304.96 30.47 15.99 2.42 1.08 NA NA 16.53
1980205 1980 07 23 299.42 30.95 15.66 0 1.69 NA NA 18.15
1980206 1980 07 24 299.59 30.75 17.49 0 2.24 NA NA 20.43
1980207 1980 07 25 292.52 32.35 16.91 0 1.95 NA NA 20.41
1980208 1980 07 26 303.48 34.43 16.94 0 1.52 NA NA 16.71
1980209 1980 07 27 315.46 31.9 13.72 0 2.11 NA NA 12.61
1980210 1980 07 28 313.24 31.64 13.51 0 2.37 NA NA 11.14
1980211 1980 07 29 307.99 33.03 15.25 0 1.96 NA NA 11.25
1980212 1980 07 30 288.54 32.16 15.5 0 1.52 NA NA 13.14
