*WEATHER DATA - Station:Estrees-Mons - BADJAM DATA - BADJer: PIK - Method: ISIMIP3 - Source model: multi
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Estrees-Mons 49.88 3 96.16 10.41 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 14.51 6.51 0.73 5.38 5.99 NA NA 84.35
1980002 1980 01 02 55.55 -0.8 -8.68 0 2.67 NA NA 87.04
1980003 1980 01 03 8.09 5.33 -2.33 6.41 3.4 NA NA 88.19
1980004 1980 01 04 34.66 8.92 3.45 0.36 2.83 NA NA 86.99
1980005 1980 01 05 36.65 6.99 3.78 0 2.32 NA NA 84.18
1980006 1980 01 06 22.66 8.97 2.98 0 1.84 NA NA 88.56
1980007 1980 01 07 26.92 11.58 4.97 2.41 4.5 NA NA 89.02
1980008 1980 01 08 34.71 10.41 5.79 0 4.46 NA NA 86.48
1980009 1980 01 09 19.09 6.01 3.5 0.98 4.37 NA NA 91.3
1980010 1980 01 10 46.48 11 4.39 3.53 3.87 NA NA 84.72
1980011 1980 01 11 5.02 5.54 0.27 1.8 2.29 NA NA 84.24
1980012 1980 01 12 12.83 8.39 3.88 2.31 3.41 NA NA 88.26
1980013 1980 01 13 11.72 7.26 3.48 2.87 2.66 NA NA 91.17
1980014 1980 01 14 42.09 6.07 -3.22 0 2.78 NA NA 92.72
1980015 1980 01 15 23.75 1.46 -3.89 0 1.13 NA NA 59.27
1980016 1980 01 16 18.35 4.26 -2.45 0.42 1.38 NA NA 75.32
1980017 1980 01 17 14.26 5.42 2.96 0.93 2.8 NA NA 86.7
1980018 1980 01 18 36.29 1.97 -4.75 0 4.53 NA NA 83.29
1980019 1980 01 19 53.67 -0.45 -5.91 1.14 2.03 NA NA 78.31
1980020 1980 01 20 48 3.29 -1.88 0 2.55 NA NA 47.81
1980021 1980 01 21 58.96 4.99 -0.84 0.11 2.71 NA NA 51.56
1980022 1980 01 22 38.11 -3.86 -6.85 0.46 2.49 NA NA 56.56
1980023 1980 01 23 76.75 -0.52 -8.07 0 2.41 NA NA 34.55
1980024 1980 01 24 60.51 -3.9 -8.99 0 1.91 NA NA 50.16
1980025 1980 01 25 58.76 -2.73 -9.93 1.13 0.39 NA NA 54.16
1980026 1980 01 26 72.24 -5.78 -11.5 0.89 2.74 NA NA 40.3
1980027 1980 01 27 70.74 -5.93 -12.23 0.8 3.43 NA NA 43.65
1980028 1980 01 28 56.12 -0.62 -7.95 0 2.88 NA NA 70.08
1980029 1980 01 29 57.59 5.82 0.2 0 4.02 NA NA 62.16
1980030 1980 01 30 53.4 -1.16 -7.86 0.82 3.26 NA NA 79.88
1980031 1980 01 31 62.98 0.45 -6.84 4.68 2.71 NA NA 87.39
1980032 1980 02 01 30.42 6.24 -1.23 11.34 2.32 NA NA 92.49
