*WEATHER DATA - Station:Krasnodar - BADJAM DATA - BADJer: PIK - Method: ISIMIP3 - Source model: multi
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Krasnodar 45.02 38.95 63.53 12.35 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 70.46 6 2.37 0 3.88 NA NA 78.83
1980002 1980 01 02 81.29 9.02 3.08 0 2.08 NA NA 79.49
1980003 1980 01 03 63.79 4.91 -4.14 0 2.6 NA NA 82.47
1980004 1980 01 04 81.81 7.66 0.01 0 1.94 NA NA 59.42
1980005 1980 01 05 75.09 3.17 -1.97 0 2.47 NA NA 49.12
1980006 1980 01 06 37.31 0.58 -5.02 0 5.11 NA NA 55.28
1980007 1980 01 07 35.38 2.13 -0.82 2.69 2.25 NA NA 64.95
1980008 1980 01 08 37.15 8.78 3.62 0 1.01 NA NA 60.72
1980009 1980 01 09 85.04 5.56 -3.6 0 3 NA NA 53.67
1980010 1980 01 10 44.92 13.33 4.66 2.63 3.48 NA NA 55.16
1980011 1980 01 11 60.27 7.97 2.73 0 4.48 NA NA 58.05
1980012 1980 01 12 25.54 9.3 2.2 3.92 2.64 NA NA 68.65
1980013 1980 01 13 25.6 7.44 2.37 10.61 1.55 NA NA 63.34
1980014 1980 01 14 27.84 5.83 1.49 3 3.16 NA NA 72.96
1980015 1980 01 15 44.8 2.32 -3.59 0.89 3.55 NA NA 61.06
1980016 1980 01 16 39.58 2.33 -2.48 7.89 1.34 NA NA 70.4
1980017 1980 01 17 56.65 3.03 -3.09 0 1.98 NA NA 56.12
1980018 1980 01 18 82.45 12.29 2.3 0.7 4.8 NA NA 34.78
1980019 1980 01 19 65.41 6.33 -0.19 0 3.28 NA NA 55.61
1980020 1980 01 20 35.83 9.06 2.81 10.1 4.55 NA NA 41.48
1980021 1980 01 21 57.38 3.32 -3.89 0 2.73 NA NA 54.26
1980022 1980 01 22 51.07 3.94 -2.54 0 2.16 NA NA 49.4
1980023 1980 01 23 53.91 2.29 -4.17 0 2.76 NA NA 49.41
1980024 1980 01 24 76.91 1.54 -4.33 0 6.32 NA NA 45.18
1980025 1980 01 25 75.34 2.16 -5.12 0 6.91 NA NA 36.37
1980026 1980 01 26 71.54 4.12 -2.99 0 6.61 NA NA 41.36
1980027 1980 01 27 60.78 -2.9 -7.49 0 5.58 NA NA 51.1
1980028 1980 01 28 70.65 -5.3 -9.81 0 5.54 NA NA 39.96
1980029 1980 01 29 69.46 -3.26 -11.59 0 6.9 NA NA 46.02
1980030 1980 01 30 96.79 -3.37 -13.5 0 6.24 NA NA 39.11
1980031 1980 01 31 81.08 -0.99 -8.81 0 5.62 NA NA 41.72
1980032 1980 02 01 112.71 1.09 -7.67 0 4.69 NA NA 28.46
1980033 1980 02 02 124.2 0.65 -8.88 0 2.94 NA NA 31.41
1980034 1980 02 03 106.96 2.76 -9.31 0 0.99 NA NA 44.57
1980035 1980 02 04 65.68 -1.88 -4.94 0 0.59 NA NA 40.65
1980036 1980 02 05 43.29 1.82 -4.46 2.98 0.59 NA NA 51.03
1980037 1980 02 06 94.71 5.6 -1.76 0 0.18 NA NA 45.33
1980038 1980 02 07 103.3 4.52 -4.99 0 0.98 NA NA 40.54
1980039 1980 02 08 85.88 2.32 -2.9 0.45 2.18 NA NA 44.24
1980040 1980 02 09 129.52 0.59 -5.23 0 1.82 NA NA 43.94
1980041 1980 02 10 114.27 2.61 -4.24 0 2.83 NA NA 31.25
1980042 1980 02 11 105.42 3.13 -3.74 0 3.34 NA NA 29.53
1980043 1980 02 12 131.36 3.34 -3.23 0 3.47 NA NA 39.87
1980044 1980 02 13 124.13 1.33 -4.71 0 4.57 NA NA 23.42
1980045 1980 02 14 144.12 3.63 -5.14 0 3.79 NA NA 37.65
1980046 1980 02 15 67.21 1.29 -2.5 9.67 2.25 NA NA 54.4
1980047 1980 02 16 81.66 1.32 -4.69 0.86 1.35 NA NA 49.87
1980048 1980 02 17 125.36 0.88 -5.45 0 3.43 NA NA 43.42
1980049 1980 02 18 55.94 9.45 -3.41 1.18 2.19 NA NA 42.81
1980050 1980 02 19 135.2 8.8 -3.51 0 2.13 NA NA 44.98
1980051 1980 02 20 115.44 9.48 -1.3 0 3.2 NA NA 42.56
1980052 1980 02 21 130.61 11.19 -1.86 0 2.8 NA NA 36.88
1980053 1980 02 22 160.85 8.89 -1.69 0 4.63 NA NA 25.8
1980054 1980 02 23 159.98 7.4 -3.1 0 5 NA NA 31.83
1980055 1980 02 24 118.35 4.95 -3.11 0 6.91 NA NA 31.76
1980056 1980 02 25 156.21 2.35 -3.86 0 6.23 NA NA 26.61
1980057 1980 02 26 121.6 5.23 -2.27 0 6.02 NA NA 32.45
1980058 1980 02 27 155.79 7.43 -2.28 0 6.29 NA NA 10.44
1980059 1980 02 28 144.21 6.97 -2.75 0 4.14 NA NA 36.81
1980060 1980 02 29 131.83 5.03 -1.67 0 3.07 NA NA 33.68
1980061 1980 03 01 51.61 8 -4.28 0 2.93 NA NA 57.14
1980062 1980 03 02 61.07 7.68 1.58 0 5.25 NA NA 55.93
1980063 1980 03 03 149.35 13.07 5 0 3.34 NA NA 41.26
1980064 1980 03 04 140.28 13.65 3.44 0 2.29 NA NA 42.12
1980065 1980 03 05 69.46 13.1 3.04 0 1.95 NA NA 37.78
1980066 1980 03 06 52.71 11.64 2.27 13.29 2.56 NA NA 59.7
1980067 1980 03 07 57.39 9.82 2.56 4.67 1.6 NA NA 63.54
1980068 1980 03 08 143.15 10.64 0.62 0 6.73 NA NA 36.5
1980069 1980 03 09 119.88 5.82 -1.06 0 5.86 NA NA 35.99
1980070 1980 03 10 80.83 1.97 -3.19 0 7.34 NA NA 48.9
1980071 1980 03 11 143.6 6.03 -2.9 1.07 6.08 NA NA 34.6
