*WEATHER DATA - Station:Ventas Huelma - BADJAM DATA - BADJer: PIK - Method: ISIMIP3 - Source model: multi
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Ventas Huelma 37.16 -3.83 83.93 16.25 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 114.5 13.33 0.73 0 1.2 NA NA 34.16
1980002 1980 01 02 121.44 15.08 -0.75 0 1.4 NA NA 20.38
1980003 1980 01 03 118.57 15.71 1.35 0 2.86 NA NA 39.2
1980004 1980 01 04 113.45 17.26 5.12 0 2.28 NA NA 48.34
1980005 1980 01 05 118.79 17.85 3.79 0 2.35 NA NA 39.8
1980006 1980 01 06 118.58 18.2 4.88 0 2.31 NA NA 28.56
1980007 1980 01 07 107.69 16.99 3.15 0 3.19 NA NA 39.57
1980008 1980 01 08 124.23 18.05 2.92 0 1.82 NA NA 33.94
1980009 1980 01 09 134.38 15.79 1.46 0 2.09 NA NA 31.55
1980010 1980 01 10 124.88 18.83 3.72 0 1.91 NA NA 19.19
1980011 1980 01 11 114.82 17.52 4.11 0 2.89 NA NA 26.99
1980012 1980 01 12 128.71 15.07 1.94 0 1.25 NA NA 34.62
1980013 1980 01 13 120.27 15.07 0.97 0 2.08 NA NA 29.47
1980014 1980 01 14 113.54 15.61 2.29 0 2.97 NA NA 28.84
1980015 1980 01 15 135.34 14.87 1.68 0 1.71 NA NA 33.67
1980016 1980 01 16 108.83 18.32 2.9 0 2.71 NA NA 32.22
1980017 1980 01 17 121.76 16.2 2.23 0 2.02 NA NA 41.98
1980018 1980 01 18 132.41 15.06 1.19 0 1.1 NA NA 37.69
1980019 1980 01 19 128.8 12.53 -0.27 0 0.76 NA NA 34.32
1980020 1980 01 20 130.19 12.58 1.99 0 0.59 NA NA 41.83
1980021 1980 01 21 127.81 14.27 0.42 0 1.05 NA NA 37.46
1980022 1980 01 22 134.53 13.18 0.97 3.09 1.53 NA NA 43.49
1980023 1980 01 23 148.59 14.68 0.35 0 1.4 NA NA 21.51
1980024 1980 01 24 36.92 8.4 -0.05 4.31 2.1 NA NA 75.73
1980025 1980 01 25 17.83 10.86 4.6 0 4.05 NA NA 83.04
