*WEATHER DATA - Station:Policoro - BADJAM DATA - BADJer: PIK - Method: ISIMIP3 - Source model: multi
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Policoro 40.2 16.66 95.35 16.85 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 47.86 11.65 9.16 0 0.8 NA NA 49.64
1980002 1980 01 02 100.97 11.14 5.05 0 1.83 NA NA 46.16
1980003 1980 01 03 82.49 12.79 7.39 1.27 2.37 NA NA 46.66
1980004 1980 01 04 103.48 12.49 6.46 0 2.54 NA NA 41.72
1980005 1980 01 05 103.85 10.98 5.25 0 2.99 NA NA 46.69
1980006 1980 01 06 103.1 7.27 2.9 0 3.97 NA NA 53.63
1980007 1980 01 07 101.39 11.32 4.61 0.59 3.1 NA NA 36.89
1980008 1980 01 08 23.36 11.34 8.18 8.31 2.36 NA NA 71.95
1980009 1980 01 09 28.87 10.65 7.12 3.35 0.61 NA NA 71.39
1980010 1980 01 10 72.76 15.13 7.92 0 4.53 NA NA 58.35
1980011 1980 01 11 72.78 10.78 5.55 0 3.2 NA NA 46.3
1980012 1980 01 12 105.53 11.33 5.6 0 1.67 NA NA 38.06
1980013 1980 01 13 110.22 12.79 4.86 0 3.24 NA NA 37.25
1980014 1980 01 14 79.82 8.41 3.34 0 3.53 NA NA 47.22
1980015 1980 01 15 97.58 9.84 4.06 0 3.82 NA NA 37.79
1980016 1980 01 16 36.28 10.6 4.61 18.33 6.85 NA NA 56.96
1980017 1980 01 17 50.78 7.42 2.01 0 5.33 NA NA 49.56
1980018 1980 01 18 103.02 9.63 4.93 0 2 NA NA 43.33
1980019 1980 01 19 105.26 7.3 2.46 0 3.52 NA NA 44.07
1980020 1980 01 20 106.24 9.06 4.67 1.14 2.85 NA NA 39.1
1980021 1980 01 21 104.4 11.32 5.79 0 1.66 NA NA 27.63
1980022 1980 01 22 77.58 11.24 5.69 20.41 1.36 NA NA 37.78
1980023 1980 01 23 39.73 8.79 4.45 9.1 5.31 NA NA 57.57
1980024 1980 01 24 105.39 7.48 2.12 0 4.65 NA NA 45.25
1980025 1980 01 25 122.25 10.02 4.22 0 3.22 NA NA 38.15
1980026 1980 01 26 128.75 11.96 5.39 0.61 2.01 NA NA 35.24
1980027 1980 01 27 32.62 11.02 4.52 16.14 4.12 NA NA 80.38
1980028 1980 01 28 32.53 12.97 9.96 2.65 5.42 NA NA 86.81
1980029 1980 01 29 44.8 13.38 9.39 11.26 5.82 NA NA 72.35
1980030 1980 01 30 34.07 10.89 6.66 8.12 8.93 NA NA 63.74
1980031 1980 01 31 55.92 7.84 2.93 0 4.86 NA NA 60.67
1980032 1980 02 01 107.94 9.3 4.64 0 2.86 NA NA 41.19
1980033 1980 02 02 65.53 10.28 5.97 0 4.05 NA NA 49.98
1980034 1980 02 03 80.46 7.91 2.63 0 4.12 NA NA 60.32
1980035 1980 02 04 129.71 12.11 7.22 0 0.5 NA NA 44.43
1980036 1980 02 05 145.08 11.26 3.54 0 4.17 NA NA 40.81
1980037 1980 02 06 62.77 10.52 7.24 0 1.73 NA NA 61.95
1980038 1980 02 07 72.1 9.07 3.86 0 2.47 NA NA 67.35
1980039 1980 02 08 138.59 12.65 5.01 0 2.37 NA NA 49.28
1980040 1980 02 09 130.74 12.47 5.45 0 0.9 NA NA 43.3
1980041 1980 02 10 155.66 15.75 5.88 0 2.14 NA NA 37.26
1980042 1980 02 11 73.93 14 5.47 2.01 2.99 NA NA 49.46
1980043 1980 02 12 117.81 13.54 5.7 0 3.25 NA NA 40.86
1980044 1980 02 13 75.15 15.29 8.62 0.57 3.14 NA NA 51.1
1980045 1980 02 14 131.76 15.42 6.66 0 4.21 NA NA 40.01
1980046 1980 02 15 168.64 16.16 5.88 0 3.38 NA NA 30.58
1980047 1980 02 16 117.54 16.59 9.62 0 2.76 NA NA 30.52
1980048 1980 02 17 78.73 12.09 6.68 5.29 2.65 NA NA 76.87
1980049 1980 02 18 164.8 14.25 4.72 0 2.99 NA NA 39.99
1980050 1980 02 19 85.83 11.49 6.95 5.31 2.04 NA NA 73.45
1980051 1980 02 20 76.73 7.82 5.97 0 2.51 NA NA 79.61
1980052 1980 02 21 113.36 12.59 6.08 0 3.35 NA NA 48.38
1980053 1980 02 22 135.43 12.62 6.66 0 1.3 NA NA 41.92
1980054 1980 02 23 151.5 13.3 5.83 0 3.7 NA NA 44.48
1980055 1980 02 24 107.71 11.23 6.24 0 1.76 NA NA 46.22
1980056 1980 02 25 70.7 10.91 6.18 0 2.23 NA NA 44.24
1980057 1980 02 26 48 11.75 7.55 0 1.32 NA NA 54.88
1980058 1980 02 27 83.45 11.49 5.12 0 4.44 NA NA 49.99
1980059 1980 02 28 180.49 13.34 4.53 0 2.66 NA NA 32.08
1980060 1980 02 29 179.54 15.62 5.47 0.33 1.67 NA NA 32.31
1980061 1980 03 01 143.49 16.99 6.66 0 2.67 NA NA 37.02
1980062 1980 03 02 50.36 11.98 8.85 3.55 5.94 NA NA 70.81
1980063 1980 03 03 72.22 11.21 6.63 0 2 NA NA 60.96
1980064 1980 03 04 167.99 13.17 5.59 0 2.81 NA NA 33.55
1980065 1980 03 05 87.51 13.56 5.86 1.83 4.11 NA NA 51.78
1980066 1980 03 06 32.43 10.47 4.41 11.37 2.45 NA NA 77.93
1980067 1980 03 07 59.11 10.74 7.37 12.38 3.61 NA NA 62.74
1980068 1980 03 08 102.75 14.51 10.53 0 3.51 NA NA 45.16
1980069 1980 03 09 131.93 10.34 3.25 1.67 2.54 NA NA 57.49
1980070 1980 03 10 181.65 15.95 6.95 0 0.49 NA NA 31.59
1980071 1980 03 11 73.83 14.74 8.57 1.79 1.69 NA NA 53.06
