*WEATHER DATA - Station:Nabeul - BADJAM DATA - BADJer: PIK - Method: ISIMIP3 - Source model: multi
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Nabeul 36.75 10.75 781.41 18.54 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 89.8 18.49 8.62 0 3.14 NA NA 31.64
1980002 1980 01 02 53.63 16.89 8.38 0 2.29 NA NA 41.87
1980003 1980 01 03 78.43 17.2 7.81 0 3.8 NA NA 41.84
1980004 1980 01 04 98.3 18.47 7.61 0 2.41 NA NA 46.45
1980005 1980 01 05 79.59 15.26 8.48 0 1.46 NA NA 52.05
1980006 1980 01 06 64.56 13.21 7.67 0 3.62 NA NA 56.61
1980007 1980 01 07 92.59 17.76 7.28 0 3.07 NA NA 49.26
1980008 1980 01 08 106.59 16.02 8.81 0 2.82 NA NA 53.22
1980009 1980 01 09 66.93 15.65 10.02 5.46 3.94 NA NA 55.01
1980010 1980 01 10 101.27 18.22 5.64 0 3.72 NA NA 40.64
1980011 1980 01 11 116.9 17.06 7.38 0 2.92 NA NA 28.2
1980012 1980 01 12 116.26 17.83 6.35 0 3.58 NA NA 49.39
1980013 1980 01 13 111.41 14.78 7.9 0 2.85 NA NA 46.06
1980014 1980 01 14 106.61 18.73 2.24 0 2.82 NA NA 35.07
1980015 1980 01 15 136.46 23.37 4.64 0 2.24 NA NA 22.5
1980016 1980 01 16 127.83 9.02 0.58 0 4.93 NA NA 38.83
1980017 1980 01 17 120.49 19.7 2.71 0 4.29 NA NA 28.19
1980018 1980 01 18 68.4 15.42 5.24 5.71 2.69 NA NA 35.58
1980019 1980 01 19 121.92 15.26 6.7 0.63 3.74 NA NA 30.49
1980020 1980 01 20 89.22 21.97 4.68 0 2.69 NA NA 17.81
1980021 1980 01 21 63.7 10.76 4.07 6.43 3.81 NA NA 54.12
1980022 1980 01 22 121.46 11.32 -0.43 0 2.85 NA NA 63.32
1980023 1980 01 23 69.18 13.12 5.44 8.63 6.16 NA NA 37.24
1980024 1980 01 24 103.73 16.91 5.29 0.65 3.99 NA NA 41.15
1980025 1980 01 25 141.82 10.17 0.44 0 1.29 NA NA 52.25
1980026 1980 01 26 36.58 7.44 2.09 0 2.58 NA NA 81.42
1980027 1980 01 27 37.28 16.08 9.59 1.51 6.93 NA NA 67
1980028 1980 01 28 32.27 13.16 7.88 48.54 5.57 NA NA 76.2
1980029 1980 01 29 41.3 9.23 3.2 9.82 4.3 NA NA 70.76
1980030 1980 01 30 61.2 13.07 5.44 9.42 2.93 NA NA 65.48
1980031 1980 01 31 35.01 11.97 7.55 3.01 8.25 NA NA 67.87
1980032 1980 02 01 115.87 17.35 5.6 0 4.81 NA NA 38.1
1980033 1980 02 02 133.41 14.25 2.56 0 3.2 NA NA 35.1
1980034 1980 02 03 167.83 17.06 6.28 0 1.66 NA NA 29.55
1980035 1980 02 04 170.61 19.73 6.12 0 2.57 NA NA 33.91
1980036 1980 02 05 78.5 15.94 6.74 1.5 6.76 NA NA 50.81
