*WEATHER DATA - Station:Ventas Huelma - BADJAM DATA - BADJer: PIK - Method: ISIMIP3 - Source model: multi
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Ventas Huelma 37.16 -3.83 83.93 15.25 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 65.04 13.23 2.49 2.02 2.33 NA NA 74.95
1980002 1980 01 02 118.1 14.02 0.36 0 1.27 NA NA 37.57
1980003 1980 01 03 71.56 12.28 2.19 0.34 3.21 NA NA 71.47
1980004 1980 01 04 54.23 13.83 5.72 0 4.78 NA NA 73.15
1980005 1980 01 05 119.62 12.56 -0.03 0 5.09 NA NA 87.17
1980006 1980 01 06 105.82 13.67 7.21 1.67 3.66 NA NA 52.01
1980007 1980 01 07 27.74 12.13 5.92 13.98 2.58 NA NA 74.91
1980008 1980 01 08 116.76 10.79 2.35 0.61 0.95 NA NA 57.4
1980009 1980 01 09 115.24 13.57 2.01 0 0.76 NA NA 39.92
1980010 1980 01 10 106.14 11.47 -0.21 0 0.67 NA NA 38.61
1980011 1980 01 11 130.15 10.97 -0.77 0 0.84 NA NA 29.61
1980012 1980 01 12 131.2 12.4 0.5 0 2.05 NA NA 35.61
1980013 1980 01 13 116.62 12.25 0.73 0 0.68 NA NA 40.84
1980014 1980 01 14 113.98 10.92 1.62 0 0.76 NA NA 46.92
1980015 1980 01 15 108.38 13.55 2.17 0 0.66 NA NA 39.86
1980016 1980 01 16 132.01 12.32 -0.65 0 1.56 NA NA 40.54
1980017 1980 01 17 132.73 12.02 0.38 0 2.59 NA NA 39.98
1980018 1980 01 18 120.15 11.92 -0.14 0 3.16 NA NA 31.11
1980019 1980 01 19 120.17 12.99 3.69 0 3.8 NA NA 51.89
1980020 1980 01 20 122.9 13.85 0.82 0 1.82 NA NA 40.09
1980021 1980 01 21 123.64 14.59 2.27 0 1.12 NA NA 51.84
1980022 1980 01 22 60.68 10.22 0.9 0 1.69 NA NA 65.95
1980023 1980 01 23 142.27 15.17 2.32 0 1.04 NA NA 50.65
1980024 1980 01 24 131.68 17.82 3.5 0 2.73 NA NA 51.37
1980025 1980 01 25 144.25 15.57 3.31 0 1.99 NA NA 49.5
1980026 1980 01 26 139.94 17.48 4.59 0.19 1.64 NA NA 55.29
1980027 1980 01 27 36.69 11.71 5.62 12.21 1.35 NA NA 83.77
1980028 1980 01 28 115.21 15.01 3.63 0.75 2.47 NA NA 39.12
1980029 1980 01 29 145.43 12.41 0.65 0 1.87 NA NA 34.14
1980030 1980 01 30 147.65 15.14 1.74 0 1.68 NA NA 20.55
1980031 1980 01 31 153.58 13.97 -0.7 0 2.5 NA NA 24.56
1980032 1980 02 01 159.53 15.46 3.72 0 1.34 NA NA 39.95
1980033 1980 02 02 105 12.83 3.63 0 1.26 NA NA 46.18
1980034 1980 02 03 155.61 14.63 3.95 0 2.58 NA NA 38.22
1980035 1980 02 04 153.9 16.35 3.94 0 1.44 NA NA 42.47
1980036 1980 02 05 157.43 16.39 3.6 0 0.97 NA NA 36.54
1980037 1980 02 06 148.52 17.68 3.79 0 2.51 NA NA 23.01
1980038 1980 02 07 167.54 18.44 5.15 0 1.58 NA NA 33.04
1980039 1980 02 08 163.08 16.22 1.56 0 1.75 NA NA 25.76
1980040 1980 02 09 111.27 13.25 1.82 0 2.17 NA NA 48.97
1980041 1980 02 10 61.53 13.61 7.14 0.48 2.49 NA NA 51.23
1980042 1980 02 11 75.44 15.54 7.4 0 4.46 NA NA 46.36
1980043 1980 02 12 102.15 11.71 1.71 0 2.65 NA NA 62.86
1980044 1980 02 13 174.08 15.32 0.66 0 2.07 NA NA 25.18
1980045 1980 02 14 142.73 14.92 3.49 0 2.57 NA NA 46.55
1980046 1980 02 15 97.81 15.92 7.95 0.17 4.21 NA NA 62.96
1980047 1980 02 16 53.85 12.55 8.28 2.44 2.25 NA NA 79.27
1980048 1980 02 17 187.61 18.81 5.53 0 1.24 NA NA 41.97
1980049 1980 02 18 175 16.85 6.24 0 1.23 NA NA 43.32
1980050 1980 02 19 175.23 19.43 6.12 0.14 2.18 NA NA 36.6
1980051 1980 02 20 194.09 17.75 4.96 0 2.13 NA NA 29.58
1980052 1980 02 21 189.19 16.45 3.81 0 1.74 NA NA 34.95
1980053 1980 02 22 170.61 12.9 -1.89 2.61 2.11 NA NA 23.18
1980054 1980 02 23 132.29 13.45 2.09 0 4.88 NA NA 43.83
1980055 1980 02 24 215.3 13.63 1.27 0 3.83 NA NA 24.61
1980056 1980 02 25 186.01 17.87 3.19 0 2.12 NA NA 27.89
1980057 1980 02 26 196.45 17.5 2.63 0 0.32 NA NA 26
1980058 1980 02 27 201.5 14.65 1.39 0 0.73 NA NA 43.75
1980059 1980 02 28 172.98 15.82 6.93 11.57 0.61 NA NA 70.17
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 83.68 11.98 4.54 7.62 2.27 NA NA 63.08
1980062 1980 03 02 135.6 12.13 4.61 1.43 2.24 NA NA 43.33
1980063 1980 03 03 35.07 11.92 5.12 12.49 2.19 NA NA 45.24
1980064 1980 03 04 103.03 16.76 8.02 7.5 2.55 NA NA 27.24
1980065 1980 03 05 187.54 18.84 7.62 0 1.78 NA NA 21.7
1980066 1980 03 06 140.45 17.01 6.04 0 2.05 NA NA 25.37
1980067 1980 03 07 106.42 13.31 1.5 2.96 3.01 NA NA 39.22
1980068 1980 03 08 167.76 15.8 4.21 2.14 3.23 NA NA 23
1980069 1980 03 09 75.14 10.19 3.74 0 5.55 NA NA 37.09
1980070 1980 03 10 68 4.76 0.2 50.86 5.07 NA NA 70.29
1980071 1980 03 11 122.67 23.39 9.85 2.31 5.66 NA NA 43.85
1980072 1980 03 12 209.22 8.79 3.54 0 4.88 NA NA 29.83
1980073 1980 03 13 144.43 13.06 2.84 4.88 2.9 NA NA 42.1
1980074 1980 03 14 218.42 14.86 6.08 0 3.04 NA NA 33.44
1980075 1980 03 15 221.38 18.66 6.82 0 0.4 NA NA 26.94
1980076 1980 03 16 212.77 16.1 3.89 0 2.06 NA NA 30.66
1980077 1980 03 17 166.37 24.73 9.25 1.51 2.54 NA NA 51.77
1980078 1980 03 18 169.71 18.09 7.87 0 2.83 NA NA 42.42
1980079 1980 03 19 189.79 20.98 8.75 0 2.39 NA NA 40.65
1980080 1980 03 20 169.46 19.73 7.8 0 3.26 NA NA 46.37
1980081 1980 03 21 250.65 15.43 4.47 0 3.23 NA NA 21.9
1980082 1980 03 22 259.3 15.19 0.24 0 1.79 NA NA 27.18
1980083 1980 03 23 119.43 20.35 5.25 13.11 3.71 NA NA 64.78
1980084 1980 03 24 226.88 8.25 2.96 0 3.41 NA NA 30.81
1980085 1980 03 25 202.88 15.9 4.01 0 1.21 NA NA 33.45
1980086 1980 03 26 238.53 16.24 2.86 0 1.51 NA NA 30.54
1980087 1980 03 27 203.96 23.8 8.6 0 3.12 NA NA 40.88
1980088 1980 03 28 256.35 20.01 8.27 0 0.7 NA NA 34.16
1980089 1980 03 29 257.73 20.23 8.56 0 2.13 NA NA 31.03
1980090 1980 03 30 261.42 24.64 10.52 0 2.31 NA NA 26.84
1980091 1980 03 31 253.72 24.36 10.82 0 1.5 NA NA 31.12
1980092 1980 04 01 241.4 27.03 13.06 0 2.37 NA NA 27.39
1980093 1980 04 02 149.86 16.67 8.37 3.92 3.05 NA NA 46.11
1980094 1980 04 03 146.86 16.2 7.63 0 2.65 NA NA 43.03
1980095 1980 04 04 179.19 14.24 5.09 0 2.09 NA NA 44.08
1980096 1980 04 05 215.37 19.59 5.92 0.26 2.51 NA NA 32.61
1980097 1980 04 06 73.66 19.44 6.81 12.32 3.21 NA NA 41.18
1980098 1980 04 07 294.54 9.77 2.66 0 1.83 NA NA 26.71
1980099 1980 04 08 135 19.65 5.21 3.76 2.58 NA NA 40.83
1980100 1980 04 09 254.98 17.42 5.74 0 4.2 NA NA 33.38
1980101 1980 04 10 306.8 14.7 3.5 0 2.03 NA NA 14.23
1980102 1980 04 11 279.1 20.63 6.3 0 0.86 NA NA 20.33
1980103 1980 04 12 310.62 18.65 5.65 0 0.99 NA NA 22.54
1980104 1980 04 13 305.48 22.54 6.14 0 1.44 NA NA 33.24
1980105 1980 04 14 98.75 25.18 9.62 7.15 2.49 NA NA 70.1
1980106 1980 04 15 103.44 11.02 6.18 6.53 1.94 NA NA 46.23
1980107 1980 04 16 126.77 11.52 3.92 2.24 2.36 NA NA 43.85
1980108 1980 04 17 243.76 21.66 10.24 0 1.9 NA NA 24.56
1980109 1980 04 18 240.23 20.11 7.75 4.11 2.18 NA NA 42.27
1980110 1980 04 19 294.22 18.52 6.24 0 2.71 NA NA 30.4
1980111 1980 04 20 271.97 16.53 3.95 0.42 1.48 NA NA 18.66
1980112 1980 04 21 293.26 18.63 4.98 0 1.24 NA NA 24.5
1980113 1980 04 22 299.7 18.22 3.29 0 2.05 NA NA 26.58
1980114 1980 04 23 259.44 22.65 6.46 0 2.43 NA NA 34.93
1980115 1980 04 24 142.84 21.64 7.67 3.7 2.25 NA NA 54.62
1980116 1980 04 25 162.9 12.57 5.2 2.84 3.43 NA NA 33.45
1980117 1980 04 26 155.07 20.37 9.78 3.2 3.25 NA NA 50.16
1980118 1980 04 27 194.41 17.4 8.44 0 2.35 NA NA 46.44
1980119 1980 04 28 82.13 14.41 6.45 2.77 3.93 NA NA 75.16
1980120 1980 04 29 156.85 7.83 2.16 0 3.86 NA NA 74.78
1980121 1980 04 30 164.94 11.43 7.06 0 4.87 NA NA 35.98
1980122 1980 05 01 263.75 18.32 6.06 0 3.72 NA NA 34.08
1980123 1980 05 02 223.48 19.51 6.02 0 3.27 NA NA 34.41
1980124 1980 05 03 213.34 23.64 9.62 0 2.29 NA NA 49.33
