*WEATHER DATA - Station:Policoro - BADJAM DATA - BADJer: PIK - Method: ISIMIP3 - Source model: multi
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Policoro 40.2 16.66 95.35 15.88 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 61.33 9.52 2.2 0 1.97 NA NA 65.09
1980002 1980 01 02 57.78 13.23 7.1 1.67 0.15 NA NA 82.11
1980003 1980 01 03 68.27 10.82 6.54 0 0.28 NA NA 76.86
1980004 1980 01 04 104.94 11.48 3.85 0 0.96 NA NA 61.76
1980005 1980 01 05 103.27 11.49 3.89 0 1.02 NA NA 59.07
1980006 1980 01 06 106.31 11.11 3.93 0 1.73 NA NA 59.19
1980007 1980 01 07 91.83 11.78 4.53 0 1.24 NA NA 67.67
1980008 1980 01 08 60.82 12.17 6.76 0 0.94 NA NA 65.77
1980009 1980 01 09 71.77 12.78 7.65 0 0.73 NA NA 71.69
1980010 1980 01 10 86.68 10.8 5.41 0 1.75 NA NA 68.44
1980011 1980 01 11 13.35 10.66 6.77 9.33 2.63 NA NA 81.89
1980012 1980 01 12 48.02 8.8 5.84 15.83 3.16 NA NA 85.46
1980013 1980 01 13 49.24 9.47 4.36 4.08 1.25 NA NA 80.51
1980014 1980 01 14 100.77 10.48 5.66 0 0.95 NA NA 60.04
1980015 1980 01 15 94.62 9.69 3.78 0 1.71 NA NA 57.36
1980016 1980 01 16 96.65 10.25 3.93 0 1.84 NA NA 44.98
1980017 1980 01 17 79.35 8.25 0.24 2.26 5.04 NA NA 80.65
1980018 1980 01 18 84.94 10.19 5.4 0 1.17 NA NA 67.29
1980019 1980 01 19 92.14 9.26 2.31 0 2.78 NA NA 57.7
1980020 1980 01 20 65.41 15.76 8.87 0 4.23 NA NA 74.09
1980021 1980 01 21 71.53 16 9.88 0 1.43 NA NA 74.39
1980022 1980 01 22 113.41 14.26 8.48 0 0.77 NA NA 68.11
1980023 1980 01 23 85.28 13.48 7.76 0 0.51 NA NA 70.13
1980024 1980 01 24 94.73 13.5 7.18 0 1.65 NA NA 54.69
1980025 1980 01 25 68.33 13.85 8.31 0.12 4.68 NA NA 76.04
1980026 1980 01 26 62.77 14.17 7.52 2.97 5.13 NA NA 63.85
1980027 1980 01 27 118.18 10.34 4.16 0 1.34 NA NA 38
1980028 1980 01 28 103.41 8.02 1.83 0 4.85 NA NA 46.94
1980029 1980 01 29 106.85 11.86 5.15 1.29 5.53 NA NA 46.57
1980030 1980 01 30 82.61 17.49 9.81 0 6.9 NA NA 64.89
1980031 1980 01 31 90.64 13.27 8.94 0.46 4.27 NA NA 71.35
1980032 1980 02 01 138.89 12.07 5.28 0 2.97 NA NA 32.49
1980033 1980 02 02 148.26 15.01 5.78 0 3.09 NA NA 30.82
1980034 1980 02 03 145.29 11.96 5.16 0 3.86 NA NA 32.36
1980035 1980 02 04 130.1 12.62 5.4 0 4.22 NA NA 34.85
1980036 1980 02 05 122.06 15.96 6.46 0.52 4.27 NA NA 36.55
1980037 1980 02 06 51.18 7.91 5.09 0 2.68 NA NA 64.82
1980038 1980 02 07 134 7.8 1.93 0 3.91 NA NA 43.87
1980039 1980 02 08 125.24 13.86 5 0.6 3.54 NA NA 37.22
1980040 1980 02 09 52.82 13.56 5.83 0.59 5.61 NA NA 51.84
1980041 1980 02 10 73.66 5.79 1.58 0.39 5.61 NA NA 52.6
1980042 1980 02 11 155.65 9.4 5.52 0 1.15 NA NA 44.62
1980043 1980 02 12 69.73 6.06 1.9 0.39 3 NA NA 46.84
1980044 1980 02 13 148.77 7.61 3.97 0 1.41 NA NA 39.33
1980045 1980 02 14 118.52 6.96 2.02 0 3.27 NA NA 33.04
1980046 1980 02 15 82.61 9.97 2.32 1.26 3.09 NA NA 32.96
1980047 1980 02 16 69.39 12.37 7.41 3.3 4.24 NA NA 63.25
1980048 1980 02 17 101.01 11.91 6.94 0.42 1.91 NA NA 61.25
1980049 1980 02 18 105.85 8.49 3.99 0 4.67 NA NA 48.72
1980050 1980 02 19 137.49 9.72 4.35 0 5.59 NA NA 42.41
1980051 1980 02 20 178 10.86 3.17 0 3.3 NA NA 43.74
1980052 1980 02 21 81.86 12.74 4.54 0.37 2.17 NA NA 49.03
1980053 1980 02 22 53.76 11.57 6.4 1.22 3.1 NA NA 67.78
1980054 1980 02 23 53.42 13.23 9.02 0.49 2.09 NA NA 72.22
1980055 1980 02 24 85.19 11.05 6.9 3.31 2.73 NA NA 60.75
1980056 1980 02 25 11.15 12.93 8.79 3.8 1.58 NA NA 71.16
1980057 1980 02 26 161.57 12.15 7.6 0 1.24 NA NA 56.3
1980058 1980 02 27 164.87 10.76 6.53 0 1.85 NA NA 54.42
1980059 1980 02 28 123.16 12.54 6.77 0 3.21 NA NA 41.56
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 149.85 10.93 4.42 0 3.8 NA NA 43.82
1980062 1980 03 02 183.1 16.28 7 0 1.96 NA NA 28.98
1980063 1980 03 03 130.78 15.26 6.25 0 2.07 NA NA 42.45
1980064 1980 03 04 93.04 12.37 3.99 0 2.36 NA NA 57.12
1980065 1980 03 05 153.71 10.27 5.66 0 2.37 NA NA 37.15
1980066 1980 03 06 154.07 18.55 11.97 0 0.43 NA NA 22.23
1980067 1980 03 07 98.56 11.97 5.64 1.48 3.72 NA NA 42.43
1980068 1980 03 08 67.94 11.59 5.61 3.25 4.38 NA NA 50.77
1980069 1980 03 09 135.98 16.13 8.28 7.75 2.96 NA NA 58.26
1980070 1980 03 10 88.96 12.11 6.5 2.14 3.33 NA NA 63.25
1980071 1980 03 11 147.48 11.09 6.62 0 5.36 NA NA 37.98
1980072 1980 03 12 183.11 18.26 8.99 0 7.21 NA NA 52.44
1980073 1980 03 13 66.76 13.69 6.44 2.51 3.17 NA NA 47.95
1980074 1980 03 14 217.91 21.24 7.47 1 1.78 NA NA 33.99
1980075 1980 03 15 62.38 15.9 4.82 0.78 3.81 NA NA 43.97
1980076 1980 03 16 180.94 9.89 2.72 0 3.74 NA NA 38.04
1980077 1980 03 17 189.35 8.94 3.08 0 4.75 NA NA 35.79
1980078 1980 03 18 146.28 12.81 6.59 0 3.16 NA NA 40.91
1980079 1980 03 19 162.26 11.37 5.3 0.6 2.27 NA NA 42.86
1980080 1980 03 20 220.28 11.12 5.59 0 1.21 NA NA 35.25
1980081 1980 03 21 40.69 13.98 6.85 8.31 3.73 NA NA 51.35
1980082 1980 03 22 126.91 15.2 7.67 3.91 3.57 NA NA 44.51
1980083 1980 03 23 170.25 11.99 6.5 0 3.77 NA NA 42
1980084 1980 03 24 66.77 18.17 9.87 5.57 3.9 NA NA 68.4
1980085 1980 03 25 212.28 11.54 7.99 0 2.45 NA NA 43.17
1980086 1980 03 26 259.27 13.04 5.92 0 3.09 NA NA 40.62
1980087 1980 03 27 124.75 15.07 7.58 7.16 4.47 NA NA 42.25
1980088 1980 03 28 218.01 16.3 6.55 2.23 2.21 NA NA 49.94
1980089 1980 03 29 161.35 11.65 5.99 0 7.38 NA NA 35.99
1980090 1980 03 30 126.41 8.18 3.96 0 5.37 NA NA 42.04
1980091 1980 03 31 125.04 9.99 6.28 1.9 5.39 NA NA 51.5
1980092 1980 04 01 159.51 13 7.99 1.51 4.12 NA NA 48.83
1980093 1980 04 02 188.49 13.02 8.03 0 3.45 NA NA 40.99
1980094 1980 04 03 202.07 17.34 8.47 0 2.21 NA NA 34.09
1980095 1980 04 04 162.62 21.54 10.2 0 3.83 NA NA 42.46
1980096 1980 04 05 216.94 16.41 9.19 0 4.5 NA NA 42.42
1980097 1980 04 06 240.48 19.18 9.89 0 2.32 NA NA 31.89
1980098 1980 04 07 65.25 17.28 9.06 14.91 0.13 NA NA 73.86
1980099 1980 04 08 296.91 9.01 5.05 0 3.05 NA NA 28.13
1980100 1980 04 09 266.69 19.67 9.9 0 2.46 NA NA 22.94
1980101 1980 04 10 188.99 19.54 8.68 0.36 2.87 NA NA 42.71
1980102 1980 04 11 95.38 14.41 7.57 2.54 3.08 NA NA 47.07
1980103 1980 04 12 210.82 14.89 10.57 0 1.82 NA NA 40.15
1980104 1980 04 13 64.51 14.66 9.38 4.89 3.39 NA NA 56.36
1980105 1980 04 14 210.82 13.9 8.62 0 2.99 NA NA 45.62
1980106 1980 04 15 199.94 17.14 10.07 0 1.74 NA NA 45.1
1980107 1980 04 16 238.85 16.54 9.52 0 2.3 NA NA 41.03
1980108 1980 04 17 196.95 17.63 9.43 0 2.99 NA NA 53.15
1980109 1980 04 18 110.37 15.71 8.42 3.03 3.86 NA NA 61.18
1980110 1980 04 19 184.46 14.34 9.43 26.85 2.42 NA NA 73.49
1980111 1980 04 20 271.44 12.61 9.34 0 1.65 NA NA 35.39
1980112 1980 04 21 196.6 20.08 10.26 0 1.54 NA NA 46.86
1980113 1980 04 22 252.6 20.12 11.49 0 0.43 NA NA 45.19
1980114 1980 04 23 278.99 17.04 11.04 0 1.59 NA NA 41.42
1980115 1980 04 24 284.03 19.21 10.71 0 1.62 NA NA 36.66
1980116 1980 04 25 170.45 20.33 9.87 3.2 5.77 NA NA 51.32
1980117 1980 04 26 175.81 19.16 11.75 18.87 5.09 NA NA 64.66
1980118 1980 04 27 271.94 14.31 10.57 2.16 3.41 NA NA 43.22
1980119 1980 04 28 254.13 17.39 11.6 0 1.44 NA NA 42.28
1980120 1980 04 29 300.24 20.14 11.33 0 1.25 NA NA 43.69
1980121 1980 04 30 237.73 22.03 11.66 0 4.06 NA NA 42.3
1980122 1980 05 01 147.51 23.25 12.62 0.7 3.19 NA NA 44.08
1980123 1980 05 02 182.49 17.49 11.8 0 1.98 NA NA 39.97
1980124 1980 05 03 218.18 17.31 11.73 0 2.62 NA NA 32.02
1980125 1980 05 04 118.68 15.78 10.89 0.83 4.38 NA NA 46.27
1980126 1980 05 05 282.77 15.5 10.31 0 5.01 NA NA 21.55
1980127 1980 05 06 261.39 22.27 11.6 0 3.27 NA NA 22.85
1980128 1980 05 07 195.79 21.37 11.19 0 4.92 NA NA 40.12
1980129 1980 05 08 245.82 19.24 12.24 0 4.81 NA NA 25.86
1980130 1980 05 09 239.47 24.47 13.99 0 2.4 NA NA 27.67
1980131 1980 05 10 318.26 19.36 10.5 0.97 3.21 NA NA 34.04
1980132 1980 05 11 286.16 22.14 11.72 1.11 4.16 NA NA 27.6
1980133 1980 05 12 279.17 23.22 13.66 0 1.97 NA NA 29.26
1980134 1980 05 13 183.8 25.39 12.87 0 3.02 NA NA 31.89
1980135 1980 05 14 260.8 24.32 14.43 0 1.07 NA NA 21.21
1980136 1980 05 15 212.88 26.49 13.1 0 1.72 NA NA 32.21
1980137 1980 05 16 243.59 21.71 13.39 0.72 4.51 NA NA 38.96
1980138 1980 05 17 244.55 19.49 13.57 0 2.78 NA NA 35.89
1980139 1980 05 18 292.83 21.85 13.19 0 2.1 NA NA 21.59
1980140 1980 05 19 146.57 23.66 12.85 11.39 2.76 NA NA 47.17
1980141 1980 05 20 148.75 17.74 14.19 17.85 1.5 NA NA 46.72
1980142 1980 05 21 167.54 15.29 12.84 5.13 1.93 NA NA 39.31
1980143 1980 05 22 156.15 19.85 12.43 4.26 1.82 NA NA 39.98
1980144 1980 05 23 275.98 17.48 11.11 8.72 1.61 NA NA 41.24
1980145 1980 05 24 150.81 21.78 12.49 10.62 1.75 NA NA 42.84
1980146 1980 05 25 126.96 22.35 12.82 1.99 2.08 NA NA 49.77
1980147 1980 05 26 97.64 15.69 12.35 13.5 1.61 NA NA 62.6
1980148 1980 05 27 268.21 15.85 12.19 0 3.86 NA NA 43.82
1980149 1980 05 28 272.79 25.19 15.58 0 2.2 NA NA 37.83
1980150 1980 05 29 306.3 22.8 12.98 0 4.55 NA NA 44.57
1980151 1980 05 30 147.05 19.72 11.28 0.7 5.19 NA NA 56.97
1980152 1980 05 31 160.71 21.17 13.69 5.95 2.47 NA NA 40.33
1980153 1980 06 01 215.58 22.66 14.28 3.1 1.88 NA NA 47.5
1980154 1980 06 02 327.27 22 13.48 0 3.62 NA NA 14.17
1980155 1980 06 03 361.25 22.61 13.66 0 2.06 NA NA 17.02
1980156 1980 06 04 286.83 24.69 13.77 0 4.22 NA NA 22.34
1980157 1980 06 05 335.01 29.07 16.03 0 1.63 NA NA 20.94
1980158 1980 06 06 320.95 31.92 17.45 0 1.16 NA NA 19.09
1980159 1980 06 07 364.84 27.75 16.89 0 2.2 NA NA 21.55
1980160 1980 06 08 359.75 24.94 14.38 0 2.85 NA NA 18.52
1980161 1980 06 09 369.24 25.92 14.71 0.6 0.96 NA NA 16.08
1980162 1980 06 10 346.54 30.26 17.67 0 0.2 NA NA 15.15
1980163 1980 06 11 142.8 28.97 16.65 0 0.75 NA NA 23.13
1980164 1980 06 12 348.56 23.31 16.32 0 3.14 NA NA 18.59
1980165 1980 06 13 338.95 25.23 15.51 0 2.51 NA NA 18.71
1980166 1980 06 14 334.53 24.38 15.09 0 0.41 NA NA 15.45
1980167 1980 06 15 335.49 27.72 15.73 0 1.15 NA NA 14.96
1980168 1980 06 16 370.21 24.51 14.04 0 3.69 NA NA 19.53
1980169 1980 06 17 325.32 22.76 14.38 0 3.37 NA NA 19.71
1980170 1980 06 18 344.15 24.49 14.98 0 2.07 NA NA 19.04
1980171 1980 06 19 318.47 26.06 16.33 0 1.94 NA NA 19.71
1980172 1980 06 20 336.65 28.8 16.76 0 2.63 NA NA 17.96
