*WEATHER DATA - Station:Nabeul - BADJAM DATA - BADJer: UC - Method: EQM - Source model: CSIRO
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Nabeul 36.75 10.75 781.41 17.92 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 113.43 14.2 7 0 4.1 NA NA 36.6
1980002 1980 01 02 115.74 16.1 6.4 0 3.5 NA NA 31.6
1980003 1980 01 03 98.38 22.5 6.79 0 4.5 NA NA 23.3
1980004 1980 01 04 114.58 24 10.4 8.7 4.5 NA NA 29
1980005 1980 01 05 90.28 13.2 5.9 0 5.5 NA NA 45.2
1980006 1980 01 06 116.9 11.1 5.4 0 3 NA NA 25.5
1980007 1980 01 07 91.44 10.4 5.1 0 3.6 NA NA 41.1
1980008 1980 01 08 74.07 9.4 4.8 0 2.7 NA NA 42.6
1980009 1980 01 09 90.64 9.5 3.7 0 1.4 NA NA 36.5
1980010 1980 01 10 75.23 13.4 6.5 0 2.1 NA NA 34.21
1980011 1980 01 11 62.5 14 7.1 3 2.2 NA NA 70.8
1980012 1980 01 12 57.87 15.7 9.8 1.1 1.9 NA NA 78.27
1980013 1980 01 13 62.5 15.7 9.8 8.3 4.3 NA NA 63.1
1980014 1980 01 14 91.44 18.5 12.3 6.76 5.2 NA NA 66.6
1980015 1980 01 15 120.37 19.3 8.7 0 2.7 NA NA 65.3
1980016 1980 01 16 67.13 15.6 8.5 17.2 4 NA NA 76.11
1980017 1980 01 17 87.96 14.3 4.6 0 3.1 NA NA 45.4
1980018 1980 01 18 100.69 16.8 3.2 0 2.2 NA NA 39.2
1980019 1980 01 19 127.31 18.3 7.5 0 1.9 NA NA 52.1
1980020 1980 01 20 121.53 20.8 10.5 0 2.3 NA NA 41.8
1980021 1980 01 21 131.94 21.8 8.3 1.1 3.4 NA NA 38.4
1980022 1980 01 22 121.21 26.2 14.9 1.4 3.4 NA NA 29.1
1980023 1980 01 23 128.47 23.3 13.9 1.1 3 NA NA 38.8
1980024 1980 01 24 122.69 18.1 12.3 0 3.6 NA NA 51.6
1980025 1980 01 25 116.9 24 13.2 10.1 4.6 NA NA 28.8
1980026 1980 01 26 135.42 18.6 9.4 2.7 2.2 NA NA 61.6
1980027 1980 01 27 55.56 18.2 7.3 8.3 3.2 NA NA 67.9
1980028 1980 01 28 146.99 20.9 7.7 0 2.7 NA NA 53.95
1980029 1980 01 29 113.43 25 15.8 1.8 4.4 NA NA 49.2
1980030 1980 01 30 79.86 24.1 13.1 5.87 2.2 NA NA 55.3
1980031 1980 01 31 145.83 20.9 9.3 0 3.8 NA NA 43
1980032 1980 02 01 108.8 16.6 11.3 0 6.1 NA NA 45.2
1980033 1980 02 02 63.66 13.8 7.5 0 4.5 NA NA 51.2
1980034 1980 02 03 91.44 12.5 6.9 0 5.6 NA NA 33.7
1980035 1980 02 04 144.68 13.7 7.2 0 5 NA NA 24.3
1980036 1980 02 05 63.66 14.3 9 0 5.1 NA NA 44.8
1980037 1980 02 06 129.63 13.4 6.5 0 5 NA NA 27.6
1980038 1980 02 07 142.36 12.4 0.83 0 1.3 NA NA 26
1980039 1980 02 08 150.46 14.1 0.79 0 0.6 NA NA 32.7
1980040 1980 02 09 151.62 14.6 -0.14 0 0.5 NA NA 30.5
1980041 1980 02 10 144.68 16.4 1.4 0 1.4 NA NA 39.1
1980042 1980 02 11 140.05 18 9.2 0 3.7 NA NA 48.9
1980043 1980 02 12 157.41 20 11.1 0 4.2 NA NA 42
1980044 1980 02 13 109.95 22.2 12.6 0 2.7 NA NA 32.5
1980045 1980 02 14 128.47 19.1 11.9 0 4 NA NA 61.4
1980046 1980 02 15 133.1 18.8 9.2 0 3.7 NA NA 64.3
1980047 1980 02 16 152.78 18.1 5.4 1.48 0.9 NA NA 61.7
1980048 1980 02 17 104.17 16.4 5.5 6.4 0.4 NA NA 67.2
1980049 1980 02 18 93.75 15.6 7.2 5 3.1 NA NA 71.69
1980050 1980 02 19 123.84 17 7.1 0 3.5 NA NA 44.6
1980051 1980 02 20 168.98 23.2 10.3 0 2.4 NA NA 32.6
1980052 1980 02 21 151.62 25.6 12.3 0 2.1 NA NA 28.9
1980053 1980 02 22 97.22 19.3 13.7 2.2 0.4 NA NA 74.32
1980054 1980 02 23 123.84 18.3 10.2 3 1 NA NA 74
1980055 1980 02 24 149.31 20.2 10.2 0 3.5 NA NA 62.4
1980056 1980 02 25 178.24 20.9 13.3 0 5 NA NA 56.9
1980057 1980 02 26 183.56 21.6 16 0 6.7 NA NA 50.84
1980058 1980 02 27 159.72 20.2 15.1 0 5.5 NA NA 60.4
1980059 1980 02 28 104.17 18.6 15.3 0 5.7 NA NA 65.3
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 100.69 18.1 14.9 0 3.9 NA NA 66.3
1980062 1980 03 02 123.84 17.8 9.65 0 1.2 NA NA 67.9
1980063 1980 03 03 133.1 18.98 10.3 0 0.8 NA NA 64.7
1980064 1980 03 04 192.13 22.4 11.9 0 3.9 NA NA 47.9
1980065 1980 03 05 192.13 19 11.2 0 4 NA NA 52.5
1980066 1980 03 06 189.81 19.1 11.7 0 4.6 NA NA 51.6
1980067 1980 03 07 150.46 18.7 11 0 4.4 NA NA 52.1
1980068 1980 03 08 192.13 19.69 10.5 0 4 NA NA 47.2
1980069 1980 03 09 175.93 20 12 0 4.7 NA NA 55.09
1980070 1980 03 10 150.38 19.72 9.2 0 2.4 NA NA 61.89
1980071 1980 03 11 199.07 20.1 8.2 0 1.1 NA NA 58.12
1980072 1980 03 12 86.81 17.3 13.8 20.72 3.4 NA NA 81.5
1980073 1980 03 13 113.43 17.8 10.1 9.3 5.8 NA NA 58.1
1980074 1980 03 14 204.86 13.1 4.6 1.1 4.6 NA NA 37.46
1980075 1980 03 15 207.18 13.7 1.2 0 2.3 NA NA 19.6
1980076 1980 03 16 180.56 20.5 9.7 0 5.2 NA NA 25.93
1980077 1980 03 17 158.56 23.2 11.3 2.4 4 NA NA 29.3
1980078 1980 03 18 156.25 18.1 11 0 4.2 NA NA 47.3
1980079 1980 03 19 151.62 18 10.49 2.9 2.8 NA NA 49.3
1980080 1980 03 20 145.83 15 7.3 2 3.5 NA NA 52.8
1980081 1980 03 21 175.93 14.9 5.9 0 2.5 NA NA 21.7
1980082 1980 03 22 227.14 14 5.1 0 2.4 NA NA 26.4
1980083 1980 03 23 209.49 13 5.8 0 4.1 NA NA 23.6
1980084 1980 03 24 207.18 11.1 5.5 0 4.4 NA NA 21.79
1980085 1980 03 25 188.66 12.4 5.7 0 2.8 NA NA 16.7
1980086 1980 03 26 211.81 14 1.7 0 1.9 NA NA 18.8
1980087 1980 03 27 230.32 19 1.2 0 1.1 NA NA 17.7
1980088 1980 03 28 244.21 24.3 3.5 0 2.1 NA NA 16.9
1980089 1980 03 29 203.7 22.4 11.1 0 4 NA NA 29.97
1980090 1980 03 30 165.51 18.3 10.4 0 6.2 NA NA 43.8
1980091 1980 03 31 217.59 13.8 7.1 0 6.2 NA NA 21.28
1980092 1980 04 01 236.11 13.3 2.5 0 3 NA NA 16.7
1980093 1980 04 02 239.73 15.4 1.21 0 2.1 NA NA 17.21
1980094 1980 04 03 248.84 20.8 7.3 0 3.9 NA NA 22.65
1980095 1980 04 04 82.18 15 8.8 13.4 5.2 NA NA 68.8
1980096 1980 04 05 172.93 13.6 8 0 7.69 NA NA 41.6
1980097 1980 04 06 152.78 14.9 9 1.05 8.55 NA NA 44
1980098 1980 04 07 68.29 15 9.5 2.2 5.5 NA NA 67
1980099 1980 04 08 211.81 17.4 5.3 0 2.9 NA NA 28.6
1980100 1980 04 09 255.79 22.3 5.5 0 4.8 NA NA 32.1
1980101 1980 04 10 133.1 21.2 11.2 10.1 5.3 NA NA 49.4
1980102 1980 04 11 195.6 19 7.6 0 5.1 NA NA 39.7
1980103 1980 04 12 190.97 19.8 5.6 1.2 3.5 NA NA 34
1980104 1980 04 13 266.2 16.8 8 0 5 NA NA 20.6
1980105 1980 04 14 210.31 15.3 6.4 0 4 NA NA 22.9
1980106 1980 04 15 265.05 17.4 3.2 0 1.4 NA NA 19.9
1980107 1980 04 16 123.84 18.3 10.86 6.6 3.3 NA NA 68
1980108 1980 04 17 271.99 19.2 7.7 0 2.6 NA NA 51.6
1980109 1980 04 18 263.89 19.3 5.8 0 1.6 NA NA 36.6
1980110 1980 04 19 234.95 20.3 7.7 0 3.2 NA NA 48
1980111 1980 04 20 76.39 17.2 8.7 4.1 2.5 NA NA 71
1980112 1980 04 21 155.09 18 7.6 4.6 1.4 NA NA 59.7
1980113 1980 04 22 245.37 19.4 7.5 7.6 3.2 NA NA 47
1980114 1980 04 23 267.36 20.5 7 0 4 NA NA 45.65
1980115 1980 04 24 268.52 25.7 6.8 0 3.9 NA NA 27
1980116 1980 04 25 274.52 23.6 13 0 2.6 NA NA 32
1980117 1980 04 26 209.49 20.73 9.2 0 3.3 NA NA 43.9
1980118 1980 04 27 171.3 19.29 8.8 3.47 3.1 NA NA 49.4
1980119 1980 04 28 238.43 19.5 10.8 0 5.3 NA NA 43.4
1980120 1980 04 29 285.88 22.4 6.5 0 2.3 NA NA 42.1
1980121 1980 04 30 247.69 25.5 5.8 0.75 1.9 NA NA 24.7
1980122 1980 05 01 170.14 24.31 14.8 4.1 4 NA NA 38.9
1980123 1980 05 02 100.69 20.8 14.79 1.9 3.4 NA NA 65.6
1980124 1980 05 03 113.43 20.6 13 1.1 6.4 NA NA 56.9
1980125 1980 05 04 273.15 25 12.4 1.9 4.5 NA NA 29.1
1980126 1980 05 05 296.3 24.18 12.6 0 4.5 NA NA 27.6
1980127 1980 05 06 284.72 25.1 9.7 0 3.3 NA NA 21.4
1980128 1980 05 07 300.93 22.1 10.4 0 2.3 NA NA 24.5
1980129 1980 05 08 203.96 23.1 9.6 0 2.8 NA NA 34.2
1980130 1980 05 09 310.19 22.9 9.1 0 3.6 NA NA 28.8
1980131 1980 05 10 282.41 22.12 5.7 0 0.7 NA NA 37
1980132 1980 05 11 321.76 22.36 6.7 0 1.7 NA NA 39.2
1980133 1980 05 12 295.14 23.4 8.1 0 0.9 NA NA 37.49
1980134 1980 05 13 304.4 26.7 7 0 1.6 NA NA 25.3
