*WEATHER DATA - Station:Wageningen - BADJAM DATA - BADJer: UC - Method: EQM - Source model: ICHEC
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Wageningen 51.97 5.63 621.49 10.61 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 16.2 11.9 3.9 8.17 5.8 NA NA 51.7
1980002 1980 01 02 25.46 9.5 4.7 0 7.2 NA NA 44.7
1980003 1980 01 03 37.04 6.7 3.2 0 4.8 NA NA 59.4
1980004 1980 01 04 47.45 11.1 3 0 4.7 NA NA 44.1
1980005 1980 01 05 43.98 10.6 6.7 0 4.6 NA NA 65.4
1980006 1980 01 06 41.67 12.6 7.98 0 5.4 NA NA 47.5
1980007 1980 01 07 48.61 10.8 5.1 0 4 NA NA 55.1
1980008 1980 01 08 40.51 9.3 3.7 0 2.5 NA NA 68.4
1980009 1980 01 09 42.82 8.5 3 0 2.4 NA NA 71.5
1980010 1980 01 10 30.09 9.5 4.5 0 2.8 NA NA 80.9
1980011 1980 01 11 17.36 9 6.9 8.7 3.5 NA NA 88
1980012 1980 01 12 28.94 10.6 7 0 6 NA NA 71.6
1980013 1980 01 13 25.46 9.3 5 6.1 6.1 NA NA 65.9
1980014 1980 01 14 26.62 4.7 2.1 1.8 6.6 NA NA 51.8
1980015 1980 01 15 30.09 5.7 2.1 0 3.6 NA NA 58.1
1980016 1980 01 16 48.61 5 1.1 0 5.2 NA NA 55
1980017 1980 01 17 17.36 11.5 5.33 1.2 5.9 NA NA 81.5
1980018 1980 01 18 16.2 12.5 9.6 0 8.2 NA NA 73.2
1980019 1980 01 19 11.57 12 9.9 8.8 6 NA NA 86.4
1980020 1980 01 20 54.4 11.7 8.3 0 7 NA NA 57.2
1980021 1980 01 21 18.52 8.6 3.59 10.5 6 NA NA 79.3
1980022 1980 01 22 19.68 3.9 1.1 1.8 5.6 NA NA 68.1
1980023 1980 01 23 45.14 3.4 0.8 1.1 4.8 NA NA 70.8
1980024 1980 01 24 50.93 3.8 0.5 1.8 4.2 NA NA 54.8
1980025 1980 01 25 18.52 7.1 3.4 6.3 6 NA NA 62.3
1980026 1980 01 26 32.41 5.5 1.1 2.9 5.1 NA NA 67.3
1980027 1980 01 27 31.25 6.8 -0.3 3.82 5.8 NA NA 51.33
1980028 1980 01 28 45.14 5.9 3.9 2.8 6.6 NA NA 62.1
1980029 1980 01 29 17.36 5.8 3.27 3.2 5.5 NA NA 73.2
1980030 1980 01 30 38.19 5.9 1.7 0 4.4 NA NA 74.7
1980031 1980 01 31 67.13 7.9 1.4 3.4 4.9 NA NA 51.8
1980032 1980 02 01 25.46 5 3.4 5.9 5.4 NA NA 79.8
1980033 1980 02 02 30.09 3.51 2.4 3.6 5.4 NA NA 86.03
1980034 1980 02 03 28.94 5.1 3.3 3.2 5.2 NA NA 80.9
1980035 1980 02 04 23.15 7.6 3.1 8.7 2.3 NA NA 82.6
1980036 1980 02 05 53.24 7.8 4.1 2.95 4.8 NA NA 59.5
1980037 1980 02 06 23.15 9 5 7.59 6.6 NA NA 71.06
1980038 1980 02 07 30.09 6.6 2.8 4.8 5.8 NA NA 79.3
1980039 1980 02 08 77.55 6.1 0.8 0 5 NA NA 44.1
1980040 1980 02 09 81.02 7.23 1 0 4.2 NA NA 53.3
1980041 1980 02 10 56.71 8.8 3 0 3.9 NA NA 59.3
1980042 1980 02 11 87.96 8.7 2.6 0 3.4 NA NA 47.5
1980043 1980 02 12 79.86 9.3 2.3 3.2 4 NA NA 48.9
1980044 1980 02 13 21.99 5.1 2 2.4 5 NA NA 69.1
1980045 1980 02 14 57.87 5.7 -0.2 0 3.2 NA NA 56.1
1980046 1980 02 15 15.05 12.2 0.7 12.2 5.6 NA NA 63.3
1980047 1980 02 16 30.09 12.3 10.2 6 7.2 NA NA 78.23
1980048 1980 02 17 56.71 11.3 5.3 0 3.85 NA NA 78.1
1980049 1980 02 18 103.01 16.2 6 0 5 NA NA 51.4
1980050 1980 02 19 109.95 14.5 7.9 0 4.7 NA NA 55.3
1980051 1980 02 20 43.98 13.6 5.7 0 3.9 NA NA 67.7
1980052 1980 02 21 109.95 13.8 2.8 0 1.5 NA NA 51.8
1980053 1980 02 22 40.51 11.6 4.9 0 2.2 NA NA 70.7
1980054 1980 02 23 67.13 6.1 -1 3 6.1 NA NA 57.9
1980055 1980 02 24 109.95 1 -3.9 0 5.5 NA NA 39.7
1980056 1980 02 25 86.81 2.5 -4.3 5.4 4.5 NA NA 50
1980057 1980 02 26 82.18 5.1 1.7 2.3 3.4 NA NA 63.4
1980058 1980 02 27 38.19 15.7 3.8 7.65 5.1 NA NA 57.2
1980059 1980 02 28 48.61 16.6 11.4 6.1 6.3 NA NA 70.6
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 68.29 12.8 6.54 6.3 5 NA NA 55.8
1980062 1980 03 02 99.54 6.1 2 0 4.3 NA NA 51.2
1980063 1980 03 03 26.62 9.9 1.5 4.22 5.6 NA NA 56.88
1980064 1980 03 04 40.51 13.7 9.5 1.8 4.7 NA NA 83.9
1980065 1980 03 05 89.12 10.3 4.2 2.8 2.7 NA NA 74.8
1980066 1980 03 06 126.16 9.9 0.3 4.5 1.8 NA NA 53.24
1980067 1980 03 07 63.66 5.5 1.19 1.44 4.3 NA NA 72.4
1980068 1980 03 08 152.78 5.7 -1.08 0 2.4 NA NA 39.4
1980069 1980 03 09 158.56 4.8 -1.2 0 4.2 NA NA 36.49
1980070 1980 03 10 116.9 5.8 -1 0 5.8 NA NA 41.1
1980071 1980 03 11 131.94 7.5 0.3 0 4.2 NA NA 44.3
1980072 1980 03 12 143.52 9 3.8 0 2.1 NA NA 46.4
1980073 1980 03 13 155.09 7 -0.5 0 3.1 NA NA 40.3
1980074 1980 03 14 171.3 4.7 -3.5 0 1.2 NA NA 36.2
1980075 1980 03 15 190.97 7.3 -2.3 0 2.7 NA NA 33.1
1980076 1980 03 16 41.67 15.6 2.9 5.3 3.2 NA NA 49.1
1980077 1980 03 17 17.36 13.6 7 15.5 4.9 NA NA 85.96
1980078 1980 03 18 122.69 8.6 2.3 0 2 NA NA 55.3
1980079 1980 03 19 33.56 11 3.5 6.1 5.6 NA NA 54.1
1980080 1980 03 20 30.09 13.6 6.3 6.3 5 NA NA 69.7
1980081 1980 03 21 183.03 20.4 11.83 0 6.5 NA NA 42.18
1980082 1980 03 22 116.9 18.2 9.6 6.1 5.3 NA NA 52.7
1980083 1980 03 23 121.53 11.4 4.7 0 4.1 NA NA 48.4
1980084 1980 03 24 202.55 12.1 3.4 0 2.4 NA NA 44.4
1980085 1980 03 25 211.92 14.4 1.6 0 2 NA NA 38.4
1980086 1980 03 26 218.75 19.8 5 0 2.5 NA NA 38.2
1980087 1980 03 27 201.39 21.8 7.6 0 2.8 NA NA 42.2
1980088 1980 03 28 123.84 18.1 7.4 0 2.1 NA NA 50.91
1980089 1980 03 29 56.71 13.1 8.7 9.3 2.2 NA NA 87
1980090 1980 03 30 32.41 10.1 4.7 2 3.6 NA NA 85.7
1980091 1980 03 31 202.55 13.2 2.1 0 1.2 NA NA 43.8
1980092 1980 04 01 56.71 9.4 2.5 4 2.6 NA NA 63.4
1980093 1980 04 02 114.58 7.4 4.4 1.9 3.2 NA NA 77.3
1980094 1980 04 03 131.94 9.3 4.7 0 3.5 NA NA 63.93
1980095 1980 04 04 111.11 9.2 4.7 0 3.5 NA NA 60.9
1980096 1980 04 05 101.85 7.5 4.1 1.4 3.5 NA NA 77.3
1980097 1980 04 06 40.51 8.8 4.4 1.5 3.1 NA NA 75.2
1980098 1980 04 07 83.33 8.5 4.9 0 3.7 NA NA 69.7
1980099 1980 04 08 165.51 10.1 4.2 0 3.4 NA NA 53.6
1980100 1980 04 09 123.84 11.9 5.1 0 4.1 NA NA 52.2
1980101 1980 04 10 216.44 14.4 6.7 0 5.3 NA NA 47.3
1980102 1980 04 11 245.37 19 5.1 0 4.8 NA NA 38.7
1980103 1980 04 12 246.53 19.6 9.7 0 4.9 NA NA 39.4
1980104 1980 04 13 196.76 16.9 7.6 0 4.3 NA NA 45.98
1980105 1980 04 14 202.55 13.2 4.9 0 3 NA NA 47.5
1980106 1980 04 15 133.1 9.49 2.9 0 2.9 NA NA 53.6
1980107 1980 04 16 145.83 8.4 3.5 0 1.9 NA NA 59.1
1980108 1980 04 17 251.16 11.2 1.2 0 1.9 NA NA 39
1980109 1980 04 18 255.79 11.1 -0.1 0 1 NA NA 37.5
1980110 1980 04 19 229.17 15.2 0.3 2.85 3 NA NA 37.3
1980111 1980 04 20 48.61 13.59 5.2 6.8 5 NA NA 82.2
1980112 1980 04 21 111.11 10.8 5.1 4.5 3.5 NA NA 67.2
1980113 1980 04 22 153.94 10.2 3.4 5.82 3 NA NA 72.3
1980114 1980 04 23 112.27 11.1 7.8 3 4.7 NA NA 79.4
1980115 1980 04 24 152.78 12.5 4.6 0 2.2 NA NA 56.9
1980116 1980 04 25 143.52 12.4 3.3 1.5 2.2 NA NA 59.13
1980117 1980 04 26 99.54 10.5 6.03 0 2.3 NA NA 75.8
1980118 1980 04 27 98.38 10.2 3.8 0 3 NA NA 63.2
1980119 1980 04 28 229.17 14.4 2.6 0 2.2 NA NA 44.8
1980120 1980 04 29 260.42 16.2 0.2 0 0.9 NA NA 38.49
1980121 1980 04 30 250 18.1 0.5 0 0.5 NA NA 39.6
1980122 1980 05 01 233.8 19.2 6.3 8 2.4 NA NA 42.7
1980123 1980 05 02 134.26 9.9 5.2 14.7 4.2 NA NA 58.63
1980124 1980 05 03 187.5 7.7 2.2 1.6 3.1 NA NA 59
1980125 1980 05 04 159.72 8.5 -1 2.3 1.8 NA NA 48.3
1980126 1980 05 05 260.42 10.2 -2.3 2 1.2 NA NA 41.6
1980127 1980 05 06 229.17 10.3 1.5 0 1.5 NA NA 45.3
1980128 1980 05 07 277.78 12.5 -0.1 0 2.6 NA NA 37.2
1980129 1980 05 08 232.64 10.6 3.9 0 4 NA NA 41.1
1980130 1980 05 09 268.52 13.2 1.5 0 2.9 NA NA 37.1
1980131 1980 05 10 174.77 18.6 4.5 0 2.4 NA NA 46.3
1980132 1980 05 11 194.44 25.5 12 0 2.2 NA NA 43.4
1980133 1980 05 12 202.55 24.6 12.9 0 1.6 NA NA 47.3
1980134 1980 05 13 219.91 23.3 10.4 0 1 NA NA 45.5
1980135 1980 05 14 233.8 24.1 12.1 0 1.5 NA NA 42.2
1980136 1980 05 15 263.89 23.5 10.29 0 2.1 NA NA 42.4
1980137 1980 05 16 178.24 24.3 15.5 0 1.8 NA NA 48.4
1980138 1980 05 17 228.01 24.8 16.1 0 2.2 NA NA 42.4
1980139 1980 05 18 274.31 25.9 13.3 0 2 NA NA 40.9
1980140 1980 05 19 284.04 27.1 11.3 2 1.3 NA NA 41.9
1980141 1980 05 20 217.59 27.7 10.4 4.54 0.3 NA NA 43.6
1980142 1980 05 21 253.47 28.9 12 1.2 0.6 NA NA 37.6
1980143 1980 05 22 270.85 27.1 13.1 5.6 1.7 NA NA 42.05
1980144 1980 05 23 212.96 21.7 12.3 0 2.6 NA NA 57.6
1980145 1980 05 24 87.96 17.7 7.5 0 2.8 NA NA 67.22
1980146 1980 05 25 285.88 22.9 6.4 0 1.5 NA NA 39.4
1980147 1980 05 26 234.95 27.2 13.8 0 3.4 NA NA 38
1980148 1980 05 27 199.2 23.3 11.8 9.8 3.5 NA NA 47.6
1980149 1980 05 28 178.24 16.8 10.1 7.4 2.2 NA NA 79.3
1980150 1980 05 29 172.69 15.2 7.8 1.2 3.6 NA NA 55.6
1980151 1980 05 30 142.36 15.9 7.4 0 2.5 NA NA 54.4
