*WEATHER DATA - Station:Orleans  - BADJAM DATA - BADJer: UC - Method: EQM - Source model: MPICCLM
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Orleans  47.83 1.91 123.08 11.64 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 24.31 7.4 -1.6 13.01 5.2 NA NA 56.4
1980002 1980 01 02 57.87 6.7 0 9.3 1.8 NA NA 80
1980003 1980 01 03 21.99 12.99 -0.8 0 4.2 NA NA 52.08
1980004 1980 01 04 67.13 11.8 5.2 0 2.4 NA NA 82
1980005 1980 01 05 65.97 10.9 4 0 1 NA NA 55
1980006 1980 01 06 59.03 10.9 3.7 0 0.8 NA NA 61.31
1980007 1980 01 07 23.15 10.8 4.5 0 2.3 NA NA 75.9
1980008 1980 01 08 61.34 14.6 6.56 0 3.2 NA NA 64.3
1980009 1980 01 09 20.83 15.1 7.2 0 4.6 NA NA 79.7
1980010 1980 01 10 61.34 12.9 5.4 2.9 2.6 NA NA 71.2
1980011 1980 01 11 25.46 11.2 5.5 2 2.7 NA NA 84.2
1980012 1980 01 12 27.78 11.3 6.2 0 4.4 NA NA 88
1980013 1980 01 13 30.09 10.6 4.3 0 3.2 NA NA 80.3
1980014 1980 01 14 23.15 10 0.7 0 3.2 NA NA 83.8
1980015 1980 01 15 78.7 3.3 -2.6 0 2.1 NA NA 74.7
1980016 1980 01 16 31.25 4.4 -2.6 0 0.7 NA NA 47.7
1980017 1980 01 17 33.56 10.4 3.5 0 3.1 NA NA 72.6
1980018 1980 01 18 35.88 5.8 -1.9 0 4.3 NA NA 62.91
1980019 1980 01 19 72.92 1.5 -5.84 1.8 2.1 NA NA 74.04
1980020 1980 01 20 98.38 -2.05 -7.15 0 2.3 NA NA 49.5
1980021 1980 01 21 76.39 0.1 -9.5 0 2.1 NA NA 50.5
1980022 1980 01 22 71.76 0.32 -6.8 0 1.4 NA NA 47.5
1980023 1980 01 23 101.85 -0.42 -9.5 0 2.9 NA NA 45.5
1980024 1980 01 24 90.77 -0.5 -9.55 0 1.4 NA NA 45.77
1980025 1980 01 25 93.75 -1.28 -9.42 0 0.9 NA NA 45.9
1980026 1980 01 26 107.64 -3.5 -10.37 0 2.7 NA NA 50.3
1980027 1980 01 27 109.95 -4.77 -11.76 0 3.7 NA NA 60.8
1980028 1980 01 28 72.92 0.76 -7.41 0 3 NA NA 51.49
1980029 1980 01 29 107.64 1.7 -6.8 0 2.3 NA NA 47.8
1980030 1980 01 30 46.3 3.2 -4.5 2.8 3 NA NA 77.3
1980031 1980 01 31 16.2 11.5 1.2 6.4 2.6 NA NA 55.9
1980032 1980 02 01 26.62 11.3 7.54 4.6 4.9 NA NA 92
1980033 1980 02 02 24.31 13 8 12.7 2.9 NA NA 90.2
1980034 1980 02 03 111.11 12.2 6 6 4.9 NA NA 68.3
1980035 1980 02 04 23.15 8.95 6.1 6.7 3.4 NA NA 91.28
1980036 1980 02 05 31.25 8.2 4.4 0 2.3 NA NA 90.6
1980037 1980 02 06 49.77 10.4 3.7 3.2 3.5 NA NA 75.8
1980038 1980 02 07 59.03 10.9 3.3 9.6 3.5 NA NA 61.79
1980039 1980 02 08 107.64 10.5 3 1.5 4.5 NA NA 60.4
1980040 1980 02 09 99.54 9.7 3.8 6 4.7 NA NA 74.4
1980041 1980 02 10 92.59 8.4 2.6 2 6.2 NA NA 52.42
1980042 1980 02 11 69.44 10.5 3.8 2.9 5.9 NA NA 57.59
1980043 1980 02 12 47.45 10.9 3.9 1.7 6.79 NA NA 57.7
1980044 1980 02 13 78.7 7.4 0.7 1.5 6.9 NA NA 59.4
1980045 1980 02 14 31.25 10.5 0.2 10.3 3.3 NA NA 55.36
