*WEATHER DATA - Station:Schleswig - BADJAM DATA - BADJer: UC - Method: EQM - Source model: MPICCLM
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Schleswig 54.53 9.55 17.85 8.81 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 33.56 0.9 -1.5 3.6 4.2 NA NA 88.9
1980002 1980 01 02 18.52 3.1 -0.5 2.5 3.7 NA NA 86.1
1980003 1980 01 03 32.41 3.2 0.6 0 3.3 NA NA 80.5
1980004 1980 01 04 21.99 6.8 -0.01 3.82 3 NA NA 54.5
1980005 1980 01 05 20.83 8.3 6.1 0 4.5 NA NA 88.3
1980006 1980 01 06 28.94 7.9 5.8 4.6 4.6 NA NA 88.9
1980007 1980 01 07 13.89 7.58 5.9 10.1 1.6 NA NA 90
1980008 1980 01 08 13.89 9.2 6.5 11.6 2.7 NA NA 90.6
1980009 1980 01 09 21.99 7.9 4.1 0 4.6 NA NA 82.4
1980010 1980 01 10 34.72 4.6 1.7 0 2.5 NA NA 83.6
1980011 1980 01 11 18.52 4.9 1.5 3.8 2.9 NA NA 76.2
1980012 1980 01 12 26.62 5.8 -0.1 0 4.6 NA NA 73
1980013 1980 01 13 40.47 1.92 -1.2 0 1.8 NA NA 80.8
1980014 1980 01 14 39.35 0.1 -3 0 2.8 NA NA 74.8
1980015 1980 01 15 35.88 0.8 -3.01 0 1.2 NA NA 72.5
1980016 1980 01 16 15.05 1.1 -2.2 5.6 1.5 NA NA 85.6
1980017 1980 01 17 19.68 1.2 -2 14.1 2.1 NA NA 88.53
1980018 1980 01 18 37.04 -0.67 -4 0 1.3 NA NA 81.75
1980019 1980 01 19 39.35 -2.45 -7.2 0 2.1 NA NA 83.8
1980020 1980 01 20 52.08 -3.86 -9.9 2.2 2.3 NA NA 71.88
1980021 1980 01 21 33.56 -2.5 -5.9 3.9 5.5 NA NA 83.7
1980022 1980 01 22 33.56 1.9 -5.7 2.7 2.9 NA NA 76
1980023 1980 01 23 40.51 0.8 -6 4.6 4.7 NA NA 79.7
1980024 1980 01 24 49.77 -0.2 -6 2 4.5 NA NA 66.5
1980025 1980 01 25 42.82 0.5 -3.95 10.8 2.8 NA NA 83.22
1980026 1980 01 26 37.04 -0.2 -4.8 4.1 1.6 NA NA 84
1980027 1980 01 27 41.67 -1.3 -5.1 3.4 6.4 NA NA 82.5
1980028 1980 01 28 39.35 -1 -6.7 11.2 8.6 NA NA 76.1
1980029 1980 01 29 62.5 -4.5 -9.24 0 4 NA NA 86.9
1980030 1980 01 30 63.66 -1.8 -6.7 0 3.5 NA NA 67.9
1980031 1980 01 31 31.25 1.7 -2.9 8.1 5.1 NA NA 88.5
1980032 1980 02 01 46.3 1.7 -2.3 0 1.9 NA NA 86.9
1980033 1980 02 02 31.25 1.8 -1.3 2.5 3.54 NA NA 88.9
1980034 1980 02 03 28.94 2.3 -1 0 0.5 NA NA 89.9
1980035 1980 02 04 45.14 1.1 -2.3 0 1.5 NA NA 87.3
1980036 1980 02 05 48.61 0.6 -2.8 0 2.1 NA NA 87.7
1980037 1980 02 06 71.76 1.5 -2.7 1.2 3.1 NA NA 84.8
1980038 1980 02 07 49.77 2.2 0.4 3 3.5 NA NA 91.2
1980039 1980 02 08 87.96 2.1 -0.2 1.5 2.7 NA NA 89.8
1980040 1980 02 09 46.3 3.4 0.1 2.3 3.8 NA NA 85.7
1980041 1980 02 10 90.28 3.3 -0.7 1.1 3.5 NA NA 84.6
1980042 1980 02 11 37.04 4.5 -0.2 1.9 4.5 NA NA 82.7
1980043 1980 02 12 34.72 4.6 2.6 7.5 3.1 NA NA 88
1980044 1980 02 13 27.78 4.9 1.6 1.1 3.6 NA NA 82.8
1980045 1980 02 14 69.44 5.9 1.1 0 3.7 NA NA 70.14
1980046 1980 02 15 71.76 4.9 0.3 14 4.6 NA NA 76.01
1980047 1980 02 16 34.72 4.3 1.2 6.05 4.4 NA NA 82.1
1980048 1980 02 17 103.01 5.5 -0.1 0 3.5 NA NA 59.5
1980049 1980 02 18 107.64 2.4 -1.7 0 1.7 NA NA 68.9
1980050 1980 02 19 112.27 3 -2.3 0 1.3 NA NA 64.3
1980051 1980 02 20 52.08 2.2 -1.7 0 0.7 NA NA 81.3
1980052 1980 02 21 112.27 2.4 -1.1 0 1.7 NA NA 60.5
