*WEATHER DATA - Station:Ventas Huelma - BADJAM DATA - BADJer: UC - Method: EQM - Source model: MPICCLM
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Ventas Huelma 37.16 -3.83 83.93 16.22 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 120.44 12.4 2.6 0 0.5 NA NA 42.8
1980002 1980 01 02 125 13.7 4.4 0 0.9 NA NA 39.6
1980003 1980 01 03 125 17.7 4.58 0 1.8 NA NA 38.9
1980004 1980 01 04 127.31 18.9 5.7 0 1.8 NA NA 37.7
1980005 1980 01 05 129.63 19.3 6.5 0 1.5 NA NA 34.65
1980006 1980 01 06 130.79 18.8 7.6 0 1.2 NA NA 36.37
1980007 1980 01 07 131.94 16.8 4.6 0 1.2 NA NA 35.8
1980008 1980 01 08 128.47 18.6 4.3 0 2.3 NA NA 37.3
1980009 1980 01 09 135.42 17.5 7 0 3.4 NA NA 41.4
1980010 1980 01 10 138.89 19.2 6.9 0 3.1 NA NA 31.3
1980011 1980 01 11 133.1 18.2 6.3 0 2.9 NA NA 34.3
1980012 1980 01 12 136.57 16.6 4.7 0 2.7 NA NA 38.5
1980013 1980 01 13 141.2 17.9 6 0 2.8 NA NA 35.9
1980014 1980 01 14 136.57 15.7 4.6 0 3.3 NA NA 37.3
1980015 1980 01 15 108.8 13.2 1.7 0 2.4 NA NA 44.1
1980016 1980 01 16 129.63 11 1.3 0 2.8 NA NA 43.5
1980017 1980 01 17 145.83 10.6 0 0 1.3 NA NA 40.47
1980018 1980 01 18 148.15 11.9 0.9 0 2.9 NA NA 42.9
1980019 1980 01 19 150.46 12.78 0.3 0 2.6 NA NA 37
1980020 1980 01 20 149.31 13.9 1 0 1 NA NA 30.7
1980021 1980 01 21 108.8 13 3.9 0 0.3 NA NA 44.2
1980022 1980 01 22 152.78 13.9 3.9 0 0.4 NA NA 35.6
1980023 1980 01 23 140.05 14 5.1 0 1.3 NA NA 27.98
1980024 1980 01 24 16.2 14.6 5.9 3 3 NA NA 69.26
1980025 1980 01 25 49.77 14.4 9.8 1.8 4.7 NA NA 86.58
