*WEATHER DATA - Station:Wageningen - BADJAM DATA - BADJer: UC - Method: EQM - Source model: NOAAGFDL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Wageningen 51.97 5.63 621.49 9.46 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 23.15 5.7 1.6 0 2.9 NA NA 86.3
1980002 1980 01 02 40.51 1.8 -4.3 0 3.8 NA NA 33.2
1980003 1980 01 03 45.14 -2 -7.41 0 1.7 NA NA 35.6
1980004 1980 01 04 41.67 -0.5 -7.9 0 1.5 NA NA 38.5
1980005 1980 01 05 40.51 -0.1 -8.2 0 1.1 NA NA 81.2
1980006 1980 01 06 30.09 2 -6.4 0 2.2 NA NA 57.6
1980007 1980 01 07 38.19 -0.9 -5.1 0 3.9 NA NA 63.55
1980008 1980 01 08 33.56 -0.9 -8.43 0 3.1 NA NA 63.7
1980009 1980 01 09 45.14 -3.14 -9.7 0 1.4 NA NA 66.3
1980010 1980 01 10 42.82 -2 -9.7 0 1.7 NA NA 54.8
1980011 1980 01 11 47.45 -3.17 -9.7 0 1.6 NA NA 60.8
1980012 1980 01 12 47.45 -0.1 -5.9 0 4 NA NA 63.2
1980013 1980 01 13 50.93 -0.1 -8.9 0 4 NA NA 41.67
1980014 1980 01 14 64.81 -2 -9.3 0 2.6 NA NA 36.3
1980015 1980 01 15 54.4 0.6 -4.7 0 2.3 NA NA 84.9
1980016 1980 01 16 49.77 1.8 -3.8 0 3.3 NA NA 70.5
1980017 1980 01 17 47.45 4.5 0.4 1.8 3.4 NA NA 85.9
1980018 1980 01 18 16.2 5.3 1.2 0 4.5 NA NA 88.4
1980019 1980 01 19 17.36 6.8 2 1.58 4.1 NA NA 80.4
1980020 1980 01 20 30.09 7 2.2 0 3.1 NA NA 85.4
1980021 1980 01 21 31.25 11.74 4.1 7.3 3.8 NA NA 58.8
1980022 1980 01 22 16.2 12.5 5.1 3.3 6.5 NA NA 70.1
1980023 1980 01 23 23.15 11 2.9 3.4 5.9 NA NA 49.5
1980024 1980 01 24 45.14 10.8 5.4 0 6.1 NA NA 67.98
1980025 1980 01 25 27.78 12.7 5.3 2 3.6 NA NA 76.2
1980026 1980 01 26 11.57 12.6 7.2 25.95 5.6 NA NA 88.8
1980027 1980 01 27 34.72 7.4 -1.3 4.38 8.1 NA NA 41
1980028 1980 01 28 46.3 2.9 -1 1.2 6.5 NA NA 62
1980029 1980 01 29 60.19 1.46 -5.7 0 3.8 NA NA 44.1
1980030 1980 01 30 21.99 4.6 -5.5 1.7 1.9 NA NA 66.2
1980031 1980 01 31 19.68 7.4 4.4 0 3.4 NA NA 88.6
1980032 1980 02 01 21.99 7.3 2.8 0 3.2 NA NA 86
1980033 1980 02 02 50.93 4.2 0 1.2 5.7 NA NA 66.3
1980034 1980 02 03 57.87 3 -1.6 0 3.7 NA NA 69.81
1980035 1980 02 04 18.52 6.8 -1.6 5.4 3 NA NA 82.3
1980036 1980 02 05 65.97 7.2 3.4 0 1.8 NA NA 72.7
1980037 1980 02 06 21.99 6.1 3.4 0 2 NA NA 84.5
1980038 1980 02 07 64.81 7.9 1.2 0 1.4 NA NA 72.3
1980039 1980 02 08 96.06 6.7 -0.4 0 3.3 NA NA 50.2
1980040 1980 02 09 87.96 3.8 -1.3 0 4.6 NA NA 25.8
1980041 1980 02 10 42.82 1.9 -1.7 0 3.2 NA NA 45.2
1980042 1980 02 11 64.81 4.39 -1 0 1 NA NA 83.2
1980043 1980 02 12 101.85 2.7 -2.69 0 4.8 NA NA 51.1
1980044 1980 02 13 70.6 1.5 -3.4 0 5.9 NA NA 40.3
1980045 1980 02 14 105.32 -1.59 -7.42 0 7.44 NA NA 30.5
1980046 1980 02 15 104.17 -2 -8.2 0 5.5 NA NA 30.5
1980047 1980 02 16 104.17 0.6 -8.5 0 1 NA NA 36.7
1980048 1980 02 17 107.64 2.5 -7.2 0 2 NA NA 42.3
1980049 1980 02 18 70.6 3.7 -0.3 2.5 4.7 NA NA 82.1
1980050 1980 02 19 49.77 7.8 3.7 7.4 5.2 NA NA 84.2
1980051 1980 02 20 84.49 7.6 3.3 0 6.8 NA NA 43.69
1980052 1980 02 21 94.91 5.36 -0.1 0 5.4 NA NA 39.9
1980053 1980 02 22 125 5.8 -1.6 0 1.6 NA NA 43.6
1980054 1980 02 23 94.91 10.3 -0.5 0 2.7 NA NA 50.26
1980055 1980 02 24 113.43 6 -1.5 0 4.6 NA NA 40.7
1980056 1980 02 25 125 4.4 -2.9 0 2.2 NA NA 36.9
1980057 1980 02 26 27.78 3.6 0.1 3.27 3.9 NA NA 85.4
1980058 1980 02 27 52.08 5.2 2.6 0 1.6 NA NA 85
1980059 1980 02 28 67.13 5.9 1.9 0 2.9 NA NA 69.01
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 85.65 6 0.8 0 2.8 NA NA 54.5
1980062 1980 03 02 119.21 6.8 0 0 2.9 NA NA 46.9
1980063 1980 03 03 142.36 3.8 -1.8 0 2.9 NA NA 45.6
1980064 1980 03 04 143.52 4.8 -2.5 0 2.3 NA NA 41.67
1980065 1980 03 05 141.2 5.2 -2 0 1.6 NA NA 42.5
1980066 1980 03 06 136.57 5.6 -1.7 0 0.8 NA NA 40.6
1980067 1980 03 07 57.87 5.9 -1.5 0 2.3 NA NA 67
1980068 1980 03 08 160.88 9.1 0.1 3.3 4 NA NA 44.9
1980069 1980 03 09 19.68 7.5 3.4 6.4 5.9 NA NA 76.1
1980070 1980 03 10 74.25 5.8 0.2 2.4 3.6 NA NA 74.4
1980071 1980 03 11 170.14 5 -2.7 0 2.5 NA NA 34.29
1980072 1980 03 12 34.72 9.2 0.4 6.9 5.4 NA NA 45.7
1980073 1980 03 13 52.08 11.3 5.6 9 4.9 NA NA 75.7
1980074 1980 03 14 74.07 12.5 7.3 4.3 2.7 NA NA 85.3
1980075 1980 03 15 169.52 21.18 9.6 0 2.9 NA NA 50.6
1980076 1980 03 16 151.62 22.79 10.6 0 3.8 NA NA 42
1980077 1980 03 17 25.46 14.23 9.1 12 1.6 NA NA 86.8
1980078 1980 03 18 106.19 10.2 4.4 1.47 2.2 NA NA 78.5
1980079 1980 03 19 142.36 8.6 2.3 0 4 NA NA 47.9
1980080 1980 03 20 189.81 8.5 0.21 4.6 2 NA NA 40.5
1980081 1980 03 21 20.83 14.8 5.1 11.8 5.1 NA NA 81.69
1980082 1980 03 22 81.02 15.7 8 3 5.1 NA NA 53.2
1980083 1980 03 23 129.63 14.2 6.3 0 3.3 NA NA 55.2
1980084 1980 03 24 177.08 13.4 3.4 0 2.4 NA NA 44.67
1980085 1980 03 25 193.29 9.17 1.4 0 1.7 NA NA 44.9
1980086 1980 03 26 207.18 11.3 -0.1 0 3.9 NA NA 32.1
1980087 1980 03 27 179.4 11.4 3.8 0 3.3 NA NA 33.9
1980088 1980 03 28 215.28 9.9 0.8 0 3 NA NA 36
1980089 1980 03 29 203.7 10.1 1.4 0 2.9 NA NA 34.9
1980090 1980 03 30 201.39 8.8 1.1 0 2.4 NA NA 36
1980091 1980 03 31 202.55 7.7 -1.5 0 1.6 NA NA 37.5
1980092 1980 04 01 204.86 7.1 -2.1 0 1.6 NA NA 37.5
1980093 1980 04 02 156.25 7.2 -0.2 0 2 NA NA 38.1
1980094 1980 04 03 170.14 7.9 -1.2 0 1.9 NA NA 47.4
1980095 1980 04 04 142.36 7.3 -0.01 0 1.4 NA NA 54.8
1980096 1980 04 05 178.24 8.1 -1.2 0 1.3 NA NA 41.6
1980097 1980 04 06 105.32 7.6 1.8 0 3.6 NA NA 67.9
1980098 1980 04 07 199.07 7.3 1.7 0 4 NA NA 38.8
1980099 1980 04 08 180.56 8.2 -0.2 0 1.2 NA NA 35
1980100 1980 04 09 230.32 8.7 -1.5 0 2.1 NA NA 32.7
1980101 1980 04 10 225.69 9.6 -0.6 0 1.8 NA NA 33.2
1980102 1980 04 11 207.18 11.1 -1 0 0.6 NA NA 34.8
1980103 1980 04 12 231.48 12.7 0 0 1 NA NA 38.1
1980104 1980 04 13 67.13 11.4 5.5 1.2 3.8 NA NA 62
1980105 1980 04 14 101.85 12.3 5.9 2 4.6 NA NA 69.9
1980106 1980 04 15 125 14.2 7.5 12.2 2.4 NA NA 85.12
1980107 1980 04 16 179.4 14.1 5.6 0 2.9 NA NA 50.35
1980108 1980 04 17 209.49 16.7 5.8 0 2.4 NA NA 41.5
1980109 1980 04 18 101.85 15.7 4.5 4.6 2.6 NA NA 47.9
1980110 1980 04 19 211.81 18.5 1.74 0 2.7 NA NA 41.9
1980111 1980 04 20 203.7 19 9.6 0 4.6 NA NA 47.7
1980112 1980 04 21 181.71 19.6 7.7 2.12 2.7 NA NA 41.7
1980113 1980 04 22 199.07 17.5 6.8 0 3.7 NA NA 44.5
1980114 1980 04 23 156.25 14 7.6 0 3.3 NA NA 48.3
1980115 1980 04 24 182.87 14.5 6.1 0 3 NA NA 44.1
1980116 1980 04 25 258.1 18.93 6.3 0 4 NA NA 37.4
1980117 1980 04 26 269.68 21.2 8.7 0 5.9 NA NA 33.9
1980118 1980 04 27 246.53 23.1 11.9 0 4.6 NA NA 35.8
1980119 1980 04 28 165.71 21.7 12.7 0 2.8 NA NA 47
1980120 1980 04 29 79.39 18 11.5 0 4 NA NA 76.3
1980121 1980 04 30 173.61 12.4 4 1.1 6.7 NA NA 52
1980122 1980 05 01 280.09 10.3 2.3 0 4.5 NA NA 28.25
1980123 1980 05 02 283.56 11.7 0.8 0 4.1 NA NA 27.8
1980124 1980 05 03 204.86 16.6 4 0 4.7 NA NA 31.5
1980125 1980 05 04 218.75 22.1 10.3 3.5 3.7 NA NA 37.4
1980126 1980 05 05 263.89 19 6.1 0 1.5 NA NA 46.7
1980127 1980 05 06 263.89 20.6 4 0 0.8 NA NA 36.7
1980128 1980 05 07 252.31 23.2 8.9 0 1.7 NA NA 41.6
1980129 1980 05 08 252.31 24.6 10 1.9 2.7 NA NA 38.8
1980130 1980 05 09 75.23 18.2 11.5 5.51 1.6 NA NA 83
1980131 1980 05 10 105.32 20.4 9.6 2.5 0.2 NA NA 70.4
1980132 1980 05 11 184.03 23.4 9.2 0 2.2 NA NA 39.6
1980133 1980 05 12 289.35 23.4 11.2 0 4.1 NA NA 35.7
1980134 1980 05 13 243.06 23.1 10.7 0 3.1 NA NA 42.6
1980135 1980 05 14 241.9 24.9 10.7 1.8 1.4 NA NA 47.4
1980136 1980 05 15 237.27 26 8.3 5.1 0.3 NA NA 40.3
1980137 1980 05 16 188.66 22.2 11 5.6 2.8 NA NA 50.47
1980138 1980 05 17 190.97 13.1 5.8 0 3.6 NA NA 45.6
1980139 1980 05 18 238.43 10.4 3.4 0 2.5 NA NA 35.62
1980140 1980 05 19 274.31 12.1 1.2 0 1.8 NA NA 33.3
1980141 1980 05 20 233.8 16.7 4.7 0 2.4 NA NA 39.1
1980142 1980 05 21 243.06 20.5 9.7 0 3.5 NA NA 42.88
1980143 1980 05 22 49.77 18.4 11.6 5 1.4 NA NA 83.7
1980144 1980 05 23 128.47 14.8 10.4 0 3.6 NA NA 74.5
1980145 1980 05 24 309.46 18.7 3.7 0 2.7 NA NA 42.19
1980146 1980 05 25 261.57 22.1 2.9 0 2 NA NA 36.2
1980147 1980 05 26 81.02 22.2 10.9 1.6 1.9 NA NA 75.21
1980148 1980 05 27 238.43 25.19 9.9 0 0.8 NA NA 49.34
1980149 1980 05 28 246.53 25.41 11 0 0.4 NA NA 46.7
1980150 1980 05 29 137.73 26.7 12.6 16.2 1.1 NA NA 50.7
1980151 1980 05 30 210.65 25.3 14.8 3 1.5 NA NA 54.8
1980152 1980 05 31 159.72 24.6 12.4 18.93 2.3 NA NA 66.3
1980153 1980 06 01 125 18.5 11.9 2.22 1.5 NA NA 83.4
1980154 1980 06 02 59.03 12.8 9.1 4.4 2.7 NA NA 83.6
1980155 1980 06 03 199.07 15.3 8 0 2.3 NA NA 49.2
1980156 1980 06 04 96.06 14.5 9.3 4.1 2.3 NA NA 76.11
1980157 1980 06 05 121.53 12.7 5.8 1.6 3 NA NA 65.3
1980158 1980 06 06 74.07 11.3 5.9 1.8 3.5 NA NA 64.3
1980159 1980 06 07 307.87 18.2 9.8 0 3.5 NA NA 43.89
1980160 1980 06 08 107.64 19.4 7 0 3.5 NA NA 53.7
1980161 1980 06 09 218.75 15.5 4.9 0 3 NA NA 38.3
1980162 1980 06 10 96.06 15.2 5.4 3.3 3.9 NA NA 68.8
1980163 1980 06 11 190.97 18.2 8.5 0 3.86 NA NA 61.1
1980164 1980 06 12 144.24 16.1 8.1 5.1 3.4 NA NA 55.1
1980165 1980 06 13 221.06 15.7 7.9 3 3.2 NA NA 57.56
