*WEATHER DATA - Station:Ventas Huelma - BADJAM DATA - BADJer: UC - Method: EQM - Source model: NOAAGFDL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Ventas Huelma 37.16 -3.83 83.93 15.29 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 114.58 16.9 4 0 1.5 NA NA 44.7
1980002 1980 01 02 123.84 19 10.3 0 3.3 NA NA 46.2
1980003 1980 01 03 121.53 16.6 6.3 0 2.4 NA NA 46.34
1980004 1980 01 04 92.59 13.2 6.7 3.4 4.5 NA NA 60.5
1980005 1980 01 05 141.2 9.5 -1.2 0 4.3 NA NA 25.6
1980006 1980 01 06 141.2 6.41 -3.54 0 1.4 NA NA 12.8
1980007 1980 01 07 32.41 10 -1.76 5.6 2.1 NA NA 40.91
1980008 1980 01 08 131.94 10.9 4.7 0 1 NA NA 47
1980009 1980 01 09 92.59 11.7 4.1 7.52 2.4 NA NA 58.8
1980010 1980 01 10 107.64 10 2.9 0 2.8 NA NA 52
1980011 1980 01 11 114.58 8.47 0.3 1.2 2.3 NA NA 60
1980012 1980 01 12 148.15 8.7 -1.13 0 1.7 NA NA 39.4
1980013 1980 01 13 49.77 13.5 5.4 7.7 3.9 NA NA 67.6
1980014 1980 01 14 119.21 12.8 0.8 0 0.6 NA NA 42.2
1980015 1980 01 15 85.65 12 4.7 5.12 3.3 NA NA 70.6
1980016 1980 01 16 52.08 15.7 4.6 6.9 2.9 NA NA 52.92
1980017 1980 01 17 79.86 17.3 12.8 1.5 1.8 NA NA 74.5
1980018 1980 01 18 62.48 17.9 10.2 0 2.4 NA NA 73.6
1980019 1980 01 19 156.25 19.1 5.8 0 0.9 NA NA 40.8
1980020 1980 01 20 165.51 19.9 4.8 0 0.6 NA NA 34.4
1980021 1980 01 21 164.35 21 4.28 0 0.8 NA NA 27.1
1980022 1980 01 22 91.44 15.42 1.5 0 1.3 NA NA 41.7
1980023 1980 01 23 153.94 15.25 3.9 0 1.2 NA NA 34.73
1980024 1980 01 24 152.89 16.8 3.45 0 0.9 NA NA 32.7
1980025 1980 01 25 157.41 20.2 5.4 0 1.1 NA NA 27.5
1980026 1980 01 26 157.41 19.4 5.2 0 0.9 NA NA 33
1980027 1980 01 27 164.35 19.3 3 0 1.4 NA NA 27.3
1980028 1980 01 28 105.32 13.1 4.9 0 1.9 NA NA 47.1
1980029 1980 01 29 115.74 11.5 2.8 0 1.7 NA NA 44.01
1980030 1980 01 30 160.88 11 1 0 2 NA NA 33.6
1980031 1980 01 31 170.14 11.6 1.4 0 2.2 NA NA 32.8
1980032 1980 02 01 163.19 11.8 2 0 1.9 NA NA 36.4
1980033 1980 02 02 159.72 12 1.3 0 1.2 NA NA 38
1980034 1980 02 03 173.61 13.1 1.3 0 1.5 NA NA 31.9
1980035 1980 02 04 156.25 13.4 3 0 1.6 NA NA 37.8
1980036 1980 02 05 186.34 14.7 2.1 0 1.6 NA NA 30.7
1980037 1980 02 06 174.77 15.1 5.1 0 1.5 NA NA 40.5
1980038 1980 02 07 119.21 14.1 5.7 0 1.2 NA NA 46.34
1980039 1980 02 08 163.19 15.7 5.7 0 2.4 NA NA 37.2
1980040 1980 02 09 90.28 11.8 7.5 4.1 1.9 NA NA 68.7
1980041 1980 02 10 93.75 13.2 7.2 2.5 1.2 NA NA 56.8
1980042 1980 02 11 145.83 12.2 5 0 2.4 NA NA 46.7
1980043 1980 02 12 107.64 11.5 5 0 3.1 NA NA 54
1980044 1980 02 13 133.1 9.4 2 0 2.7 NA NA 46.14
1980045 1980 02 14 116.9 7.51 -0.95 0 2.1 NA NA 49.4
1980046 1980 02 15 178.24 10.49 0.8 0 1.4 NA NA 43.8
1980047 1980 02 16 97.22 10.5 1.4 0 0.3 NA NA 56.18
1980048 1980 02 17 105.26 12.2 2.4 0 2.6 NA NA 43.3
1980049 1980 02 18 188.66 10.9 1.69 0 3.4 NA NA 32.2
1980050 1980 02 19 203.7 10.6 -0.4 0 0.8 NA NA 29.66
1980051 1980 02 20 202.55 12.8 0.1 0 0.6 NA NA 32.5
1980052 1980 02 21 203.7 14 0.8 0 0.7 NA NA 28.5
1980053 1980 02 22 207.18 13.7 -1.2 0 1 NA NA 27.7
1980054 1980 02 23 128.47 9.9 1.1 0 4.5 NA NA 44.3
1980055 1980 02 24 160.88 9 -2.66 3 3.6 NA NA 42
1980056 1980 02 25 182.87 8.8 1.6 0 5.7 NA NA 36.5
1980057 1980 02 26 199.07 9.1 -0.9 0 4.8 NA NA 24.93
1980058 1980 02 27 90.28 11.1 -1.05 4.3 2.7 NA NA 41.6
1980059 1980 02 28 78.7 10.9 4.4 0 3.2 NA NA 62.4
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 201.39 9.8 1 0 3.1 NA NA 35.6
1980062 1980 03 02 111.11 10.33 -1.75 4.1 1.4 NA NA 44.51
1980063 1980 03 03 106.48 10.7 3.43 0 3 NA NA 48
1980064 1980 03 04 181.71 12.1 1.8 0 3 NA NA 36.3
1980065 1980 03 05 82.18 13.4 2.5 0 3.2 NA NA 40
1980066 1980 03 06 236.11 13.2 1.7 0 3.5 NA NA 25.1
1980067 1980 03 07 234.95 13.9 1.1 0 2 NA NA 26.6
1980068 1980 03 08 213.75 17.5 2.1 0 1.4 NA NA 31.5
1980069 1980 03 09 237.67 19.5 4.3 0 0.7 NA NA 31.3
1980070 1980 03 10 178.24 19.9 4.1 0 1.1 NA NA 32.2
1980071 1980 03 11 241.9 19.1 2.8 0 1.4 NA NA 30.9
1980072 1980 03 12 242.11 21.1 4.3 0 0.6 NA NA 29.3
1980073 1980 03 13 244.21 23.4 7.8 0 1.9 NA NA 26.3
1980074 1980 03 14 245.96 25 13.4 0 3.5 NA NA 23.5
1980075 1980 03 15 230.32 26.3 14.6 0 4.27 NA NA 20.7
1980076 1980 03 16 113.43 15.1 10.1 6.1 3.7 NA NA 61.1
1980077 1980 03 17 100.69 14.1 8.7 0 3.6 NA NA 53.81
1980078 1980 03 18 233.8 15.9 6.6 0 2.3 NA NA 37.6
1980079 1980 03 19 113.43 17.1 5.2 0 0.4 NA NA 47
1980080 1980 03 20 256.94 21.7 7.2 0 1.5 NA NA 30.8
1980081 1980 03 21 259.26 24.1 8.3 0 2.1 NA NA 22.3
1980082 1980 03 22 267.36 24.6 7.6 0 0.9 NA NA 24.5
1980083 1980 03 23 267.36 24.9 5.7 0 1.1 NA NA 23.5
1980084 1980 03 24 254.63 24.5 8 0 1.4 NA NA 29.2
1980085 1980 03 25 278.94 25.3 7.1 0 1.3 NA NA 27.1
1980086 1980 03 26 197.92 19.6 7.8 0 3.2 NA NA 35.71
1980087 1980 03 27 287.04 15.2 3.7 0 3.3 NA NA 24.4
1980088 1980 03 28 250 16.89 2.5 0 1.3 NA NA 25.54
1980089 1980 03 29 97.22 17.3 7.1 6.57 1.4 NA NA 48.3
1980090 1980 03 30 273.15 20.7 3.6 0 1.5 NA NA 25.6
1980091 1980 03 31 116.9 17.9 4.3 3.7 2 NA NA 46.7
1980092 1980 04 01 143.52 13.7 7.4 0 3.7 NA NA 48.9
1980093 1980 04 02 104.17 14.8 6.1 0 2.5 NA NA 43.4
1980094 1980 04 03 106.38 16.6 8.75 4.9 2.7 NA NA 48.21
1980095 1980 04 04 145.83 14.2 7.1 0 4.3 NA NA 39.4
1980096 1980 04 05 92.5 16.2 8 5 4.8 NA NA 59.2
1980097 1980 04 06 113.43 12.6 6.3 2.3 3.7 NA NA 49.1
1980098 1980 04 07 143.52 14.5 5.2 0 2.7 NA NA 34.7
1980099 1980 04 08 288.19 13.1 2.2 0 2.1 NA NA 21.5
1980100 1980 04 09 170.14 13.1 3.6 0 1.9 NA NA 38.2
1980101 1980 04 10 204.86 14 3.4 0 2.6 NA NA 30.7
1980102 1980 04 11 296.9 14.7 2.1 0 3.1 NA NA 22.4
1980103 1980 04 12 84.49 16.3 1.5 1.9 1.9 NA NA 42.1
1980104 1980 04 13 292.82 19.6 6.9 0 3.4 NA NA 33
1980105 1980 04 14 297.45 20.6 2.5 0 0.9 NA NA 23.6
1980106 1980 04 15 299.77 22.1 2.1 0 1.3 NA NA 20.4
1980107 1980 04 16 166.67 19.4 7.5 0 2.5 NA NA 36.8
1980108 1980 04 17 236.11 20.6 4.1 0 2.4 NA NA 32.46
1980109 1980 04 18 300.93 19.1 8.3 0 3.8 NA NA 29.7
