*WEATHER DATA - Station:Izmir - BADJAM DATA - BADJer: UC - Method: EQMs - Source model: CSIRO
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Izmir 38.6 27.06 1068.57 16.03 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 106.48 7.1 -1.04 0 2.4 NA NA 39.55
1980002 1980 01 02 50.93 10.47 4.71 0 3.6 NA NA 68.24
1980003 1980 01 03 34.36 11.7 9.22 0 4.3 NA NA 80.92
1980004 1980 01 04 74.07 14.6 10.9 0 5 NA NA 54.37
1980005 1980 01 05 56.71 14.71 10.6 0 5.4 NA NA 56.57
1980006 1980 01 06 39.35 13.1 4.15 16.08 3.5 NA NA 71.54
1980007 1980 01 07 93.75 12 4.1 0 2.3 NA NA 50.8
1980008 1980 01 08 20.83 10.99 7.4 27.41 2.3 NA NA 86.22
1980009 1980 01 09 99.54 7.6 -0.01 0 2.3 NA NA 50.09
1980010 1980 01 10 77.55 7.6 -0.2 0 2.7 NA NA 35.43
1980011 1980 01 11 120.51 4.76 -1 0 2.1 NA NA 31.31
1980012 1980 01 12 72.92 6.3 -2.51 0 3.1 NA NA 43.6
1980013 1980 01 13 125 1.68 -3.41 0 1.7 NA NA 23.5
1980014 1980 01 14 121.53 7.09 -1.6 0 1.5 NA NA 33.18
1980015 1980 01 15 57.43 8.39 0.29 4.89 2.6 NA NA 65.4
1980016 1980 01 16 26.53 13 8.45 19.34 3.91 NA NA 77.2
1980017 1980 01 17 79.02 11.57 2.3 0 3.1 NA NA 53.48
1980018 1980 01 18 121.53 5.93 -1 0 2.5 NA NA 41.78
1980019 1980 01 19 116.02 8.1 -1.6 0 1 NA NA 40.88
1980020 1980 01 20 37.02 12.33 4.36 0 2.8 NA NA 75.51
1980021 1980 01 21 63.58 14 10.67 0 2.8 NA NA 76.1
1980022 1980 01 22 108.8 16.7 9.83 0 3.1 NA NA 55.53
1980023 1980 01 23 112.27 16.62 9.7 0 4.1 NA NA 45.5
1980024 1980 01 24 101.14 17.46 12.3 0 4.2 NA NA 44.78
1980025 1980 01 25 113.43 17.75 10.2 0 1.2 NA NA 61.22
1980026 1980 01 26 109.95 16.1 11.41 0 2.8 NA NA 61.2
1980027 1980 01 27 42.76 14.8 11.38 0 2.63 NA NA 79.17
1980028 1980 01 28 57.52 14.52 9.45 0 1.7 NA NA 75.41
1980029 1980 01 29 121.53 15.8 5.1 0 0.6 NA NA 54.07
1980030 1980 01 30 67.13 13.85 8.4 0 2.6 NA NA 71.61
1980031 1980 01 31 96.09 16.8 12.18 6.03 5.06 NA NA 63.41
1980032 1980 02 01 63.6 16.2 9.9 8.69 4.4 NA NA 73.77
1980033 1980 02 02 59.03 12.07 3.4 1.5 3.3 NA NA 65.56
1980034 1980 02 03 119.49 5.62 0.3 0 2.2 NA NA 43.74
1980035 1980 02 04 85.33 7.23 0.5 0 2.9 NA NA 59.6
1980036 1980 02 05 118.06 8 0.5 0 2.8 NA NA 55.17
1980037 1980 02 06 103.01 6.6 -0.2 0 2.2 NA NA 60.47
1980038 1980 02 07 134.26 4 -1.4 0 2.5 NA NA 37.59
1980039 1980 02 08 100.56 7.02 -1.5 0 1.7 NA NA 50.37
1980040 1980 02 09 85.65 6.7 -0.5 0 1.8 NA NA 54.73
1980041 1980 02 10 135.42 8.4 -1.33 0 2.2 NA NA 34.99
1980042 1980 02 11 97.22 10.59 4.7 0 1.4 NA NA 62.7
1980043 1980 02 12 127 13 3.98 0 1.27 NA NA 54.3
