*WEATHER DATA - Station:Sadovo - BADJAM DATA - BADJer: UC - Method: EQMs - Source model: CSIRO
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Sadovo 42.13 24.93 327.84 11.42 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 76.39 2.97 -5.52 0 4 NA NA 72.65
1980002 1980 01 02 66.94 4.9 2.5 0 4.4 NA NA 80.1
1980003 1980 01 03 64.81 7.73 1.15 1.2 3.2 NA NA 66.69
1980004 1980 01 04 35.88 9.51 5 1.9 4.88 NA NA 78.89
1980005 1980 01 05 56.71 11.81 2.18 3 4.6 NA NA 73.35
1980006 1980 01 06 81.02 4.38 -3.12 0 2.3 NA NA 53.6
1980007 1980 01 07 76.39 4.13 -3.2 0 2.83 NA NA 54.29
1980008 1980 01 08 78.7 3.1 -6.24 0 2.4 NA NA 42.52
1980009 1980 01 09 79.86 2.2 -6.55 0 2.1 NA NA 37.86
1980010 1980 01 10 72.92 -0.61 -7.51 0 3.48 NA NA 48.93
1980011 1980 01 11 75.23 2.6 -7.4 0 3.5 NA NA 48.42
1980012 1980 01 12 91.44 -0.51 -8.74 0 4.2 NA NA 43.69
1980013 1980 01 13 87.96 0.2 -9.2 0 2.7 NA NA 32.99
1980014 1980 01 14 83.33 3 -3.8 0 2.5 NA NA 59.27
1980015 1980 01 15 71.67 2.98 -5.4 6.9 1.07 NA NA 73.64
1980016 1980 01 16 32.41 0.78 -7.57 30 3.6 NA NA 85.92
1980017 1980 01 17 100.69 -3.08 -17.85 0 2.6 NA NA 51.69
1980018 1980 01 18 101.85 -2.52 -17.27 0 0.9 NA NA 41.68
1980019 1980 01 19 86.81 2.5 -7.41 0 2.39 NA NA 70.5
1980020 1980 01 20 30.09 1.4 -3.2 15.3 0.8 NA NA 96.52
1980021 1980 01 21 47.45 1.7 -0.8 8.9 1.7 NA NA 97.67
1980022 1980 01 22 90.28 5.21 1.3 0 3.6 NA NA 81.55
1980023 1980 01 23 30.73 11.51 4.64 0 3.5 NA NA 77.8
1980024 1980 01 24 26.62 13.77 3.7 3.2 2.8 NA NA 76.91
1980025 1980 01 25 94.91 14.59 1.9 0 1.1 NA NA 55.39
1980026 1980 01 26 61.34 14.91 4.2 0 3.3 NA NA 61.64
1980027 1980 01 27 92.59 13.51 1.4 0 1.2 NA NA 59.75
1980028 1980 01 28 68.29 12.3 1.5 0 2 NA NA 59.6
1980029 1980 01 29 95.66 13.72 1.87 0 1.2 NA NA 51.63
1980030 1980 01 30 76.51 16.72 4.3 5.4 1.7 NA NA 65.16
1980031 1980 01 31 60.49 15.81 6.83 0 3.4 NA NA 71.24
1980032 1980 02 01 61.34 10.37 -1.87 0 3.2 NA NA 56.1
1980033 1980 02 02 100.69 0.3 -4.8 0 4 NA NA 29.78
1980034 1980 02 03 106.48 2.8 -4.52 0 1.2 NA NA 29.78
1980035 1980 02 04 109.95 0.11 -7.04 1.1 2.9 NA NA 49.3
1980036 1980 02 05 85.65 2.8 -4.34 0 2.1 NA NA 57.26
1980037 1980 02 06 105.37 -0.14 -7.47 0 4.4 NA NA 49.25
1980038 1980 02 07 107.64 0.3 -8.4 0 4.1 NA NA 39.64
1980039 1980 02 08 93.27 3 -3.5 1.71 3.46 NA NA 68.22
1980040 1980 02 09 125 0.42 -5.29 0 3.2 NA NA 47.69
1980041 1980 02 10 85.56 3.3 -4 0 4 NA NA 70.9
1980042 1980 02 11 106.48 7.6 2.8 0 3.5 NA NA 54.8
1980043 1980 02 12 57.87 5.29 -2.6 0 2.1 NA NA 68.3
1980044 1980 02 13 75.23 2.71 -5.53 2 1.6 NA NA 71.55
1980045 1980 02 14 134.26 -2.2 -8 0 3.6 NA NA 21.78
1980046 1980 02 15 127.31 1.38 -7.77 0 0.4 NA NA 22.66
1980047 1980 02 16 126.16 6.83 -5 0 1.5 NA NA 35.55
1980048 1980 02 17 62.92 7.84 1.84 0 3.1 NA NA 68.9
1980049 1980 02 18 81.89 14.4 2.71 0 1.1 NA NA 63.09
1980050 1980 02 19 22.9 6.8 1.73 11.36 2.9 NA NA 75.52
1980051 1980 02 20 123.84 4.42 -1.2 1.4 2.8 NA NA 52.35
1980052 1980 02 21 64.7 6.87 -1.16 0 3.3 NA NA 69.69
1980053 1980 02 22 90.28 17.18 3 0 1.9 NA NA 52.49
1980054 1980 02 23 55.5 15.6 0.53 0 0.23 NA NA 54.95
1980055 1980 02 24 128.47 11.3 1.5 0 1.6 NA NA 58.94
1980056 1980 02 25 116.9 8.2 -1 0 1.4 NA NA 57.71
1980057 1980 02 26 56.71 6.12 0.98 3.7 2.4 NA NA 72.14
1980058 1980 02 27 119.61 11.9 1.3 0 1.4 NA NA 58
1980059 1980 02 28 130.79 11.5 2.1 0 1.8 NA NA 50.55
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 148.15 15.58 -0.14 0 1 NA NA 36.21
1980062 1980 03 02 152.78 17.1 -0.2 0 0.3 NA NA 39.57
1980063 1980 03 03 162.04 14.5 1.66 2.7 2.4 NA NA 49.45
1980064 1980 03 04 55.56 5.4 -0.65 1.2 3.2 NA NA 63.16
1980065 1980 03 05 153.94 6.6 -2.2 0 1.7 NA NA 44.51
1980066 1980 03 06 163.12 9.77 -4.3 0 0.3 NA NA 37.21
1980067 1980 03 07 155.09 13.07 -0.1 0 0.9 NA NA 34.7
1980068 1980 03 08 155.09 16.29 -1.45 0 0.42 NA NA 40.88
1980069 1980 03 09 156.25 18.7 5.6 0 2.5 NA NA 46.52
1980070 1980 03 10 118.06 18 6 0 1.8 NA NA 54.41
1980071 1980 03 11 78.7 19.36 5.91 0 2 NA NA 49.51
1980072 1980 03 12 162.06 18.71 5.41 0 2.4 NA NA 45.9
1980073 1980 03 13 70.6 4.79 -7 4.5 4.2 NA NA 61.64
1980074 1980 03 14 208.66 -7.85 -12.89 0 4.6 NA NA 7.72
1980075 1980 03 15 182.87 3.37 -12.91 0 2 NA NA 13.64
1980076 1980 03 16 158.56 10.2 -0.23 0 2.6 NA NA 39.81
1980077 1980 03 17 148.6 13.46 2.4 1.69 3.4 NA NA 46.8
1980078 1980 03 18 96.8 6.07 -3.3 3.3 3.3 NA NA 70.23
1980079 1980 03 19 190.97 3.79 -4.28 0 1.4 NA NA 27.78
1980080 1980 03 20 189.45 3.62 -4.3 0 1.4 NA NA 30.99
1980081 1980 03 21 219.95 -2.88 -9.1 0 3.9 NA NA 18.98
1980082 1980 03 22 221.06 -4.87 -10.48 0 2.7 NA NA 15.02
1980083 1980 03 23 223.38 -2.64 -11.7 0 1.7 NA NA 21.26
1980084 1980 03 24 189.81 1.06 -8.03 0 3.3 NA NA 27.16
1980085 1980 03 25 188.66 4.14 -4.94 0 3.1 NA NA 29.91
1980086 1980 03 26 115.74 6.19 -0.84 0 2.19 NA NA 48.33
1980087 1980 03 27 197.1 8.1 0.6 0 2.5 NA NA 37.76
1980088 1980 03 28 142.26 7.76 2.4 0 2.3 NA NA 45.5
1980089 1980 03 29 202.55 16.83 4.9 0 3.41 NA NA 38.28
1980090 1980 03 30 171.93 16.42 1.22 2.5 2.6 NA NA 50.84
1980091 1980 03 31 135.42 1.81 -7.23 1.5 4.8 NA NA 50.3
1980092 1980 04 01 249.42 -2.97 -10.32 0 4.5 NA NA 21.87
1980093 1980 04 02 215.63 4.34 -8.77 0 1.63 NA NA 29.6
1980094 1980 04 03 177.08 7.4 1.43 0 2.9 NA NA 55.6
1980095 1980 04 04 185.53 15.42 1.19 0 1.9 NA NA 38.4
1980096 1980 04 05 159.72 13.28 1.38 3.02 2.3 NA NA 54.07
1980097 1980 04 06 85.11 12.73 2.1 15.96 2.9 NA NA 65.22
1980098 1980 04 07 215.28 6.29 -1 11.19 2.4 NA NA 46.58
1980099 1980 04 08 225.8 9.65 -0.69 0 1.1 NA NA 32.57
1980100 1980 04 09 209.49 4.36 -0.6 0 2 NA NA 35.19
1980101 1980 04 10 100.04 8.08 -0.89 1.89 2.6 NA NA 58.21
1980102 1980 04 11 67.12 6.8 2.8 21.62 3.5 NA NA 71.82
1980103 1980 04 12 92.1 3.19 1.4 4.4 2.4 NA NA 67.4
1980104 1980 04 13 44.42 4.57 -0.13 6.1 3.1 NA NA 67.4
1980105 1980 04 14 89.12 0.56 -1.78 4.4 2 NA NA 71.61
1980106 1980 04 15 218.4 9.36 -2.07 0 0.8 NA NA 43.82
1980107 1980 04 16 182.38 14.07 0 0 1.9 NA NA 49.25
1980108 1980 04 17 204.86 16.3 5.5 9.23 2.1 NA NA 58.04
1980109 1980 04 18 82.18 16.7 8 5.3 2.4 NA NA 62.62
1980110 1980 04 19 135.42 7.39 1.77 9.34 2.43 NA NA 72.9
1980111 1980 04 20 211.81 14.48 0.08 0 0.9 NA NA 49.4
1980112 1980 04 21 234.95 12.59 1.9 0 1.6 NA NA 48.92
1980113 1980 04 22 103.94 10.06 0.3 3.6 2 NA NA 65.55
1980114 1980 04 23 84.36 6.65 3.1 5.6 2.6 NA NA 68.88
1980115 1980 04 24 185.89 10.69 1.28 0 1.87 NA NA 53.16
1980116 1980 04 25 229.17 14.8 0.72 0 0.8 NA NA 43.17
1980117 1980 04 26 149.31 14.3 2.6 0 1.6 NA NA 61.01
1980118 1980 04 27 190.97 14.2 5 0 2.1 NA NA 54.7
1980119 1980 04 28 244.52 14.56 1.17 0 1.6 NA NA 41.57
1980120 1980 04 29 244.7 14.89 0.39 0 1.3 NA NA 45.18
1980121 1980 04 30 203.58 15.12 2.05 1.42 0.8 NA NA 56.94
1980122 1980 05 01 232.72 17.8 5.35 0 1.4 NA NA 47.62
1980123 1980 05 02 238.43 22.4 6.7 0 1.9 NA NA 40.3
1980124 1980 05 03 125.31 19.5 9.29 1.38 2.3 NA NA 56.51
1980125 1980 05 04 137.73 18.82 10.5 6.1 3.4 NA NA 64.47
1980126 1980 05 05 126.16 22.5 10.5 2.5 2.1 NA NA 56.41
1980127 1980 05 06 241.9 17.31 8.8 0 2.9 NA NA 48.69
1980128 1980 05 07 258.58 18.1 9.3 0 2.9 NA NA 43.98
1980129 1980 05 08 262.73 19.9 7.49 0 1.8 NA NA 39.2
1980130 1980 05 09 154.41 17.24 8.29 2.3 0.7 NA NA 66.91
1980131 1980 05 10 215.28 17.9 9.6 0 2.34 NA NA 60.32
1980132 1980 05 11 225.91 20.6 8.6 0 1 NA NA 51.53
