*WEATHER DATA - Station:Rothamsted - BADJAM DATA - BADJer: UC - Method: EQMs - Source model: IPSL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Rothamsted 51.82 -0.37 300.92 9.9 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 17.36 7.08 -0.15 2.23 5.23 NA NA 77.07
1980002 1980 01 02 34.72 1.4 -3.53 2.93 3.7 NA NA 63.18
1980003 1980 01 03 37.04 -0.98 -5.18 0 3.4 NA NA 68.9
1980004 1980 01 04 20.83 2.2 -3.1 4.3 2.76 NA NA 88.8
1980005 1980 01 05 28.94 1.9 -5.16 0 2.8 NA NA 84.6
1980006 1980 01 06 41.74 0.48 -6.23 0 3.07 NA NA 82.09
1980007 1980 01 07 37.04 -1.2 -5.1 0 4.5 NA NA 84.68
1980008 1980 01 08 37.04 1.8 -5.72 0 2.7 NA NA 68.9
1980009 1980 01 09 16.2 6.9 1.3 12.06 6.9 NA NA 85.3
1980010 1980 01 10 33.43 8.2 4.8 0 5.9 NA NA 84
1980011 1980 01 11 40.51 6.7 0.6 0 2.8 NA NA 84
1980012 1980 01 12 13.89 10.61 -0.4 8.6 3.6 NA NA 63.2
1980013 1980 01 13 27.78 10.7 6.4 2.7 3.7 NA NA 87.5
1980014 1980 01 14 26.62 8.82 5.16 0 3.87 NA NA 84.41
1980015 1980 01 15 17.36 11 6.61 3.33 4.5 NA NA 88.5
1980016 1980 01 16 20.83 10.44 6 0 3.9 NA NA 85.62
1980017 1980 01 17 20.83 7.55 4.4 10.1 6.1 NA NA 78.2
1980018 1980 01 18 33.56 8.09 2.3 0 5.4 NA NA 58.57
1980019 1980 01 19 41.67 5.14 -1.3 0 1.39 NA NA 84.4
1980020 1980 01 20 30.09 8.33 0.1 1.7 4.2 NA NA 65.7
1980021 1980 01 21 18.52 8.9 6.2 1.1 4.2 NA NA 87.6
1980022 1980 01 22 17.36 9.73 4.7 4.59 1.28 NA NA 85.6
1980023 1980 01 23 17.36 12.24 8.7 0 3.91 NA NA 84.8
1980024 1980 01 24 38.19 10.5 5.9 0 3.5 NA NA 79.47
1980025 1980 01 25 17.32 11.4 6.9 0 4.9 NA NA 86.2
1980026 1980 01 26 37.04 6.8 1.9 0 6.8 NA NA 41.79
1980027 1980 01 27 45.14 8.9 1.6 3.7 4.5 NA NA 54.61
