*WEATHER DATA - Station:Libertinia - BADJAM DATA - BADJer: UC - Method: EQMs - Source model: IPSL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Libertinia 37.5 14.58 441.24 14.72 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 109.02 10.8 2 0 3.3 NA NA 54.27
1980002 1980 01 02 119.21 13.02 7.5 0 5.5 NA NA 52.49
1980003 1980 01 03 105.32 13 5.1 2.4 4.7 NA NA 49.09
1980004 1980 01 04 76.39 9.61 4.2 0 2.7 NA NA 51.56
1980005 1980 01 05 101.85 12.1 4.41 0 4.2 NA NA 49
1980006 1980 01 06 81.99 8.55 4.5 0 3.4 NA NA 57.23
1980007 1980 01 07 76.39 11.3 4.76 0 4.96 NA NA 52.35
1980008 1980 01 08 61.34 8.1 3.36 6.4 4.8 NA NA 56.62
1980009 1980 01 09 114.58 6.8 -1.5 0 4.1 NA NA 30.04
1980010 1980 01 10 125 10 -1.59 0 2.5 NA NA 39.79
1980011 1980 01 11 121.53 13.02 5.5 0 2.7 NA NA 39.98
1980012 1980 01 12 105.32 11.2 1.9 0 2.5 NA NA 54.99
1980013 1980 01 13 108.35 11.1 -0.98 0 0.79 NA NA 44.25
1980014 1980 01 14 120.37 13.32 3.2 0 1.9 NA NA 51.87
1980015 1980 01 15 56.71 10.5 5.6 2.4 2.8 NA NA 70.91
1980016 1980 01 16 115.74 10.6 3.7 0 3.6 NA NA 48.54
1980017 1980 01 17 98.24 12 3.21 0 1.8 NA NA 52.16
1980018 1980 01 18 126.16 12.5 5.8 0 3.2 NA NA 45.32
1980019 1980 01 19 120.37 13.16 4.9 0 2.6 NA NA 45.5
1980020 1980 01 20 126.91 13.4 4.5 0 2.5 NA NA 38.8
1980021 1980 01 21 119.21 11.2 2.8 0 1.8 NA NA 40.87
1980022 1980 01 22 100.69 10 1.7 0 2.29 NA NA 52.35
1980023 1980 01 23 53.22 10.7 7.5 2.68 2 NA NA 79.4
1980024 1980 01 24 100.69 12.18 5.4 0 1 NA NA 64.91
1980025 1980 01 25 101.85 12.1 2.7 0 1.1 NA NA 59.22
1980026 1980 01 26 130.79 11.7 1.1 0 1.1 NA NA 42.8
1980027 1980 01 27 60.19 10.64 4.5 2 3.7 NA NA 59.31
1980028 1980 01 28 115.74 8.58 4.6 0 4.1 NA NA 31.2
1980029 1980 01 29 55.45 10.3 5.8 5.12 3.8 NA NA 69.04
1980030 1980 01 30 75.23 7.04 1.7 5.6 3.7 NA NA 66.78
1980031 1980 01 31 101.57 6.3 0.9 2 2.4 NA NA 48.7
1980032 1980 02 01 100.83 3.09 0.26 9.08 3.6 NA NA 70.01
1980033 1980 02 02 122.3 5.34 0.3 0 3.8 NA NA 40.58
1980034 1980 02 03 83.33 7 0.11 2.2 2 NA NA 63.92
1980035 1980 02 04 72.19 6.9 2.5 1.5 1.8 NA NA 62.61
1980036 1980 02 05 87.96 6.67 1.99 1.4 1.62 NA NA 60.01
1980037 1980 02 06 79.35 6.89 3 0 1.8 NA NA 58.11
1980038 1980 02 07 112.27 7 1.71 0 1.9 NA NA 42.21
1980039 1980 02 08 149.31 7.89 0 0 1.6 NA NA 36.32
1980040 1980 02 09 62.76 7 1.7 4.81 2.01 NA NA 71.56
1980041 1980 02 10 71.67 7.9 4.4 1.28 1.78 NA NA 67.11
1980042 1980 02 11 56.71 7.5 4.8 5.4 0.7 NA NA 78.72
1980043 1980 02 12 72.92 7.9 5.1 2 0.66 NA NA 75.07
1980044 1980 02 13 84.49 8.22 4.6 0 0.9 NA NA 65.21
1980045 1980 02 14 70.55 9.8 4.8 1.5 2.8 NA NA 69.58
1980046 1980 02 15 76.39 11.95 7.73 2.3 4.79 NA NA 66.1
1980047 1980 02 16 87.95 8.37 5 1.2 3.76 NA NA 52.75
1980048 1980 02 17 136.57 7.81 1.9 0 3.8 NA NA 32
1980049 1980 02 18 166.21 7.4 0.2 0 0.9 NA NA 31.08
1980050 1980 02 19 164.35 9.3 0.1 0 1.9 NA NA 34
1980051 1980 02 20 137.8 12.34 3 0 3.3 NA NA 41.47
1980052 1980 02 21 132.01 9.5 4.6 1.2 2.8 NA NA 50.3
1980053 1980 02 22 83.33 9.29 4.3 7.84 3 NA NA 60.7
1980054 1980 02 23 150.61 7.65 2.83 3 4.7 NA NA 55.1
1980055 1980 02 24 109.09 5.59 2.17 4.93 5.65 NA NA 57.21
1980056 1980 02 25 110.8 6.42 2.5 3 4.2 NA NA 56.74
1980057 1980 02 26 104.17 9.2 2.7 0 2 NA NA 46.53
1980058 1980 02 27 39.33 9.5 4.58 9.26 0.4 NA NA 81.24
1980059 1980 02 28 89.69 7.2 3.8 3 3.4 NA NA 71.81
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 100.69 7.85 3.9 2 2.8 NA NA 57.11
1980062 1980 03 02 106.48 9.41 1.98 0 1.5 NA NA 57.4
1980063 1980 03 03 189.81 12.3 0.1 0 0.79 NA NA 38.64
1980064 1980 03 04 197.99 12.8 2.39 0 1.4 NA NA 39.63
1980065 1980 03 05 153.94 12.2 2.8 0 1.4 NA NA 45.81
1980066 1980 03 06 174.08 13 3.1 0 1.21 NA NA 42.8
