*WEATHER DATA - Station:Martonvásár - BADJAM DATA - BADJer: UC - Method: EQMs - Source model: IPSL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Martonvásár 47.35 18.81 185.9 10.12 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 35.62 3.6 -6.47 1.88 4.9 NA NA 51.5
1980002 1980 01 02 30.09 9.67 2 0 7.99 NA NA 52.18
1980003 1980 01 03 33.56 4.82 -0.7 1.1 1.37 NA NA 76
1980004 1980 01 04 56.71 1.85 -4.72 0 2.7 NA NA 62.29
1980005 1980 01 05 34.72 4.6 -0.8 0 5.6 NA NA 54.64
1980006 1980 01 06 60.71 4.7 -0.19 0 2.8 NA NA 73.9
1980007 1980 01 07 27.78 3.92 -1.7 4.56 2 NA NA 68.38
1980008 1980 01 08 52.08 -0.4 -6.4 0 2.3 NA NA 72.69
1980009 1980 01 09 53.24 -1.67 -9.21 0 3.4 NA NA 52.85
1980010 1980 01 10 71.76 0.3 -9.3 0 2.3 NA NA 48.94
1980011 1980 01 11 21.99 2.9 -0.7 4.96 2.9 NA NA 82.1
1980012 1980 01 12 56.71 1.8 -3.62 0 1.9 NA NA 73.9
1980013 1980 01 13 62.5 0.77 -5.8 0 0.9 NA NA 78.4
1980014 1980 01 14 31.25 2.9 -5.14 0 1.02 NA NA 75.7
1980015 1980 01 15 61.34 3.3 -1.2 0 1.9 NA NA 79.3
1980016 1980 01 16 56.71 2.3 -4.5 0 1.2 NA NA 80.5
1980017 1980 01 17 57.87 5.5 -0.2 0 2.6 NA NA 68.3
1980018 1980 01 18 15.05 5.03 -1.06 11.44 4 NA NA 83.21
1980019 1980 01 19 76.22 4 -2.4 2.3 2.39 NA NA 62.77
1980020 1980 01 20 16.2 6.09 0.12 6.51 4.8 NA NA 78.4
1980021 1980 01 21 52.08 3.7 -2.06 0 4.1 NA NA 60.88
1980022 1980 01 22 81.02 3.5 -2.53 0 3.37 NA NA 55.78
1980023 1980 01 23 61.34 1.4 -4.53 0 1.6 NA NA 68.34
1980024 1980 01 24 74.07 1.7 -6.07 0 1 NA NA 74.36
1980025 1980 01 25 34.72 4.83 -1.42 0 3.1 NA NA 65.8
1980026 1980 01 26 31.69 6.32 0.91 0 3.2 NA NA 76.61
1980027 1980 01 27 79.86 1.7 -4.3 0 4.5 NA NA 46.99
1980028 1980 01 28 79.86 0.59 -5.18 0 2.8 NA NA 52.39
1980029 1980 01 29 77.55 2.3 -7.1 0 3.5 NA NA 64.34
1980030 1980 01 30 79.86 1.1 -8 0 3.8 NA NA 55.27
1980031 1980 01 31 79.86 -1.81 -8.8 0 5 NA NA 37.91
1980032 1980 02 01 83.33 -2.5 -9.53 0 1.8 NA NA 42.43
1980033 1980 02 02 27.78 0.28 -10.75 1.2 1.3 NA NA 66.16
1980034 1980 02 03 82.18 0.4 -8.8 0 3 NA NA 55.91
1980035 1980 02 04 86.36 -0.61 -9.5 0 2.1 NA NA 49.66
1980036 1980 02 05 86.81 -0.74 -10.2 0 1.2 NA NA 50.24
1980037 1980 02 06 87.96 -0.13 -10.8 0 1.4 NA NA 47.29
1980038 1980 02 07 63.31 1.8 -9.05 0 2.5 NA NA 69.04
1980039 1980 02 08 76.39 3.28 -1.1 0 3.9 NA NA 80.1
1980040 1980 02 09 81.66 3.8 -1.15 0 3.7 NA NA 78.21
1980041 1980 02 10 53.98 3.4 -2.4 0 0.8 NA NA 75.81
1980042 1980 02 11 79.86 3.99 -3.7 0 2 NA NA 69.41
1980043 1980 02 12 98.38 4.17 -7.11 0 1.1 NA NA 62.45
1980044 1980 02 13 101.85 5.39 -4.4 0 3.3 NA NA 64.6
1980045 1980 02 14 58.96 9.52 1.51 1.2 6.01 NA NA 65.3
1980046 1980 02 15 107.64 3.9 -1.6 0 5 NA NA 38.82
1980047 1980 02 16 113.43 1.49 -5.2 0 4.6 NA NA 41.01
1980048 1980 02 17 109.95 0.3 -7.08 0 4.5 NA NA 35.43
1980049 1980 02 18 74.07 2.2 -6.8 0 2.5 NA NA 56.23
1980050 1980 02 19 105.71 8.51 -0.4 2.5 5.5 NA NA 52.94
1980051 1980 02 20 116.9 5.1 -2.3 0 2 NA NA 51.03
1980052 1980 02 21 118.04 2.3 -5.3 0 1.3 NA NA 47.6
1980053 1980 02 22 134.26 3.8 -5.2 0 1.7 NA NA 40.13
1980054 1980 02 23 87.96 5.22 -2.6 4.9 4.5 NA NA 66.53
1980055 1980 02 24 88.56 4.05 -3.41 0 1.2 NA NA 64.71
1980056 1980 02 25 50.93 1.51 -5.24 0 2 NA NA 71.5
1980057 1980 02 26 131.94 2.1 -6.7 0 2.6 NA NA 41.43
1980058 1980 02 27 148.15 2.26 -8.4 0 1.2 NA NA 42.6
