*WEATHER DATA - Station:Tel Hadyar/Aleppo  - BADJAM DATA - BADJer: UC - Method: EQMs - Source model: NCCNor
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Tel Hadyar/Aleppo  36.01 36.56 29.27 18.03 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 9.47 8.74 7 2.49 3.1 NA NA 34.39
1980002 1980 01 02 113.78 12.91 5 0 2.1 NA NA 27.94
1980003 1980 01 03 102.32 11.6 1.96 0 1 NA NA 43.02
1980004 1980 01 04 104.17 10.57 2.2 0 1.3 NA NA 37.6
1980005 1980 01 05 111.11 9 1.6 0 2 NA NA 31.84
1980006 1980 01 06 115.83 6.49 0 0 1.6 NA NA 27.9
1980007 1980 01 07 116.9 6.8 -0.71 0 1.9 NA NA 24.7
1980008 1980 01 08 115.74 8.49 1.4 0 2 NA NA 24.21
1980009 1980 01 09 122.89 7.11 -0.43 0 1.7 NA NA 24.17
1980010 1980 01 10 126.16 6.37 -1.2 0 1.3 NA NA 27.88
1980011 1980 01 11 127.31 6.83 -2.8 0 1.1 NA NA 30.78
1980012 1980 01 12 124.07 9.5 -3.59 0 0.3 NA NA 37.78
1980013 1980 01 13 118.06 10.9 -1.52 0 0.47 NA NA 39.78
1980014 1980 01 14 145.89 12.6 0.5 0 2.6 NA NA 20.18
1980015 1980 01 15 136.71 11.69 2.5 0 2.23 NA NA 20.91
1980016 1980 01 16 141.2 11.9 0.4 0 1.7 NA NA 23.31
1980017 1980 01 17 148.15 12.4 0.26 0 1.3 NA NA 26.33
1980018 1980 01 18 130.39 13.3 0.4 0 0.58 NA NA 38.96
1980019 1980 01 19 45.14 11.74 5.6 3.7 1.1 NA NA 64.7
1980020 1980 01 20 54.4 14.47 7 13.3 1.8 NA NA 59.5
1980021 1980 01 21 35.88 13.7 7.8 12.91 3.3 NA NA 73.61
1980022 1980 01 22 136.8 13 2.59 0 1.6 NA NA 36.53
1980023 1980 01 23 137.73 13 0 0 0.6 NA NA 35.24
1980024 1980 01 24 137.73 12.89 0.1 0 0.4 NA NA 38.54
1980025 1980 01 25 143.52 13.6 0.1 0 0.8 NA NA 32.22
1980026 1980 01 26 61.34 12.2 0 1.17 1 NA NA 58.87
1980027 1980 01 27 40.51 13.4 8.81 15.69 2.4 NA NA 81.95
1980028 1980 01 28 51.44 14.3 11.39 9 2.9 NA NA 74
1980029 1980 01 29 41.28 12.41 8.21 11.7 2.3 NA NA 74.29
1980030 1980 01 30 68.29 10.6 7.7 10.31 3.3 NA NA 59.99
1980031 1980 01 31 144.52 11.9 5.9 0 2.1 NA NA 44.23
1980032 1980 02 01 50.93 12.2 8.21 2.46 2.3 NA NA 71.71
1980033 1980 02 02 50.92 12.6 8.1 12.2 2.77 NA NA 72.64
1980034 1980 02 03 68.29 11.4 6.3 7.96 2.8 NA NA 57.6
1980035 1980 02 04 18.27 3.09 4.33 10.1 2.5 NA NA 72
1980036 1980 02 05 156.25 5.9 -1.9 0 2 NA NA 28.62
1980037 1980 02 06 67.13 9.39 -2.5 18.44 2.3 NA NA 61.96
1980038 1980 02 07 49.77 10.7 9.73 24.87 2.8 NA NA 82.9
1980039 1980 02 08 54.4 9.84 4.96 1.65 2.9 NA NA 55.82
1980040 1980 02 09 83.49 7.79 0.2 4.53 1.3 NA NA 54.1
1980041 1980 02 10 67.13 11.4 6.01 0 2.2 NA NA 64.42
1980042 1980 02 11 89.45 14.3 7.15 0 1.9 NA NA 56.91
1980043 1980 02 12 171.3 15.7 6.13 0 1.9 NA NA 44.86
1980044 1980 02 13 139.5 14 8.7 1.1 2.5 NA NA 59.8
1980045 1980 02 14 87.96 15.14 7.31 4.28 1.29 NA NA 57.21
1980046 1980 02 15 31.06 10.3 8.2 14.84 2.8 NA NA 73.77
1980047 1980 02 16 133.1 10.6 6.5 1.1 2 NA NA 52.7
1980048 1980 02 17 164.35 13.11 3.3 0 1.24 NA NA 46.7
1980049 1980 02 18 149.98 14.88 3.3 0 1.5 NA NA 38.94
1980050 1980 02 19 173.41 16.5 6.8 0 2.9 NA NA 24.12
1980051 1980 02 20 106.48 15.4 6 5.35 1.2 NA NA 48.94
1980052 1980 02 21 46.9 11.28 6.12 2.2 0.9 NA NA 71.76
1980053 1980 02 22 137.73 14.9 2.69 1.1 0.6 NA NA 53.04
1980054 1980 02 23 164.35 15.22 5.5 0 1.06 NA NA 41.57
1980055 1980 02 24 186.57 14.1 5.33 0 2.3 NA NA 28.15
1980056 1980 02 25 187.5 13.5 3.7 0 2.3 NA NA 24.18
1980057 1980 02 26 192.38 13.7 3.55 0 2.2 NA NA 23.96
1980058 1980 02 27 193.29 11.8 3.31 0 2.4 NA NA 21.76
1980059 1980 02 28 197.92 13.7 0.7 0 2.32 NA NA 19.57
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 68.27 12 5.5 4.37 3.2 NA NA 26.58
1980062 1980 03 02 195.57 16.8 4.2 0 0.9 NA NA 42.21
1980063 1980 03 03 38.19 11.7 5.9 20.05 1.4 NA NA 74.09
1980064 1980 03 04 120.37 11.9 6.8 5.3 1.7 NA NA 65.96
1980065 1980 03 05 122.49 14.08 5.5 2.2 1.8 NA NA 38.62
1980066 1980 03 06 184.03 14.9 7.2 0 1.4 NA NA 29.07
1980067 1980 03 07 206.97 15.8 3.93 0 0.4 NA NA 34.8
1980068 1980 03 08 164.35 19.4 6 0 2.1 NA NA 23.9
1980069 1980 03 09 178.24 17.32 8.24 1.1 1.5 NA NA 43.42
1980070 1980 03 10 209.49 17.82 6 0 0.3 NA NA 39.16
1980071 1980 03 11 223.38 19.51 6.88 0 2.37 NA NA 22.39
1980072 1980 03 12 136.01 20.5 9.6 10.46 3.54 NA NA 19.79
1980073 1980 03 13 219.18 22.2 9.5 0 1.5 NA NA 25.92
1980074 1980 03 14 224.54 23 9.2 0 1.9 NA NA 21.38
1980075 1980 03 15 133.1 24.5 12.6 0 2.1 NA NA 24.05
1980076 1980 03 16 207 25.82 13.34 0 1.7 NA NA 23.49
1980077 1980 03 17 195.4 25 12.1 0 1.4 NA NA 24.4
1980078 1980 03 18 121.27 20.2 11.13 0.91 0.7 NA NA 55.3
1980079 1980 03 19 92.55 19.56 8.4 0 0.7 NA NA 49.94
1980080 1980 03 20 242.01 22.81 6.4 0 0.5 NA NA 26.52
1980081 1980 03 21 96.06 17.46 9.12 5.31 1.1 NA NA 57.4
1980082 1980 03 22 195.6 18.7 8 0 1.3 NA NA 46.98
1980083 1980 03 23 229.17 21.9 6.6 0 0.9 NA NA 28.6
1980084 1980 03 24 229.17 20.71 4.7 0 0.6 NA NA 35.05
1980085 1980 03 25 226.46 23.31 6.4 0 0.5 NA NA 27.66
1980086 1980 03 26 140.92 24.8 12.7 5.1 0.5 NA NA 46.74
1980087 1980 03 27 244.21 22.66 10.7 0 1.2 NA NA 39
1980088 1980 03 28 234.95 20.7 8.62 0 0.8 NA NA 40.69
1980089 1980 03 29 251.16 22.5 6.7 0 0.5 NA NA 31.38
1980090 1980 03 30 172.87 21.7 5 0 0.4 NA NA 30.97
1980091 1980 03 31 112.73 21.36 11.6 7.17 0.9 NA NA 36.8
1980092 1980 04 01 260.42 18.21 10.4 0 1.6 NA NA 43.22
1980093 1980 04 02 83.81 14 11.34 6.4 2 NA NA 56.31
1980094 1980 04 03 244.21 19.39 10.1 0 1.6 NA NA 43.42
1980095 1980 04 04 235.15 21.33 6.8 0 0.9 NA NA 36.78
1980096 1980 04 05 287.04 23.48 5.6 0 0.5 NA NA 25.58
1980097 1980 04 06 287.04 25.3 6.5 0 0.8 NA NA 22.39
1980098 1980 04 07 261.73 25.7 6.9 0 0.5 NA NA 22.3
1980099 1980 04 08 261.71 30 9.1 0 0.51 NA NA 18.19
1980100 1980 04 09 271.21 31.38 13.04 0 1.3 NA NA 14.72
1980101 1980 04 10 265.05 24.3 8.43 0 1.1 NA NA 26.67
1980102 1980 04 11 287.04 31.06 7.2 0 0.5 NA NA 13.6
1980103 1980 04 12 175.93 34.18 14.18 0 2.6 NA NA 13.41
1980104 1980 04 13 282.41 20.8 9.9 0 1.6 NA NA 34.35
1980105 1980 04 14 255.79 20.6 8.5 0 1.4 NA NA 33.82
1980106 1980 04 15 169.74 17.84 11.1 1.81 1.9 NA NA 44.43
1980107 1980 04 16 270.4 24.3 10.9 0 1.9 NA NA 20.69
1980108 1980 04 17 272.22 24.23 11.6 0 1.98 NA NA 15.01
1980109 1980 04 18 277.47 24.05 11.4 0 1.6 NA NA 15.49
1980110 1980 04 19 276.7 25 11.1 0 1.2 NA NA 16.05
