*WEATHER DATA - Station:Estrees-Mons - BADJAM DATA - BADJer: UG - Method: QM - Source model: CSIRO
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Estrees-Mons 49.88 3 83 10.09 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 19.56 5.32 1.5 0.7 4.1 NA NA 76.08
1980002 1980 01 02 16.05 5.04 1.2 2.29 2.59 NA NA 88.79
1980003 1980 01 03 40.6 2.5 -0.85 -0.02 3.3 NA NA 63.48
1980004 1980 01 04 28.9 1.2 -1.6 1.2 1.59 NA NA 74.2
1980005 1980 01 05 30.07 0.95 -9.76 2.1 3.3 NA NA 64.75
1980006 1980 01 06 41.74 -4.78 -11.15 0.29 0.79 NA NA 66.72
1980007 1980 01 07 42.9 -2.56 -7.89 -0.01 1.39 NA NA 65.94
1980008 1980 01 08 49.83 5.13 -1.71 0.39 4.6 NA NA 83.82
1980009 1980 01 09 24.2 5.93 2.68 0.28 3.7 NA NA 92.21
1980010 1980 01 10 34.69 6.2 1.93 -0.02 2.91 NA NA 85.4
1980011 1980 01 11 34.68 5.87 1.92 -0.01 1.4 NA NA 86.31
1980012 1980 01 12 31.29 6.49 1.82 -0.02 1.59 NA NA 84.07
1980013 1980 01 13 31.29 5.12 1 -0.01 2.5 NA NA 84.08
1980014 1980 01 14 43.67 5.94 1.31 -0.01 3.48 NA NA 80.1
1980015 1980 01 15 56.71 5.38 0.69 -0.01 3.19 NA NA 68.45
1980016 1980 01 16 65.97 4.19 -0.22 -0.01 1.5 NA NA 63.39
1980017 1980 01 17 39.3 5.8 -0.22 0.59 2.69 NA NA 78.42
1980018 1980 01 18 27.8 6.7 0.99 0.29 2.4 NA NA 80.59
1980019 1980 01 19 57.92 5.37 0.19 -0.01 2.5 NA NA 69.45
1980020 1980 01 20 52.14 3.92 -0.19 -0.01 4.01 NA NA 56.17
1980021 1980 01 21 56.82 3.5 -0.52 -0.01 5.1 NA NA 48.2
1980022 1980 01 22 45.11 4.28 -0.11 -0.01 6.13 NA NA 41.94
1980023 1980 01 23 63.05 2.5 -0.55 -0.01 3.5 NA NA 56.07
1980024 1980 01 24 56.7 2.94 -2.52 -0.01 0.84 NA NA 56.69
1980025 1980 01 25 61.59 2.8 -2.56 -0.01 2.7 NA NA 50.37
1980026 1980 01 26 42.8 4.67 -1.66 2.69 3.4 NA NA 52.63
1980027 1980 01 27 38.16 7.22 2.23 3.7 4.31 NA NA 87.32
1980028 1980 01 28 31.25 7.02 1.3 -0.01 3.28 NA NA 84.46
1980029 1980 01 29 62.7 5.07 0.2 -0.02 1.6 NA NA 73.74
1980030 1980 01 30 37.01 4 -0.03 -0.01 4.7 NA NA 56.45
1980031 1980 01 31 76.5 4.2 -0.6 -0.02 4.8 NA NA 47.89
1980032 1980 02 01 56.7 5.02 -0.7 -0.02 1.9 NA NA 63.29
1980033 1980 02 02 35.69 6.63 -0.14 1.2 6.31 NA NA 65.34
1980034 1980 02 03 63.72 7.5 0.41 -0.01 3.8 NA NA 73.32
1980035 1980 02 04 40.64 9.09 5.01 -0.01 6.62 NA NA 66.32
1980036 1980 02 05 43.44 7.91 2.03 -0.01 3 NA NA 61.16
1980037 1980 02 06 50.88 7.79 0.79 -0.02 0.97 NA NA 62.51
1980038 1980 02 07 78.74 6.61 -0.21 -0.02 1.27 NA NA 62.5
1980039 1980 02 08 35.79 8.09 1.25 -0.01 1.9 NA NA 67.31
1980040 1980 02 09 52.02 9.9 2.74 -0.01 1.37 NA NA 68.22
1980041 1980 02 10 66.01 9.34 0.8 -0.02 1.69 NA NA 58.4
1980042 1980 02 11 84.69 9.34 -0.22 -0.01 1.49 NA NA 57.58
1980043 1980 02 12 76.44 9.18 0.5 -0.02 1.68 NA NA 59.78
1980044 1980 02 13 84.53 9.28 1.69 -0.01 3.4 NA NA 55.79
1980045 1980 02 14 85.64 8.4 0.91 -0.01 2.2 NA NA 51.99
1980046 1980 02 15 52.03 10.1 0.9 -0.01 1.57 NA NA 57.61
1980047 1980 02 16 45.13 10.41 4.55 0 0.93 NA NA 72.08
1980048 1980 02 17 76.31 10.34 4.93 -0.01 2.19 NA NA 73.92
1980049 1980 02 18 91.62 7.02 0.69 -0.02 3 NA NA 53.75
1980050 1980 02 19 103.79 6.92 -0.19 -0.01 2.68 NA NA 43.33
1980051 1980 02 20 103.84 6.7 -0.21 -0.01 5 NA NA 37.65
1980052 1980 02 21 102.2 4.1 -0.81 -0.01 6.77 NA NA 37.52
1980053 1980 02 22 103.4 4.16 -1.69 -0.01 5.05 NA NA 19.77
1980054 1980 02 23 106.54 5.46 -1.5 -0.01 4 NA NA 29.01
1980055 1980 02 24 94.9 10.3 1.01 2.89 5.31 NA NA 50.31
