*WEATHER DATA - Station:Schleswig - BADJAM DATA - BADJer: UG - Method: QM - Source model: CSIRO
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Schleswig 54.53 9.55 32 7.82 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 13.87 3.3 -0.51 1.8 4.4 NA NA 81.23
1980002 1980 01 02 21.99 0.48 -2.8 -0.01 4.78 NA NA 58.79
1980003 1980 01 03 27.8 -2.51 -3.71 -0.01 4.58 NA NA 69.58
1980004 1980 01 04 21.98 -0.28 -3.7 4.19 5.5 NA NA 72.17
1980005 1980 01 05 29.05 -0.86 -4.85 0.59 6.7 NA NA 65.94
1980006 1980 01 06 32.42 -5.06 -5.41 -0.01 5.5 NA NA 75.22
1980007 1980 01 07 26.63 2.89 -5.81 5.95 3.29 NA NA 36.37
1980008 1980 01 08 14.95 5.09 1.31 6.57 4.5 NA NA 85.75
1980009 1980 01 09 25.48 3.09 -0.1 -0.01 4.7 NA NA 77.79
1980010 1980 01 10 13.68 5.64 -0.02 9.2 3.89 NA NA 84.72
1980011 1980 01 11 19.65 5.7 1.39 -0.01 1.9 NA NA 86.78
1980012 1980 01 12 24.32 6.17 2.47 -0.01 3.7 NA NA 87.52
1980013 1980 01 13 24.23 6.32 2.21 0.49 4.2 NA NA 83.66
1980014 1980 01 14 25.44 4.4 1.51 -0.01 1.7 NA NA 87.27
1980015 1980 01 15 16.12 4.93 1.68 2.48 2.19 NA NA 86.32
1980016 1980 01 16 23.13 4.5 1.11 -0.01 2.18 NA NA 78.61
1980017 1980 01 17 15.01 5.41 2.91 1.2 2.2 NA NA 88.69
1980018 1980 01 18 28.95 4.39 1.51 -0.01 2.08 NA NA 78.4
1980019 1980 01 19 31.24 3.3 0.07 -0.01 3.4 NA NA 64.58
1980020 1980 01 20 30.04 1.99 -2.03 -0.01 2.48 NA NA 59.61
1980021 1980 01 21 17.33 4.82 -0.51 5.11 4.21 NA NA 82.13
1980022 1980 01 22 36.18 2.8 -1.01 -0.01 3.41 NA NA 68.54
1980023 1980 01 23 35.94 1.21 -3.51 -0.01 2 NA NA 54.71
1980024 1980 01 24 31.28 2.47 -0.98 -0.01 1.68 NA NA 67.95
1980025 1980 01 25 33.71 1.57 -1.89 -0.01 2.07 NA NA 75.36
1980026 1980 01 26 35.09 0.69 -2.44 -0.02 2.08 NA NA 74.26
1980027 1980 01 27 25.45 2.78 -1.4 6.99 5.8 NA NA 66.63
1980028 1980 01 28 20.79 3.38 0.57 15.24 6.93 NA NA 84.8
1980029 1980 01 29 41.71 1.75 -11.69 -0.01 3.7 NA NA 67.36
1980030 1980 01 30 42.81 -0.42 -12.01 -0.02 2.3 NA NA 66.38
1980031 1980 01 31 46.42 2.79 -6.82 -0.01 3.47 NA NA 54.02
1980032 1980 02 01 46.34 5.34 0.38 3.06 6.9 NA NA 67.26
1980033 1980 02 02 23.08 5.89 -1.89 3.03 8.23 NA NA 75.93
1980034 1980 02 03 57.95 6.93 -6.56 11.36 5.5 NA NA 34.91
1980035 1980 02 04 24.04 7.03 4.1 2 8.83 NA NA 82.23
1980036 1980 02 05 45.15 4.6 0 -0.02 4 NA NA 64.34
1980037 1980 02 06 22.75 7.71 1.6 2.8 6.22 NA NA 81.15
1980038 1980 02 07 25.45 8.49 5.24 1.19 6.91 NA NA 83.94
1980039 1980 02 08 19.6 8.22 4.4 6.01 2.38 NA NA 83.63
1980040 1980 02 09 35.83 9.93 5.86 0.74 7.03 NA NA 84.13
1980041 1980 02 10 21.79 8.91 5.85 5.47 7.32 NA NA 87.24
1980042 1980 02 11 56.75 7.67 1.79 -0.01 2.7 NA NA 58.95
1980043 1980 02 12 64.08 2.4 -1.03 -0.01 4.4 NA NA 42.07
1980044 1980 02 13 75.57 0.51 -2.59 -0.01 3.09 NA NA 34.28
1980045 1980 02 14 61.35 3 -2.27 -0.01 1.21 NA NA 34.66
1980046 1980 02 15 71.76 6.5 -0.35 0.66 3 NA NA 60.49
1980047 1980 02 16 19.08 7.29 -0.48 2.9 5 NA NA 81.54
1980048 1980 02 17 68.32 0.39 -3.44 -0.01 4.1 NA NA 39.26
1980049 1980 02 18 69.68 1.8 -4.11 -0.01 2.2 NA NA 41.4
1980050 1980 02 19 51.04 3.59 -4.22 5.67 1.09 NA NA 55.63
1980051 1980 02 20 67.26 3.1 -4.42 -0.01 5.8 NA NA 43.73
1980052 1980 02 21 76.35 -2.01 -5.99 -0.01 2.16 NA NA 44.53
1980053 1980 02 22 68.25 -0.32 -5.22 -0.01 0.85 NA NA 46.89
1980054 1980 02 23 77.46 1.08 -5.95 -0.01 0.51 NA NA 48.54
1980055 1980 02 24 78.91 1.75 -4.67 -0.01 3.09 NA NA 46.38
1980056 1980 02 25 87.94 3 -1.19 -0.01 6.63 NA NA 50.13
1980057 1980 02 26 50.86 6.39 1.94 7.32 6.01 NA NA 82.73
1980058 1980 02 27 79.94 13.24 4.99 1.04 4.69 NA NA 66.86
1980059 1980 02 28 46.09 11.34 5.28 2.01 3.7 NA NA 82.06
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 56.5 11.98 2.3 0.8 2.29 NA NA 75.2
1980062 1980 03 02 76.29 7.92 1.39 -0.01 3.8 NA NA 61.72
1980063 1980 03 03 83.8 6.93 1.51 -0.01 5.9 NA NA 56.5
1980064 1980 03 04 90.06 8.14 1.99 -0.01 4.2 NA NA 55.15
1980065 1980 03 05 42.49 9.1 2.41 1.91 2.8 NA NA 70.59
1980066 1980 03 06 84.29 11.33 4.83 -0.01 4.1 NA NA 68.66
1980067 1980 03 07 102.19 11.4 4.82 10.35 4.81 NA NA 63.42
1980068 1980 03 08 29.65 8.11 4.91 7.74 4.09 NA NA 88.9
1980069 1980 03 09 57.99 9.81 4.2 -0.01 2.89 NA NA 67.78
1980070 1980 03 10 65.89 8.3 1.7 -0.01 5.74 NA NA 61.01
1980071 1980 03 11 107.99 6.09 0.32 -0.01 6.42 NA NA 48.26
1980072 1980 03 12 115.68 2.09 -1.9 -0.01 6.83 NA NA 37.16
1980073 1980 03 13 127.51 1.53 -2.53 -0.01 3.69 NA NA 28.79
1980074 1980 03 14 128.09 6.3 -1.33 -0.01 4.5 NA NA 37.4
1980075 1980 03 15 51.23 8.92 3.61 7.22 5.41 NA NA 76.81
1980076 1980 03 16 79.81 7.6 0.11 5.34 4.5 NA NA 64.14
1980077 1980 03 17 155.55 3.49 -0.51 -0.01 3.49 NA NA 39.88
1980078 1980 03 18 104.16 5.8 -0.6 -0.01 0.78 NA NA 41.58
1980079 1980 03 19 123.85 8.01 0.81 -0.01 2.2 NA NA 50.97
1980080 1980 03 20 107.66 6.56 0.39 -0.01 2.5 NA NA 50.18
1980081 1980 03 21 158.51 9.61 0.22 -0.01 2.69 NA NA 46.33
1980082 1980 03 22 157.41 7.31 1.6 -0.01 1.77 NA NA 52.51
1980083 1980 03 23 157.59 10.61 1.59 -0.01 2.79 NA NA 52.39
1980084 1980 03 24 154.22 11.3 3.63 -0.01 4.91 NA NA 57.17
1980085 1980 03 25 69.64 10.21 4.91 -0.02 6.25 NA NA 70.19
1980086 1980 03 26 111.09 8.21 3.4 1 3.3 NA NA 59.06
1980087 1980 03 27 173.78 7.87 3.1 6 3.1 NA NA 56.39
1980088 1980 03 28 62.58 9.31 1.6 6.78 6.2 NA NA 67.84
1980089 1980 03 29 164.45 3.56 -0.91 -0.01 2.89 NA NA 35.04
