*WEATHER DATA - Station:Izmir - BADJAM DATA - BADJer: UG - Method: QM - Source model: CSIRO
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Izmir 38.6 27.06 390 9.73 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 101.85 -3.71 -11.88 -0.01 1.99 NA NA 52.19
1980002 1980 01 02 94.92 -2.02 -12.92 -0.01 1.4 NA NA 46.44
1980003 1980 01 03 72.94 2.24 -8.22 -0.01 3.11 NA NA 64.3
1980004 1980 01 04 97.75 2.68 -1.61 -0.01 2.9 NA NA 79.81
1980005 1980 01 05 91.58 3.38 -0.21 -0.01 2.4 NA NA 78.43
1980006 1980 01 06 54.33 4.31 -0.3 2.51 3.2 NA NA 81.92
1980007 1980 01 07 56.64 5.7 -1.6 0.59 1.3 NA NA 70.36
1980008 1980 01 08 50.5 4.51 -1.62 13.76 2.09 NA NA 79.33
1980009 1980 01 09 52.85 1.78 -5.84 0.29 2.1 NA NA 64.72
1980010 1980 01 10 84.21 -1.05 -8.26 -0.01 2.71 NA NA 47.83
1980011 1980 01 11 101.89 -4.98 -10.36 -0.01 2.7 NA NA 42.8
1980012 1980 01 12 89.16 -3.02 -11.82 -0.01 3.8 NA NA 51.46
1980013 1980 01 13 96.08 -5.6 -12.02 -0.01 2.41 NA NA 50.26
1980014 1980 01 14 82.22 -3.27 -12.06 -0.01 3.1 NA NA 48.56
1980015 1980 01 15 86.75 -0.45 -6.2 1.2 2.5 NA NA 62.5
1980016 1980 01 16 43.96 1.86 -0.89 22.88 4.21 NA NA 83.65
1980017 1980 01 17 48.52 2.9 -3.2 0.29 1.89 NA NA 78.09
1980018 1980 01 18 77.54 -0.45 -8.32 -0.01 1.77 NA NA 52.82
1980019 1980 01 19 114.65 -0.82 -10.66 -0.01 1.26 NA NA 37.95
1980020 1980 01 20 57.4 2.3 -6.14 2.5 2.2 NA NA 70.47
1980021 1980 01 21 33.32 4.11 -1.91 1.43 0.99 NA NA 80.01
1980022 1980 01 22 69.44 7.09 -1.9 -0.01 1.2 NA NA 68.13
1980023 1980 01 23 91.32 11.57 1.52 -0.01 2.11 NA NA 42.87
1980024 1980 01 24 97.14 12.75 1.11 -0.01 1.57 NA NA 39.23
1980025 1980 01 25 92.13 11.17 -0.09 -0.01 0.79 NA NA 49.2
1980026 1980 01 26 116.97 11.44 -1.86 -0.01 1.2 NA NA 45.49
1980027 1980 01 27 46.28 9.12 1.54 -0.01 2.1 NA NA 68.03
1980028 1980 01 28 120.44 10.23 -1.39 -0.01 0.9 NA NA 45.98
1980029 1980 01 29 92.54 9.72 -2.2 -0.01 0.88 NA NA 52.35
1980030 1980 01 30 95.47 8.53 -3.29 -0.01 1.3 NA NA 50.48
1980031 1980 01 31 33.38 10 3.67 9.94 3.61 NA NA 80.2
1980032 1980 02 01 16.13 10.71 4.19 8.22 5.6 NA NA 77.87
1980033 1980 02 02 108.67 9.83 1.21 -0.01 2.61 NA NA 51.24
1980034 1980 02 03 86.97 1.16 -5.29 -0.01 2.5 NA NA 43.97
1980035 1980 02 04 136.84 0.59 -5.81 -0.01 1.38 NA NA 34.09
1980036 1980 02 05 86.89 -0.11 -4.4 0 2.41 NA NA 42.73
1980037 1980 02 06 87.77 2.49 -6.35 1.21 3.3 NA NA 57.95
1980038 1980 02 07 132.01 -3.07 -10.62 -0.01 2.7 NA NA 46.1
1980039 1980 02 08 120.38 -3.01 -11.17 0.49 4.21 NA NA 50.34
1980040 1980 02 09 112.27 -3.13 -14.12 -0.01 4.13 NA NA 51.27
1980041 1980 02 10 130.81 -1.66 -14.6 0 3.5 NA NA 41.71
