*WEATHER DATA - Station:Sidi El Aydi - BADJAM DATA - BADJer: UG - Method: QM - Source model: CSIRO
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Sidi El Aydi 33.07 -7 610 25.72 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 134.23 32.71 15.41 0.9 3.91 NA NA 18.94
1980002 1980 01 02 173.65 23.1 13.58 0.9 4.42 NA NA 4.02
1980003 1980 01 03 174.75 24.59 8.49 1.2 3.6 NA NA 8.57
1980004 1980 01 04 177.06 25.3 8.4 1.2 3.2 NA NA 14.89
1980005 1980 01 05 173.62 26.2 6.96 1.2 2.4 NA NA 13.6
1980006 1980 01 06 168.91 27.34 9.39 1.2 2.3 NA NA 16.73
1980007 1980 01 07 173.55 27.99 11.3 1.2 2.54 NA NA 16.93
1980008 1980 01 08 178.35 28.03 9.71 0.9 2.49 NA NA 12.59
1980009 1980 01 09 172.39 29.02 9.6 1.2 2.3 NA NA 8.66
1980010 1980 01 10 170.13 29.97 10.82 1.5 1.8 NA NA 10.86
1980011 1980 01 11 168.94 30.74 11.32 1.5 0.78 NA NA 12.44
1980012 1980 01 12 178.27 28.2 13 1.5 2.3 NA NA 18.82
1980013 1980 01 13 144.45 25.71 14.32 1.5 4.3 NA NA 24.1
1980014 1980 01 14 181.66 19.4 9.61 1.5 4.6 NA NA 16.1
1980015 1980 01 15 179.38 22.03 6.99 1.5 3.1 NA NA 16.49
1980016 1980 01 16 192.14 27.8 9.99 1.5 3.2 NA NA 13.59
1980017 1980 01 17 177.1 29.12 11.63 1.2 2.8 NA NA 13.96
1980018 1980 01 18 190.94 29.5 10.41 1.2 2.9 NA NA 12
1980019 1980 01 19 181.12 22.99 14.83 1.2 4.32 NA NA 18.11
1980020 1980 01 20 178.2 22.6 10.5 1.5 4.1 NA NA 17.21
1980021 1980 01 21 179.32 23.29 10.82 1.5 3.8 NA NA 19.3
1980022 1980 01 22 180.52 24.9 12.07 1.5 3.5 NA NA 17.82
1980023 1980 01 23 180.54 27.51 9.7 1.5 2.8 NA NA 21.02
1980024 1980 01 24 189.76 31.2 15.77 0.3 3.6 NA NA 25.92
1980025 1980 01 25 203.67 30.22 16.86 0.3 3.8 NA NA 23.21
1980026 1980 01 26 186.34 28.52 15.82 0.6 3.6 NA NA 20.13
1980027 1980 01 27 187.44 28.2 11.31 0.6 2.9 NA NA 13
1980028 1980 01 28 189.79 28.22 10.8 0.6 2.95 NA NA 9.95
1980029 1980 01 29 189.84 27.9 10.32 0.6 3.2 NA NA 10.1
1980030 1980 01 30 189.79 23.7 13.42 0.6 4 NA NA 16.91
1980031 1980 01 31 193.23 23.6 9.8 0.6 3.3 NA NA 18.91
1980032 1980 02 01 194.52 26.05 8.81 0.6 2.7 NA NA 17.31
1980033 1980 02 02 214.09 27.02 9.35 0.6 1.9 NA NA 14.14
1980034 1980 02 03 194.5 27.84 9.81 0.6 1.1 NA NA 12.11
1980035 1980 02 04 196.56 27.49 11.02 0.6 2.1 NA NA 14.11
1980036 1980 02 05 207.12 28.71 11.3 0.6 2.6 NA NA 14.72
1980037 1980 02 06 205.89 25.34 14.52 0.6 3.81 NA NA 18.83
1980038 1980 02 07 205.98 23.07 11.1 0.6 4.52 NA NA 11.8
1980039 1980 02 08 214.26 16.69 8.58 0.3 4.58 NA NA 15.11
1980040 1980 02 09 214.19 19.17 6.06 0.3 3.2 NA NA 14.92
1980041 1980 02 10 211.82 19.94 4.71 0.3 3.1 NA NA 17.61
1980042 1980 02 11 211.24 19.22 8.28 0.3 4 NA NA 20.2
1980043 1980 02 12 217.53 19.03 7.29 0.3 4.1 NA NA 12.41
1980044 1980 02 13 219.85 19.18 5.89 0.3 3.79 NA NA 12.99
1980045 1980 02 14 216.46 21.63 5.19 0.32 3.3 NA NA 13.09
1980046 1980 02 15 218.73 23.4 6.88 0.32 2.3 NA NA 16.6
1980047 1980 02 16 215.28 25.1 9.1 0.32 2.72 NA NA 18.48
1980048 1980 02 17 217.53 25.8 10.5 0.32 2.8 NA NA 19
1980049 1980 02 18 221.03 25.41 10.3 0.32 2.7 NA NA 17.57
1980050 1980 02 19 224.49 26.2 9.32 0.32 0.74 NA NA 13
1980051 1980 02 20 224.51 27.9 9.58 0.32 3.3 NA NA 8.9
1980052 1980 02 21 227.96 24.08 12.02 0.32 3.91 NA NA 10.61
1980053 1980 02 22 225.7 24.38 10.17 0.32 3.8 NA NA 13.89
1980054 1980 02 23 226.78 27.3 12.29 0.3 4.22 NA NA 12.59
1980055 1980 02 24 227.93 28.61 12.9 0.61 4.21 NA NA 12.5
1980056 1980 02 25 227.99 29.31 11.8 0.61 3.2 NA NA 10.71
1980057 1980 02 26 229.09 28.47 12.01 0.61 3.6 NA NA 10.68
1980058 1980 02 27 233.72 25.17 12.63 0.61 4.11 NA NA 11.45
1980059 1980 02 28 238.36 24.3 10.1 0.61 3.3 NA NA 11.7
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 241.78 25.09 7.8 0.61 1.89 NA NA 12.6
1980062 1980 03 02 241.93 26.6 10.81 0.61 1.4 NA NA 15.46
1980063 1980 03 03 241.92 30.2 12.01 0.61 3.81 NA NA 7.69
1980064 1980 03 04 244.16 26.78 13.3 0.61 4 NA NA 10.09
1980065 1980 03 05 245.38 25.03 10.91 0.61 3.6 NA NA 11.52
1980066 1980 03 06 245.34 25.26 11.51 0.61 3.5 NA NA 11.21
1980067 1980 03 07 246.53 27.07 10.19 0.61 2.6 NA NA 13.31
1980068 1980 03 08 265.07 29.08 13.38 0.61 2.6 NA NA 11.51
1980069 1980 03 09 248.79 32.3 14.19 0.61 4 NA NA 6.48
1980070 1980 03 10 247.61 28.88 14.08 0.61 2.9 NA NA 9.61
1980071 1980 03 11 247.71 31.21 12.3 1 3 NA NA 8.7
