*WEATHER DATA - Station:Orleans  - BADJAM DATA - BADJer: UG - Method: QM - Source model: ICHEC
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Orleans  47.83 1.91 116 11.69 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 19.59 11.5 5.32 7.3 7.07 NA NA 76.3
1980002 1980 01 02 29.89 7.78 3.5 -0.01 5.4 NA NA 61.35
1980003 1980 01 03 49.86 7.3 2.41 -0.01 3.4 NA NA 56.47
1980004 1980 01 04 64.02 12.13 5.6 0 5.42 NA NA 43.93
1980005 1980 01 05 62.69 12.31 5.3 -0.01 4.4 NA NA 50.63
1980006 1980 01 06 60.35 13.5 6.99 -0.01 4.5 NA NA 41.78
1980007 1980 01 07 59.4 13.6 5.58 -0.01 3.4 NA NA 45.75
1980008 1980 01 08 53.38 12.61 5.73 -0.01 3.3 NA NA 51.07
1980009 1980 01 09 51.03 10.91 3 -0.01 2 NA NA 62.02
1980010 1980 01 10 63.72 9.11 0.73 -0.01 1.9 NA NA 65.88
1980011 1980 01 11 33.61 9.21 6.92 0.79 2.4 NA NA 84.32
1980012 1980 01 12 19.65 10.63 7.32 0.01 3.91 NA NA 89.62
1980013 1980 01 13 31.24 10.91 7.85 -0.01 4 NA NA 85.14
1980014 1980 01 14 57.87 7.99 -1.5 -0.01 2.37 NA NA 55.98
1980015 1980 01 15 59.03 3.38 -4.03 -0.01 0.99 NA NA 65.51
1980016 1980 01 16 57.89 3.3 -3.61 -0.01 2.3 NA NA 54.75
1980017 1980 01 17 22.98 9.6 -0.54 0.72 3.49 NA NA 76.58
1980018 1980 01 18 27.71 12.3 8.42 -0.01 5.34 NA NA 80.51
1980019 1980 01 19 38.44 12.13 8.03 -0.01 4.81 NA NA 76.42
1980020 1980 01 20 61.62 9.81 5.8 -0.01 5.21 NA NA 63.17
1980021 1980 01 21 38.21 7.39 0.39 1.22 5.81 NA NA 56.66
1980022 1980 01 22 49.08 6.3 0.31 -0.01 4.5 NA NA 64.59
1980023 1980 01 23 40.58 5.89 1.61 1.89 2.3 NA NA 88.14
1980024 1980 01 24 57.96 6.8 -0.93 0.84 2.7 NA NA 73.11
1980025 1980 01 25 39.26 8.89 5 7.14 5.96 NA NA 71.86
1980026 1980 01 26 44.01 6.31 1.6 -0.01 3.8 NA NA 72.84
1980027 1980 01 27 27.5 10.37 1.94 2.04 4.5 NA NA 75
1980028 1980 01 28 57.95 9.3 5.81 -0.01 5.4 NA NA 57.7
1980029 1980 01 29 43.91 7.98 3.13 0 5.2 NA NA 61.74
1980030 1980 01 30 51.03 8.41 1.05 -0.01 2.89 NA NA 63.16
1980031 1980 01 31 31.06 8.05 0.29 4.1 4.83 NA NA 57.34
1980032 1980 02 01 48.6 5.88 0.8 1.1 6.32 NA NA 66.53
1980033 1980 02 02 51.47 5.25 0 0.49 4.61 NA NA 62.2
1980034 1980 02 03 40.52 10.51 3.19 3.31 4.8 NA NA 66.34
1980035 1980 02 04 27.43 12.24 6.25 6.34 7.6 NA NA 82.34
1980036 1980 02 05 34.69 12.12 6.72 10.2 4.2 NA NA 83.34
1980037 1980 02 06 45.11 11.04 7.26 2.55 8.13 NA NA 73.73
1980038 1980 02 07 62.62 7.41 0.59 -0.01 6.21 NA NA 47.29
1980039 1980 02 08 89.13 7.19 -1.41 0.82 4.5 NA NA 54.55
