*WEATHER DATA - Station:Estrees-Mons - BADJAM DATA - BADJer: UG - Method: QM - Source model: IPSL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Estrees-Mons 49.88 3 83 10.71 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 28.92 7.9 3.8 5.15 6 NA NA 77.29
1980002 1980 01 02 33.58 3 -2.79 0.9 4.3 NA NA 59.24
1980003 1980 01 03 49.78 -0.71 -4.41 -0.01 3.1 NA NA 63.44
1980004 1980 01 04 23.11 5.71 -1.7 4.47 4.41 NA NA 75.48
1980005 1980 01 05 17.32 2.4 -0.5 0.4 3 NA NA 88.79
1980006 1980 01 06 33.54 2.76 -1.15 1.19 3.4 NA NA 80.49
1980007 1980 01 07 39.38 1.27 -4 -0.01 3.49 NA NA 83.37
1980008 1980 01 08 41.78 0.97 -4.81 -0.01 2.8 NA NA 73.46
1980009 1980 01 09 47.48 4.48 -0.21 -0.01 5.6 NA NA 66.38
1980010 1980 01 10 34.63 9.1 4.5 1.11 5.02 NA NA 65.99
1980011 1980 01 11 38.19 6.2 2.1 0 3.6 NA NA 70.29
1980012 1980 01 12 19.66 7.81 1.01 5.19 4.11 NA NA 75.01
1980013 1980 01 13 14.92 10.2 7.12 1 3.41 NA NA 88.53
1980014 1980 01 14 23.04 8.17 3.43 -0.02 3.59 NA NA 84.29
1980015 1980 01 15 17.05 9.2 3.49 0.58 3.39 NA NA 87.04
1980016 1980 01 16 17.35 10.22 6.35 3.83 3.8 NA NA 88.01
1980017 1980 01 17 24.27 8.73 3.91 2.31 5.22 NA NA 76.46
1980018 1980 01 18 35.93 7.3 4.1 -0.01 6.1 NA NA 60.34
1980019 1980 01 19 7.26 4.66 2.7 2.99 2.69 NA NA 93.46
1980020 1980 01 20 48.64 5.39 1.5 1.49 3.5 NA NA 69.06
1980021 1980 01 21 16.15 9.13 6.91 3.4 5.53 NA NA 91.51
