*WEATHER DATA - Station:Jokioinen - BADJAM DATA - BADJer: UG - Method: QM - Source model: IPSL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Jokioinen 60.8 23.48 111 5.59 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 6.92 0.09 -7.39 2.09 1.5 NA NA 64.88
1980002 1980 01 02 4.58 1 -7.4 3.42 1.72 NA NA 63.05
1980003 1980 01 03 5.78 1.1 -3.71 1.6 1.81 NA NA 81.48
1980004 1980 01 04 10.43 -2.44 -6.5 0.48 1.29 NA NA 83.74
1980005 1980 01 05 13.95 -1.09 -10.5 1.81 1.49 NA NA 45.52
1980006 1980 01 06 4.61 1.51 -1.22 4.64 1.8 NA NA 84.69
1980007 1980 01 07 5.77 0.9 -3.51 0.4 0.6 NA NA 84.12
1980008 1980 01 08 12.72 -1.7 -8.9 -0.02 0.6 NA NA 74.61
1980009 1980 01 09 13.9 -3.69 -8.6 0.29 1.5 NA NA 81
1980010 1980 01 10 8.02 -3.39 -13.01 -0.01 1 NA NA 74.42
1980011 1980 01 11 16.21 -3.48 -12.56 -0.01 1 NA NA 39.56
1980012 1980 01 12 6.92 -1.34 -4.49 1.68 1.6 NA NA 82.23
1980013 1980 01 13 8.05 -2.08 -6.95 1.48 1.6 NA NA 74
1980014 1980 01 14 16.19 -5.09 -11.62 -0.01 1.5 NA NA 66.22
1980015 1980 01 15 16.22 -9.37 -14.34 -0.01 1.3 NA NA 81.38
1980016 1980 01 16 12.72 -8.93 -14.28 -0.01 0.99 NA NA 81.61
1980017 1980 01 17 9.25 -0.29 -10.74 3.31 1.81 NA NA 39.7
1980018 1980 01 18 12.74 1.71 -8.68 2.72 1.6 NA NA 58.28
1980019 1980 01 19 9.24 1.61 0.16 4.81 2.02 NA NA 84.67
1980020 1980 01 20 8.05 1.12 -1.14 1.4 1.81 NA NA 82.92
1980021 1980 01 21 19.63 -0.16 -2.29 2 1.8 NA NA 81.52
1980022 1980 01 22 16.2 -0.06 -5.01 0.39 1.59 NA NA 75.81
1980023 1980 01 23 16.18 0.1 -3.78 -0.01 1.61 NA NA 75.65
1980024 1980 01 24 17.33 -2.73 -9.98 0.29 0.6 NA NA 58.53
1980025 1980 01 25 23.44 1.2 -6.82 6.55 1.5 NA NA 46.47
1980026 1980 01 26 13.87 1 -4.08 1.41 2 NA NA 62.21
1980027 1980 01 27 24.28 -3.27 -14.2 -0.01 0.49 NA NA 42.59
1980028 1980 01 28 20.84 -5.68 -15.11 -0.01 0.5 NA NA 80.12
1980029 1980 01 29 18.5 -10.67 -14.83 -0.01 0.79 NA NA 83.86
1980030 1980 01 30 20.84 -8.92 -18.91 -0.01 1.5 NA NA 83.11
1980031 1980 01 31 28.93 0.81 -22.53 1.39 1.49 NA NA 6.81
1980032 1980 02 01 10.3 2 -0.5 10.4 2.4 NA NA 84.7
1980033 1980 02 02 26.87 1.32 -4.58 -0.01 1.81 NA NA 40.99
1980034 1980 02 03 26.6 -0.11 -6 -0.01 1.7 NA NA 69.8
1980035 1980 02 04 18.5 1.3 -6.26 1 1.9 NA NA 71.89
1980036 1980 02 05 18.5 1.6 -0.47 1.7 2.48 NA NA 84.14
1980037 1980 02 06 33.65 1.91 -4.02 1.39 1.9 NA NA 47.41
1980038 1980 02 07 35.93 4.4 -5.53 -0.01 2.69 NA NA 55.65
1980039 1980 02 08 37.08 -4.01 -10.79 -0.01 1.5 NA NA 77.23
1980040 1980 02 09 50.92 -0.66 -17.21 0.5 0.79 NA NA 8.59
1980041 1980 02 10 49.91 1 -5.68 -0.01 1.7 NA NA 70.05
1980042 1980 02 11 35.9 -0.4 -8.99 -0.01 1.5 NA NA 70.01
1980043 1980 02 12 54.45 1.02 -5.78 -0.01 1.9 NA NA 51.2
1980044 1980 02 13 15.97 2.8 0.49 16.8 3.02 NA NA 82.92
1980045 1980 02 14 38.15 0.8 -6.02 1.2 1.8 NA NA 55.4
1980046 1980 02 15 52.07 -1.9 -7.4 0.9 0.39 NA NA 77.41
1980047 1980 02 16 51.89 -2.46 -9.09 0.4 1 NA NA 80.12
1980048 1980 02 17 53.28 -3 -11.2 -0.01 1.1 NA NA 77.82
1980049 1980 02 18 64.91 -1.19 -12.92 2.77 1.4 NA NA 26.39
1980050 1980 02 19 49.76 1.32 -1.84 4.55 2.27 NA NA 69.65
1980051 1980 02 20 3.51 0.22 -2.58 2 1.3 NA NA 81.5
1980052 1980 02 21 65.96 -1.8 -13.3 -0.01 0.9 NA NA 43.48
1980053 1980 02 22 63.58 -2.78 -13.29 0.5 0.39 NA NA 59.77
1980054 1980 02 23 60.28 -4.12 -16.58 0.29 0.79 NA NA 47.98
1980055 1980 02 24 66.25 -4.44 -10.56 0 1.1 NA NA 83.62
1980056 1980 02 25 40.48 -1.39 -7.1 3.94 2.3 NA NA 75.64
1980057 1980 02 26 46.3 -1.09 -3.98 4.33 1.09 NA NA 80.19
1980058 1980 02 27 61.32 -0.8 -10.68 -0.01 0.18 NA NA 79.52
1980059 1980 02 28 67.11 -1.5 -11.09 0.29 0.2 NA NA 74.2
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 76.18 0.11 -10.2 0.4 1.41 NA NA 68.31
1980062 1980 03 02 49.57 0.51 -10.7 4.24 1.5 NA NA 69.2
1980063 1980 03 03 48.58 0.79 -8.05 1.91 0.89 NA NA 80.85
1980064 1980 03 04 59.48 0.5 -7.8 0.4 0.27 NA NA 77.35
1980065 1980 03 05 78.88 0.2 -5.69 0.5 0.7 NA NA 77.73
1980066 1980 03 06 42.72 2.4 -0.6 1.9 1.8 NA NA 85.09
1980067 1980 03 07 22.56 2.53 1.05 3.93 1.81 NA NA 87.31
1980068 1980 03 08 40.24 3.02 -0.05 1.11 2.12 NA NA 85.61
1980069 1980 03 09 91.31 2.31 -0.78 -0.01 1.7 NA NA 82.54
1980070 1980 03 10 82.01 2.41 0.34 1.73 1.1 NA NA 83.78
1980071 1980 03 11 70.47 1.01 -3.7 -0.01 1.1 NA NA 80.41
1980072 1980 03 12 62.45 0.86 -6.09 0 0.58 NA NA 77.41
1980073 1980 03 13 121.47 0.81 -6.41 -0.01 0.06 NA NA 77.29
1980074 1980 03 14 119.39 0.6 -7.59 -0.01 0.89 NA NA 59.19
1980075 1980 03 15 121.55 1.5 -3.6 -0.01 1.49 NA NA 54.93
1980076 1980 03 16 43.54 1.2 -3.59 1.4 1.1 NA NA 78.89
1980077 1980 03 17 66.94 3.1 -2.87 5.54 1.51 NA NA 82.05
1980078 1980 03 18 26.16 4.4 1.31 3.8 1.51 NA NA 85.83
1980079 1980 03 19 50.23 4.6 0.12 5.42 1.5 NA NA 84.72
1980080 1980 03 20 82.94 1.39 -3.6 -0.01 0.07 NA NA 84.53
1980081 1980 03 21 123.83 3.7 -4.73 -0.01 0.48 NA NA 76.85
1980082 1980 03 22 29.73 6.32 -2.49 3.7 1.4 NA NA 82.48
1980083 1980 03 23 80.42 8.22 4.05 2.29 2.11 NA NA 80.49
1980084 1980 03 24 128.44 8.54 1.51 -0.01 2.04 NA NA 52.33
1980085 1980 03 25 64.68 7.07 -0.71 1.01 1.6 NA NA 77.57
1980086 1980 03 26 150.52 8.37 -1.49 -0.01 0.79 NA NA 51.73
1980087 1980 03 27 150.5 8.3 -1.88 -0.01 0.98 NA NA 37.76
1980088 1980 03 28 164.6 8.54 -2.48 -0.01 1 NA NA 25.44
1980089 1980 03 29 168.97 11.47 0.11 -0.01 1.53 NA NA 41.07
1980090 1980 03 30 157.91 10.22 0.12 -0.01 1.51 NA NA 48.76
1980091 1980 03 31 90.18 7.39 -1.16 0 1.5 NA NA 51.19
1980092 1980 04 01 183.2 2.64 -2.29 -0.01 0.5 NA NA 23.83
1980093 1980 04 02 80.71 3.29 -1.1 1.19 1.3 NA NA 73.8
1980094 1980 04 03 50.56 8.03 0.97 12.64 2 NA NA 80.22
1980095 1980 04 04 52.71 10.73 2.35 0.89 1.71 NA NA 80.21
1980096 1980 04 05 190.85 12.54 -0.5 -0.01 0.5 NA NA 38.87
1980097 1980 04 06 164.6 15.33 0.2 -0.01 1.91 NA NA 33.18
1980098 1980 04 07 174.05 13.2 0.1 -0.01 1.81 NA NA 33.88
1980099 1980 04 08 214.29 11.21 -2.31 -0.01 1.1 NA NA 22.99
1980100 1980 04 09 214.24 12.35 -2.4 -0.01 0.5 NA NA 22.77
1980101 1980 04 10 205.04 10.84 -2.11 -0.01 0.8 NA NA 24.8
1980102 1980 04 11 176.12 7.53 -0.4 1.4 0.5 NA NA 41.23
1980103 1980 04 12 181.28 5.29 -2.71 0 0.7 NA NA 41.48
1980104 1980 04 13 201.36 7.8 -2.73 -0.01 1.3 NA NA 24.99
1980105 1980 04 14 182.84 6.11 -2.7 -0.01 1.31 NA NA 25.3
1980106 1980 04 15 216.56 5.69 -3.22 -0.01 0.5 NA NA 23.57
1980107 1980 04 16 177.06 6.96 -2.5 -0.01 0.9 NA NA 37.13
1980108 1980 04 17 214.32 10.62 -1.21 -0.01 0.4 NA NA 29.44
1980109 1980 04 18 217.58 12.41 -2.6 -0.01 0.7 NA NA 27.22
1980110 1980 04 19 222.95 12.13 -2.2 -0.01 1.1 NA NA 28.85
1980111 1980 04 20 222.11 14.82 0.3 0.01 1.5 NA NA 36.94
1980112 1980 04 21 201.48 3.3 -2.4 -0.01 2.1 NA NA 27.61
1980113 1980 04 22 201.75 2.2 -3.29 0 2.02 NA NA 30.46
1980114 1980 04 23 153.59 5.01 0 0 2.14 NA NA 38.95
1980115 1980 04 24 180.54 4.35 -0.4 -0.01 1.73 NA NA 38.31
1980116 1980 04 25 120.45 5.3 0.1 2.32 1.6 NA NA 55.35
1980117 1980 04 26 103.75 6.99 3.61 1.21 0.7 NA NA 67.44
1980118 1980 04 27 134.3 6.38 3.61 0.59 1.1 NA NA 73.37
1980119 1980 04 28 104.99 7.8 -0.49 2.32 0.68 NA NA 54.94
1980120 1980 04 29 136.41 11.71 -0.59 2.24 0.5 NA NA 45.11
1980121 1980 04 30 190.61 13.24 1.44 -0.01 0.8 NA NA 41.62
1980122 1980 05 01 196.76 14.95 3.62 -0.01 0.5 NA NA 41.32
1980123 1980 05 02 251.24 16.71 0.4 -0.01 0.29 NA NA 34.3
1980124 1980 05 03 265.2 17.71 -1.1 -0.01 0.38 NA NA 30.26
1980125 1980 05 04 177.13 14.73 2.9 3.04 0.7 NA NA 47.34
1980126 1980 05 05 262.81 12.04 3.9 -0.01 1.2 NA NA 33.42
1980127 1980 05 06 203.76 9.86 3.49 1.24 1.1 NA NA 34.93
1980128 1980 05 07 262.98 18.63 5.02 0 1.62 NA NA 33.13
1980129 1980 05 08 208.03 18.61 5.03 -0.01 1.4 NA NA 35.29
1980130 1980 05 09 215.04 19.11 8.75 -0.01 1.5 NA NA 41.61
1980131 1980 05 10 193.22 20.31 4.1 -0.01 1 NA NA 37.14
1980132 1980 05 11 192.8 17.32 3.7 -0.01 0.39 NA NA 42.19
1980133 1980 05 12 216.44 18.2 4.22 -0.01 0.07 NA NA 40.72
1980134 1980 05 13 76.19 16.72 4.74 4.15 0.49 NA NA 63.23
1980135 1980 05 14 146.77 19.91 3.7 5.01 0.49 NA NA 44.42
1980136 1980 05 15 264.12 23.21 7.03 0 0.91 NA NA 37.99
1980137 1980 05 16 41.66 19.21 11.34 21.05 1.52 NA NA 70.95
1980138 1980 05 17 146.54 23.4 12.68 4.6 1 NA NA 75.6
1980139 1980 05 18 195.41 20.43 10.57 0.39 0.8 NA NA 59.59
1980140 1980 05 19 256.63 15.6 4.69 -0.01 0.99 NA NA 46.72
1980141 1980 05 20 259.07 14.79 2.3 -0.01 0.39 NA NA 40.84
1980142 1980 05 21 254.3 16.5 1 -0.01 0.03 NA NA 38.25
1980143 1980 05 22 289.36 18.26 6.6 -0.01 0.9 NA NA 35.37
1980144 1980 05 23 237.08 16.6 2.6 -0.01 1 NA NA 40.57
1980145 1980 05 24 293.13 16.59 1.5 -0.01 0.5 NA NA 31.73
1980146 1980 05 25 212.2 10.76 4.8 -0.01 0.9 NA NA 42.9
1980147 1980 05 26 250.55 13.5 3.3 -0.01 0.29 NA NA 34.28
1980148 1980 05 27 274.83 13.57 0.9 -0.01 0.6 NA NA 40.32
1980149 1980 05 28 242.42 13.78 -0.2 1.6 0.27 NA NA 42.75
1980150 1980 05 29 198.22 13.7 3.4 3.45 0.6 NA NA 49.27
1980151 1980 05 30 219.82 12.68 1.07 -0.01 0.8 NA NA 44.15
1980152 1980 05 31 343.16 15.61 -0.73 -0.01 0.6 NA NA 30.55
1980153 1980 06 01 338.46 14.8 0.19 -0.01 1.21 NA NA 34.9
1980154 1980 06 02 158.63 13.5 -0.52 4.3 0.29 NA NA 43.51
1980155 1980 06 03 169.46 13 3.85 -0.01 0.9 NA NA 45.07
1980156 1980 06 04 269.39 12.8 2.5 -0.01 0.8 NA NA 35.48
1980157 1980 06 05 312.54 13.6 3.2 -0.01 0.7 NA NA 32.48
1980158 1980 06 06 327.75 16.69 2 -0.01 0.69 NA NA 30.84
1980159 1980 06 07 283.6 18.39 3.2 -0.01 1 NA NA 37.98
1980160 1980 06 08 71.8 12.16 10.56 1.5 0.8 NA NA 89.35
1980161 1980 06 09 206.58 17.3 10.7 -0.01 0.6 NA NA 52.45
1980162 1980 06 10 144.01 16.86 10.59 1.49 0.8 NA NA 55.69
1980163 1980 06 11 152.1 13.79 9.41 8.84 1 NA NA 73.57
1980164 1980 06 12 193.55 13.17 9.6 0.4 1.2 NA NA 55.53
1980165 1980 06 13 89.76 14.99 6.1 6.8 1.1 NA NA 71.4
1980166 1980 06 14 114.08 12.76 6.15 31.59 0.8 NA NA 84.21
1980167 1980 06 15 85.26 11.93 10.6 10.11 1 NA NA 93.31
1980168 1980 06 16 65.35 12.81 10.96 10.06 1.12 NA NA 92.14
1980169 1980 06 17 147.74 17.26 10.82 0.29 0.9 NA NA 68.01
1980170 1980 06 18 246.27 20 10.3 -0.01 0.89 NA NA 47.01
