*WEATHER DATA - Station:Sidi El Aydi - BADJAM DATA - BADJer: UG - Method: QM - Source model: MPICCLM
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Sidi El Aydi 33.07 -7 610 25.66 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 168.98 23.8 9.2 0.3 2.8 NA NA 20.7
1980002 1980 01 02 165.51 25.3 10.58 0.3 2.09 NA NA 19.62
1980003 1980 01 03 167.79 24.8 9.3 0.3 2.6 NA NA 18.1
1980004 1980 01 04 122.19 19.7 7.4 0.3 3.2 NA NA 31.7
1980005 1980 01 05 97.66 20 10.4 1.24 4.3 NA NA 30.97
1980006 1980 01 06 86.81 16.19 8.01 1.2 3.4 NA NA 37.27
1980007 1980 01 07 167.82 20.1 7.5 0.3 0.78 NA NA 19.45
1980008 1980 01 08 89.11 20.16 11.41 1.2 2.39 NA NA 24.83
1980009 1980 01 09 173.6 21.49 10.91 0.3 1.18 NA NA 19.21
1980010 1980 01 10 174.77 22.51 9.09 0.3 0.3 NA NA 18.01
1980011 1980 01 11 175.91 24.69 10.41 0.3 0.36 NA NA 15.42
1980012 1980 01 12 178.24 25 10.5 0.3 1.8 NA NA 14.03
1980013 1980 01 13 179.31 25.19 10.31 0.3 2 NA NA 15.36
1980014 1980 01 14 178.26 22.72 10 0.3 3.2 NA NA 20.12
1980015 1980 01 15 180.61 22.7 8.6 0.3 1.8 NA NA 17.71
1980016 1980 01 16 181.72 23.59 8.69 0.3 0.98 NA NA 14.69
1980017 1980 01 17 181.67 23.81 8.99 0.3 1.4 NA NA 13
1980018 1980 01 18 182.88 21.9 8.5 0.3 2.5 NA NA 15.76
1980019 1980 01 19 189.82 22.18 7.29 0.3 2.5 NA NA 9.97
1980020 1980 01 20 192.16 23.51 7.67 0.3 2.2 NA NA 8.13
1980021 1980 01 21 188.66 23.71 8.41 0.3 2.7 NA NA 9.69
1980022 1980 01 22 188.61 22.31 8.09 0.3 3 NA NA 13.08
1980023 1980 01 23 188.66 22.71 7.5 0.3 1.49 NA NA 16.49
1980024 1980 01 24 192.13 22.69 8.61 0.3 2.6 NA NA 12.98
1980025 1980 01 25 193.35 21.29 6.59 0.3 3.6 NA NA 15.69
1980026 1980 01 26 182.86 22.6 7.8 0.3 3 NA NA 11.96
1980027 1980 01 27 193.29 23.49 8.2 0.3 3.2 NA NA 9.89
1980028 1980 01 28 193.29 24.5 9.1 0.3 3.4 NA NA 11.99
1980029 1980 01 29 194.44 25.4 9.5 0.3 3.4 NA NA 18.02
1980030 1980 01 30 197.87 26.7 9.29 0.3 3.5 NA NA 13.77
1980031 1980 01 31 205.95 24.11 8.4 0.3 4.22 NA NA 12.29
1980032 1980 02 01 203.8 23.3 7.08 0.3 4.2 NA NA 12.75
1980033 1980 02 02 202.55 23.1 7.28 0.3 2.7 NA NA 13.19
1980034 1980 02 03 208.3 21.88 7.46 0.3 3.7 NA NA 13.79
1980035 1980 02 04 206.01 20.4 6.98 0.3 3.4 NA NA 20.34
1980036 1980 02 05 208.32 21.68 6.56 0.3 3.6 NA NA 18.32
