*WEATHER DATA - Station:Ankara - BADJAM DATA - BADJer: UG - Method: QM - Source model: MPICCLM
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Ankara 39.92 32.85 1039 18.82 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 75.28 14.3 7.31 0 3.4 NA NA 41.08
1980002 1980 01 02 107.27 16 7 0 3.18 NA NA 30.83
1980003 1980 01 03 74.98 17.86 8.45 0 4.28 NA NA 47.5
1980004 1980 01 04 82.2 18.42 8.4 0 3.5 NA NA 48.76
1980005 1980 01 05 116.9 16.5 9 0 2.69 NA NA 56.41
1980006 1980 01 06 108.91 15.6 8.06 0 4.1 NA NA 60.04
1980007 1980 01 07 101.6 15.9 7.2 0 4.2 NA NA 44.59
1980008 1980 01 08 88.04 16.3 8.3 0 4.61 NA NA 65.59
1980009 1980 01 09 107.64 16.4 9.61 0 6.32 NA NA 81.54
1980010 1980 01 10 81.26 17.6 8.52 2.92 6.28 NA NA 68.4
1980011 1980 01 11 122.72 15.08 6.8 0.01 4.2 NA NA 34.58
1980012 1980 01 12 120.35 15.2 6.3 0 3.02 NA NA 23.5
1980013 1980 01 13 60.17 15.12 7.92 0.85 4.21 NA NA 58.15
1980014 1980 01 14 18.28 13.99 7.1 21.13 4.61 NA NA 68.23
1980015 1980 01 15 47.13 13.89 3.29 9.31 5.11 NA NA 47.91
1980016 1980 01 16 69.22 9.46 1.86 15.53 5.1 NA NA 49.55
1980017 1980 01 17 101.8 11.5 4.6 0 5.41 NA NA 37.77
1980018 1980 01 18 65.93 12.88 4.99 10.29 7.25 NA NA 56.74
1980019 1980 01 19 114.62 10.35 1.63 11.29 3.41 NA NA 47.63
1980020 1980 01 20 63.83 10.7 2.6 7.9 0.97 NA NA 54.93
1980021 1980 01 21 126.22 11.4 4.6 0 4.6 NA NA 37.8
1980022 1980 01 22 107.57 11.49 4.36 0.5 3.12 NA NA 32.18
1980023 1980 01 23 112.3 13.9 3.85 0 3.62 NA NA 43.38
1980024 1980 01 24 93.88 13.7 5.48 5.48 5.22 NA NA 48.04
1980025 1980 01 25 68.16 12.8 4.9 1.71 3.19 NA NA 43.98
1980026 1980 01 26 103.03 18.7 6.9 0.01 2.06 NA NA 56.15
1980027 1980 01 27 102.68 21.93 10.02 0 3.71 NA NA 54.75
1980028 1980 01 28 81.09 20.82 7.8 2.06 1.7 NA NA 49.87
1980029 1980 01 29 52.79 14.31 5.18 9.34 2.79 NA NA 63.76
1980030 1980 01 30 101.92 12.8 5.3 4.12 2.99 NA NA 42.94
1980031 1980 01 31 113.41 13.2 5.28 6.39 1.9 NA NA 42.29
1980032 1980 02 01 37.75 16.5 5.57 6.41 2.39 NA NA 56.88
1980033 1980 02 02 62.38 15.8 8.1 0 2.9 NA NA 68.45
1980034 1980 02 03 37.91 19.5 7.4 5.33 1.97 NA NA 66.63
1980035 1980 02 04 27.63 18.6 8.2 12.82 2.55 NA NA 79.89
1980036 1980 02 05 52.55 18.7 6.6 0.7 3.49 NA NA 59.62
1980037 1980 02 06 123.95 15.86 7.24 0.01 3.3 NA NA 48.63
1980038 1980 02 07 60.08 19.11 8.4 0 2.1 NA NA 54.1
1980039 1980 02 08 53.07 17.83 5.19 18.29 3.88 NA NA 54.48
1980040 1980 02 09 122.78 17.1 7.1 -0.01 4.03 NA NA 41.47
1980041 1980 02 10 115.26 19.81 7.7 -0.01 2.3 NA NA 57.82
1980042 1980 02 11 170.16 20.12 6.8 0 4.01 NA NA 36.61
1980043 1980 02 12 156.46 20.62 7.94 0 2.2 NA NA 56.19
1980044 1980 02 13 158.85 18.63 8.1 0 3.09 NA NA 56.25
1980045 1980 02 14 175.99 16.9 7.7 0 2.29 NA NA 38.1
1980046 1980 02 15 171.28 26.6 7.5 0 3.9 NA NA 34.03
1980047 1980 02 16 144.65 21.91 9.63 0 1.47 NA NA 45.89
1980048 1980 02 17 114.33 19.1 6.69 0 3.72 NA NA 39.77
1980049 1980 02 18 163.24 21.33 7.8 0 2.88 NA NA 40.12
1980050 1980 02 19 108.68 15.39 4.68 3.91 3.9 NA NA 44.8
1980051 1980 02 20 95.58 13.39 3.89 1.25 5.39 NA NA 26.01
1980052 1980 02 21 126.82 17.2 4.28 0 3.41 NA NA 24.4
1980053 1980 02 22 124.71 15.9 6.3 0.03 6.14 NA NA 45.57
1980054 1980 02 23 173.65 14.99 6.5 0 3.07 NA NA 37.22
1980055 1980 02 24 184.17 17.21 7.4 0 2.47 NA NA 47
1980056 1980 02 25 188.75 13.39 5.97 0 3.84 NA NA 30.67
1980057 1980 02 26 189.86 13.99 6.07 0 2.6 NA NA 35.32
1980058 1980 02 27 194.54 16 6.7 0 2.79 NA NA 34.76
1980059 1980 02 28 194.47 17.5 8.7 0 2.2 NA NA 51.38
1980060 1980 02 29 193.53 17.5 8.6 0 1.69 NA NA 55.05
1980061 1980 03 01 141.8 17.21 8.61 0 4.61 NA NA 45.5
1980062 1980 03 02 68.28 17.45 5.76 5.67 3 NA NA 45.6
