*WEATHER DATA - Station:Alexandria - BADJAM DATA - BADJer: UG - Method: QM - Source model: MPIRCA4
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Alexandria 43.98 25.35 56 10.14 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 35.87 4.08 -2.39 1.1 3.1 NA NA 66.68
1980002 1980 01 02 14.99 5.39 1.02 1.69 4.6 NA NA 82.99
1980003 1980 01 03 27.77 3.82 -0.2 0.3 2.89 NA NA 85.42
1980004 1980 01 04 10.21 10.85 2.4 3.32 3.4 NA NA 75.49
1980005 1980 01 05 16.18 11.52 8.79 -0.02 4.29 NA NA 83.81
1980006 1980 01 06 27.74 11.4 6.92 -0.01 3.69 NA NA 80.9
1980007 1980 01 07 10.36 12.11 7.06 10.19 6.1 NA NA 86.26
1980008 1980 01 08 9.2 11.64 9.41 2.2 6.71 NA NA 89.04
1980009 1980 01 09 11.56 10.99 7.45 1.2 5.92 NA NA 85.9
1980010 1980 01 10 21.9 7.22 4.11 -0.01 4.6 NA NA 75.05
1980011 1980 01 11 14.94 7.52 3.09 0.38 2.99 NA NA 79.81
1980012 1980 01 12 24.31 7.5 4.64 -0.01 5.4 NA NA 56.23
1980013 1980 01 13 50.94 6.19 1.42 -0.02 1.69 NA NA 71.71
1980014 1980 01 14 23.12 5.8 0.7 0.29 1.3 NA NA 77.4
1980015 1980 01 15 28.9 6.32 -2.31 0.79 1.93 NA NA 81.8
1980016 1980 01 16 53.59 -2.51 -4.7 -0.01 0.8 NA NA 47.15
1980017 1980 01 17 19.57 -2.94 -9.1 6.72 3.3 NA NA 78.91
1980018 1980 01 18 42.91 -3.34 -13.81 -0.01 3 NA NA 52.59
1980019 1980 01 19 49.78 -4.86 -11.95 -0.01 0.6 NA NA 81.63
1980020 1980 01 20 49.84 -7.78 -11.41 -0.01 1.69 NA NA 83.09
1980021 1980 01 21 34.71 1.66 -10.67 0.19 1.99 NA NA 71.66
1980022 1980 01 22 32.44 1.78 -4.82 -0.01 0.78 NA NA 88.69
1980023 1980 01 23 50.92 -1.16 -9.55 0 0.76 NA NA 85.73
1980024 1980 01 24 53.2 -5.08 -8.93 -0.01 3 NA NA 77.67
1980025 1980 01 25 49.87 -5.5 -10.42 -0.01 2.99 NA NA 76.14
1980026 1980 01 26 46.32 -4.78 -10.69 -0.01 2.4 NA NA 74.14
1980027 1980 01 27 51.08 -0.22 -10.69 0.28 3.3 NA NA 65.62
1980028 1980 01 28 25.5 1.7 -4.3 2.29 2.07 NA NA 86.21
1980029 1980 01 29 54.38 0.77 -9.99 -0.01 1.7 NA NA 78.42
1980030 1980 01 30 64.89 -1.34 -9.78 -0.01 0.89 NA NA 67.86
1980031 1980 01 31 37.82 2.23 -3.89 -0.01 4.9 NA NA 80.4
1980032 1980 02 01 62.47 3.71 1.51 -0.01 4.64 NA NA 85.28
1980033 1980 02 02 61.35 6.2 2.13 -0.01 5.23 NA NA 74.66
1980034 1980 02 03 36.91 10 4.46 9.66 5.41 NA NA 74.53
1980035 1980 02 04 52.06 12.45 4.8 -0.01 6.7 NA NA 51.9
1980036 1980 02 05 39.41 9.73 5.74 0.38 6.21 NA NA 75.46
1980037 1980 02 06 42.7 10.51 5.63 6.01 6.01 NA NA 64.65
1980038 1980 02 07 75.23 15.73 9.87 1.02 5.7 NA NA 54.54
1980039 1980 02 08 73.39 10.82 4.91 -0.02 4.29 NA NA 60.59
1980040 1980 02 09 28.62 10.1 5.32 6.6 5.61 NA NA 74.1
1980041 1980 02 10 44 8 3.1 3.22 6.33 NA NA 57.77
1980042 1980 02 11 74.1 8.61 2.43 0.9 6.31 NA NA 46.84
1980043 1980 02 12 39.36 10.51 6.54 3.22 7.73 NA NA 56.03
1980044 1980 02 13 18.11 6.1 4.71 2.54 7.21 NA NA 68
1980045 1980 02 14 43.89 8.6 4.83 12.83 5.7 NA NA 71.2
1980046 1980 02 15 28.52 9.81 5.7 6.82 7.35 NA NA 74.25
1980047 1980 02 16 47.44 7.7 4.21 -0.01 5.41 NA NA 71.96
1980048 1980 02 17 65.98 7.1 3.11 -0.01 3.61 NA NA 63.25
1980049 1980 02 18 51.99 6.5 1.55 -0.01 2.99 NA NA 69.27
1980050 1980 02 19 82.24 6.43 0 -0.02 1.49 NA NA 51.76
1980051 1980 02 20 77.94 5.5 -0.73 -0.01 3.29 NA NA 40.72
1980052 1980 02 21 100.68 5.39 -3.02 0.79 2.57 NA NA 51.2
1980053 1980 02 22 62.7 7.71 4.42 4.1 4.91 NA NA 79.72
1980054 1980 02 23 67.18 8.4 2.93 0 4.2 NA NA 60.54
1980055 1980 02 24 63.69 12.86 3 1.79 6 NA NA 51.18
1980056 1980 02 25 76.41 11.7 7.71 2.74 5.22 NA NA 68.83
1980057 1980 02 26 105.29 12.5 5.31 -0.01 4.43 NA NA 59.59
1980058 1980 02 27 28.58 11.53 7.58 11.82 4.19 NA NA 86.54
1980059 1980 02 28 41.66 8.91 6.89 13.93 2.49 NA NA 87.73
1980060 1980 02 29 60.38 8.7 4.41 1.2 4.83 NA NA 69.03
1980061 1980 03 01 73.97 9.1 3.7 1.03 3.5 NA NA 64
1980062 1980 03 02 56.44 8.95 1.2 1.19 3.1 NA NA 65.24
1980063 1980 03 03 126.17 9.9 -1.83 -0.02 1.1 NA NA 41.86
1980064 1980 03 04 121.71 11.3 1.19 -0.01 2.4 NA NA 51.01
1980065 1980 03 05 136.69 11.6 -0.5 -0.01 1.26 NA NA 44.58
1980066 1980 03 06 126.23 10.71 2.63 -0.01 3.1 NA NA 56.39
1980067 1980 03 07 124.03 9.11 -0.21 -0.01 1.9 NA NA 47.16
1980068 1980 03 08 148.35 12.5 -1.4 0.39 2.5 NA NA 38.45
1980069 1980 03 09 63.59 12.1 5.2 9.96 3.6 NA NA 67.93
