*WEATHER DATA - Station:Libertinia - BADJAM DATA - BADJer: UG - Method: QM - Source model: NCCNor
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Libertinia 37.5 14.58 235 14.62 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 37.04 13.02 7.83 1.19 2.09 NA NA 76.81
1980002 1980 01 02 32.23 12.19 6.81 8.65 2.3 NA NA 80.33
1980003 1980 01 03 91.41 11.09 3.1 -0.01 2.7 NA NA 50.03
1980004 1980 01 04 121.59 12.01 0.76 -0.01 0.69 NA NA 42.69
1980005 1980 01 05 108.81 13.02 3.9 -0.01 2.04 NA NA 52.09
1980006 1980 01 06 100.51 12.82 7.9 -0.01 2.2 NA NA 56.13
1980007 1980 01 07 51.8 11.7 7.48 -0.01 2.1 NA NA 81.83
1980008 1980 01 08 64.68 12.4 8.13 -0.01 2.29 NA NA 71.6
1980009 1980 01 09 55.57 11.2 7.2 2.54 2.3 NA NA 80.79
1980010 1980 01 10 67.06 11.99 8.53 17.34 2.49 NA NA 83.51
1980011 1980 01 11 11.54 9.89 6.41 21.37 1.4 NA NA 90.45
1980012 1980 01 12 110.03 12.2 3.93 -0.01 2.3 NA NA 56.8
1980013 1980 01 13 81.12 11.09 7.33 -0.01 2.5 NA NA 62.58
1980014 1980 01 14 61.32 10.5 7.4 26.51 0.48 NA NA 83.94
1980015 1980 01 15 55.5 10.2 6.81 21.17 0.98 NA NA 80.22
1980016 1980 01 16 61.28 9 3.3 35.29 1.67 NA NA 83.94
1980017 1980 01 17 92.57 9.76 1.06 -0.01 1.89 NA NA 51.66
1980018 1980 01 18 91.23 9.1 4.25 6.86 3.2 NA NA 61.81
1980019 1980 01 19 72.91 11.1 3.91 1.21 1.8 NA NA 67.92
1980020 1980 01 20 61.32 12.93 8.34 1.02 3 NA NA 70.38
1980021 1980 01 21 58.87 13.4 9.34 -0.01 2 NA NA 65.27
1980022 1980 01 22 76.39 12.9 8.88 0 0.86 NA NA 67.31
1980023 1980 01 23 43.67 11.79 8.53 0.4 1.2 NA NA 82.99
1980024 1980 01 24 76.25 11.81 7.19 -0.01 1.28 NA NA 64.95
1980025 1980 01 25 54.12 13.03 6.6 -0.01 2.8 NA NA 65.58
1980026 1980 01 26 78.73 13.3 8.51 -0.01 3.6 NA NA 65.69
1980027 1980 01 27 134.33 9.87 4.6 -0.01 3.21 NA NA 41.25
1980028 1980 01 28 100.72 6.5 2.79 1.21 5.14 NA NA 41.76
1980029 1980 01 29 124.84 7.87 1.78 1.79 3.5 NA NA 31.45
1980030 1980 01 30 86.62 12.34 6.9 0.41 3.8 NA NA 62.66
