*WEATHER DATA - Station:Ankara - BADJAM DATA - BADJer: UG - Method: QM - Source model: NCCNor
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Ankara 39.92 32.85 1039 17.72 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 110.1 16.27 6.5 -0.01 1.6 NA NA 62.44
1980002 1980 01 02 36.99 14.5 8.81 6.59 2.16 NA NA 81.17
1980003 1980 01 03 100.78 14.71 4.23 -0.01 2.2 NA NA 47.83
1980004 1980 01 04 127.35 15.4 4.26 -0.01 1.23 NA NA 52.94
1980005 1980 01 05 126.36 16.9 4.76 -0.01 2.21 NA NA 48.77
1980006 1980 01 06 106.45 18 10.01 -0.01 4.11 NA NA 57.85
1980007 1980 01 07 118.05 18.2 10.27 -0.01 4.21 NA NA 52.18
1980008 1980 01 08 120.47 18.23 9.9 -0.01 4.62 NA NA 52.11
1980009 1980 01 09 113.39 17.7 9.3 -0.01 3.5 NA NA 57.88
1980010 1980 01 10 113.4 17 7.8 -0.01 2.4 NA NA 62.83
1980011 1980 01 11 100.67 15.9 6.2 -0.01 0.69 NA NA 61.47
1980012 1980 01 12 38.03 13.99 7.81 14.1 2.99 NA NA 72.02
1980013 1980 01 13 62.18 14 8.11 0 2.71 NA NA 56.1
1980014 1980 01 14 73.93 13.84 6.31 0 1.29 NA NA 71.73
1980015 1980 01 15 41.39 13.7 7.7 10.09 1.98 NA NA 74.42
1980016 1980 01 16 79.59 13.59 6.8 0 2.78 NA NA 49.5
1980017 1980 01 17 124.98 14 6.29 6.83 2.72 NA NA 55.29
1980018 1980 01 18 68.28 13.2 7.41 8.79 4.89 NA NA 57.72
1980019 1980 01 19 68.28 15.24 8.2 3.4 5.75 NA NA 65
1980020 1980 01 20 114.63 16.71 9.11 -0.01 4.59 NA NA 59.34
1980021 1980 01 21 126.16 17.03 5.41 -0.01 2.1 NA NA 66.42
1980022 1980 01 22 125.02 15.9 4.18 0 0.39 NA NA 57.81
1980023 1980 01 23 83.14 15.7 4.27 -0.01 0.79 NA NA 57.36
1980024 1980 01 24 55.25 14.1 6.8 0.63 1.8 NA NA 71.26
1980025 1980 01 25 81.02 16.4 7.8 -0.01 3.44 NA NA 64.62
1980026 1980 01 26 79.86 16.3 8.42 0 4.02 NA NA 70.03
1980027 1980 01 27 129.74 13.29 7.4 -0.01 4.92 NA NA 41.41
1980028 1980 01 28 99.4 11.37 6.69 0 6.5 NA NA 33.06
1980029 1980 01 29 98.17 11.99 6.69 -0.01 4.7 NA NA 40.79
1980030 1980 01 30 61.25 14.4 7.9 0.99 6.02 NA NA 64.26
1980031 1980 01 31 102.99 15 8.2 1.84 4.51 NA NA 57.53
1980032 1980 02 01 77.42 11.88 6.09 1.92 7.02 NA NA 44.34
1980033 1980 02 02 97.24 9.49 5.71 0.63 6.11 NA NA 29.74
1980034 1980 02 03 124 11.68 5.47 0 2.8 NA NA 31.46
1980035 1980 02 04 145.9 13.48 4.89 0 2.76 NA NA 45.85
1980036 1980 02 05 45.39 14.3 7.9 0 5.2 NA NA 67.3
1980037 1980 02 06 62.32 15.85 8.12 5.36 6.13 NA NA 65.45
1980038 1980 02 07 119.12 15.59 8.04 0 4.21 NA NA 51.14
1980039 1980 02 08 107.23 16.1 9.3 -0.01 4.91 NA NA 67.54
1980040 1980 02 09 87.92 14.3 7.3 5.5 6.03 NA NA 55.67
1980041 1980 02 10 97.03 11.99 7.21 0.49 7.01 NA NA 44.49
1980042 1980 02 11 111.04 13.4 6.45 1.02 6.51 NA NA 45.12
1980043 1980 02 12 107.67 11.28 6.18 0 5.2 NA NA 32.12
1980044 1980 02 13 98.41 10.89 6 6.04 4.7 NA NA 49.29
1980045 1980 02 14 26 8.56 5.71 6.4 2.7 NA NA 75.16
1980046 1980 02 15 137.71 17.11 6.5 1.4 1.3 NA NA 54.49
1980047 1980 02 16 160.41 18.87 7.6 0 3.9 NA NA 48.28
1980048 1980 02 17 108.51 15.7 8.21 0 6.84 NA NA 48.92
1980049 1980 02 18 172.56 14.39 7.61 0 6.03 NA NA 31.49
1980050 1980 02 19 172.7 14.3 6.81 0 4.49 NA NA 35.04
1980051 1980 02 20 129.6 16.7 5.19 0 1.28 NA NA 53.08
1980052 1980 02 21 76.92 15.86 4.36 3.47 1.9 NA NA 68.7
1980053 1980 02 22 127.2 18.19 6.59 0 2.81 NA NA 59.52
1980054 1980 02 23 115.42 16.3 7 0 1.7 NA NA 68.93
1980055 1980 02 24 101.99 14.2 8.7 20.04 3 NA NA 85.73
1980056 1980 02 25 25.6 12.98 8.01 77.46 3.39 NA NA 86.05
1980057 1980 02 26 118.07 15.98 6.29 79.11 3.2 NA NA 73.54
1980058 1980 02 27 55.06 15.59 9.41 68.15 4.9 NA NA 79.57
1980059 1980 02 28 74.63 14.39 8.2 0 5.28 NA NA 62.22
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 176.97 14.69 3.26 0 1.5 NA NA 45.49
1980062 1980 03 02 197.91 17.1 3.2 0 2.19 NA NA 41.39
1980063 1980 03 03 184.37 18.3 8.2 0 2.69 NA NA 53.08
1980064 1980 03 04 184.31 17 6.9 1.19 1.2 NA NA 64.15
1980065 1980 03 05 141.13 14.42 5.5 0 1.79 NA NA 52.57
1980066 1980 03 06 187.13 13.61 4.35 0.16 2.5 NA NA 36
