*WEATHER DATA - Station:Libertinia - BADJAM DATA - BADJer: UG - Method: SDM - Source model: MPICCLM
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Libertinia 37.5 14.58 235 15.9 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 74.18 10.99 4.61 0 2.12 NA NA 49.94
1980002 1980 01 02 104.32 10.97 3.3 0 2.44 NA NA 43
1980003 1980 01 03 62.9 11.55 3.5 0 3.37 NA NA 52.34
1980004 1980 01 04 101.66 10.59 2.94 0 2.87 NA NA 41.53
1980005 1980 01 05 108.65 10.32 2.91 0 2.86 NA NA 42.29
1980006 1980 01 06 58.59 9.65 2.39 0.87 3.71 NA NA 58.96
1980007 1980 01 07 113.79 10.54 1.58 0 3.02 NA NA 41.12
1980008 1980 01 08 67.27 11.08 5.71 0.44 2.55 NA NA 53.44
1980009 1980 01 09 0 9.05 5.68 5.39 1.03 NA NA 79.74
1980010 1980 01 10 73.97 12.28 6.41 3.19 3.3 NA NA 58.5
1980011 1980 01 11 109.91 8.18 2.06 0 3.98 NA NA 52.59
1980012 1980 01 12 83.45 7.81 0.55 0.43 3.48 NA NA 44.86
1980013 1980 01 13 72.48 8.86 -0.12 0 2.85 NA NA 41.45
1980014 1980 01 14 67.37 8.31 1.09 7.71 2.53 NA NA 42.14
1980015 1980 01 15 37.93 6.28 3.23 19.02 4.21 NA NA 81.03
1980016 1980 01 16 120.43 5.87 0.58 0.84 2.87 NA NA 62.07
1980017 1980 01 17 112.65 6.52 0.24 0 2.14 NA NA 56.79
1980018 1980 01 18 65.78 8.73 -0.31 3.54 5.01 NA NA 61.71
1980019 1980 01 19 111.03 6.31 -1.74 1.02 3.82 NA NA 56.33
1980020 1980 01 20 118.51 3.48 -3.22 3.09 0 NA NA 51.55
1980021 1980 01 21 51.52 6.78 2.11 9.39 1.71 NA NA 78.98
1980022 1980 01 22 75.49 6.02 0.75 0.81 1.73 NA NA 62.94
1980023 1980 01 23 91.82 8.64 -0.41 1.56 3.66 NA NA 56.67
1980024 1980 01 24 64.5 8.55 2.11 9.67 4.6 NA NA 71.84
1980025 1980 01 25 75.63 5.21 1.13 0.37 3.9 NA NA 70.25
1980026 1980 01 26 29.83 9.17 1.4 7.84 3.08 NA NA 62.44
1980027 1980 01 27 81.38 12.12 8.75 0.87 4.82 NA NA 79.8
1980028 1980 01 28 74.19 13.61 9.29 1.2 3.38 NA NA 79.26
1980029 1980 01 29 27.7 11.23 5.71 28.15 2.03 NA NA 79.83
1980030 1980 01 30 75.53 9.06 5.28 18.74 0.67 NA NA 71.84
1980031 1980 01 31 100.74 9.79 4.3 7.08 0.87 NA NA 62.69
1980032 1980 02 01 118.22 10.98 4.51 0 0.76 NA NA 49.51
1980033 1980 02 02 126.54 11.53 5.16 0 0.74 NA NA 50.6
1980034 1980 02 03 105.93 12.81 8.26 2.78 1.19 NA NA 61.28
1980035 1980 02 04 96.95 13.08 8.66 3.29 2.94 NA NA 73.55
1980036 1980 02 05 56.38 12.86 9.88 1.62 3.28 NA NA 83.95
1980037 1980 02 06 75.07 11.28 6.09 2.09 0.98 NA NA 72.52
1980038 1980 02 07 143.98 12.81 4.88 0 0.84 NA NA 51.79
1980039 1980 02 08 128.61 13.1 7.76 1.78 2.34 NA NA 58.85
1980040 1980 02 09 93.41 11.86 8.59 1.45 2.11 NA NA 73.9
1980041 1980 02 10 127.56 13.1 7.99 0 1.44 NA NA 54.1
1980042 1980 02 11 154.98 11.8 5.39 1.53 4.04 NA NA 51.18
