*WEATHER DATA - Station:Jokioinen - BADJAM DATA - BADJer: UG - Method: SDM - Source model: MPIREMO09
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Jokioinen 60.8 23.48 111 3.94 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 6.37 1.12 0.02 0.91 0.96 NA NA 82.49
1980002 1980 01 02 8.34 0.32 -1.63 0.31 0.78 NA NA 81.2
1980003 1980 01 03 7.46 -0.97 -3.24 0.39 0.59 NA NA 81.38
1980004 1980 01 04 13.21 -1.99 -4.56 0 0.95 NA NA 79.09
1980005 1980 01 05 4.22 -0.72 -4.03 5.58 1.72 NA NA 83.99
1980006 1980 01 06 3.98 0.33 -2.1 7.75 1.2 NA NA 76.39
1980007 1980 01 07 11.68 0.53 -8.31 0.61 1.72 NA NA 43.45
1980008 1980 01 08 14.16 -8.41 -16.39 0 1.2 NA NA 58.73
1980009 1980 01 09 15.34 -22.22 -28.1 0 0.49 NA NA 39
1980010 1980 01 10 10.62 -6.89 -29.09 0 0.78 NA NA 0.5
1980011 1980 01 11 15.31 -3.5 -10.41 0 1.7 NA NA 75.63
1980012 1980 01 12 16.73 -9.92 -20.1 0 1.19 NA NA 35.9
1980013 1980 01 13 10.78 -12.06 -17.68 0 1.26 NA NA 51.58
1980014 1980 01 14 12.93 -15.72 -25.73 0 0.36 NA NA 0.5
1980015 1980 01 15 17.63 -11.92 -15.81 0 1.17 NA NA 59.4
1980016 1980 01 16 10.66 -5.08 -11.87 0.98 1.75 NA NA 63.14
1980017 1980 01 17 18.3 -5.94 -11.85 0 1.42 NA NA 46.78
1980018 1980 01 18 10.52 -3.95 -10.67 0.88 1.69 NA NA 70.31
1980019 1980 01 19 9.84 -6.08 -15.09 0 1.07 NA NA 46.56
1980020 1980 01 20 20.91 -8.29 -15.91 0 1.52 NA NA 43.45
1980021 1980 01 21 8.28 -4.53 -21.71 0.67 0.87 NA NA 0.5
1980022 1980 01 22 16.68 -1.33 -5.49 0 1.51 NA NA 76.57
1980023 1980 01 23 7.13 -3.79 -6.94 0.31 1.94 NA NA 76.66
1980024 1980 01 24 14.33 -2.99 -7.12 0.5 1.99 NA NA 78.61
1980025 1980 01 25 7.42 -1.22 -5.46 1.29 2 NA NA 78.02
1980026 1980 01 26 18.91 -5.53 -10 0.58 1.91 NA NA 74.82
1980027 1980 01 27 23.03 -6.17 -11.54 0 1.6 NA NA 69.87
1980028 1980 01 28 18.04 -8.15 -13.11 0 1.51 NA NA 68.96
1980029 1980 01 29 23.76 -7.05 -11.33 0.38 2.42 NA NA 72.9
1980030 1980 01 30 10.87 -1.33 -7.5 2.9 2.48 NA NA 69.26
1980031 1980 01 31 19.18 -1.59 -9.97 0.57 1.71 NA NA 64.41
1980032 1980 02 01 7.99 2.46 -5.25 3.49 2.18 NA NA 78.44
1980033 1980 02 02 31.84 1.39 -9.1 1.02 1.78 NA NA 61.4
1980034 1980 02 03 41.99 -1.77 -15.25 0 1.55 NA NA 0.5
1980035 1980 02 04 31.8 -1.31 -13.84 0 0.91 NA NA 46.19
1980036 1980 02 05 28.87 -5.14 -10.39 0 1.44 NA NA 57.08
1980037 1980 02 06 10.81 -1.28 -3.75 0.37 1.79 NA NA 83.15
1980038 1980 02 07 11.14 -1.2 -0.09 2.58 1.78 NA NA 85.09
1980039 1980 02 08 22.17 1.34 -0.08 7.7 2.19 NA NA 81.77
1980040 1980 02 09 19.91 1.33 0.04 1.55 1.25 NA NA 81.8
1980041 1980 02 10 7.73 1.72 0.08 2.86 2.18 NA NA 82.95
1980042 1980 02 11 13.8 1.42 0.07 5.29 2 NA NA 82.71
1980043 1980 02 12 5.5 1.36 -0.72 6.03 2.24 NA NA 81.84
1980044 1980 02 13 16.17 -2.01 -8.77 1.73 2.27 NA NA 80.09
1980045 1980 02 14 30.98 -8.48 -8.89 0.36 2.27 NA NA 83.48
1980046 1980 02 15 13.08 -9.85 -9.09 2.55 2.24 NA NA 85.42
1980047 1980 02 16 37.46 -6.04 -8.86 1.03 2.28 NA NA 73.08
1980048 1980 02 17 12.19 -8.64 -9.02 3.42 2.21 NA NA 82.69
1980049 1980 02 18 24.92 -5.4 -8.92 0.78 1.43 NA NA 80.84
1980050 1980 02 19 38.17 -2.87 -8.56 0 0.88 NA NA 80.96
1980051 1980 02 20 44.42 -5.48 -14.25 0 1.28 NA NA 70.65
1980052 1980 02 21 23.26 -6.12 -15.08 2.47 1.61 NA NA 60.14
1980053 1980 02 22 30.64 -5.8 -8.58 0.26 1.87 NA NA 83.13
1980054 1980 02 23 67.22 1.45 -5.52 0 2.26 NA NA 59.98
1980055 1980 02 24 64.27 -1.07 -8.49 0 2.17 NA NA 67.9
1980056 1980 02 25 36.49 1.51 -8.46 0.99 2.5 NA NA 63.45
1980057 1980 02 26 17.15 1.61 0.49 4.98 2.25 NA NA 83.52
1980058 1980 02 27 18.31 1.64 0.51 6.99 2.21 NA NA 83.78
1980059 1980 02 28 36.12 1.56 0.56 3.23 2.28 NA NA 84.05
1980060 1980 02 29 15.58 1.56 1.09 2.72 2 NA NA 85.45
1980061 1980 03 01 42.49 2.35 2.69 0.54 1.63 NA NA 85.43
1980062 1980 03 02 65.12 2.17 -3.32 0.44 1.75 NA NA 78.38
1980063 1980 03 03 104.34 2.36 -2.83 0 1.58 NA NA 78.29
1980064 1980 03 04 75.13 1.88 -4.75 0 0.88 NA NA 76.68
1980065 1980 03 05 76.56 1.95 -4.29 0 1.23 NA NA 77
1980066 1980 03 06 95.66 2.1 -3.3 0 1.49 NA NA 77.06
1980067 1980 03 07 69.5 1.84 -3.67 0 1.43 NA NA 76.58
1980068 1980 03 08 109.47 0.18 -5.19 0 1.91 NA NA 67.11
1980069 1980 03 09 133.2 -1.32 -6.67 0 1.92 NA NA 65.02
1980070 1980 03 10 140.03 -0.65 -8.76 0 1.58 NA NA 51.96
1980071 1980 03 11 143.83 1.37 -11.29 0 0.91 NA NA 35.06
1980072 1980 03 12 126.94 0.35 -12.82 0 1.29 NA NA 46.16
1980073 1980 03 13 114.3 1.73 -2.32 0 1.57 NA NA 78.16
1980074 1980 03 14 72.66 1.74 -1.98 0 1.42 NA NA 81.71
1980075 1980 03 15 154.63 2.47 -9.35 0 1.12 NA NA 58.01
1980076 1980 03 16 118.83 1.61 -8.63 0 1.16 NA NA 73.16
1980077 1980 03 17 48.46 1.95 -1.14 3.27 1.13 NA NA 84.72
1980078 1980 03 18 36.5 2.24 -0.22 1.81 1.43 NA NA 85.3
1980079 1980 03 19 88.52 1.75 -7.21 0 1.05 NA NA 74.4
1980080 1980 03 20 120.03 -0.07 -5.58 1 2.09 NA NA 72.67
1980081 1980 03 21 161.04 -1.59 -17.4 0 1.3 NA NA 35.19
1980082 1980 03 22 56.05 -3.56 -17.1 6.1 1.75 NA NA 75.45
1980083 1980 03 23 70.37 -3.03 -9.18 0.92 1.82 NA NA 78.17
1980084 1980 03 24 165.22 0.28 -14.64 1.11 0.75 NA NA 25.1
1980085 1980 03 25 161.74 1.77 -18.1 0.47 0.55 NA NA 0.5
1980086 1980 03 26 169.81 1.72 -14.27 0 1.24 NA NA 48.85
1980087 1980 03 27 178.65 1.76 -1.17 0 1.23 NA NA 79.79
1980088 1980 03 28 180.1 3.01 -1.78 0 0.66 NA NA 77.54
1980089 1980 03 29 152.18 10.11 -2.17 0 0.59 NA NA 41.29
1980090 1980 03 30 131.57 8.46 -0.05 0 1.43 NA NA 42.73
1980091 1980 03 31 58.04 2.98 0.44 0.29 0.93 NA NA 84.3
1980092 1980 04 01 136.56 6.98 -1.21 2.99 0.79 NA NA 48.86
1980093 1980 04 02 74.37 6.76 -1.14 2.63 1.41 NA NA 74.94
1980094 1980 04 03 119.09 6.97 -1.14 2.28 1.99 NA NA 47.76
1980095 1980 04 04 141.14 6.89 -1.81 4.6 2.21 NA NA 43.51
1980096 1980 04 05 181.37 7.02 -1.82 3.94 2.13 NA NA 32.1
1980097 1980 04 06 105.88 7.09 -1.79 1.27 1.55 NA NA 41.02
1980098 1980 04 07 208.18 6.75 -1.67 0.73 1.11 NA NA 32.21
1980099 1980 04 08 206.94 1.82 -1.76 0.42 2.01 NA NA 47.24
1980100 1980 04 09 150.56 5.23 -1.71 0 1.91 NA NA 35.21
1980101 1980 04 10 60.34 3.46 -1.42 3.9 1.92 NA NA 72.31
1980102 1980 04 11 66.69 2.22 -1.83 8.07 2.38 NA NA 80.29
1980103 1980 04 12 197.9 0.81 -1.51 0 3.39 NA NA 42.38
1980104 1980 04 13 196.8 -1.15 -1.56 0 2.64 NA NA 46.65
1980105 1980 04 14 191.05 1.17 -1.54 0 1.4 NA NA 44.8
1980106 1980 04 15 202.31 5.82 -1.77 0 0.64 NA NA 29.62
1980107 1980 04 16 115.67 3.56 -1.82 0.49 1.92 NA NA 57.62
1980108 1980 04 17 70.28 4.55 -1.12 1.19 1 NA NA 78.48
1980109 1980 04 18 74.29 6.58 -0.32 0.29 0.88 NA NA 75.63
1980110 1980 04 19 92.72 6.79 -0.52 0 1.01 NA NA 60.92
1980111 1980 04 20 193.26 11.44 -0.44 0 1.11 NA NA 31.14
1980112 1980 04 21 149.19 10.47 0.84 0 1.01 NA NA 44.45
1980113 1980 04 22 244.27 14.84 0.42 0 0.63 NA NA 23.31
1980114 1980 04 23 127.93 12.54 1.86 0.9 0.51 NA NA 43
1980115 1980 04 24 99.79 13.38 7.69 0.52 1.12 NA NA 62.71
1980116 1980 04 25 97.34 10.47 3.95 1.35 1.21 NA NA 55.68
1980117 1980 04 26 75.98 8.78 4.71 1.14 1.56 NA NA 75.36
1980118 1980 04 27 95.98 10.2 3.7 0 0.46 NA NA 69.08
1980119 1980 04 28 231.87 19.36 4.99 0 1.11 NA NA 24.63
1980120 1980 04 29 265.48 21.69 5.09 0 0.88 NA NA 20.98
1980121 1980 04 30 191.63 19.65 11.49 0 1.32 NA NA 35.78
1980122 1980 05 01 160.39 12.29 5.62 4.94 1.31 NA NA 73.18
1980123 1980 05 02 271.22 17.59 6.58 0 1.24 NA NA 43.63
1980124 1980 05 03 226.01 18.34 6.14 0 0.44 NA NA 40.61
1980125 1980 05 04 262.93 18.37 7.21 0 0 NA NA 41.85
1980126 1980 05 05 155.71 13.44 5.99 13.84 0.42 NA NA 72.9
1980127 1980 05 06 116.46 9.97 3.48 2.6 0.48 NA NA 84.05
1980128 1980 05 07 191.95 11.74 2.79 0.45 0.55 NA NA 50.48
1980129 1980 05 08 245.25 13.37 2.66 0 0.66 NA NA 46.68
1980130 1980 05 09 234.77 8.74 1.16 1.23 1.51 NA NA 47.4
1980131 1980 05 10 310.99 14.36 0.41 0 1.04 NA NA 29.66
1980132 1980 05 11 288.47 14.18 1.08 1.51 0.94 NA NA 28.31
1980133 1980 05 12 282.43 14.4 1.11 0 1.13 NA NA 30.38
1980134 1980 05 13 321.25 11.93 1.05 0 1.45 NA NA 32.74
1980135 1980 05 14 255.12 11.57 0.03 0 1.12 NA NA 35.32
1980136 1980 05 15 297.48 14.73 1.37 0 1.12 NA NA 33.27
1980137 1980 05 16 286.84 17.35 1.04 0 1.42 NA NA 24.63
1980138 1980 05 17 231.05 16.71 4.4 0 1.45 NA NA 36.05
1980139 1980 05 18 266.98 19.37 5.99 0 0.54 NA NA 36.14
1980140 1980 05 19 322.67 19.66 4.53 0 0.82 NA NA 31.34
1980141 1980 05 20 326.88 21.69 5.69 0 0.72 NA NA 36.36
1980142 1980 05 21 281.6 20.93 6.96 0 0 NA NA 41.17
1980143 1980 05 22 302.12 22.08 6.91 0 0.3 NA NA 38.73
1980144 1980 05 23 334.41 24.42 7.84 0 0 NA NA 30.27
1980145 1980 05 24 306.57 23.66 10.63 0 0.24 NA NA 37.61
1980146 1980 05 25 171.55 15.31 6.93 0 0.43 NA NA 64.48
1980147 1980 05 26 273.04 15.55 3.42 1.88 1.02 NA NA 32.85
1980148 1980 05 27 285.84 15.37 2.4 0 0.93 NA NA 31.32
1980149 1980 05 28 231.71 13.73 1.94 0 0.43 NA NA 38.36
1980150 1980 05 29 179.47 12.67 4.32 0.86 0.66 NA NA 50.4
1980151 1980 05 30 229.36 14.31 4.04 7.42 1.39 NA NA 39.76
1980152 1980 05 31 117.69 12.83 4.84 4.58 1.12 NA NA 74.53
1980153 1980 06 01 233.66 19.4 8.18 0 0.95 NA NA 45.93
1980154 1980 06 02 203.5 22.17 7.88 0 1.11 NA NA 35.74
1980155 1980 06 03 305.65 23.89 11.02 0 1.01 NA NA 39.12
1980156 1980 06 04 97.18 15.74 11.25 5.99 1.11 NA NA 80.64
1980157 1980 06 05 103.74 13.95 7.54 0 1.24 NA NA 75.47
1980158 1980 06 06 169.43 14.01 3.08 0 1.12 NA NA 42.62
1980159 1980 06 07 341.44 18.53 2.38 0 0.43 NA NA 33.27
1980160 1980 06 08 268.7 18.43 4.64 0 0.43 NA NA 35.05
1980161 1980 06 09 316.21 19.14 4.59 0 0.32 NA NA 34.8
1980162 1980 06 10 107.92 13.95 6.85 7.11 0.42 NA NA 77.79
1980163 1980 06 11 118.52 14.06 9.12 0.44 0.53 NA NA 84.2
1980164 1980 06 12 225.78 16.02 6.25 0 1.11 NA NA 45.91
1980165 1980 06 13 328.44 17.82 5.86 0 0.85 NA NA 34.6
1980166 1980 06 14 138.46 14.18 6.25 2.37 0.55 NA NA 62.62
1980167 1980 06 15 180.69 17.99 9.08 0 0.67 NA NA 55.59
1980168 1980 06 16 286.32 15.41 4.78 15.88 1.12 NA NA 53.07
1980169 1980 06 17 246.51 14.97 3.07 1.16 1.02 NA NA 40.15
1980170 1980 06 18 248.89 14.34 2.42 1.48 0.64 NA NA 43.51
1980171 1980 06 19 355.2 15.24 2.81 5.48 0.96 NA NA 44.78
1980172 1980 06 20 210.45 16.08 2.97 0 0.86 NA NA 49.66
1980173 1980 06 21 143.74 16.35 9.85 8.8 1.21 NA NA 68.32
1980174 1980 06 22 151.41 17.4 8.56 0 1.27 NA NA 61.2
1980175 1980 06 23 228.68 16.17 8.5 1.49 1.45 NA NA 50.44
1980176 1980 06 24 292.8 18.55 6.61 0 0.95 NA NA 39.94
1980177 1980 06 25 170.51 17.42 5.46 0 0.43 NA NA 49.39
1980178 1980 06 26 248.69 20.41 8.91 1.33 0.72 NA NA 47.65
1980179 1980 06 27 152.52 17.06 8.88 3.38 0.95 NA NA 59.38
1980180 1980 06 28 211.87 19.67 12.02 12.07 0.32 NA NA 58.74
1980181 1980 06 29 244.14 21.58 10.95 0 0.84 NA NA 50.06
1980182 1980 06 30 266.78 23.25 10.13 0 0.73 NA NA 42.06
1980183 1980 07 01 196.4 21.66 13.2 0 0.65 NA NA 63.9
1980184 1980 07 02 220.38 24.57 12.8 2.19 1 NA NA 55.83
1980185 1980 07 03 327.44 22.64 10.79 0 0.64 NA NA 41.91
1980186 1980 07 04 263.74 22.82 9.82 0 0.45 NA NA 39.79
1980187 1980 07 05 192.65 20.65 10.98 0.93 0.46 NA NA 56.68
1980188 1980 07 06 290.03 27.69 14.11 0 0.92 NA NA 48.67
1980189 1980 07 07 251.1 27.36 14.46 0 0.95 NA NA 50.17
1980190 1980 07 08 342.96 22.68 11.86 0 1.04 NA NA 47.25
1980191 1980 07 09 240.45 21.73 11.15 0 0.75 NA NA 43.14
1980192 1980 07 10 199.68 20.44 11.03 0 1.35 NA NA 58.74
1980193 1980 07 11 212.74 20.53 12.14 2.63 0.95 NA NA 59.22
1980194 1980 07 12 192.96 21.55 13.08 9.35 1.08 NA NA 62.61
1980195 1980 07 13 197.13 17.9 8.29 3.66 1.3 NA NA 63.14
1980196 1980 07 14 304.42 22.06 7.97 0 1.03 NA NA 42.32
1980197 1980 07 15 192.45 20.88 8.07 2.36 1.08 NA NA 54.01
1980198 1980 07 16 311.21 22.34 7.63 0 0.74 NA NA 37.29
1980199 1980 07 17 172.93 18.67 10.51 0.66 0.83 NA NA 63.45
1980200 1980 07 18 225.51 21.81 10.33 0.8 0.74 NA NA 52.47
1980201 1980 07 19 210.64 20.9 8.8 0 0.74 NA NA 48.86
1980202 1980 07 20 233.08 22.45 11.77 1.04 0.84 NA NA 48.89
1980203 1980 07 21 275.98 26.44 12.35 0 0.54 NA NA 41.8
1980204 1980 07 22 210.77 24.2 13.44 0 0.6 NA NA 45.27
1980205 1980 07 23 235.87 27.04 15.31 0 0.65 NA NA 41.12
1980206 1980 07 24 277.8 28.56 15.35 1.96 0.66 NA NA 44.27
1980207 1980 07 25 295.02 29.61 17.91 0 0.83 NA NA 38.82
1980208 1980 07 26 202.54 22.24 13.09 0 0.84 NA NA 60.41
1980209 1980 07 27 252.81 22.92 12.97 0 0.83 NA NA 48.46
1980210 1980 07 28 201.61 24.75 14.62 1.13 0.55 NA NA 49.36
1980211 1980 07 29 259.38 26.95 13.27 0 1.17 NA NA 37.66
1980212 1980 07 30 210.51 26.84 15.93 0.56 0.74 NA NA 47.47
1980213 1980 07 31 209.88 25.29 14.51 0 0.35 NA NA 51.09
1980214 1980 08 01 249.92 24.2 12.07 0 0.83 NA NA 40.73
1980215 1980 08 02 251.19 22.17 9.4 0 1.15 NA NA 40.24
1980216 1980 08 03 277.95 20.62 7.9 0 0.89 NA NA 33.19
1980217 1980 08 04 270.78 22.93 6.15 0 0.32 NA NA 28.81
1980218 1980 08 05 253.28 24.07 8.76 0 0.82 NA NA 39.89
1980219 1980 08 06 261.43 24.38 11.01 0 0.73 NA NA 37.62
1980220 1980 08 07 92.86 17.72 12.58 1.31 0.34 NA NA 82.35
1980221 1980 08 08 48.4 15.03 10.33 19.63 0.99 NA NA 88.19
1980222 1980 08 09 121.68 17.42 11.66 28.61 0.81 NA NA 76.31
1980223 1980 08 10 221.15 18.95 11.59 16.26 0.66 NA NA 59.07
1980224 1980 08 11 226.54 18.74 11.21 11.44 0.81 NA NA 55.77
1980225 1980 08 12 120.39 17.69 11.26 0 0.75 NA NA 63.86
1980226 1980 08 13 228.26 20.09 11.79 11.22 0.46 NA NA 54.35
1980227 1980 08 14 204.46 19.97 10.47 8.68 0.56 NA NA 53.61
1980228 1980 08 15 218.9 19.78 9.52 5.15 0.43 NA NA 50.13
1980229 1980 08 16 235.29 22.66 8.57 0 0.56 NA NA 40.3
1980230 1980 08 17 44.96 13.42 9.19 8.31 1.13 NA NA 88.65
1980231 1980 08 18 161.33 17.75 9.68 0 1.04 NA NA 54.06
1980232 1980 08 19 212.06 20.36 8.84 0 0.74 NA NA 41.41
1980233 1980 08 20 95.65 15.35 8.56 15.91 1.01 NA NA 82.9
1980234 1980 08 21 91.76 16.8 12.3 0 0.74 NA NA 85.54
1980235 1980 08 22 145.91 18.86 12.42 0 0.81 NA NA 58.94
1980236 1980 08 23 76.38 17.81 12.41 10.92 0.9 NA NA 78.42
1980237 1980 08 24 176.79 20.09 12.04 0 1.05 NA NA 50.61
1980238 1980 08 25 184.07 18.61 11.73 23.42 0.6 NA NA 60.27
1980239 1980 08 26 97.3 15.82 11 6.36 1.15 NA NA 74.11
1980240 1980 08 27 160.09 17.52 10.54 0 1.6 NA NA 50.23
1980241 1980 08 28 211.68 18.33 7.62 0 0.89 NA NA 40.7
1980242 1980 08 29 171.72 17.3 6.75 0 0.97 NA NA 43.92
1980243 1980 08 30 187.94 16.89 5.49 0 0.47 NA NA 40.18
1980244 1980 08 31 144.56 13.23 5.65 0 1 NA NA 50.62
1980245 1980 09 01 116.08 12.66 5.09 0.2 0.59 NA NA 42.61
1980246 1980 09 02 58.22 10.56 6.76 1.18 1.39 NA NA 84.99
1980247 1980 09 03 41.23 10.17 4.79 0.93 0.81 NA NA 86.75
1980248 1980 09 04 97.06 10.9 4.72 0.38 1.05 NA NA 70.82
1980249 1980 09 05 99.53 12.38 5.21 0.29 1.13 NA NA 61.59
1980250 1980 09 06 133.15 12.38 5.05 0 0.82 NA NA 42.23
1980251 1980 09 07 80.86 12.25 5.5 0 0 NA NA 58.76
1980252 1980 09 08 114.53 12.7 3.86 0 0.73 NA NA 57.18
1980253 1980 09 09 106.52 13 3.36 0 1.24 NA NA 48.67
1980254 1980 09 10 24.4 12.77 9.77 1.25 1.1 NA NA 89.42
1980255 1980 09 11 94.05 13.39 6.89 5.64 0.92 NA NA 79.49
1980256 1980 09 12 102.29 12.72 6.3 3.57 1.11 NA NA 76.13
1980257 1980 09 13 114.17 13.92 5.4 0 0.96 NA NA 49.44
1980258 1980 09 14 61.02 13.55 5.44 3.95 1.11 NA NA 83.98
1980259 1980 09 15 82.82 13.61 8.98 0.51 1.11 NA NA 80.02
1980260 1980 09 16 165.6 14.25 3.93 0 0.72 NA NA 38.01
1980261 1980 09 17 142.62 15.81 3.85 0 1.52 NA NA 47.24
1980262 1980 09 18 97.6 17.62 12.26 0.45 1.57 NA NA 64.77
1980263 1980 09 19 153.3 19.4 12.04 0 1.48 NA NA 49.81
1980264 1980 09 20 150.8 19.45 8.21 0 1.12 NA NA 41.18
1980265 1980 09 21 149.04 17.65 8.12 0 1.23 NA NA 40.32
1980266 1980 09 22 108.19 16.6 8.79 0 0.82 NA NA 57.42
1980267 1980 09 23 142.84 17.65 8.27 2.05 1.05 NA NA 55.06
1980268 1980 09 24 80.4 14.63 8.17 1.23 1.4 NA NA 80.49
1980269 1980 09 25 34.75 12.78 8.17 1.63 0.3 NA NA 90.9
1980270 1980 09 26 34.83 11.16 3.64 1.2 1.4 NA NA 60.02
1980271 1980 09 27 79.6 9.47 1.75 8.47 0.59 NA NA 62.03
1980272 1980 09 28 94 9.52 -1.01 0 1.05 NA NA 55.77
1980273 1980 09 29 120.71 10.93 -3.4 3.71 1.49 NA NA 42.15
1980274 1980 09 30 70.01 11.63 6.41 2.95 1.53 NA NA 70.97
1980275 1980 10 01 49.03 8.81 -0.3 0 1.45 NA NA 55.48
1980276 1980 10 02 125.61 7.35 -1.5 0 0.98 NA NA 32.06
1980277 1980 10 03 34.08 4.42 -0.58 1.92 0 NA NA 83.69
1980278 1980 10 04 30.62 4.18 -2.9 0 0.77 NA NA 74.43
1980279 1980 10 05 102.75 3.14 -3.26 0 1.47 NA NA 36.07
1980280 1980 10 06 63.19 2.78 -3.32 0 1.12 NA NA 58.31
1980281 1980 10 07 100.65 3.33 -3.6 0 1.12 NA NA 41.36
1980282 1980 10 08 59.81 2.75 -3.16 0 0.87 NA NA 77.77
1980283 1980 10 09 20.88 3.2 -1.14 2.34 1.19 NA NA 88.11
1980284 1980 10 10 20.29 7.37 1.95 8.33 1.74 NA NA 76.96
1980285 1980 10 11 24.18 7.06 0.95 6.79 1.96 NA NA 55.41
1980286 1980 10 12 54.84 6.14 1.23 0 0.7 NA NA 80.84
1980287 1980 10 13 23.95 8.63 0.02 3.19 1.18 NA NA 78.58
1980288 1980 10 14 70.05 10.33 4.8 2.43 1.65 NA NA 68.25
1980289 1980 10 15 26.98 8.94 4.51 5.5 1.55 NA NA 84.41
1980290 1980 10 16 22.31 7.75 5.3 0 1.09 NA NA 88.72
1980291 1980 10 17 34.21 6.29 2.43 0.24 1.21 NA NA 71.19
1980292 1980 10 18 85.34 8.14 -0.04 0 1.21 NA NA 51.32
1980293 1980 10 19 59.44 9.01 1.57 0 1.3 NA NA 81.31
1980294 1980 10 20 45.07 10.76 5.54 0 0.87 NA NA 86.55
1980295 1980 10 21 77.44 9.1 0.64 0 0.59 NA NA 55.68
1980296 1980 10 22 53.25 3.27 -0.88 0 1.01 NA NA 79.72
1980297 1980 10 23 73.94 4 -3.15 0 0.78 NA NA 53.4
1980298 1980 10 24 72.65 2.85 -3.54 0 0.57 NA NA 72.44
1980299 1980 10 25 32.61 2.81 -1.55 0 0.24 NA NA 87.96
1980300 1980 10 26 36.99 2.74 -2.43 0.53 0 NA NA 89.8
1980301 1980 10 27 36.12 2.35 -2.76 0.56 0.24 NA NA 89.77
1980302 1980 10 28 28.18 2.35 -2.2 0 0.99 NA NA 89.87
1980303 1980 10 29 20.62 2.77 -2.05 0 0.98 NA NA 90.1
1980304 1980 10 30 48.67 2.66 -5.03 0 1.21 NA NA 78.8
1980305 1980 10 31 55.35 -4.42 -12.33 0 0.81 NA NA 83.13
1980306 1980 11 01 46.24 -1.15 -6.36 0 0.23 NA NA 79.33
1980307 1980 11 02 48.67 -3.64 -8.33 0 0.52 NA NA 88.55
1980308 1980 11 03 43.82 -3.73 -8.68 0 1.14 NA NA 85.88
1980309 1980 11 04 35.19 -2.83 -8.15 0 1.47 NA NA 76.58
1980310 1980 11 05 26.36 -1.96 -5.5 0 1.64 NA NA 82.08
1980311 1980 11 06 34.8 -2.78 -7.05 0 1.48 NA NA 75.44
1980312 1980 11 07 33.61 -2.59 -7.7 0 1.64 NA NA 75.61
1980313 1980 11 08 19.22 -1.75 -5.37 3.72 1.36 NA NA 88.33
1980314 1980 11 09 16.32 -1.77 -5.58 0 1.09 NA NA 84.86
1980315 1980 11 10 36.57 -2.73 -6.41 0 1.11 NA NA 88.05
1980316 1980 11 11 22.33 -1.78 -6.5 0.47 1.26 NA NA 87.33
1980317 1980 11 12 33.93 -1.74 -5.32 0 0.94 NA NA 88.18
1980318 1980 11 13 36.33 -1.73 -6.59 0 0.93 NA NA 82.75
1980319 1980 11 14 35.22 -1.38 -4.9 0 1.13 NA NA 85.18
1980320 1980 11 15 21.8 -0.46 -5.2 0 1.81 NA NA 79.72
1980321 1980 11 16 13.79 -0.18 -2.74 0.82 1.34 NA NA 88.45
1980322 1980 11 17 17.57 -0.46 -4.23 0 1.68 NA NA 82.86
1980323 1980 11 18 12.83 -0.2 -4.53 9.44 1.95 NA NA 84.16
1980324 1980 11 19 14.02 0.41 -2.62 0.69 1.65 NA NA 87.05
1980325 1980 11 20 11.26 0.44 -2.7 2.6 1.83 NA NA 86.64
1980326 1980 11 21 21.55 -0.81 -8.08 0.46 1.84 NA NA 67.47
