*WEATHER DATA - Station:Ventas Huelma - BADJAM DATA - BADJer: UG - Method: SDM - Source model: NCCNor
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Ventas Huelma 37.16 -3.83 740 11.11 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 25.06 6.31 2.47 0.51 1.79 NA NA 80.04
1980002 1980 01 02 36.26 7.5 2.1 0 2.14 NA NA 75.78
1980003 1980 01 03 26.39 6.9 1.57 0.27 3.81 NA NA 76.04
1980004 1980 01 04 51.81 8.24 2.7 0 1.54 NA NA 77.21
1980005 1980 01 05 53.65 7.83 -1.11 0 0.63 NA NA 75.01
1980006 1980 01 06 39.29 6.01 -3.22 0 0.24 NA NA 69.72
1980007 1980 01 07 52.35 6.05 -2.72 0 0.73 NA NA 65.7
1980008 1980 01 08 42.44 6.29 -2.7 0 1.77 NA NA 68.47
1980009 1980 01 09 53.6 5.77 -4.32 0 0.75 NA NA 68.18
1980010 1980 01 10 68.16 5.52 -5.97 0 0.37 NA NA 64.63
1980011 1980 01 11 75.82 5.19 -7.09 0 0.7 NA NA 64.17
1980012 1980 01 12 44.57 5.01 -3.29 0 1.22 NA NA 70.03
1980013 1980 01 13 35.15 5.03 -5.52 0 1.87 NA NA 71.06
1980014 1980 01 14 35.24 2.55 -5.04 0.52 0.96 NA NA 78.44
1980015 1980 01 15 28.52 1.48 -0.51 0 1.3 NA NA 77.6
1980016 1980 01 16 74.16 1.5 -6.77 0 0.64 NA NA 71.29
1980017 1980 01 17 71.13 2.8 -7.92 0 0.69 NA NA 70.38
1980018 1980 01 18 32.32 2.3 -6.69 1.49 0.97 NA NA 78.54
1980019 1980 01 19 67.77 3.5 -5.64 0 1.81 NA NA 68.39
1980020 1980 01 20 35.49 6.87 -1.97 0 3.15 NA NA 56.83
1980021 1980 01 21 69.35 9.47 1.79 0 2.57 NA NA 63.49
1980022 1980 01 22 80.08 8.39 0.83 0 2.43 NA NA 66.76
1980023 1980 01 23 94.36 7.28 -0.39 0 2.4 NA NA 61.87
1980024 1980 01 24 98.44 5.75 -1.04 0 2.3 NA NA 65.45
1980025 1980 01 25 50.58 9.57 0.88 0 4.04 NA NA 56.33
1980026 1980 01 26 30.23 5.78 -1.7 1.11 4.47 NA NA 69.6
1980027 1980 01 27 99.75 1.82 -5.29 0 4.64 NA NA 36.94
1980028 1980 01 28 88.85 0.91 -7.49 0 2.33 NA NA 41.01
1980029 1980 01 29 105.97 -1.43 -8.69 0.43 3.09 NA NA 44.39
1980030 1980 01 30 107.22 4.99 -2.2 0 4.85 NA NA 54.62
1980031 1980 01 31 105.12 8.35 -0.3 0 4.49 NA NA 40.28
1980032 1980 02 01 61.06 1.38 -3.68 4.57 2.97 NA NA 64.95
1980033 1980 02 02 83.28 -3.16 -6.54 0 4.3 NA NA 36.99
1980034 1980 02 03 88.15 -5.67 -10.3 0 2.27 NA NA 31.63
1980035 1980 02 04 78.58 -3.22 -12.47 0 1.26 NA NA 53.81
1980036 1980 02 05 44.4 -2.45 -7.29 6.98 1.61 NA NA 82.74
1980037 1980 02 06 38.3 1.12 -2.27 0 1.44 NA NA 78.88
1980038 1980 02 07 60.75 -1.33 -4.17 0 3.38 NA NA 56.66
1980039 1980 02 08 103.76 -3.77 -7.34 0 3.12 NA NA 35.3
1980040 1980 02 09 61.4 2.36 -9.21 2.82 3.05 NA NA 50.38
1980041 1980 02 10 98.84 2.06 -3.52 0 3.51 NA NA 61.56
1980042 1980 02 11 59.77 1.99 -4.09 2.6 4.58 NA NA 58.92
