*WEATHER DATA - Station:Policoro - BADJAM DATA - BADJer: UP - Method: CDFT - Source model: CSIRO
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Policoro 40.2 16.66 3 16.04 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 47.6 12.43 6.83 2.3 4.36 NA NA 62.75
1980002 1980 01 02 42.97 12.7 9.99 2.89 6.36 NA NA 63.2
1980003 1980 01 03 29.05 13.7 6.34 7.63 4.1 NA NA 70
1980004 1980 01 04 54.14 18.55 13.15 1.84 6.07 NA NA 50.65
1980005 1980 01 05 51.05 12.14 6.07 3.08 4.43 NA NA 54.73
1980006 1980 01 06 67.61 9.21 4.43 0.62 3.6 NA NA 40.53
1980007 1980 01 07 60.06 8.96 4.79 2.34 4.6 NA NA 52.98
1980008 1980 01 08 71.07 7.48 2.33 0 2.41 NA NA 39.11
1980009 1980 01 09 74.6 8.9 0.71 0 2.51 NA NA 35.69
1980010 1980 01 10 73.19 9.76 1.07 0 2.63 NA NA 44.7
1980011 1980 01 11 74.98 10.54 0.41 0 1.22 NA NA 39.29
1980012 1980 01 12 62.73 10.48 4.69 0 2.87 NA NA 47.16
1980013 1980 01 13 77.33 9.01 0.92 0 0.63 NA NA 39.61
1980014 1980 01 14 66.85 11.07 2.34 31 2.59 NA NA 56.08
1980015 1980 01 15 6.39 13.61 10.5 36.39 3.48 NA NA 85.98
1980016 1980 01 16 34.54 10.77 6.78 3.96 4.58 NA NA 79.69
1980017 1980 01 17 79.41 8.9 2.54 0 3.08 NA NA 48.92
1980018 1980 01 18 79.85 11.28 0.49 0 1.12 NA NA 45.74
1980019 1980 01 19 44.44 15.71 8.8 0 3.33 NA NA 68.54
1980020 1980 01 20 50.15 17.91 13.21 0 3.46 NA NA 62.76
1980021 1980 01 21 76 18.79 13.16 0 2.34 NA NA 66.03
1980022 1980 01 22 75.96 19.62 14.15 0 5.48 NA NA 50.67
1980023 1980 01 23 90.14 20.19 14.26 0 3.88 NA NA 60.05
1980024 1980 01 24 81.64 16.62 8.88 0 3.41 NA NA 59.93
1980025 1980 01 25 75.64 16.4 8.51 0 3.71 NA NA 54.43
1980026 1980 01 26 48.16 17.04 10.37 3.13 4.11 NA NA 61.6
1980027 1980 01 27 92.83 16.69 8.47 5.16 2.53 NA NA 52.48
1980028 1980 01 28 91.27 17.09 9.85 0 2.71 NA NA 54.88
1980029 1980 01 29 6.83 15.01 9.58 14.29 3.64 NA NA 81.21
1980030 1980 01 30 30.8 17.68 12.76 22.64 2.88 NA NA 81.64
1980031 1980 01 31 94.05 16.72 12.75 0 5.5 NA NA 63.47
1980032 1980 02 01 6.83 12.35 6.98 8.13 5.02 NA NA 67.03
1980033 1980 02 02 100.27 7.85 4.21 0 5.1 NA NA 36.69
1980034 1980 02 03 93.43 9.27 3.59 0 3.48 NA NA 35.45
1980035 1980 02 04 102.71 8.99 3.76 0 5.48 NA NA 33.85
1980036 1980 02 05 105.45 11.13 6.09 0 4.14 NA NA 37.49
1980037 1980 02 06 81.01 7.17 4.06 0.69 6.22 NA NA 48.19
1980038 1980 02 07 106.31 9.51 3.67 0 3.87 NA NA 33.14
1980039 1980 02 08 106.06 11.4 5.75 0 2.53 NA NA 48.74
1980040 1980 02 09 106.04 11.79 4.23 0 0.63 NA NA 50.01
1980041 1980 02 10 108.86 12.49 4.17 0 0.96 NA NA 43.57
1980042 1980 02 11 110.49 13.65 6.78 0 1.73 NA NA 46.97
1980043 1980 02 12 112.17 13.18 5.98 0 0.96 NA NA 53.58
1980044 1980 02 13 95.82 14.81 7.56 3.91 1.49 NA NA 65.01
1980045 1980 02 14 117.32 10.55 4.77 0 3.09 NA NA 46.83
1980046 1980 02 15 122.1 12.19 3.23 1.49 1.65 NA NA 40.84
1980047 1980 02 16 84.54 15.34 9.05 9.58 3.3 NA NA 76.34
1980048 1980 02 17 100.05 16.21 8.52 0 2.3 NA NA 69.07
1980049 1980 02 18 41.43 13.35 7.6 6.18 0.62 NA NA 80
1980050 1980 02 19 99.36 12.84 7.4 0.48 3.3 NA NA 72.54
1980051 1980 02 20 114.81 13.41 5.1 6.2 1.9 NA NA 53.88
1980052 1980 02 21 125.7 18.59 13 1.1 4.47 NA NA 63.25
1980053 1980 02 22 123.97 18.15 11.51 0 3.41 NA NA 60.88
1980054 1980 02 23 126.75 18.63 7.98 0 0.09 NA NA 47.53
1980055 1980 02 24 131.22 16.74 6.26 0.04 0.63 NA NA 48.19
1980056 1980 02 25 93.47 17.23 6.39 0 1.76 NA NA 55.87
