*WEATHER DATA - Station:Tel Hadya-Aleppo  - BADJAM DATA - BADJer: UP - Method: CDFT - Source model: CSIRO
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Tel Hadya-Aleppo  36.01 36.56 399 17.06 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 94.28 18.67 6.77 2.72 1.18 NA NA 39.06
1980002 1980 01 02 41.36 12.18 10.33 6.34 2.86 NA NA 70.97
1980003 1980 01 03 55.88 12.37 8.86 0 1.58 NA NA 56.32
1980004 1980 01 04 72.99 13.43 6.83 0 0.13 NA NA 51.57
1980005 1980 01 05 118.93 14.76 5.36 0 1.68 NA NA 38.61
1980006 1980 01 06 118.97 15.26 4.78 0 1.99 NA NA 35.73
1980007 1980 01 07 125.29 14.86 4.42 0 1.58 NA NA 39.04
1980008 1980 01 08 116.59 15.07 5.51 2.56 0.87 NA NA 50.42
1980009 1980 01 09 22.5 13.44 10.93 7.07 2.85 NA NA 73.37
1980010 1980 01 10 70 11.71 9.89 1 2.49 NA NA 54.34
1980011 1980 01 11 65.84 10.64 1.68 0.46 2.4 NA NA 46.68
1980012 1980 01 12 72.88 9.55 0.93 6.85 1.73 NA NA 49.02
1980013 1980 01 13 90.8 7.47 0.44 9.88 2.74 NA NA 51.09
1980014 1980 01 14 123.76 5 -1.24 0.46 2.22 NA NA 32.87
1980015 1980 01 15 85.21 9.38 1.25 1 2.29 NA NA 44.75
1980016 1980 01 16 83.02 8.29 0.91 6.55 2.23 NA NA 49
1980017 1980 01 17 44.51 11.94 7.27 25.23 1.76 NA NA 70.86
1980018 1980 01 18 10.26 13.6 10.19 23.33 1.58 NA NA 72.52
1980019 1980 01 19 39.51 11.91 9.01 8.99 2.46 NA NA 64.96
1980020 1980 01 20 44.57 11.99 8.75 10.08 2.57 NA NA 73.86
1980021 1980 01 21 137.69 13.98 5.09 0 0.13 NA NA 52.14
1980022 1980 01 22 121.94 14.48 4.6 0 0.06 NA NA 47.86
1980023 1980 01 23 131.07 17.26 5.84 0.46 0.11 NA NA 42.22
1980024 1980 01 24 138.06 19.21 6.45 0 0.8 NA NA 38.59
1980025 1980 01 25 131.51 18.87 7.84 0 0.86 NA NA 42.11
1980026 1980 01 26 130.78 18.68 7.43 0 1.56 NA NA 41.25
1980027 1980 01 27 134.75 18.67 7.77 0 0.96 NA NA 42.77
1980028 1980 01 28 85.8 17 7.25 0.04 0.48 NA NA 49.74
1980029 1980 01 29 138.89 17.33 7.46 2.34 1.15 NA NA 47.26
1980030 1980 01 30 112.72 16.63 8.19 0 1.03 NA NA 46.89
1980031 1980 01 31 134.13 17.25 7.15 0.04 0.08 NA NA 48.04
1980032 1980 02 01 139.77 17.56 6.51 0.72 0.11 NA NA 46.88
1980033 1980 02 02 44.57 15.66 10.67 4.62 1.53 NA NA 63.07
1980034 1980 02 03 96.08 13.42 10.61 1.87 1.88 NA NA 63.11
1980035 1980 02 04 54.53 11.52 10.39 6.55 1.76 NA NA 76.19
1980036 1980 02 05 30.51 11.21 8.29 33.49 2.29 NA NA 78.56
1980037 1980 02 06 53.68 11.01 7.61 10.54 2.3 NA NA 62.51
1980038 1980 02 07 44.2 10.08 7.25 12 3.07 NA NA 59.16
1980039 1980 02 08 147.18 9.41 2.25 2.01 2.2 NA NA 42.54
1980040 1980 02 09 89.22 8.33 0.14 17.57 2.22 NA NA 54.47
