*WEATHER DATA - Station:Rothamsted - BADJAM DATA - BADJer: UP - Method: CDFT - Source model: ICHEC
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Rothamsted 51.82 -0.37 105 9.47 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 15.66 10.02 2.14 5.77 6.02 NA NA 51.44
1980002 1980 01 02 31.01 6.58 2.75 0 7.18 NA NA 49.63
1980003 1980 01 03 28.51 7.86 1.32 0 4.56 NA NA 54.46
1980004 1980 01 04 8.82 8.79 5.32 10.11 5.65 NA NA 84.93
1980005 1980 01 05 11.15 8.44 6.34 8.45 5.13 NA NA 83.15
1980006 1980 01 06 23.92 13.82 8.13 1.96 5.73 NA NA 56.14
1980007 1980 01 07 41.77 10.83 5.68 0 3.73 NA NA 63.94
1980008 1980 01 08 39.96 10.16 5.21 0 3.15 NA NA 68.54
1980009 1980 01 09 33.86 9.45 3.18 0 2.89 NA NA 77.61
1980010 1980 01 10 30.49 8.47 2.52 0 2.38 NA NA 79.32
1980011 1980 01 11 21.13 10.19 5.47 4.13 3.6 NA NA 80.63
1980012 1980 01 12 37.4 10.2 6.99 0 4.63 NA NA 76.2
1980013 1980 01 13 20.21 9.28 2 2.17 5.15 NA NA 64.47
1980014 1980 01 14 38.32 4.85 -0.86 0 3.72 NA NA 49.14
1980015 1980 01 15 38.74 3.57 -1.98 0 2.61 NA NA 77.28
1980016 1980 01 16 21.54 9.66 1.41 0.23 4.8 NA NA 74.1
1980017 1980 01 17 12.9 11.52 8.91 0 5.55 NA NA 84.08
1980018 1980 01 18 17.98 12.27 8.71 2.06 8.13 NA NA 80.62
1980019 1980 01 19 50.77 10.92 6.88 5.83 4.1 NA NA 65.2
1980020 1980 01 20 7.63 9.81 5.27 24.89 4.89 NA NA 88.38
1980021 1980 01 21 49.88 5.2 3 1.7 3.44 NA NA 77.72
1980022 1980 01 22 44.98 4.25 -0.31 0 5.3 NA NA 49.32
1980023 1980 01 23 56.91 3.47 -1.42 0 2.9 NA NA 65.18
1980024 1980 01 24 17.09 6.97 -1.89 2.26 3.55 NA NA 55.98
1980025 1980 01 25 34.84 5.48 2.43 1.1 6.59 NA NA 49.71
1980026 1980 01 26 53.84 4.4 0.16 0 4.73 NA NA 61.03
1980027 1980 01 27 39.04 7.37 0.72 0.51 6.42 NA NA 51.11
