*WEATHER DATA - Station:Estrees-Mons - BADJAM DATA - BADJer: UP - Method: CDFT - Source model: IPSL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Estrees-Mons 49.88 3 83 10.46 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 31.65 8.2 4.06 5.12 6.07 NA NA 71.48
1980002 1980 01 02 36.77 3.72 -1.73 1.14 4.6 NA NA 52.85
1980003 1980 01 03 52.79 0.69 -2.45 0 3.39 NA NA 57.96
1980004 1980 01 04 24.79 6.07 -1.24 4.51 4.69 NA NA 68.48
1980005 1980 01 05 16.81 2.91 -0.19 0.61 3.39 NA NA 87.09
1980006 1980 01 06 35.69 3.28 -0.59 1.71 3.79 NA NA 75.14
1980007 1980 01 07 43.35 2.28 -2.43 0 4 NA NA 80.06
1980008 1980 01 08 47.74 1.58 -2.59 0 3.22 NA NA 65.52
1980009 1980 01 09 52.63 4.87 -0.13 0 5.61 NA NA 60.21
1980010 1980 01 10 35.03 9.38 4.93 1.66 5.13 NA NA 60.03
1980011 1980 01 11 39.89 6.3 2.72 0 4.01 NA NA 62.65
1980012 1980 01 12 18.8 7.76 1.37 5.81 4.39 NA NA 68.91
1980013 1980 01 13 14.58 10.78 7.73 1.47 3.79 NA NA 86.11
1980014 1980 01 14 24.17 8.1 4.16 0 3.96 NA NA 80.97
1980015 1980 01 15 16.41 9.25 4.2 0.97 3.8 NA NA 84.38
1980016 1980 01 16 15.46 10.42 6.7 4.69 4.12 NA NA 85.35
1980017 1980 01 17 23.68 8.64 4.52 3.31 5.13 NA NA 71.3
1980018 1980 01 18 35.54 7.19 4.68 0 5.73 NA NA 56.33
1980019 1980 01 19 2 4.86 3.41 3.76 3.1 NA NA 90.95
1980020 1980 01 20 55.92 5.48 2.21 2.53 3.91 NA NA 63.01
1980021 1980 01 21 13.54 8.7 6.92 4.53 5.41 NA NA 90.06
1980022 1980 01 22 28.17 8.89 7.37 2.47 2.19 NA NA 91.12
1980023 1980 01 23 15.3 10.12 9.1 2.84 4.23 NA NA 91.63
1980024 1980 01 24 48.01 11.12 7.22 0 2.74 NA NA 72.28
1980025 1980 01 25 16.04 11.64 8.43 4.46 4.6 NA NA 86.75
1980026 1980 01 26 50.49 9.07 2.56 0.08 5.64 NA NA 48.63
1980027 1980 01 27 66.37 4.45 1.19 2.07 4.58 NA NA 58.79
1980028 1980 01 28 16.07 8.19 4.91 2.5 5.59 NA NA 80.18
1980029 1980 01 29 36.81 4.76 3.07 0.37 5.77 NA NA 67.61
1980030 1980 01 30 60.97 3.65 -1.84 0 3.95 NA NA 52.38
1980031 1980 01 31 58.82 3.32 -2.31 0 1.85 NA NA 67.22
1980032 1980 02 01 27.87 8.69 3.39 0.85 3.43 NA NA 77.66
1980033 1980 02 02 74.44 8.28 -0.52 0.18 1.85 NA NA 73.36
1980034 1980 02 03 78.47 4.43 -2.55 0 0.16 NA NA 59.63
1980035 1980 02 04 88.94 4.04 -3.6 0 1.06 NA NA 64.02
