*WEATHER DATA - Station:Libertinia - BADJAM DATA - BADJer: UP - Method: CDFT - Source model: IPSL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Libertinia 37.5 14.58 235 14.35 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 108.04 10.72 1.94 0 2.87 NA NA 53.26
1980002 1980 01 02 112.07 13.15 8.88 0 5.3 NA NA 50.94
1980003 1980 01 03 106.44 13.09 6.14 1.57 4.25 NA NA 47.96
1980004 1980 01 04 72.36 9.72 5.16 0 2.4 NA NA 49.84
1980005 1980 01 05 104.36 12.19 5.41 0 3.92 NA NA 48.16
1980006 1980 01 06 78.39 8.84 5.49 0 3.19 NA NA 56.79
1980007 1980 01 07 71.66 11.24 5.91 0.59 4.63 NA NA 50.55
1980008 1980 01 08 53.34 7.78 4.24 5.58 4.53 NA NA 55.97
1980009 1980 01 09 110.86 6.68 -0.87 0 3.82 NA NA 34.27
1980010 1980 01 10 120.69 9.88 -1.24 0 2.41 NA NA 41.77
1980011 1980 01 11 118.01 13.45 6.72 0 2.64 NA NA 41.91
1980012 1980 01 12 107.14 11.05 2.15 0 2.54 NA NA 53.68
1980013 1980 01 13 107.95 10.84 0.1 0 0.63 NA NA 44.32
1980014 1980 01 14 117.3 13.69 3.55 0 1.99 NA NA 50.92
1980015 1980 01 15 50.68 10.31 6.73 3.1 2.87 NA NA 72.55
1980016 1980 01 16 112.3 10.38 4.47 0 3.57 NA NA 49.17
1980017 1980 01 17 95.76 11.81 3.9 0 1.95 NA NA 51.69
1980018 1980 01 18 123.98 12.69 6.91 0 3.37 NA NA 45.64
1980019 1980 01 19 117.73 13.65 5.93 0 2.83 NA NA 45.94
1980020 1980 01 20 125.91 14.06 5.54 0 2.71 NA NA 41.28
1980021 1980 01 21 115.19 11.04 3.37 0 1.97 NA NA 43.02
1980022 1980 01 22 92.32 9.77 1.93 0.93 2.39 NA NA 51.72
1980023 1980 01 23 48.57 10.46 8.49 3.57 2.22 NA NA 80.23
1980024 1980 01 24 90.97 12.14 6.78 0 1.14 NA NA 64.71
1980025 1980 01 25 95.86 11.96 3.02 0 1.25 NA NA 58.08
1980026 1980 01 26 128.3 11.55 1.21 0 1.29 NA NA 44.7
1980027 1980 01 27 58.56 10.27 5.47 2.81 3.87 NA NA 58.63
1980028 1980 01 28 112.93 8.13 5.53 1.33 4.25 NA NA 35.95
1980029 1980 01 29 50.88 9.94 7.03 6.19 3.93 NA NA 70.34
1980030 1980 01 30 70.34 6.41 2.14 6.25 3.86 NA NA 67.85
1980031 1980 01 31 94.48 5.29 1.19 2.66 2.54 NA NA 49.74
1980032 1980 02 01 91.21 2.86 0.84 11.46 3.7 NA NA 73
1980033 1980 02 02 120.24 4.61 0.72 0 3.87 NA NA 41.54
1980034 1980 02 03 78.66 6.07 0.49 3.07 2.06 NA NA 64.67
1980035 1980 02 04 65.11 5.93 2.78 1.92 1.74 NA NA 64.53
1980036 1980 02 05 80.71 5.78 2.12 1.55 1.53 NA NA 60.35
1980037 1980 02 06 73.03 6.22 3.03 0.93 1.64 NA NA 58.09
1980038 1980 02 07 105.08 6.39 1.64 0 1.77 NA NA 43.43
1980039 1980 02 08 147.48 7.33 0.06 0 1.48 NA NA 37.55
1980040 1980 02 09 58.22 6.45 1.41 5.67 2.13 NA NA 73.44
1980041 1980 02 10 64.21 7.34 5.07 1.62 1.63 NA NA 70.5
1980042 1980 02 11 48.37 6.93 5.42 7.17 0.62 NA NA 82.64
1980043 1980 02 12 64.74 7.29 5.77 3.71 0.54 NA NA 79.01
1980044 1980 02 13 76.1 7.63 5.06 0.51 0.89 NA NA 68.04
1980045 1980 02 14 62.52 8.61 5.13 2.08 3.1 NA NA 72.46
1980046 1980 02 15 69.34 10.8 8.27 3.5 4.51 NA NA 67.73
1980047 1980 02 16 80.12 7.63 5.07 1.38 3.67 NA NA 57.39
1980048 1980 02 17 136.81 6.81 1.25 0 3.59 NA NA 33.89
1980049 1980 02 18 165.65 6.45 -0.67 0 0.87 NA NA 32.74
1980050 1980 02 19 164.67 8.12 -0.69 0 1.73 NA NA 35.66
1980051 1980 02 20 138.86 11.54 2.6 0 3.2 NA NA 42.48
1980052 1980 02 21 132.87 8.46 4.55 1.11 2.9 NA NA 52.4
1980053 1980 02 22 82.86 8.38 4.14 9.23 2.99 NA NA 62.98
1980054 1980 02 23 153.94 7.13 2.19 3.53 4.33 NA NA 57.71
1980055 1980 02 24 106.62 4.93 1.56 4.82 5.67 NA NA 58.37
1980056 1980 02 25 108.14 5.41 1.7 2.93 3.89 NA NA 57.78
1980057 1980 02 26 100.92 8.37 1.97 0.13 1.97 NA NA 47.72
1980058 1980 02 27 33.03 8.56 3.93 8.89 0.45 NA NA 79.53
1980059 1980 02 28 90.52 6.16 2.92 3.47 3.41 NA NA 72.58
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 96.41 7.12 2.91 1.7 2.9 NA NA 58.58
1980062 1980 03 02 103.72 8.37 1.08 0.3 1.55 NA NA 59.35
1980063 1980 03 03 186.74 10.88 -0.55 0 0.8 NA NA 39.63
1980064 1980 03 04 193.79 11.37 1.21 0 1.51 NA NA 40.7
1980065 1980 03 05 166 10.92 1.46 0 1.49 NA NA 46.87
1980066 1980 03 06 178.73 11.76 1.77 0 1.33 NA NA 43.12
1980067 1980 03 07 143.29 11.14 0.93 0 0.96 NA NA 48.35
1980068 1980 03 08 207.56 12.67 3.39 0 3.01 NA NA 41.07
1980069 1980 03 09 160 11.85 1.79 1.95 2.71 NA NA 47.95
1980070 1980 03 10 202.8 12.75 1.02 0 1.15 NA NA 34.08
1980071 1980 03 11 202.97 15.78 2.13 0 1.39 NA NA 32.79
1980072 1980 03 12 223.39 17.04 1.85 0 0.68 NA NA 30.16
1980073 1980 03 13 215.38 17.37 2.35 0 1.25 NA NA 30.43
1980074 1980 03 14 216.46 16.72 5.13 0 2.42 NA NA 35.99
1980075 1980 03 15 227.15 14.02 5.78 0 2.91 NA NA 41.11
1980076 1980 03 16 208.45 13.42 4.25 0 1.97 NA NA 40.36
1980077 1980 03 17 220.42 16.02 1.36 0 0.98 NA NA 32.53
1980078 1980 03 18 154.71 15.69 6.37 0 1.33 NA NA 40.16
1980079 1980 03 19 159.54 15.05 7.3 1.75 0.79 NA NA 50.99
1980080 1980 03 20 202.67 12.15 4.09 0 1.98 NA NA 45.33
1980081 1980 03 21 154.52 12.93 3.32 1.38 2.39 NA NA 48.28
1980082 1980 03 22 226.81 13.57 0.71 0 0.53 NA NA 31.3
1980083 1980 03 23 226.39 16.66 5.29 0 2.21 NA NA 36.12
1980084 1980 03 24 226.01 16.69 7.18 0 2.35 NA NA 42.28
1980085 1980 03 25 228.72 18.49 3.39 0 0.87 NA NA 24.36
1980086 1980 03 26 234.98 18.49 5.46 0 1.54 NA NA 33.24
1980087 1980 03 27 233.4 13.37 4.69 0 3.12 NA NA 36.74
1980088 1980 03 28 237.56 12.21 1.85 0 1.09 NA NA 31.88
1980089 1980 03 29 243.56 14.46 1.36 0 0.97 NA NA 26.33
1980090 1980 03 30 253.38 13.9 3.55 0 1.99 NA NA 29.35
1980091 1980 03 31 252.57 14.42 3.73 0 1.96 NA NA 31.66
1980092 1980 04 01 188.32 12.52 7.01 0 2.43 NA NA 45.08
1980093 1980 04 02 245.42 16.64 5.29 0 2.05 NA NA 39.32
1980094 1980 04 03 181.96 19.52 7.77 3.32 1.23 NA NA 32.1
1980095 1980 04 04 166.96 19.64 7.45 0.22 2.55 NA NA 31.05
1980096 1980 04 05 199.66 19.8 12.46 0 2.73 NA NA 32.62
1980097 1980 04 06 183.17 13.58 6.86 1.03 3.29 NA NA 44.14
1980098 1980 04 07 252.71 13.87 5.25 0 1.82 NA NA 27.59
1980099 1980 04 08 258.78 17.37 5.15 0 2.9 NA NA 23.08
1980100 1980 04 09 206.49 13.6 8.17 0.26 4.79 NA NA 35.96
1980101 1980 04 10 62.43 10.45 7.94 6.59 5.69 NA NA 66.34
1980102 1980 04 11 242.85 14.61 3.45 0 2.81 NA NA 35.11
1980103 1980 04 12 227.64 18.96 2.74 0 1.74 NA NA 22.55
1980104 1980 04 13 272.11 22.55 8.67 0 1.54 NA NA 21.85
1980105 1980 04 14 248.15 21.59 11.97 0 3.45 NA NA 25.08
1980106 1980 04 15 260.76 21.38 10.4 0 2.93 NA NA 26.34
1980107 1980 04 16 267.37 19.05 9.59 0 2.62 NA NA 28.95
1980108 1980 04 17 268.14 18.6 6.96 0 2.23 NA NA 28.17
1980109 1980 04 18 286.69 20.3 3.27 0 0.53 NA NA 16.97
1980110 1980 04 19 271.35 18.61 8.28 0 3.29 NA NA 28.78
1980111 1980 04 20 130.73 18.35 13.72 0 3.69 NA NA 30.31
1980112 1980 04 21 273.36 15.53 10.01 0 3.93 NA NA 33.97
1980113 1980 04 22 277.19 17.91 9.01 0 3.19 NA NA 26.18
1980114 1980 04 23 297.46 19.21 7.29 0 2.55 NA NA 20.42
1980115 1980 04 24 206.46 17.66 4.67 0 0.66 NA NA 29.46
1980116 1980 04 25 159.19 14.69 9.16 1.91 1.48 NA NA 44.91
1980117 1980 04 26 164.37 13.85 8.79 0.03 3.77 NA NA 37.5
1980118 1980 04 27 150.05 12.1 7.85 0.59 3.93 NA NA 39.86
1980119 1980 04 28 129.25 12.45 9.08 0 3.35 NA NA 36.41
1980120 1980 04 29 164.51 13.52 8.19 0 3.45 NA NA 29.32
1980121 1980 04 30 274.62 15.86 7.75 0 3.08 NA NA 27.76
1980122 1980 05 01 292.58 16.95 5.85 0 1.63 NA NA 20.64
1980123 1980 05 02 297.19 19.31 3.32 0 1.59 NA NA 19.89
1980124 1980 05 03 216 16.06 11.66 0 4.8 NA NA 30.87
1980125 1980 05 04 181.09 16.91 11.64 0 3.93 NA NA 29.81
1980126 1980 05 05 303 18.4 7.07 0 1.39 NA NA 17.42
1980127 1980 05 06 300.21 20.1 4.27 0 2.4 NA NA 15.54
1980128 1980 05 07 305.66 23.59 12.51 0 3.86 NA NA 16.02
1980129 1980 05 08 251.38 17.71 11.64 0 3.2 NA NA 34.41
1980130 1980 05 09 305.39 19.35 7.98 0 2.43 NA NA 18.15
1980131 1980 05 10 300.37 19.22 10.69 0.93 1.92 NA NA 21.69
1980132 1980 05 11 284.57 18.17 7.31 0 2.49 NA NA 23.06
1980133 1980 05 12 147.79 17.09 11.8 0.08 3.58 NA NA 38.61
1980134 1980 05 13 346.19 23.07 10.02 0 2.72 NA NA 18.03
1980135 1980 05 14 312.94 23.66 15.95 0 3.59 NA NA 19.55
1980136 1980 05 15 202.64 15.27 9.9 1.77 4.55 NA NA 40.28
1980137 1980 05 16 136.57 12.93 9.74 0.05 3.95 NA NA 37.16
1980138 1980 05 17 311.3 17.76 9.7 0 2.82 NA NA 20.57
1980139 1980 05 18 78.95 11.85 9.54 17.33 0.91 NA NA 79.32
1980140 1980 05 19 282.33 14.92 8.66 0 3.92 NA NA 36.01
1980141 1980 05 20 322.67 17.22 7.03 0 2.82 NA NA 28.14
1980142 1980 05 21 332.71 19.68 5.58 0 2.18 NA NA 25.04
1980143 1980 05 22 322.77 19.08 9.17 0 2.38 NA NA 24.14
1980144 1980 05 23 324.33 20.67 10.13 0 2.44 NA NA 26.7
1980145 1980 05 24 350.23 24.68 8.34 0 2.68 NA NA 15.47
1980146 1980 05 25 329.14 25.74 13.61 0 1.71 NA NA 13.33
1980147 1980 05 26 352.13 26.89 13.56 0 3.29 NA NA 12.09
1980148 1980 05 27 353.21 27.82 17.93 0 3.92 NA NA 10.03
1980149 1980 05 28 300.04 22.63 13.65 0 2.29 NA NA 16.96
1980150 1980 05 29 297.71 23.97 8.48 0 2.54 NA NA 10.01
1980151 1980 05 30 360.65 20.22 11.13 0 2.73 NA NA 13.61
1980152 1980 05 31 348.43 19.95 9.95 0 1.61 NA NA 15.55
1980153 1980 06 01 343.98 22.2 11.74 0 2.67 NA NA 21.41
1980154 1980 06 02 355.31 23.81 13.97 0 2.84 NA NA 19.36
1980155 1980 06 03 358.44 26.29 12.75 0 1.22 NA NA 15.92
1980156 1980 06 04 342.45 25.73 14.45 0 1.49 NA NA 12.59
1980157 1980 06 05 168.24 24.51 13.09 1.38 0.97 NA NA 18.55
1980158 1980 06 06 350.91 21.81 12.01 0 2.59 NA NA 18.67
1980159 1980 06 07 346.45 22.65 11.35 0 1.86 NA NA 20.68
1980160 1980 06 08 342.73 22.1 12.45 0 2.04 NA NA 25.34
1980161 1980 06 09 355.54 23.85 9.41 0 1.54 NA NA 16.83
1980162 1980 06 10 116.1 23.84 14.26 0.91 3.11 NA NA 30.19
1980163 1980 06 11 226.99 26.23 18.19 0 1.56 NA NA 19.14
1980164 1980 06 12 244.75 25.77 15.83 0 1.93 NA NA 10.29
1980165 1980 06 13 300.71 23.68 17.14 0 3.22 NA NA 18.2
1980166 1980 06 14 348.34 24.59 15.43 0 2.72 NA NA 18.87
1980167 1980 06 15 335.08 24.87 14.1 0 2.04 NA NA 17.31
1980168 1980 06 16 238.52 20.97 14.01 0.67 2.13 NA NA 33.2
1980169 1980 06 17 311.77 23.18 16.31 0 2.89 NA NA 31.66
1980170 1980 06 18 276.97 24.52 16.38 0 2.23 NA NA 28.26
1980171 1980 06 19 241.4 24.24 16.88 0 1.72 NA NA 28.85
1980172 1980 06 20 330.25 24.66 16.91 0 2.47 NA NA 20.62
1980173 1980 06 21 340.86 24.77 14.22 0 2.41 NA NA 15.31
1980174 1980 06 22 346.74 29.3 13.47 0 1.48 NA NA 9.42
1980175 1980 06 23 177.5 28.98 19.71 0 1.82 NA NA 13.1
1980176 1980 06 24 161.78 23.67 17.49 1.24 1.77 NA NA 30.25
1980177 1980 06 25 348.65 24.74 13.64 0 2.45 NA NA 18.39
1980178 1980 06 26 343.53 23.29 16.36 0 3 NA NA 23.58
1980179 1980 06 27 199.29 21.4 16.87 0.35 2.71 NA NA 34.96
1980180 1980 06 28 224.45 22.67 16.7 0 2.32 NA NA 29.51
1980181 1980 06 29 212.71 22.35 14.22 0 0.46 NA NA 33.34
1980182 1980 06 30 314.18 25.94 17.8 0 1.25 NA NA 26.26
1980183 1980 07 01 174.2 26.76 18.57 2 2.32 NA NA 22.13
1980184 1980 07 02 259.03 27.76 17.95 0 2.67 NA NA 17.58
1980185 1980 07 03 252.89 28.94 18.77 0 3.26 NA NA 17.16
1980186 1980 07 04 179.58 28.31 19.7 0 2.64 NA NA 20.4
1980187 1980 07 05 212.27 33.77 24.29 0 2.99 NA NA 9.98
1980188 1980 07 06 244.26 36.56 26.08 0 2.62 NA NA 8.06
1980189 1980 07 07 274.46 37.48 21.71 0 1.69 NA NA 8.88
1980190 1980 07 08 283.2 31.34 20.66 0.5 3.11 NA NA 14.7
1980191 1980 07 09 330.31 30.67 18.52 0 2.18 NA NA 13.23
1980192 1980 07 10 307.44 29.86 19.02 0 1.33 NA NA 20.12
1980193 1980 07 11 299.03 32.17 19.32 0 2.22 NA NA 13.14
1980194 1980 07 12 241.96 31.32 19.9 0 2.82 NA NA 16.17
1980195 1980 07 13 250.28 32.57 21.37 0 2.83 NA NA 14.75
1980196 1980 07 14 214.38 33.58 19.68 0.28 0.54 NA NA 17.89
1980197 1980 07 15 272.33 35.32 19.99 0 1.15 NA NA 13.07
1980198 1980 07 16 300.78 37.37 20.24 0 0.45 NA NA 9.74
1980199 1980 07 17 300.02 36.85 22.09 0 0.45 NA NA 10.87
1980200 1980 07 18 299.59 36.89 22.36 0 0.88 NA NA 9.99
1980201 1980 07 19 296.34 37.04 23.64 0 0.51 NA NA 8.94
1980202 1980 07 20 300.74 34.8 24.31 0 2.14 NA NA 13.02
1980203 1980 07 21 290.7 35.53 22.85 0 1.44 NA NA 13.14
1980204 1980 07 22 299.22 34.86 21.85 0 1.4 NA NA 12.19
1980205 1980 07 23 301.71 35.23 21.14 0 2.03 NA NA 10.03
1980206 1980 07 24 297.36 34.5 19.88 0 1.08 NA NA 10.2
1980207 1980 07 25 292.57 34.93 21.23 0 0.98 NA NA 10.03
1980208 1980 07 26 297.36 36.89 22.86 0 1.46 NA NA 8.8
1980209 1980 07 27 277.68 34.73 21.34 0 0.8 NA NA 10.05
1980210 1980 07 28 218.32 34.02 27.1 0 0.05 NA NA 10.34
1980211 1980 07 29 261.04 32.86 23.56 0 0.97 NA NA 14.86
1980212 1980 07 30 197.18 29.68 21.21 11.14 1 NA NA 29.4
1980213 1980 07 31 284.22 31.85 20.13 0 1.26 NA NA 20.41
1980214 1980 08 01 238.36 33.49 21.8 1.19 2.3 NA NA 16.7
1980215 1980 08 02 265.7 33.44 23.06 0.77 2.23 NA NA 19.13
1980216 1980 08 03 244.07 31.03 20.58 0.35 0.93 NA NA 23.91
1980217 1980 08 04 282.88 31.33 19.69 0 0.87 NA NA 19.04
1980218 1980 08 05 284.79 31.69 19.58 0 0.75 NA NA 15.55
1980219 1980 08 06 283.83 31.84 19.45 0 0.54 NA NA 14.78
1980220 1980 08 07 282.35 31.64 19.81 0 1.02 NA NA 13.02
1980221 1980 08 08 285.78 32.56 18.87 0 1.25 NA NA 8.91
1980222 1980 08 09 281.97 32.39 19.72 0 0.08 NA NA 9.7
1980223 1980 08 10 282.41 32.92 20.52 0 1.23 NA NA 10.88
1980224 1980 08 11 275.79 35.57 19.39 0 0.45 NA NA 8.84
1980225 1980 08 12 274.93 35.38 21.26 0 1.49 NA NA 11.28
1980226 1980 08 13 273.38 31.2 22.11 0 2.84 NA NA 17.95
1980227 1980 08 14 270.4 29.29 19.68 0 1.34 NA NA 23.29
1980228 1980 08 15 266 29.02 21.06 0 1.97 NA NA 25.6
1980229 1980 08 16 273.07 29.08 20.58 0 1.72 NA NA 21.26
1980230 1980 08 17 263.98 28.1 19.37 0 0.79 NA NA 25.94
1980231 1980 08 18 267.71 28.4 19.72 0 1.34 NA NA 22.04
1980232 1980 08 19 273.85 28.82 18.3 0 1.69 NA NA 15.97
1980233 1980 08 20 264.49 32.22 18.61 0 0.67 NA NA 14.87
1980234 1980 08 21 257.91 33.5 20.17 0 0.56 NA NA 15.55
1980235 1980 08 22 258.88 35.31 20.62 0 1.15 NA NA 10.14
1980236 1980 08 23 259.57 32.53 21.63 0 2.08 NA NA 13.16
1980237 1980 08 24 253.24 31.75 19.49 0 1.25 NA NA 17.16
