*WEATHER DATA - Station:Alexandria - BADJAM DATA - BADJer: UP - Method: CDFT - Source model: MPIRCA4
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Alexandria 43.98 25.35 56 10.98 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 58.08 14.18 4.53 4.7 2.09 NA NA 51.74
1980002 1980 01 02 49.88 5.91 -1.65 0 1.17 NA NA 74.69
1980003 1980 01 03 23.11 2.07 -1.93 4.34 2.37 NA NA 74.44
1980004 1980 01 04 54.9 2.52 -3.91 0 2.73 NA NA 55.13
1980005 1980 01 05 56.42 -0.03 -5.01 0 1.29 NA NA 54.44
1980006 1980 01 06 58.96 -1.43 -7.11 0 0.9 NA NA 51.64
1980007 1980 01 07 57.25 -1.73 -8.54 0 1.85 NA NA 59.38
1980008 1980 01 08 47.34 -0.39 -6.22 0.57 0.6 NA NA 76.37
1980009 1980 01 09 32.6 -0.56 -5.93 0 0.11 NA NA 76.8
1980010 1980 01 10 36.78 -1.04 -6.93 0.96 1.29 NA NA 76.66
1980011 1980 01 11 27.39 -0.12 -5.65 10.96 3.23 NA NA 78.1
1980012 1980 01 12 41.98 -0.11 -5.52 0.4 4.48 NA NA 63.91
1980013 1980 01 13 71.02 -1.82 -6.99 0 0.65 NA NA 72.75
1980014 1980 01 14 33.95 -3.14 -5.62 0 0.76 NA NA 76.79
1980015 1980 01 15 69.01 -3.3 -7.13 0 3.01 NA NA 55.78
1980016 1980 01 16 69.05 -3.96 -9.37 0 1.28 NA NA 55.51
1980017 1980 01 17 69.37 -3.67 -9.91 7.21 3.14 NA NA 54.46
1980018 1980 01 18 36.48 -3.46 -9.91 11.89 4.88 NA NA 74.89
1980019 1980 01 19 72.42 -4.01 -10.94 0 4.3 NA NA 74.6
1980020 1980 01 20 73.08 -4.24 -11.68 0 4.36 NA NA 70.1
1980021 1980 01 21 73.31 -4.04 -20.96 0 4.53 NA NA 69.47
1980022 1980 01 22 73.44 -3.96 -10.98 0 4.07 NA NA 69.92
1980023 1980 01 23 74.52 -13.12 -21.51 0 1.42 NA NA 75.96
1980024 1980 01 24 45.78 -1.8 -11.36 20.78 6.54 NA NA 77.51
