*WEATHER DATA - Station:Krasnodar - BADJAM DATA - BADJer: UP - Method: CDFT - Source model: MPIREMO09
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Krasnodar 45.02 38.95 45 12.14 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 68.97 12.99 5.29 0 3.01 NA NA 37.1
1980002 1980 01 02 32.81 7.22 4.64 0 0.72 NA NA 85
1980003 1980 01 03 61.84 8.11 1.99 0 0.65 NA NA 61.97
1980004 1980 01 04 62.46 6.63 -1.66 0 1.93 NA NA 35.26
1980005 1980 01 05 68.38 2.74 -3.75 0 2.26 NA NA 54.58
1980006 1980 01 06 44.75 -0.74 -4.59 0 2.25 NA NA 85.85
1980007 1980 01 07 56.59 -0.36 -4.72 0.25 1.14 NA NA 85.84
1980008 1980 01 08 35.33 -1.15 -4.67 0.16 0.97 NA NA 98.02
1980009 1980 01 09 26.94 4.03 -3.86 2.79 1.93 NA NA 67.55
1980010 1980 01 10 46.8 7.15 -0.05 0 2.49 NA NA 59.33
1980011 1980 01 11 39.25 6.27 -0.64 0 2.84 NA NA 57.2
1980012 1980 01 12 63.71 1.68 -3.12 1.81 3.09 NA NA 69.32
1980013 1980 01 13 58.22 6.53 -1.58 0.61 1.41 NA NA 63.24
1980014 1980 01 14 22.71 3.09 0.21 11.85 1.47 NA NA 89.01
1980015 1980 01 15 38.07 5.79 0.37 3.06 4.07 NA NA 59.03
1980016 1980 01 16 53.23 4.31 -0.21 0 0.89 NA NA 61.77
1980017 1980 01 17 33.22 2.88 -0.81 1.53 1.23 NA NA 76.9
1980018 1980 01 18 83.27 5.47 -0.8 0.48 2.87 NA NA 55.28
1980019 1980 01 19 29.17 5.19 -1.2 0 2.52 NA NA 52.36
1980020 1980 01 20 25.48 1.49 -1.59 2.78 3.77 NA NA 82.91
1980021 1980 01 21 33.08 1.71 -1.95 2.87 2.17 NA NA 84.95
1980022 1980 01 22 52.29 3.27 -2.15 0.32 2.87 NA NA 65.78
1980023 1980 01 23 72.01 6.01 -1.35 0.13 2.18 NA NA 55.53
1980024 1980 01 24 50.19 3.05 -1.52 0 5.25 NA NA 54.84
1980025 1980 01 25 59.44 2.51 -2.56 0 6.07 NA NA 51.46
1980026 1980 01 26 44.1 1.14 -3.77 1.72 6.04 NA NA 66.79
1980027 1980 01 27 47.64 1.54 -4.04 0 4.06 NA NA 77.51
1980028 1980 01 28 48.01 -0.87 -4.65 0.32 3.08 NA NA 84.19
1980029 1980 01 29 75.04 -0.69 -4.79 0 4.28 NA NA 73.18
1980030 1980 01 30 52.06 -0.8 -4.81 0 3.97 NA NA 64.63
1980031 1980 01 31 98.22 2.56 -4.82 0 3.6 NA NA 43.65
1980032 1980 02 01 53.5 3.09 -4.11 11.98 3.53 NA NA 56.8
1980033 1980 02 02 23.24 5.22 2.2 4.28 2.9 NA NA 76.17
1980034 1980 02 03 32.99 6.13 4.09 1.49 3.15 NA NA 74.99
1980035 1980 02 04 29.74 6.56 5.83 1.7 2.68 NA NA 70.65
1980036 1980 02 05 16.21 7.13 4.5 21.03 2.96 NA NA 82.67
1980037 1980 02 06 23.78 9.51 4.02 13.44 3.19 NA NA 78.44
1980038 1980 02 07 59.89 13.26 9.88 2.48 5.13 NA NA 64.17
1980039 1980 02 08 57.02 10.84 7.36 2.49 2.17 NA NA 69.64
1980040 1980 02 09 91.55 6.23 -0.02 0 2.52 NA NA 63.57
1980041 1980 02 10 97.92 5.84 -1.27 0 2.34 NA NA 52.95
1980042 1980 02 11 106.72 8.63 -1.97 0 0.64 NA NA 48.87
1980043 1980 02 12 118.23 10.11 -1.22 0 3.01 NA NA 34.24
1980044 1980 02 13 89.11 5.84 -1.36 0 3.37 NA NA 37.25
1980045 1980 02 14 45.13 5.75 0.31 13.47 2.26 NA NA 69.34
1980046 1980 02 15 120.57 8.51 0.24 0 2.19 NA NA 40.32
1980047 1980 02 16 118.26 9.25 -0.21 0 1.66 NA NA 44.98
1980048 1980 02 17 25 5.04 3.35 5.02 2.44 NA NA 78.6
1980049 1980 02 18 29.38 8.24 4.63 5.03 4.88 NA NA 77.59
1980050 1980 02 19 113.56 6.28 0.54 0.33 2.19 NA NA 45.72
1980051 1980 02 20 61.33 11.59 5.1 0 2.46 NA NA 59.69
1980052 1980 02 21 37.01 10.77 5.83 0 2.46 NA NA 51.92
1980053 1980 02 22 55.68 10.5 6.32 4.96 1.14 NA NA 65.29
1980054 1980 02 23 31.49 6.06 -0.16 2.69 3.55 NA NA 63.95
1980055 1980 02 24 124.52 3.2 -2.24 0 7.49 NA NA 30.64
1980056 1980 02 25 104.66 1.08 -4.85 0 8.01 NA NA 41.27
1980057 1980 02 26 126.11 1.88 -5.36 0 6.5 NA NA 41.19
1980058 1980 02 27 79.72 2.31 -3.46 0 4.57 NA NA 44.33
1980059 1980 02 28 126.82 4.66 -2.06 0 2.55 NA NA 36.53
1980060 1980 02 29 76.96 3.97 -2.95 0.33 1.49 NA NA 60.71
1980061 1980 03 01 44.73 6.5 3.57 1.04 2.09 NA NA 73.49
1980062 1980 03 02 144.4 14.6 2.7 0 2.46 NA NA 48.3
1980063 1980 03 03 120.67 16.03 5.55 0 3.07 NA NA 41.22
1980064 1980 03 04 133.75 17.99 6.27 0 1.03 NA NA 27.96
1980065 1980 03 05 78.96 14.15 5.78 8.95 1.68 NA NA 52.18
1980066 1980 03 06 156.63 15.39 3.61 0 1.52 NA NA 38.16
1980067 1980 03 07 159.31 15.79 2.19 0 1.87 NA NA 26.65
1980068 1980 03 08 161.1 10.98 0.7 0 5.71 NA NA 33.23
1980069 1980 03 09 142.34 3.71 -2.44 0 5.95 NA NA 32.97
1980070 1980 03 10 118.25 3.42 -3.38 2.99 6.11 NA NA 49.04
1980071 1980 03 11 44.12 1.22 -2.68 4.09 5.92 NA NA 72.48
1980072 1980 03 12 121 3.86 -2.59 0 5.84 NA NA 52.74
1980073 1980 03 13 111.95 4.43 -1.89 0 6.33 NA NA 48.71
1980074 1980 03 14 169.81 5.41 -2.03 0 7.12 NA NA 33.36
1980075 1980 03 15 180.27 8.58 -1.41 0 4.07 NA NA 19.35
1980076 1980 03 16 180.23 11.54 -1.34 0 1.51 NA NA 24.1
1980077 1980 03 17 179.9 14.16 -0.34 0 0.68 NA NA 30.25
1980078 1980 03 18 162.53 15.77 1.22 0 0.65 NA NA 27.27
1980079 1980 03 19 63.88 8.02 3.01 4.06 2.34 NA NA 76.04
1980080 1980 03 20 183.52 15.12 5.28 0 2.83 NA NA 45.31
1980081 1980 03 21 48.99 10.26 4.31 9.49 4.78 NA NA 66.87
1980082 1980 03 22 143.24 10.34 1.96 0 0.09 NA NA 44.86
1980083 1980 03 23 71.88 7.86 1.44 7 1.42 NA NA 61.97
1980084 1980 03 24 163 8.61 3.82 0 3.91 NA NA 42.82
1980085 1980 03 25 193.87 16.03 6.17 0 5.33 NA NA 35.32
1980086 1980 03 26 177.36 17.76 7.81 0 3.65 NA NA 42.74
1980087 1980 03 27 195.29 19.78 6.92 0 1.76 NA NA 28.38
1980088 1980 03 28 183.78 22.36 6.63 0 0.64 NA NA 19.57
1980089 1980 03 29 149 22.12 8 0 0.73 NA NA 20.47
1980090 1980 03 30 191.33 21.89 8.02 0 0.65 NA NA 26.41
1980091 1980 03 31 120.2 19.11 11.32 0 1.14 NA NA 34.82
1980092 1980 04 01 144.53 17.32 10.54 0 2.26 NA NA 47.23
1980093 1980 04 02 209.35 17.18 7.56 0 2.46 NA NA 34.99
1980094 1980 04 03 214.57 15.39 5.29 0 1.83 NA NA 30.85
1980095 1980 04 04 212.46 22.43 4.87 0 2.26 NA NA 19.36
1980096 1980 04 05 134.6 17.8 8.21 0 1.73 NA NA 45.48
1980097 1980 04 06 215.51 18.13 6.12 0 1.51 NA NA 39.93
1980098 1980 04 07 214.82 19.27 5.58 1.52 0.64 NA NA 31.8
1980099 1980 04 08 220.47 19.41 6.56 0 0.86 NA NA 31.93
1980100 1980 04 09 200.52 20.81 8.06 0 4.28 NA NA 27.06
1980101 1980 04 10 50.39 11.8 8 0 3.98 NA NA 56.22
1980102 1980 04 11 197.97 17.45 6.52 0 1 NA NA 43.37
1980103 1980 04 12 80.48 12.27 3.86 4.68 5.01 NA NA 60.99
1980104 1980 04 13 116.31 8.08 -0.54 2.91 1.96 NA NA 40.91
1980105 1980 04 14 173.84 8 -0.81 3.75 1.93 NA NA 29
1980106 1980 04 15 142.6 7.16 -0.23 12.59 3.01 NA NA 41.21
1980107 1980 04 16 204.52 11.31 -0.74 0 1.16 NA NA 29.11
1980108 1980 04 17 199.91 15.11 2.98 0 1.34 NA NA 34.52
1980109 1980 04 18 237.26 21.1 3.86 0 1.83 NA NA 27.66
1980110 1980 04 19 247.14 22.38 9.06 0 3.9 NA NA 21.23
1980111 1980 04 20 250.28 20.76 11.37 0 4.6 NA NA 23.58
1980112 1980 04 21 249.88 23.35 10.6 0 3.24 NA NA 24.64
1980113 1980 04 22 208.63 21.21 9.47 13.62 3.57 NA NA 37.15
1980114 1980 04 23 259.6 16.95 7.9 0 3.97 NA NA 22.97
1980115 1980 04 24 228.25 16.37 7.59 0 3.41 NA NA 40.41
1980116 1980 04 25 261.62 17.41 7.1 0 3.87 NA NA 29.34
1980117 1980 04 26 266.42 18.78 6.15 0 3.73 NA NA 21.46
1980118 1980 04 27 267.51 20.73 7.32 0 4.77 NA NA 20.79
1980119 1980 04 28 125.87 16.28 10.31 0 3 NA NA 43.26
1980120 1980 04 29 231.93 19.84 12.05 0 2.89 NA NA 47.08
1980121 1980 04 30 262.6 24.3 11.56 0 2.59 NA NA 30.41
1980122 1980 05 01 217.82 25.37 12.52 7.11 0.69 NA NA 36.25
1980123 1980 05 02 157.47 20.86 13.6 0.51 3.79 NA NA 45.47
1980124 1980 05 03 104.85 17.97 9.16 2.85 2.82 NA NA 58.88
1980125 1980 05 04 233.56 20.6 8.27 0 1.14 NA NA 45.17
1980126 1980 05 05 231.73 23.23 11.4 0 1.61 NA NA 37.93
1980127 1980 05 06 138.88 17.81 11.11 0.22 3.07 NA NA 58.4
1980128 1980 05 07 204 19.56 11.62 8.35 2.24 NA NA 53.09
1980129 1980 05 08 274.49 25.65 10.71 0.98 2.69 NA NA 31.06
1980130 1980 05 09 181.82 21.64 16.4 7.64 3.18 NA NA 51.26
1980131 1980 05 10 132 18.3 13.12 7.78 2.23 NA NA 61.22
1980132 1980 05 11 110.25 17.51 12.14 1.93 2.57 NA NA 63.87
1980133 1980 05 12 196.37 24.56 15.57 0.56 1.04 NA NA 45.48
1980134 1980 05 13 185.52 23.49 12.91 20.26 1.9 NA NA 49.12
1980135 1980 05 14 239.91 25.06 12.35 6.99 1.97 NA NA 43.51
1980136 1980 05 15 152.58 20.69 13.28 3.79 2.68 NA NA 58
1980137 1980 05 16 139.16 17.95 9.47 0.46 2.41 NA NA 56.49
1980138 1980 05 17 32.98 8.05 6.37 2.11 4.41 NA NA 71.58
1980139 1980 05 18 161.16 15.4 8.72 0 3.25 NA NA 45.34
1980140 1980 05 19 257.23 21.27 9.02 0 3.33 NA NA 40.76
1980141 1980 05 20 295.08 22.28 11.81 0 4.9 NA NA 40.78
1980142 1980 05 21 316.02 20.31 10.53 0 5.39 NA NA 32.04
1980143 1980 05 22 317.06 19.75 11.06 0 5.02 NA NA 33.52
1980144 1980 05 23 361.33 17.87 9.25 0 3.71 NA NA 30.9
1980145 1980 05 24 301.93 20.6 8.28 0 2.6 NA NA 38.91
1980146 1980 05 25 360.13 21.46 9.94 0 3.26 NA NA 33.69
1980147 1980 05 26 361.44 23.82 10.69 0 1.93 NA NA 28.32
1980148 1980 05 27 307.72 23.86 12.61 0 4.56 NA NA 44.44
1980149 1980 05 28 82.5 17.68 11.16 9.5 3.5 NA NA 62.3
1980150 1980 05 29 220.94 21.83 10.71 13.18 0.73 NA NA 46.13
1980151 1980 05 30 219.13 19.81 15.72 29.06 3.02 NA NA 63.31
1980152 1980 05 31 94.36 18.41 13.62 4.09 0.96 NA NA 63.08
1980153 1980 06 01 243.59 24.4 13.23 0 1.25 NA NA 48.92
1980154 1980 06 02 277.34 26.88 18.47 0 5.19 NA NA 44.99
1980155 1980 06 03 236.29 28.69 19.61 0 1.53 NA NA 46.89
1980156 1980 06 04 154.72 24.63 16.68 0 1.95 NA NA 51.89
1980157 1980 06 05 328.24 24.96 15.95 0 3.28 NA NA 46.14
1980158 1980 06 06 243.43 23.91 16.85 0.53 3.51 NA NA 51.89
1980159 1980 06 07 230.52 23.45 15.71 0.49 2.1 NA NA 50.57
1980160 1980 06 08 239.6 24.13 15.02 0 1.27 NA NA 43.66
1980161 1980 06 09 81.89 15.92 11.74 1.42 1.6 NA NA 72.37
1980162 1980 06 10 143.68 15.85 8.62 0.62 2.12 NA NA 56.91
1980163 1980 06 11 291.38 20.83 7.99 0 1.93 NA NA 43.06
1980164 1980 06 12 359.56 21.48 10.85 0 1.54 NA NA 39.75
1980165 1980 06 13 365.85 22.75 9.75 0 0.66 NA NA 29.27
1980166 1980 06 14 232.09 24.74 13.31 7.53 0.71 NA NA 39.85
1980167 1980 06 15 185.45 21.17 15.34 5.48 2.99 NA NA 53.01
1980168 1980 06 16 190.52 18.73 15.3 6.46 3.91 NA NA 62.06
1980169 1980 06 17 177.62 18.88 14.69 7.74 3.55 NA NA 60.27
1980170 1980 06 18 296.62 19.77 13.45 0 2.89 NA NA 42.68
1980171 1980 06 19 359.78 25.36 13.98 0 4.37 NA NA 46.51
1980172 1980 06 20 361.01 28.64 16.7 2 1.48 NA NA 35.03
