*WEATHER DATA - Station:Martonvásár - BADJAM DATA - BADJer: UP - Method: CDFT - Source model: NCCNor
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Martonvásár 47.35 18.81 135 9.41 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 36.48 -0.33 -6.42 0 1.92 NA NA 74.65
1980002 1980 01 02 26.02 0.51 -3.66 0 1.47 NA NA 82.31
1980003 1980 01 03 33.52 1.77 -2.32 0 0.42 NA NA 82.9
1980004 1980 01 04 31.97 2.8 -0.61 0 2.22 NA NA 82.38
1980005 1980 01 05 29.27 5.65 1.94 0 2.14 NA NA 74.97
1980006 1980 01 06 57.28 9.95 1.67 0 2.72 NA NA 66.35
1980007 1980 01 07 49.83 11.82 4.22 0 2.65 NA NA 63.27
1980008 1980 01 08 47.09 7.66 0.95 0 1.55 NA NA 69.25
1980009 1980 01 09 53.57 7.77 0.43 0 1.66 NA NA 68.28
1980010 1980 01 10 29.16 7.28 3.61 0.34 1.76 NA NA 81.02
1980011 1980 01 11 28.23 7.74 1.67 0 1.11 NA NA 80.42
1980012 1980 01 12 22.26 5.34 1.84 0 1.04 NA NA 82.44
1980013 1980 01 13 52.68 2.63 -3.14 0 3.24 NA NA 69.42
1980014 1980 01 14 55.44 0.74 -5.89 0 0.46 NA NA 66.25
1980015 1980 01 15 57.21 0.81 -6 0 1.68 NA NA 60.37
1980016 1980 01 16 65.15 1.79 -4.89 0 3.47 NA NA 54.34
1980017 1980 01 17 11.43 2.47 -2.94 8.5 2.46 NA NA 78.4
1980018 1980 01 18 57.6 1.77 -5.01 0 1.25 NA NA 71.18
1980019 1980 01 19 61.6 4.74 -2.87 0.82 4.33 NA NA 59.12
1980020 1980 01 20 68.52 12.85 6.06 0 3.7 NA NA 59.61
1980021 1980 01 21 28.6 13.47 5.28 0 2.76 NA NA 61.98
1980022 1980 01 22 61.43 10.3 2.15 0 2.55 NA NA 61.82
1980023 1980 01 23 61.38 7.45 -0.32 0 2.66 NA NA 57.89
1980024 1980 01 24 37.58 11.25 0.31 0.29 4.34 NA NA 63.44
1980025 1980 01 25 19.74 9.84 3.72 2.96 3.14 NA NA 83.68
1980026 1980 01 26 69.09 2.88 -1.88 0 5.11 NA NA 38.52
1980027 1980 01 27 70.03 1.16 -3.33 0 4.22 NA NA 39.69
1980028 1980 01 28 67.06 -0.18 -4.78 0 3.81 NA NA 42.57
1980029 1980 01 29 30.02 2.99 -4.31 0.78 4.71 NA NA 51.2
1980030 1980 01 30 77.91 4.6 -0.53 1.07 3.44 NA NA 53.12
1980031 1980 01 31 77.61 4.48 -2.68 0 3.53 NA NA 54.7
1980032 1980 02 01 73.19 0.97 -4.3 0 3.63 NA NA 35.83
1980033 1980 02 02 73.58 -2.07 -6.05 0 4.2 NA NA 32.86
1980034 1980 02 03 31.42 0.56 -6.06 0.2 1.78 NA NA 66.85
1980035 1980 02 04 22.6 2.23 -1.76 1.05 2.21 NA NA 82.28
1980036 1980 02 05 31.5 8 1.76 1.66 4.81 NA NA 63.37
1980037 1980 02 06 70.62 2.58 -2.73 0 4.91 NA NA 51.17
1980038 1980 02 07 79.34 0.31 -5.69 0 3.14 NA NA 40.8
1980039 1980 02 08 90.93 -0.92 -5.96 0 1.64 NA NA 34.83
1980040 1980 02 09 78.2 1.58 -7.42 3.49 3.16 NA NA 72.52
1980041 1980 02 10 76.11 0.64 -7.52 0 1.96 NA NA 59.35
