*WEATHER DATA - Station:Krasnodar - BADJAM DATA - BADJer: UP - Method: CDFT - Source model: NOAAGFDL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Krasnodar 45.02 38.95 45 11.72 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 52.24 -1.52 -10.19 0 0.26 NA NA 46.95
1980002 1980 01 02 49.32 -0.05 -4.59 0 2.12 NA NA 52.8
1980003 1980 01 03 61.17 4.95 -4.04 0 2.82 NA NA 54.21
1980004 1980 01 04 58.36 6.89 1.99 2.45 3.02 NA NA 56.26
1980005 1980 01 05 45.86 3.72 0.81 0 3.49 NA NA 59.36
1980006 1980 01 06 38.29 8.41 7.05 0 5.46 NA NA 57.6
1980007 1980 01 07 53.28 10 7.82 0 5.25 NA NA 43.1
1980008 1980 01 08 54.11 11.49 9.78 0.38 6.03 NA NA 42.07
1980009 1980 01 09 46.36 6.34 5.59 0 2.9 NA NA 71.72
1980010 1980 01 10 35.69 8.45 -0.59 0 2.61 NA NA 59.03
1980011 1980 01 11 67.62 9.21 -0.24 0 3.24 NA NA 51.71
1980012 1980 01 12 56.37 11.35 7.05 0 4.29 NA NA 49.26
1980013 1980 01 13 65.23 11.45 7.64 0 4.68 NA NA 41.75
1980014 1980 01 14 68.21 12.14 8.11 0 5.35 NA NA 35.02
1980015 1980 01 15 42.94 8.2 6 0.38 3.83 NA NA 62.51
1980016 1980 01 16 19.37 6.46 0.34 4.3 4.2 NA NA 61.09
1980017 1980 01 17 46.04 3.49 -2.1 0 1.57 NA NA 55.66
1980018 1980 01 18 65.4 2.78 -3 0 1.44 NA NA 62.85
1980019 1980 01 19 37.73 9.91 0.97 0 2.22 NA NA 58.59
1980020 1980 01 20 0 6.93 9.71 20.86 4.27 NA NA 88.08
1980021 1980 01 21 68.19 11.65 9.99 0 4.68 NA NA 52.26
1980022 1980 01 22 19.55 6.51 6.63 5.67 2.61 NA NA 82.01
1980023 1980 01 23 30.69 3.25 1.95 0.94 1.91 NA NA 81.24
1980024 1980 01 24 34.62 4.8 0.51 3.75 3.86 NA NA 65.21
1980025 1980 01 25 19.98 5.14 0.5 11.63 1.44 NA NA 81.78
1980026 1980 01 26 36.17 6.32 4.88 3.86 1.56 NA NA 75.91
1980027 1980 01 27 45.28 4.78 3.39 0 2.47 NA NA 68.97
1980028 1980 01 28 35.96 8.71 6.47 0.85 6.69 NA NA 56.88
1980029 1980 01 29 26.99 9.12 0.71 10.79 5.92 NA NA 55.27
1980030 1980 01 30 71.39 2.57 -1.39 0 2.5 NA NA 49.03
1980031 1980 01 31 86.61 6.67 -1.18 0 3.27 NA NA 38.27
1980032 1980 02 01 82.94 14.2 3.18 0 4.24 NA NA 39.64
1980033 1980 02 02 46.86 4.45 -2.71 0 3.46 NA NA 57.77
1980034 1980 02 03 87.36 2.82 -2.72 0 2.35 NA NA 56.03
1980035 1980 02 04 76.69 4.87 -1.34 0 2.84 NA NA 51.27
1980036 1980 02 05 70.85 5.66 -1.69 0.52 4.94 NA NA 51.16
1980037 1980 02 06 85.35 1.48 -1.8 0 1.87 NA NA 62.66
1980038 1980 02 07 39.16 2.84 -0.5 1.87 4.87 NA NA 63.8
1980039 1980 02 08 89.22 2.77 -2.46 0.49 1.33 NA NA 65.88
1980040 1980 02 09 79.69 3.72 -1.26 0 2.13 NA NA 57.45
1980041 1980 02 10 103.92 4.23 -1.9 0 1.53 NA NA 47.97
1980042 1980 02 11 86.52 2.67 -1.19 0 2.49 NA NA 59.09
1980043 1980 02 12 82.71 2.2 -1.32 0 3.18 NA NA 55.36
1980044 1980 02 13 99.36 0.94 -1.42 9.81 2.82 NA NA 59.05
1980045 1980 02 14 79.21 -1.42 -6.23 0 3.26 NA NA 50.11
