*WEATHER DATA - Station:Poltava - BADJAM DATA - BADJer: UP - Method: CDFT - Source model: NOAAGFDL
 
@ INSI LAT LONG ELEV TAV AMP REFHT WNDHT
Poltava 49.37 33.17 98 7.15 NA 2.0 NA
@DATE YYYY MM DD SRAD TMAX TMIN RAIN  WIND DEWP VPRS RHUM 
1980001 1980 01 01 32.66 -13.55 -19.36 0 1.47 NA NA 52.99
1980002 1980 01 02 52.09 -5.25 -16.06 0.41 4 NA NA 36.57
1980003 1980 01 03 21.82 1.3 -4.13 4.76 7.5 NA NA 83.41
1980004 1980 01 04 18.28 1.17 -10.26 5.8 4.4 NA NA 83.73
1980005 1980 01 05 35.98 -4.93 -12.51 0.05 2.81 NA NA 57.36
1980006 1980 01 06 22.56 -2.38 -11.42 5.59 0.94 NA NA 75.68
1980007 1980 01 07 14.04 1.83 -3.87 16.72 3.89 NA NA 76.71
1980008 1980 01 08 56.65 0.44 -18.18 0.47 2.95 NA NA 39.65
1980009 1980 01 09 48.51 -8.89 -18.75 0 1.55 NA NA 36.95
1980010 1980 01 10 41.51 0.36 -11.33 1.06 3.29 NA NA 41.53
1980011 1980 01 11 20.04 1.48 0.89 2.83 4.74 NA NA 91.56
1980012 1980 01 12 41.26 2.21 1.66 0 4.13 NA NA 88.05
1980013 1980 01 13 35.67 5.86 3.33 0 4.09 NA NA 75.68
1980014 1980 01 14 20.11 3.85 1.43 1.93 2.16 NA NA 81.14
1980015 1980 01 15 22.52 1.05 -9.33 0.8 3.37 NA NA 54.18
1980016 1980 01 16 35.2 -5.57 -10.54 0 1.73 NA NA 48.22
1980017 1980 01 17 45.04 -4.97 -11.21 0 1.4 NA NA 65.55
1980018 1980 01 18 55.4 -4.36 -12.27 0 1.55 NA NA 53.83
1980019 1980 01 19 54.04 -2.18 -9.97 0 2.01 NA NA 66.99
1980020 1980 01 20 46.38 -1.47 -9.02 0 0.64 NA NA 79.25
1980021 1980 01 21 23.19 0.6 -5.84 0.15 1.41 NA NA 80.13
1980022 1980 01 22 55.5 -3.67 -9.74 0 1.95 NA NA 78.42
1980023 1980 01 23 59.89 -0.38 -10.22 4.04 3.67 NA NA 60.86
1980024 1980 01 24 50.07 -0.27 -5.43 0.47 4.23 NA NA 75.87
1980025 1980 01 25 28.07 0.64 -1.73 0 2.17 NA NA 85.64
1980026 1980 01 26 22.64 0.53 -0.51 0.22 1.34 NA NA 91.56
1980027 1980 01 27 55.49 0.83 -2.78 2.2 3.6 NA NA 82.51
1980028 1980 01 28 57.29 0.9 -7.68 0 2.51 NA NA 80.62
1980029 1980 01 29 51.61 -2.84 -10.91 0.05 3.1 NA NA 61.3
1980030 1980 01 30 65.84 -6.63 -10.88 0 3.99 NA NA 51.11
1980031 1980 01 31 69.96 -4.08 -13.68 3.19 3.16 NA NA 51.44
1980032 1980 02 01 69.8 -4.02 -12.85 0 1.4 NA NA 78.22
1980033 1980 02 02 62.21 -5.31 -13.39 2.06 5.48 NA NA 61.98
1980034 1980 02 03 81.33 -9.83 -13.29 0 3.56 NA NA 72.17
1980035 1980 02 04 82.17 -7.53 -15.46 3.61 2.81 NA NA 56.13
1980036 1980 02 05 21.4 1.07 -11.48 8.72 5.85 NA NA 64.47
1980037 1980 02 06 81.71 -10.48 -17.95 0 3.18 NA NA 44.49
1980038 1980 02 07 89.9 -4.61 -15.38 0.22 3.75 NA NA 31.49
1980039 1980 02 08 52.4 0.87 -11.23 0 4.53 NA NA 72.17
1980040 1980 02 09 80.7 0.09 -12.9 0 2.47 NA NA 57.18
1980041 1980 02 10 68.95 -0.23 -11.54 0 2.32 NA NA 71.09
1980042 1980 02 11 66.26 -0.23 -12.96 0 2.87 NA NA 54.81
1980043 1980 02 12 67.56 -4.87 -9.64 1.33 4 NA NA 78.17
1980044 1980 02 13 85.72 -8.36 -13.69 0 3.59 NA NA 61.95
1980045 1980 02 14 94.16 -11.27 -15.52 0 4.39 NA NA 65.09
1980046 1980 02 15 96.83 -12.92 -17.05 0 4.54 NA NA 70.08
1980047 1980 02 16 92 -14 -18.15 0 4.51 NA NA 76.42
1980048 1980 02 17 99.61 -14.52 -19.1 0 4.16 NA NA 76.87
1980049 1980 02 18 103.06 -16.15 -21.05 0 3.61 NA NA 82.24
1980050 1980 02 19 104.46 -14.9 -23.45 0 2.92 NA NA 58.29
1980051 1980 02 20 117.43 -6.13 -18.34 0 6.24 NA NA 31.1
1980052 1980 02 21 49.92 1.13 -6.71 7.07 6.5 NA NA 75.75
1980053 1980 02 22 102.66 0.42 -8.86 0 2.88 NA NA 79.57
1980054 1980 02 23 106.51 0.25 -8.15 0 1.45 NA NA 80.69
1980055 1980 02 24 106.24 0.74 -6.48 0 2.86 NA NA 81.75
1980056 1980 02 25 109.24 -2.99 -9.47 0 5.2 NA NA 58.68
1980057 1980 02 26 110.47 -3.1 -9.93 0 6.94 NA NA 44.03
1980058 1980 02 27 121.5 -2.82 -10.04 0 7.05 NA NA 45.41
1980059 1980 02 28 127.45 -2.84 -10.14 1.07 7.04 NA NA 60.16
1980060 1980 02 29 0 0 0 0 0 NA NA 0
1980061 1980 03 01 86.38 -3.3 -11.5 0.4 5.2 NA NA 62.31
1980062 1980 03 02 131.26 -10.03 -13.89 0 2.89 NA NA 68.64
1980063 1980 03 03 133.92 -10.8 -17.54 0 1.61 NA NA 62.18
1980064 1980 03 04 136.05 -11.62 -17.79 0 2.09 NA NA 59.66
1980065 1980 03 05 152.88 -13.65 -19.28 0 2.44 NA NA 63.75
1980066 1980 03 06 153.9 -13.46 -19.24 0 2.96 NA NA 45.22
1980067 1980 03 07 159.18 -12.39 -18.16 0 3.68 NA NA 46.16
1980068 1980 03 08 171.65 -8.98 -15.13 0 4.24 NA NA 53.02
1980069 1980 03 09 179.49 -10.58 -17.82 0 3.97 NA NA 56.52
1980070 1980 03 10 155.06 -11.05 -19.04 0 2.3 NA NA 45.56
1980071 1980 03 11 153.05 -8.59 -13.65 0 2.48 NA NA 64.43
1980072 1980 03 12 142.4 0.55 -12.66 0.19 2.81 NA NA 53.79
1980073 1980 03 13 176.59 0.69 -12.32 0.23 1.67 NA NA 66.06
1980074 1980 03 14 97.01 0.59 -5.95 0.11 4.59 NA NA 79.42
1980075 1980 03 15 128.66 -4.48 -11.89 0 6.73 NA NA 60.53
1980076 1980 03 16 175.76 -9.46 -14.35 0 4.99 NA NA 46.18
1980077 1980 03 17 189.78 -5.6 -16.43 0 2.34 NA NA 31.19
